Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	use_catch22	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.2)train_accuracy	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)train_accuracy	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
1	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	97.29	7.14	53.57	53.57	57.14	50.0	53.33	53.85	55.17	77	1110.923	eaabb979fca251bc25cc01746b64995e38195aa06d41289b3746377e87efb0cb	87.65	16.67	58.33	58.33	66.67	50.0	57.14	60.0	61.54	39	133.74	3e371c04e48407c3706bedb98380a72b80772fd1e11c4b87a82c506ad1b8880d	94.88	9.52	54.76	54.76	59.52	50.0	54.35	55.26	56.82	71	136.664	4e42140554af44424147e5b84d88be08ed36406e41d19cd00d329f6988bf872c	87.35	14.29	57.14	57.14	64.29	50.0	56.25	58.33	60.0	39	133.351	9a062f0587d92b6aca88168a9447f4f0e6e8497d1d308e0a96e56466ef130403	
2	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	97.89	7.14	53.57	53.57	40.48	66.67	54.84	52.83	46.58	89	280.203	8955aff57a51f7f42f26e02fc0d3184f9bbae14c4e7ff9524f0828974d821511	89.76	11.9	55.95	55.95	45.24	66.67	57.58	54.9	50.67	49	104.342	12d7404e7fe59122ac2be259eefb80541e5f3ca0c224a4d7fa62c1f90c337bd6	96.08	11.9	55.95	55.95	47.62	64.29	57.14	55.1	51.95	77	108.774	d8ee4498e97536d83dbf50af72156ea8b314be900993fecaece257663680dc49	90.06	11.9	55.95	55.95	45.24	66.67	57.58	54.9	50.67	51	107.52	d9a55b613355531b3ddaad478ae9495800aac457290d1ab073383b0eb316abe3	
3	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	98.49	28.57	64.29	64.29	59.52	69.05	65.79	63.04	62.5	79	221.163	84ec911970aab4d47abbf0baf87634dba3731b88c91f1d3bb93ba4cdb143e3d6	85.84	26.19	63.1	63.1	66.67	59.52	62.22	64.1	64.37	31	120.68	823e19f1abae9fa88a2f72f66c9204671d38cdeb71154030a36d4557cda5a543	95.18	26.19	63.1	63.1	54.76	71.43	65.71	61.22	59.74	71	130.817	ee4fb8903fc8cfb6538eeb0f60e8e90de3c674ce14d23269a9d78039282354fe	85.84	26.19	63.1	63.1	66.67	59.52	62.22	64.1	64.37	31	123.624	823e19f1abae9fa88a2f72f66c9204671d38cdeb71154030a36d4557cda5a543	
4	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	98.49	-4.76	47.62	47.62	47.62	47.62	47.62	47.62	47.62	69	1044.611	729c7ce25d749da9d5e9bbb13b8b8a08870f0c560a7bf8c8a4e8bd41ad5a7671	83.43	4.76	52.38	52.38	50.0	54.76	52.5	52.27	51.22	27	246.68	22a3aed565b1fe9627c215c92db634859e0cc9ad63db9df2dded1b53e91bb025	96.08	0.0	50.0	50.0	42.86	57.14	50.0	50.0	46.15	63	294.225	89d72c039d298f98740fdd339923d1706c6e62cd59d2f2ba0f1b485c2113c536	83.43	4.76	52.38	52.38	50.0	54.76	52.5	52.27	51.22	27	262.136	22a3aed565b1fe9627c215c92db634859e0cc9ad63db9df2dded1b53e91bb025	
5	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	98.8	4.76	52.38	52.38	47.62	57.14	52.63	52.17	50.0	75	196.643	4eb76c44628b22f189d5db085900e93f764d1c3636f3d37fdd6448a4f686a392	86.75	-4.76	47.62	47.62	54.76	40.48	47.92	47.22	51.11	37	175.764	4ed7a48a1cc4c5bfe0e075b53642fe578f63230deea9e5c4aa955f71b72afe75	96.69	4.76	52.38	52.38	50.0	54.76	52.5	52.27	51.22	67	185.408	6709f6492579bef02644a0395d792244acb8ef5da427c565a59767af7c86c515	86.75	-4.76	47.62	47.62	54.76	40.48	47.92	47.22	51.11	37	181.716	4ed7a48a1cc4c5bfe0e075b53642fe578f63230deea9e5c4aa955f71b72afe75	
6	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	97.89	16.67	58.33	58.33	54.76	61.9	58.97	57.78	56.79	85	199.491	b9a2bf6707dffcd72f688490b163750b3b2018d1ae858a043a14160242c4a67b	83.13	30.95	65.48	65.48	69.05	61.9	64.44	66.67	66.67	29	168.709	8e0fd541f20bd80af666f3b28a8b45563a3833ff044fdf25c86d8aa8b67d1b7d	94.88	7.14	53.57	53.57	52.38	54.76	53.66	53.49	53.01	73	177.768	36414aa491e6cf4e02b550d242f61796ef7c756ac1f2adedc9ab07706ed9449e	83.13	30.95	65.48	65.48	69.05	61.9	64.44	66.67	66.67	29	169.299	8e0fd541f20bd80af666f3b28a8b45563a3833ff044fdf25c86d8aa8b67d1b7d	
7	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	97.59	23.81	61.9	61.9	59.52	64.29	62.5	61.36	60.98	75	120.211	c7f6e2de267ef0fc48d3fe98b7f8b8d40461cc736efad3193f671e560e2ee5f3	81.63	23.81	61.9	61.9	59.52	64.29	62.5	61.36	60.98	27	71.382	8276133d5b3f714f0f16947eb9e4f8930a13a8d3041c050f47d33d6cfaba4c7a	95.18	28.57	64.29	64.29	59.52	69.05	65.79	63.04	62.5	67	79.572	2cde386a0f491fd4585635817826a059eac75b1941eb0bb434d1bbb524b62eb0	81.63	23.81	61.9	61.9	59.52	64.29	62.5	61.36	60.98	27	70.769	8276133d5b3f714f0f16947eb9e4f8930a13a8d3041c050f47d33d6cfaba4c7a	
8	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	97.89	14.29	57.14	57.14	54.76	59.52	57.5	56.82	56.1	75	314.881	0d76225e288526dbcf1baaf0b4e0b021beba05190bc7eefc5e99db9328e48f84	85.24	21.43	60.71	60.71	59.52	61.9	60.98	60.47	60.24	33	208.13	284a9af69972442dbfb0a1725b68272bac3ef4f73c22c282e724f7d696b1e67e	95.78	19.05	59.52	59.52	59.52	59.52	59.52	59.52	59.52	69	228.952	699b38968fb589f56ca75a27ebdab5643fed2e5b708cdbb5dc7b0998fc8c9238	85.24	21.43	60.71	60.71	59.52	61.9	60.98	60.47	60.24	33	203.273	284a9af69972442dbfb0a1725b68272bac3ef4f73c22c282e724f7d696b1e67e	
9	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	false	30	332	84	(166, 166)	(42, 42)	[56]	[(30,)]	97.59	-16.67	41.67	41.67	38.1	45.24	41.03	42.22	39.51	75	123.676	aa16c07f82dbd51e76f0e7994979193af0254c7be87145c034387a2f3824cd67	78.61	-7.14	46.43	46.43	35.71	57.14	45.45	47.06	40.0	19	89.036	0cd490f426cd56bd269c44a1e436890a23ff07a385b0faf02e99245d0b614eae	95.48	-9.52	45.24	45.24	45.24	45.24	45.24	45.24	45.24	63	100.958	33d22e1785290c7ca21a6ffd6b468cfe1faa92d00afe64361aa0b3c39a72d000	78.61	-7.14	46.43	46.43	35.71	57.14	45.45	47.06	40.0	19	89.087	0cd490f426cd56bd269c44a1e436890a23ff07a385b0faf02e99245d0b614eae	
1	stump_with_memoization	TestOp_80	Libras	(false,"interval")	false	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[4]	[(30,)]	94.74	70.0	72.0	72.0	72.0	98.0	NaN	98.05	68.98	111	25.731	178541d9513682a907fdf04d4748c87b443851731edef3c2c44ab925d820479f	90.53	71.43	73.33	73.33	73.33	98.1	78.74	98.13	71.53	81	2.551	4487f20b06b499eea94f118122292ca86c8ea6efa8b3f70848e9010393287cf2	87.37	70.0	72.0	72.0	72.0	98.0	79.37	98.04	70.63	85	2.585	9406aa327dd28fced09a96e010adc3e6cea8b1d1e3c70b914cdd98075445bf34	86.67	68.57	70.67	70.67	70.67	97.9	76.8	97.94	68.83	73	2.593	14adb8f289707df22ef849702845c4f208695abacbe077e45f4ceaddadfd1094	
