Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.2)train_accuracy	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)train_accuracy	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
1	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	9.036	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.944	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.931	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.929	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
2	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.456	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.904	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.912	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.893	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
3	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.389	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.852	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.885	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.883	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
4	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.7	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.968	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.986	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.971	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
5	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.566	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.871	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.886	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.882	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
6	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.415	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.87	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.878	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.869	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
7	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.47	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.873	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.88	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.867	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
8	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.694	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.94	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.985	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.971	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
9	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	30	332	84	(166, 166)	(42, 42)	[1232]	[(30,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.72	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.938	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.955	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.935	c4e7e2e92f6c4cdfba3c1d86bef360c29931f7e991b7613dddf1a46af480c6dd	
1	stump_with_memoization	TestOp_80	Libras	(false,"interval")	30	285	75	(19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19)	(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)	[88]	[(30,)]	6.67	0.0	6.67	6.67	6.67	93.33	NaN	NaN	0.83	1	0.059	016a8c9cb63f5572b02faf68e4880bf24aa86915ccd74e5435efdc521687d448	6.67	0.0	6.67	6.67	6.67	93.33	NaN	NaN	0.83	1	0.058	016a8c9cb63f5572b02faf68e4880bf24aa86915ccd74e5435efdc521687d448	6.67	0.0	6.67	6.67	6.67	93.33	NaN	NaN	0.83	1	0.375	016a8c9cb63f5572b02faf68e4880bf24aa86915ccd74e5435efdc521687d448	6.67	0.0	6.67	6.67	6.67	93.33	NaN	NaN	0.83	1	0.054	016a8c9cb63f5572b02faf68e4880bf24aa86915ccd74e5435efdc521687d448	
