Dataseed	use_training_form	test_operators	dataset_name	flatten_ontology	n_chunks	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)n_nodes	T(entropy,2,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.2)hash	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)n_nodes	T(entropy,4,0.01,0.2)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.2)hash	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)best_rule_p (t = 0.8, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)best_rule_p (t = 0.65, min_confidence = 0.6, min_support = 0.1)	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	
1	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	4.76	52.38	45.24	59.52	52.78	52.08	48.72	79	0.5038095238095238	0.4316666666666667	1798.062	e29ad61b7315e7be6a6835eef06f0c62089c9ff4826279d4c97ae3fafc2c3e99	9.52	54.76	54.76	54.76	54.76	54.76	54.76	29	0.5038095238095238	0.4316666666666667	46.603	074075a4afdf44a23bd51380e245a2c2a7524d0a786ac68356c793708f25a7bf	-2.38	48.81	45.24	52.38	48.72	48.89	46.91	71	0.5038095238095238	0.4316666666666667	98.056	bce251041775486427bfe78134943f1fa15ae03147fbf3eaddca551271511f07	9.52	54.76	54.76	54.76	54.76	54.76	54.76	29	0.5038095238095238	0.4316666666666667	47.322	074075a4afdf44a23bd51380e245a2c2a7524d0a786ac68356c793708f25a7bf	
2	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-4.76	47.62	47.62	47.62	47.62	47.62	47.62	75	0.5547619047619048	0.4708333333333333	2163.52	7b8a51cf7a902a6ed5c886e97221e6401e3e87f0d2f34ec74f60c91d0615b897	7.14	53.57	50.0	57.14	53.85	53.33	51.85	35	0.6223809523809524	0.5391666666666666	322.345	aec92e1495e598b0c8b9191534858b5322138a866297fab0369ead65e9dd7ba3	2.38	51.19	52.38	50.0	51.16	51.22	51.76	65	0.5547619047619048	0.4708333333333333	334.577	a61c18328811af650436a8c4da8f8f155821faff2317acfab40f47a1f657d246	7.14	53.57	50.0	57.14	53.85	53.33	51.85	35	0.6223809523809524	0.5391666666666666	319.412	aec92e1495e598b0c8b9191534858b5322138a866297fab0369ead65e9dd7ba3	
3	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	11.9	55.95	57.14	54.76	55.81	56.1	56.47	69	-Inf	-Inf	4210.861	77a69bdd42ac9743908b0dcdec1ed5d9fc41066a4fdff9141364994564f9dee4	4.76	52.38	54.76	50.0	52.27	52.5	53.49	29	0.7325396825396826	0.6152777777777777	382.813	12a623efee5840626f5492e49b6d5717eedfa9f49b5f497b5d26208a808db682	16.67	58.33	59.52	57.14	58.14	58.54	58.82	65	-Inf	-Inf	387.035	7de0c2e5a1a038d5b9681bac9a7eff1dce4613f113bf2da592a49e78beaa3200	4.76	52.38	54.76	50.0	52.27	52.5	53.49	29	0.7325396825396826	0.6152777777777777	367.781	12a623efee5840626f5492e49b6d5717eedfa9f49b5f497b5d26208a808db682	
4	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	14.29	57.14	66.67	47.62	56.0	58.82	60.87	77	-Inf	-Inf	604.162	8704337c358abcc142963961dfa5957067c003a24b8f6759c6e4d52d4c836d87	16.67	58.33	71.43	45.24	56.6	61.29	63.16	47	-Inf	-Inf	117.124	dd7419f1f1c9869b607d0ffb95e01c3c5f07bf36c019eeb67bf462577d5416ca	2.38	51.19	57.14	45.24	51.06	51.35	53.93	71	-Inf	-Inf	120.698	d14befe95fccd1ff2330c6c81e3dedaa792dc31b48fd5d8cfd7c5b7be9e42a39	9.52	54.76	64.29	45.24	54.0	55.88	58.7	49	-Inf	-Inf	116.321	c2cdc17c21197718a1aae8aa9d9d89c47fb335632655e8303c6277a32a384d37	
5	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-2.38	48.81	45.24	52.38	48.72	48.89	46.91	81	0.5038095238095238	0.4316666666666667	1831.403	df71921968a616d7e5a4f49835644d8f89e7bcdb93903d09158e57d39da508bd	14.29	57.14	54.76	59.52	57.5	56.82	56.1	27	0.6080086580086581	0.518560606060606	674.622	1c2a7215f426db4e7f047184c292e048e59b898d20cb3a37f05f2dbd9b0f053c	-2.38	48.81	47.62	50.0	48.78	48.84	48.19	69	0.5038095238095238	0.4316666666666667	708.196	60dc065aa224c2987e98137fc2c550e40cffd7b0b3a3a44baeb1ef618c0d2d76	14.29	57.14	54.76	59.52	57.5	56.82	56.1	27	0.6080086580086581	0.518560606060606	676.123	1c2a7215f426db4e7f047184c292e048e59b898d20cb3a37f05f2dbd9b0f053c	
6	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-7.14	46.43	47.62	45.24	46.51	46.34	47.06	77	-Inf	-Inf	734.099	cb00ad9301eb51fe60e200469df6a259cba70c4ae650cf5fbd951e533fdbf726	7.14	53.57	59.52	47.62	53.19	54.05	56.18	37	0.550501253132832	0.48969298245614035	174.849	0a70fc5dfb7cd7203859adafe74f1977054366eac1ce1fd8cd727a2733879715	-4.76	47.62	47.62	47.62	47.62	47.62	47.62	71	-Inf	-Inf	182.867	feb1bd1a77125273198b007117d2a6dd3149a9647ec207d18b0aa27bfe2ed191	7.14	53.57	59.52	47.62	53.19	54.05	56.18	37	0.550501253132832	0.48969298245614035	175.509	0a70fc5dfb7cd7203859adafe74f1977054366eac1ce1fd8cd727a2733879715	
7	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	19.05	59.52	57.14	61.9	60.0	59.09	58.54	85	0.5547619047619048	0.4708333333333333	856.276	74336be5b08e3e6b02b4205528b29aad9ef14540f0dfad43d48e62aff3978645	14.29	57.14	54.76	59.52	57.5	56.82	56.1	55	0.5547619047619048	0.4708333333333333	224.247	d5b148ecb12bf558f524cb01ede652757017e8689ec74ddd3c669a0d2b608277	11.9	55.95	54.76	57.14	56.1	55.81	55.42	77	0.5547619047619048	0.4708333333333333	235.565	34834dafe60adf1f1d7f6aacf06901dd5306f7939b9d6b79677fa7c8b1d29334	11.9	55.95	54.76	57.14	56.1	55.81	55.42	55	0.5547619047619048	0.4708333333333333	223.215	a54d523583c6fe3559f34d9b3dc70547b548c45c19a710203f2147492973efcf	
8	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-4.76	47.62	38.1	57.14	47.06	48.0	42.11	79	-Inf	-Inf	939.059	d4ebcb7ae58ffca43cdd9edcdd13db1403d9832a5667e4c9350ad2cc12a19287	-4.76	47.62	42.86	52.38	47.37	47.83	45.0	33	0.5847985347985348	0.5041666666666667	395.509	3960f9504fd26f1318fd5c915c7c6ad50099d2d547c8ef4fc4ee11f7131dd2d3	-4.76	47.62	38.1	57.14	47.06	48.0	42.11	73	-Inf	-Inf	410.146	6db1eaf95875c74aeb1f9448d34bc1fc5f5b3b97585e05ac759d4a2aabae70e2	-4.76	47.62	42.86	52.38	47.37	47.83	45.0	33	0.5847985347985348	0.5041666666666667	389.636	3960f9504fd26f1318fd5c915c7c6ad50099d2d547c8ef4fc4ee11f7131dd2d3	
9	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	-4.76	47.62	40.48	54.76	47.22	47.92	43.59	79	-Inf	-Inf	392.192	c81e238807de9fc56381e77cabbb17a920faa8fc5fc1db9e266e068d730038b6	2.38	51.19	54.76	47.62	51.11	51.28	52.87	27	0.5581232492997199	0.491421568627451	234.327	b0d6d4839e9bc05ecc3f809a7a299428bd1a6e546ec26f02b368b8437c9bda7c	4.76	52.38	47.62	57.14	52.63	52.17	50.0	71	-Inf	-Inf	245.652	c61a36d61e657783d495d092686dcc87631015711a00ea63ad622e36136b3334	2.38	51.19	54.76	47.62	51.11	51.28	52.87	27	0.5581232492997199	0.491421568627451	231.315	b0d6d4839e9bc05ecc3f809a7a299428bd1a6e546ec26f02b368b8437c9bda7c	
10	stump_with_memoization	TestOp_80	FingerMovements	(false,"interval")	missing	4.76	52.38	45.24	59.52	52.78	52.08	48.72	79	-Inf	-Inf	633.15	bb9b763dda349410d5b3a3b1e7c19dfeda6fc8fdb0d5087f42241cce9d81ab1b	2.38	51.19	57.14	45.24	51.06	51.35	53.93	41	0.5352813852813854	0.459469696969697	187.34	1d8ba009186adba2bf8f19924d478b190ef019dad71419f57dfddd92cdeb8315	7.14	53.57	40.48	66.67	54.84	52.83	46.58	71	-Inf	-Inf	203.379	f29e7143cba1ccacc6dee5dd65dcb6d3cc1a33d8618e881a5ca94a499991f6fa	2.38	51.19	57.14	45.24	51.06	51.35	53.93	41	0.5352813852813854	0.459469696969697	187.113	0166863d056b6286e02466d106394e1161044d2a0f8866fbf039ad935cfef428	
