TIMESTAMP	FILE NAME	COMP TIME	ARGS	
09/09/2021 17:42:19	dataset_b80ce7b7351fb8b3960d5de900d0801dbf75fbb9161e9743ae6348562cc5bf45.jld	00:00:08	("AtrialFibrillation", 30, false)	
09/09/2021 17:43:28	dataset_9722c8cf659efe0a8a1c710430625e2e614031eb67e79b977c143012cede8d55.jld	00:00:24	("EthanolConcentration", 30, false)	
09/09/2021 17:45:18	dataset_14456d8b2e370038dde2846b6f5eeadb7949036e66bbdcfa118b9c712255a4ec.jld	00:00:11	("HandMovementDirection", 30, false)	
09/09/2021 17:50:35	dataset_d322c2be75a6e8e40692a93348e69e6c4fd350331c366aaa242bba16d87264b1.jld	00:02:08	("Heartbeat", 30, false)	
09/09/2021 18:51:22	dataset_40da3056d398b5eb7559c50e1af6aaf9b7235547c3dcd518107db8b54fc83a62.jld	00:12:03	("MotorImagery", 30, false)	
09/09/2021 20:16:13	dataset_871fac6a486ea6df0ff772e0ee93dd3a7f3d2fae2c718c1532da5dd8d7d546f3.jld	00:00:27	("SelfRegulationSCP1", 30, false)	
09/09/2021 20:19:46	dataset_d6d978d0d9c82dd33decd5581c9ff84b89940d9cdcec0ef2d689b93930d09b56.jld	00:01:32	("SelfRegulationSCP2", 30, false)	
09/09/2021 20:25:38	dataset_baa30a8de41f3c1a9f0c6996910c78c7470b84102b13f62a341ecd9b93072982.jld	00:00:03	("StandWalkJump", 30, false)	
09/09/2021 20:25:43	dataset_ed0d341ce20cd101f8eec1b7642c60cd9844fd62a826f80868b939f634411ea3.jld	00:00:01	("AtrialFibrillation", 30, true)	
09/09/2021 20:26:19	dataset_7c372469c77dad0fdf7a6e288d9640c429d0576e79708a3dc459b710c7edce21.jld	00:00:28	("EthanolConcentration", 30, true)	
09/09/2021 20:28:39	dataset_9abfb74590eb9e0a555c7a8fd2264750718cd6f8bb998a0008e6af31894e1ddc.jld	00:00:17	("HandMovementDirection", 30, true)	
09/09/2021 20:36:35	dataset_377f31fcc4cae317e0062368a37f0a4d428e073747bdb4a59df97a8c69c64dbe.jld	00:03:16	("Heartbeat", 30, true)	
09/09/2021 21:06:38	dataset_47f7c42455b3ff87ac0ba4e4c3a7864a819828a966b676bf2db4b4acf895e8ea.jld	00:13:07	("MotorImagery", 30, true)	
09/09/2021 22:45:10	dataset_960c50ba20c03eb71f5271528277af5b76c4a81a2e9b317445695e4639cf50b7.jld	00:01:35	("SelfRegulationSCP1", 30, true)	
09/09/2021 22:51:21	dataset_d1da08b80e8ae5d188c436f6d6d13be63aa6fa17dcf602163c1284d3fbfd4cd0.jld	00:01:38	("SelfRegulationSCP2", 30, true)	
09/09/2021 22:56:10	dataset_57654acd4d36dc6e0b78e8700e2192366eb7496d5b65d685919742fe2e333a9b.jld	00:00:03	("StandWalkJump", 30, true)	
