Dataseed	Params-combination	T(entropy,2,0.01,0.2)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.2)	T(entropy,4,0.01,0.6)	
nothing	stump_with_memoization,TestOp_80,AtrialFibrillation,(false,"interval"),30	(-10.0, 26.67, 26.67, 63.33, 18.33, 62.64, 20.74, 7, 0.5733333333333334, 0.5033333333333333, 12.215, fb44ca3d4c972880a38890ac6282ca783974809caf35334a298e91e5ff904ccc)	(10.0, 40.0, 40.0, 70.0, 43.06, 70.02, 39.46, 5, 0.5733333333333334, 0.5033333333333333, 0.121, 468959d0a3ac6ffdf03e2bae6c751d7fcd9755db7cc623638bdce45e290eb75e)	(10.0, 40.0, 40.0, 70.0, 43.06, 70.02, 39.46, 5, 0.5733333333333334, 0.5033333333333333, 0.105, 468959d0a3ac6ffdf03e2bae6c751d7fcd9755db7cc623638bdce45e290eb75e)	(10.0, 40.0, 40.0, 70.0, 43.06, 70.02, 39.46, 5, 0.5733333333333334, 0.5033333333333333, 0.101, 468959d0a3ac6ffdf03e2bae6c751d7fcd9755db7cc623638bdce45e290eb75e)	
nothing	stump_with_memoization,TestOp_80,EthanolConcentration,(false,"interval"),30	(25.96, 44.49, 44.55, 81.48, 47.71, 81.29, 45.6, 79, 0.7531299267365298, 0.6411481034962442, 38.001, 821d2a5588ab3cbdb6dfc7e9e6654a3a6568796f8a9b05e02284d4f4692d9b18)	(25.97, 44.49, 44.56, 81.48, 46.13, 81.41, 44.97, 53, 0.6865019011406844, 0.5920033269961977, 9.969, a561c915b79ced0e2406ea5cf6873b9993f30684f92432ce0cb104845c0e4db3)	(26.47, 44.87, 44.92, 81.61, 47.92, 81.41, 45.97, 65, 0.7531299267365298, 0.6411481034962442, 10.517, 87c35a0a8973b9e3a718606f802e5e529002f03689743969a92526fb7b062c18)	(26.47, 44.87, 44.94, 81.61, 46.71, 81.51, 45.49, 45, 0.6865019011406844, 0.5920033269961977, 9.364, 231dbcd676439f4f8d87849e8b208f867ecdd5793e3352df7daec5500b486352)	
nothing	stump_with_memoization,TestOp_80,HandMovementDirection,(false,"interval"),30	(-2.63, 24.32, 24.52, 74.06, 23.95, 74.24, 23.99, 55, -Inf, -Inf, 66.813, d4518e7c94952116c54fc4b8d23611ecc0381ea3c160f330ab49332059163351)	(-1.17, 25.68, 25.36, 74.48, 24.97, 74.6, 24.97, 43, -Inf, -Inf, 15.043, 7eebba0ff1b8dbe284a9aed11c486f1abc5f651499fa09c4b276695794a0ff4b)	(-1.22, 25.68, 25.36, 74.47, 24.85, 74.6, 24.91, 49, -Inf, -Inf, 14.871, 14fe2fe934a5ad9d08aa865bc4dd0f280ad1edf48e45e9cd1506e94303998edb)	(-1.22, 25.68, 25.36, 74.47, 24.85, 74.6, 24.91, 41, -Inf, -Inf, 15.074, 5e86c59aafedba4cc52805ea7dfad45544876c670372bbc53516a6aa16aa0f11)	
nothing	stump_with_memoization,TestOp_80,Heartbeat,(false,"interval"),30	(13.98, 63.41, 43.86, 70.95, 36.76, 76.64, 40.0, 25, 0.6910681244743482, 0.6145416316232128, 807.17, 9a33415386ba71cdf37594be0bb33f55b79f5331dc2224655154bc4ef54f1b8d)	(0.0, 72.2, 0.0, 100.0, NaN, 72.2, 0.0, 1, 0.777560975609756, 0.8192682926829268, 0.014, 255d50c8583735cce5880c6ed40231f8469caf5fea2272f87597b774b2bc57ae)	(12.57, 62.44, 43.86, 69.59, 35.71, 76.3, 39.37, 25, 0.6910681244743482, 0.6145416316232128, 202.044, 20399d408ef0e1e97bc1dcf268610cda6560a43ecfcee4ceacef596413ca2f65)	(0.0, 72.2, 0.0, 100.0, NaN, 72.2, 0.0, 1, 0.777560975609756, 0.8192682926829268, 0.0, 255d50c8583735cce5880c6ed40231f8469caf5fea2272f87597b774b2bc57ae)	
nothing	stump_with_memoization,TestOp_80,MotorImagery,(false,"interval"),30	(-10.0, 45.0, 56.0, 34.0, 45.9, 43.59, 50.45, 41, 0.51, 0.4425, 1444.433, 3e604fe10971d5dc6e5f97a64991be0c58948fcf52574d49666afae0f2cea8ea)	(-10.0, 45.0, 52.0, 38.0, 45.61, 44.19, 48.6, 9, -Inf, -Inf, 202.687, c05d4664d799697a47dff638226846fe39d9521f11f2bdbbecc6269b0ab2a14d)	(-8.0, 46.0, 56.0, 36.0, 46.67, 45.0, 50.91, 41, 0.51, 0.4425, 355.737, 347691da96a8e06ba28b5f740f5a9b6f3edf726003b3fff00a864c0cf180c6ee)	(-10.0, 45.0, 52.0, 38.0, 45.61, 44.19, 48.6, 9, -Inf, -Inf, 199.104, c05d4664d799697a47dff638226846fe39d9521f11f2bdbbecc6269b0ab2a14d)	
nothing	stump_with_memoization,TestOp_80,SelfRegulationSCP1,(false,"interval"),30	(11.29, 55.63, 60.27, 51.02, 55.0, 56.39, 57.52, 47, 0.522553269993543, 0.44825200627248407, 64.411, e56b75ccfc1813e9320d9d86026e0025d8871c2a23a19a7c02b08bfdbfe2fe94)	(13.95, 57.0, 50.0, 63.95, 57.94, 56.29, 53.68, 17, 0.522553269993543, 0.44825200627248407, 9.37, e21378f0818e2819c46a7d2d0f35921b7c06b7e3786ed1a7b45d558e5667ed70)	(17.42, 58.7, 61.64, 55.78, 58.06, 59.42, 59.8, 45, 0.5657965132367863, 0.48338714140761924, 26.809, 4df4b261a767c54d50ec33d9f08a018abaab642244ea085ba36b884619e07c50)	(13.95, 57.0, 50.0, 63.95, 57.94, 56.29, 53.68, 17, 0.522553269993543, 0.44825200627248407, 9.47, e21378f0818e2819c46a7d2d0f35921b7c06b7e3786ed1a7b45d558e5667ed70)	
nothing	stump_with_memoization,TestOp_80,SelfRegulationSCP2,(false,"interval"),30	(5.56, 52.78, 61.11, 44.44, 52.38, 53.33, 56.41, 39, -Inf, -Inf, 186.409, 68d37d759a2103eedc5c4508f700f00346173c2b991e2fe7336030c00eb3ab40)	(3.33, 51.67, 57.78, 45.56, 51.49, 51.9, 54.45, 17, -Inf, -Inf, 34.843, e19b85b874b0df04b126b75060201df044ed8aaecc795a84ac9432de5ce48df5)	(-1.11, 49.44, 56.67, 42.22, 49.51, 49.35, 52.85, 37, -Inf, -Inf, 42.184, f8c240a32db69b613f624785d2c8afbc6a280cb0b893693fcfd2638d23d30e41)	(3.33, 51.67, 57.78, 45.56, 51.49, 51.9, 54.45, 17, -Inf, -Inf, 34.341, e19b85b874b0df04b126b75060201df044ed8aaecc795a84ac9432de5ce48df5)	
nothing	stump_with_memoization,TestOp_80,StandWalkJump,(false,"interval"),30	(0.0, 33.33, 33.33, 66.67, 27.41, 64.76, 29.52, 5, 0.5466666666666666, 0.5066666666666667, 1.944, df6e79643e4265013b664ee83aa43a60b2d8b53e47346aec227f476dac3a9005)	(0.0, 33.33, 33.33, 66.67, 27.41, 64.76, 29.52, 5, 0.5466666666666666, 0.5066666666666667, 0.231, df6e79643e4265013b664ee83aa43a60b2d8b53e47346aec227f476dac3a9005)	(0.0, 33.33, 33.33, 66.67, 27.41, 64.76, 29.52, 5, 0.5466666666666666, 0.5066666666666667, 0.227, df6e79643e4265013b664ee83aa43a60b2d8b53e47346aec227f476dac3a9005)	(0.0, 33.33, 33.33, 66.67, 27.41, 64.76, 29.52, 5, 0.5466666666666666, 0.5066666666666667, 0.23, df6e79643e4265013b664ee83aa43a60b2d8b53e47346aec227f476dac3a9005)	
nothing	stump_with_memoization,TestOp_80,AtrialFibrillation,(true,"one_world"),30	(10.0, 40.0, 40.0, 70.0, 40.56, 69.73, 40.13, 5, 0.7066666666666668, 0.6366666666666667, 2.069, abdd74a9d42faca98629b5e49a2ce2475fcd1d4dda3d0a1d7cce3e25adf77485)	(10.0, 40.0, 40.0, 70.0, 40.56, 69.73, 40.13, 5, 0.7066666666666668, 0.6366666666666667, 0.646, abdd74a9d42faca98629b5e49a2ce2475fcd1d4dda3d0a1d7cce3e25adf77485)	(10.0, 40.0, 40.0, 70.0, 40.56, 69.73, 40.13, 5, 0.7066666666666668, 0.6366666666666667, 0.607, abdd74a9d42faca98629b5e49a2ce2475fcd1d4dda3d0a1d7cce3e25adf77485)	(10.0, 40.0, 40.0, 70.0, 40.56, 69.73, 40.13, 5, 0.7066666666666668, 0.6366666666666667, 0.611, abdd74a9d42faca98629b5e49a2ce2475fcd1d4dda3d0a1d7cce3e25adf77485)	
nothing	stump_with_memoization,TestOp_80,EthanolConcentration,(true,"one_world"),30	(37.64, 53.23, 53.3, 84.4, 54.01, 84.38, 53.43, 53, 0.7164668031588184, 0.6192015209125475, 31.316, 48fe633f4874aaa3f3d881fd3bdf1c5c67b4df663f1fb4a47b4f373789a42a99)	(37.13, 52.85, 52.93, 84.27, 52.16, 84.47, 52.21, 31, 0.7164668031588184, 0.6192015209125475, 30.164, 2991917583f4f73af0543de67a99c0ece78c14a5c164fb3a489107964808c34d)	(35.11, 51.33, 51.41, 83.77, 52.09, 83.78, 51.37, 41, 0.7164668031588184, 0.6192015209125475, 31.146, 3c1861044a54f997c42f4708bcafdbf35e83079a75a3cd57711a00ce753b02df)	(37.13, 52.85, 52.93, 84.27, 51.86, 84.53, 51.9, 27, 0.7164668031588184, 0.6192015209125475, 29.855, 371b9c7525dc82721fc21fc72994372ea9d44bb5470eb9558125ea49556160a1)	
nothing	stump_with_memoization,TestOp_80,HandMovementDirection,(true,"one_world"),30	(0.21, 22.97, 23.81, 75.28, 27.56, 74.84, 23.04, 51, -Inf, -Inf, 70.66, 7e15f9e22ed71eac257792e67a08621d8c7e2d7a593ad0e5a4641d54fb6a1604)	(2.05, 25.68, 25.6, 75.71, 27.29, 75.43, 24.74, 39, -Inf, -Inf, 69.596, 9abdc9ce5c1628e1df2e0feadbf9bd2e57914562cca123f677008ea0758ece5a)	(6.15, 28.38, 29.64, 76.67, 30.37, 76.5, 28.29, 43, -Inf, -Inf, 70.499, 88fa17699e78c7d9338ce9b8cc5a9961eaf93d23304e7dcbb201166295e9ca63)	(0.66, 22.97, 25.48, 75.16, 26.58, 74.96, 23.57, 33, -Inf, -Inf, 68.377, 0b1fbf353a6e35301b50d5c818bba5b0900f4300f16c0c73a78bf8ad29a98898)	
nothing	stump_with_memoization,TestOp_80,Heartbeat,(true,"one_world"),30	(0.58, 57.07, 35.09, 65.54, 28.17, 72.39, 31.25, 23, 0.6465505226480837, 0.5957491289198606, 503.864, c267cb59d873dbe08c98e001493794a1d7d20eb71165d6fa860ecedad2480c3f)	(0.0, 72.2, 0.0, 100.0, NaN, 72.2, 0.0, 1, 0.777560975609756, 0.8192682926829268, 0.001, 32bb6c3a845e22af6878c270dd6ab5d7dd018d89c4c08f279d66dd145b3ab823)	(0.58, 57.07, 35.09, 65.54, 28.17, 72.39, 31.25, 23, 0.6465505226480837, 0.5957491289198606, 505.393, 28aec18b4a1e1571bde354e9529c3285cbbc5394b00b8fd5dfc4bc246ca5e0c2)	(0.0, 72.2, 0.0, 100.0, NaN, 72.2, 0.0, 1, 0.777560975609756, 0.8192682926829268, 0.001, 32bb6c3a845e22af6878c270dd6ab5d7dd018d89c4c08f279d66dd145b3ab823)	
