Dataseed	exec_aggr_points	exec_length	exec_dataset_params	use_training_form	canonical_features	ontology	# insts (TRAIN)	# insts (TEST)	T,(nothing, 4, 0.1, 0.001, false)train_cor	T,(nothing, 4, 0.1, 0.001, false)train_MAE	T,(nothing, 4, 0.1, 0.001, false)train_RMSE	T,(nothing, 4, 0.1, 0.001, false)cor	T,(nothing, 4, 0.1, 0.001, false)MAE	T,(nothing, 4, 0.1, 0.001, false)RMSE	T,(nothing, 4, 0.1, 0.001, false)n_nodes	T,(nothing, 4, 0.1, 0.001, false)n_leaves	T,(nothing, 4, 0.1, 0.001, false)height	T,(nothing, 4, 0.1, 0.001, false)modal_height	T,(nothing, 4, 0.1, 0.001, false)t	T,(nothing, 4, 0.1, 0.001, false)hash	T,(nothing, 4, 0.02, 0.001, false)train_cor	T,(nothing, 4, 0.02, 0.001, false)train_MAE	T,(nothing, 4, 0.02, 0.001, false)train_RMSE	T,(nothing, 4, 0.02, 0.001, false)cor	T,(nothing, 4, 0.02, 0.001, false)MAE	T,(nothing, 4, 0.02, 0.001, false)RMSE	T,(nothing, 4, 0.02, 0.001, false)n_nodes	T,(nothing, 4, 0.02, 0.001, false)n_leaves	T,(nothing, 4, 0.02, 0.001, false)height	T,(nothing, 4, 0.02, 0.001, false)modal_height	T,(nothing, 4, 0.02, 0.001, false)t	T,(nothing, 4, 0.02, 0.001, false)hash	T,(nothing, 4, 0.015, 0.001, false)train_cor	T,(nothing, 4, 0.015, 0.001, false)train_MAE	T,(nothing, 4, 0.015, 0.001, false)train_RMSE	T,(nothing, 4, 0.015, 0.001, false)cor	T,(nothing, 4, 0.015, 0.001, false)MAE	T,(nothing, 4, 0.015, 0.001, false)RMSE	T,(nothing, 4, 0.015, 0.001, false)n_nodes	T,(nothing, 4, 0.015, 0.001, false)n_leaves	T,(nothing, 4, 0.015, 0.001, false)height	T,(nothing, 4, 0.015, 0.001, false)modal_height	T,(nothing, 4, 0.015, 0.001, false)t	T,(nothing, 4, 0.015, 0.001, false)hash	T,(nothing, 4, 0.01, 0.001, false)train_cor	T,(nothing, 4, 0.01, 0.001, false)train_MAE	T,(nothing, 4, 0.01, 0.001, false)train_RMSE	T,(nothing, 4, 0.01, 0.001, false)cor	T,(nothing, 4, 0.01, 0.001, false)MAE	T,(nothing, 4, 0.01, 0.001, false)RMSE	T,(nothing, 4, 0.01, 0.001, false)n_nodes	T,(nothing, 4, 0.01, 0.001, false)n_leaves	T,(nothing, 4, 0.01, 0.001, false)height	T,(nothing, 4, 0.01, 0.001, false)modal_height	T,(nothing, 4, 0.01, 0.001, false)t	T,(nothing, 4, 0.01, 0.001, false)hash	T,(nothing, 4, 0.0075, 0.001, false)train_cor	T,(nothing, 4, 0.0075, 0.001, false)train_MAE	T,(nothing, 4, 0.0075, 0.001, false)train_RMSE	T,(nothing, 4, 0.0075, 0.001, false)cor	T,(nothing, 4, 0.0075, 0.001, false)MAE	T,(nothing, 4, 0.0075, 0.001, false)RMSE	T,(nothing, 4, 0.0075, 0.001, false)n_nodes	T,(nothing, 4, 0.0075, 0.001, false)n_leaves	T,(nothing, 4, 0.0075, 0.001, false)height	T,(nothing, 4, 0.0075, 0.001, false)modal_height	T,(nothing, 4, 0.0075, 0.001, false)t	T,(nothing, 4, 0.0075, 0.001, false)hash	T,(nothing, 4, 0.005, 0.001, false)train_cor	T,(nothing, 4, 0.005, 0.001, false)train_MAE	T,(nothing, 4, 0.005, 0.001, false)train_RMSE	T,(nothing, 4, 0.005, 0.001, false)cor	T,(nothing, 4, 0.005, 0.001, false)MAE	T,(nothing, 4, 0.005, 0.001, false)RMSE	T,(nothing, 4, 0.005, 0.001, false)n_nodes	T,(nothing, 4, 0.005, 0.001, false)n_leaves	T,(nothing, 4, 0.005, 0.001, false)height	T,(nothing, 4, 0.005, 0.001, false)modal_height	T,(nothing, 4, 0.005, 0.001, false)t	T,(nothing, 4, 0.005, 0.001, false)hash	
1	5	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	-8.557363179855867e-17	10.314349112426036	12.774293289005486	1.543177628532171e-16	9.721893491124263	11.199987452444368	1	1	0	0	8.909	f04c5bcb6fa615946c1d2c649ceaab45e299335f1fb7d783f4018ca655eb608c	0.9269491580066217	3.4273199023199035	4.792748325119577	-0.11362585999849581	14.810439560439562	19.22441128546287	65	33	9	8	15.373	428324a44b21f578a5b25fdd7c2f67e00639e610f55233fb5f3efa8c03892bbe	0.9269491580066217	3.4273199023199035	4.792748325119577	-0.11362585999849581	14.810439560439562	19.22441128546287	65	33	9	8	5.184	428324a44b21f578a5b25fdd7c2f67e00639e610f55233fb5f3efa8c03892bbe	0.9269491580066217	3.4273199023199035	4.792748325119577	-0.11362585999849581	14.810439560439562	19.22441128546287	65	33	9	8	5.146	428324a44b21f578a5b25fdd7c2f67e00639e610f55233fb5f3efa8c03892bbe	0.9269491580066217	3.4273199023199035	4.792748325119577	-0.11362585999849581	14.810439560439562	19.22441128546287	65	33	9	8	5.099	428324a44b21f578a5b25fdd7c2f67e00639e610f55233fb5f3efa8c03892bbe	0.9269491580066217	3.4273199023199035	4.792748325119577	-0.11362585999849581	14.810439560439562	19.22441128546287	65	33	9	8	5.2	428324a44b21f578a5b25fdd7c2f67e00639e610f55233fb5f3efa8c03892bbe	
2	5	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	-8.640800110406253e-17	10.584812623274162	12.65094269549952	-2.3335712081918007e-16	10.059171597633139	12.269893881284718	1	1	0	0	0.18	e0d4810b1161530f1b1276f11a3e8c47506d8c61d0fbeff1f44fa3a9830ee4a9	0.9292623152939853	3.5405677655677654	4.6735183218078316	0.289223843182769	10.032417582417583	12.14403599822488	61	31	11	9	4.383	c0f866fb0063bb539f63195e844da57fc20d6487dd80fdeffa12944404872f08	0.9292623152939853	3.5405677655677654	4.6735183218078316	0.289223843182769	10.032417582417583	12.14403599822488	61	31	11	9	4.083	c0f866fb0063bb539f63195e844da57fc20d6487dd80fdeffa12944404872f08	0.9292623152939853	3.5405677655677654	4.6735183218078316	0.289223843182769	10.032417582417583	12.14403599822488	61	31	11	9	3.97	c0f866fb0063bb539f63195e844da57fc20d6487dd80fdeffa12944404872f08	0.9292623152939853	3.5405677655677654	4.6735183218078316	0.289223843182769	10.032417582417583	12.14403599822488	61	31	11	9	3.974	c0f866fb0063bb539f63195e844da57fc20d6487dd80fdeffa12944404872f08	0.9292623152939853	3.5405677655677654	4.6735183218078316	0.289223843182769	10.032417582417583	12.14403599822488	61	31	11	9	3.976	c0f866fb0063bb539f63195e844da57fc20d6487dd80fdeffa12944404872f08	
3	5	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	-1.2843237774198214e-16	10.451019066403681	12.767138897750385	-4.93337299191875e-17	9.15483234714004	11.13766140819766	1	1	0	0	0.229	29da72bbc54effd7626d58726f6744df2efd88151fadfc1d7d758e54161cba99	0.9475266132783982	3.1929792429792427	4.081359319515239	0.2680385791838163	13.728205128205126	17.05928012729548	61	31	8	5	4.74	a4980f72cdb212feb0837410b80f36bd20322f260833fa9703a286d5e09f703f	0.9475266132783982	3.1929792429792427	4.081359319515239	0.2680385791838163	13.728205128205126	17.05928012729548	61	31	8	5	4.463	a4980f72cdb212feb0837410b80f36bd20322f260833fa9703a286d5e09f703f	0.9475266132783982	3.1929792429792427	4.081359319515239	0.2680385791838163	13.728205128205126	17.05928012729548	61	31	8	5	4.452	a4980f72cdb212feb0837410b80f36bd20322f260833fa9703a286d5e09f703f	0.9475266132783982	3.1929792429792427	4.081359319515239	0.2680385791838163	13.728205128205126	17.05928012729548	61	31	8	5	4.5	a4980f72cdb212feb0837410b80f36bd20322f260833fa9703a286d5e09f703f	0.9475266132783982	3.1929792429792427	4.081359319515239	0.2680385791838163	13.728205128205126	17.05928012729548	61	31	8	5	4.48	a4980f72cdb212feb0837410b80f36bd20322f260833fa9703a286d5e09f703f	
4	5	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	1.18322521270668e-16	11.110124917817226	13.2164300030297	-2.0160830876974276e-17	5.888067061143985	7.4249394280043255	1	1	0	0	0.177	4bc7558d799e5343535873ca8c6a827f4dfb53d2385bba4a5d74324a290f9a62	0.9402405036004158	3.184798534798535	4.500340849932121	-0.30641754338374405	10.068956043956044	11.75488984394699	63	32	11	10	8.492	36ccf1127cd03d8d333778d9ee50400d2a861a72b0b7f147f94a94db11b19d36	0.9402405036004158	3.184798534798535	4.500340849932121	-0.30641754338374405	10.068956043956044	11.75488984394699	63	32	11	10	7.928	36ccf1127cd03d8d333778d9ee50400d2a861a72b0b7f147f94a94db11b19d36	0.9402405036004158	3.184798534798535	4.500340849932121	-0.30641754338374405	10.068956043956044	11.75488984394699	63	32	11	10	8.247	36ccf1127cd03d8d333778d9ee50400d2a861a72b0b7f147f94a94db11b19d36	0.9402405036004158	3.184798534798535	4.500340849932121	-0.30641754338374405	10.068956043956044	11.75488984394699	63	32	11	10	8.068	36ccf1127cd03d8d333778d9ee50400d2a861a72b0b7f147f94a94db11b19d36	0.9402405036004158	3.184798534798535	4.500340849932121	-0.30641754338374405	10.068956043956044	11.75488984394699	63	32	11	10	8.132	36ccf1127cd03d8d333778d9ee50400d2a861a72b0b7f147f94a94db11b19d36	
5	5	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	NaN	9.678418803418804	11.936694388001968	2.6085860084931858e-17	13.990138067061139	15.714744570304909	1	1	0	0	0.193	673a69d80ac7df22b8f2f4ec59ee6cf35699907590556b6231858d7edac70bf5	0.9343532117382033	3.1684371184371187	4.253620163259114	0.09701199996497908	15.66675824175824	19.215948036675023	65	33	9	9	7.22	35374871ca15ba63b53a81f00db47f7b629303491a92f8470ad4abc080bf11d0	0.9343532117382033	3.1684371184371187	4.253620163259114	0.09701199996497908	15.66675824175824	19.215948036675023	65	33	9	9	6.094	35374871ca15ba63b53a81f00db47f7b629303491a92f8470ad4abc080bf11d0	0.9343532117382033	3.1684371184371187	4.253620163259114	0.09701199996497908	15.66675824175824	19.215948036675023	65	33	9	9	6.098	35374871ca15ba63b53a81f00db47f7b629303491a92f8470ad4abc080bf11d0	0.9343532117382033	3.1684371184371187	4.253620163259114	0.09701199996497908	15.66675824175824	19.215948036675023	65	33	9	9	6.073	35374871ca15ba63b53a81f00db47f7b629303491a92f8470ad4abc080bf11d0	0.9343532117382033	3.1684371184371187	4.253620163259114	0.09701199996497908	15.66675824175824	19.215948036675023	65	33	9	9	6.017	35374871ca15ba63b53a81f00db47f7b629303491a92f8470ad4abc080bf11d0	
6	5	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	1.353593793422501e-16	9.899901380670611	12.113781945278339	1.1252458486091173e-16	12.291420118343193	14.930076173824869	1	1	0	0	0.193	6ea27a0e4edfc3b80c828f3d35c3579f4a1d556741526a46e6013f46163468d7	0.9078581156805495	3.7831501831501826	5.079036495400651	0.1571950009715997	14.177930402930398	19.353820496910107	61	31	9	7	6.09	e621b678af4712fb3250ca51eb0195ff1689cd8907d5a229e6d0f63aaaef5ded	0.9078581156805495	3.7831501831501826	5.079036495400651	0.1571950009715997	14.177930402930398	19.353820496910107	61	31	9	7	5.878	e621b678af4712fb3250ca51eb0195ff1689cd8907d5a229e6d0f63aaaef5ded	0.9078581156805495	3.7831501831501826	5.079036495400651	0.1571950009715997	14.177930402930398	19.353820496910107	61	31	9	7	5.835	e621b678af4712fb3250ca51eb0195ff1689cd8907d5a229e6d0f63aaaef5ded	0.9078581156805495	3.7831501831501826	5.079036495400651	0.1571950009715997	14.177930402930398	19.353820496910107	61	31	9	7	5.87	e621b678af4712fb3250ca51eb0195ff1689cd8907d5a229e6d0f63aaaef5ded	0.9078581156805495	3.7831501831501826	5.079036495400651	0.1571950009715997	14.177930402930398	19.353820496910107	61	31	9	7	5.9	e621b678af4712fb3250ca51eb0195ff1689cd8907d5a229e6d0f63aaaef5ded	
7	5	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	7.449633380050572e-17	9.97534516765286	12.228148404898784	4.507516766391669e-17	11.911242603550297	14.333723218402646	1	1	0	0	0.191	34ab6c6df7ebc55429d1462b56ece6da2ec805539c135e5fc6bf8818705cae35	0.9292933717851992	3.320940170940171	4.516374022391671	0.09231801450879704	11.969230769230771	17.046795197213065	63	32	11	9	5.948	50920be21c2c4ce06cc7683e39adeab6fca0589ecb419b38cabc53268536e3c2	0.9292933717851992	3.320940170940171	4.516374022391671	0.09231801450879704	11.969230769230771	17.046795197213065	63	32	11	9	5.858	50920be21c2c4ce06cc7683e39adeab6fca0589ecb419b38cabc53268536e3c2	0.9292933717851992	3.320940170940171	4.516374022391671	0.09231801450879704	11.969230769230771	17.046795197213065	63	32	11	9	6.263	50920be21c2c4ce06cc7683e39adeab6fca0589ecb419b38cabc53268536e3c2	0.9292933717851992	3.320940170940171	4.516374022391671	0.09231801450879704	11.969230769230771	17.046795197213065	63	32	11	9	6.237	50920be21c2c4ce06cc7683e39adeab6fca0589ecb419b38cabc53268536e3c2	0.9292933717851992	3.320940170940171	4.516374022391671	0.09231801450879704	11.969230769230771	17.046795197213065	63	32	11	9	6.104	50920be21c2c4ce06cc7683e39adeab6fca0589ecb419b38cabc53268536e3c2	
1	10	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	-8.557363179855867e-17	10.314349112426036	12.774293289005486	1.543177628532171e-16	9.721893491124263	11.199987452444368	1	1	0	0	0.197	f04c5bcb6fa615946c1d2c649ceaab45e299335f1fb7d783f4018ca655eb608c	0.9246317890438256	3.4613247863247865	4.865246104578849	0.06205332891540968	14.018589743589745	17.163871131601468	65	33	9	8	22.578	46ec4ce7f7debba03364e010af1b9793bf825de0b8bacee1c5a04bbf76edfaef	0.9246317890438256	3.4613247863247865	4.865246104578849	0.06205332891540968	14.018589743589745	17.163871131601468	65	33	9	8	11.038	46ec4ce7f7debba03364e010af1b9793bf825de0b8bacee1c5a04bbf76edfaef	0.9246317890438256	3.4613247863247865	4.865246104578849	0.06205332891540968	14.018589743589745	17.163871131601468	65	33	9	8	10.593	46ec4ce7f7debba03364e010af1b9793bf825de0b8bacee1c5a04bbf76edfaef	0.9246317890438256	3.4613247863247865	4.865246104578849	0.06205332891540968	14.018589743589745	17.163871131601468	65	33	9	8	10.471	46ec4ce7f7debba03364e010af1b9793bf825de0b8bacee1c5a04bbf76edfaef	0.9246317890438256	3.4613247863247865	4.865246104578849	0.06205332891540968	14.018589743589745	17.163871131601468	65	33	9	8	10.479	46ec4ce7f7debba03364e010af1b9793bf825de0b8bacee1c5a04bbf76edfaef	
2	10	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	-8.640800110406253e-17	10.584812623274162	12.65094269549952	-2.3335712081918007e-16	10.059171597633139	12.269893881284718	1	1	0	0	0.234	e0d4810b1161530f1b1276f11a3e8c47506d8c61d0fbeff1f44fa3a9830ee4a9	0.9226723488194943	3.2967948717948716	4.878012828756107	0.18408604036645093	12.308058608058609	16.62506630574235	61	31	11	11	11.331	452c29bcab4498b4d435b1fdbd6ca5660ace20eee7e460f37ca3329276bcc9c0	0.9226723488194943	3.2967948717948716	4.878012828756107	0.18408604036645093	12.308058608058609	16.62506630574235	61	31	11	11	7.323	452c29bcab4498b4d435b1fdbd6ca5660ace20eee7e460f37ca3329276bcc9c0	0.9226723488194943	3.2967948717948716	4.878012828756107	0.18408604036645093	12.308058608058609	16.62506630574235	61	31	11	11	7.245	452c29bcab4498b4d435b1fdbd6ca5660ace20eee7e460f37ca3329276bcc9c0	0.9226723488194943	3.2967948717948716	4.878012828756107	0.18408604036645093	12.308058608058609	16.62506630574235	61	31	11	11	7.273	452c29bcab4498b4d435b1fdbd6ca5660ace20eee7e460f37ca3329276bcc9c0	0.9226723488194943	3.2967948717948716	4.878012828756107	0.18408604036645093	12.308058608058609	16.62506630574235	61	31	11	11	7.26	452c29bcab4498b4d435b1fdbd6ca5660ace20eee7e460f37ca3329276bcc9c0	
3	10	1/4	("sure-v1",[:EEG],["liked"],String[],Dict{Symbol,NamedTuple}(:EEG => (nbands = 60,wintime = 0.05,steptime = 0.025)),Dict(:EEG => [1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]),false)	stump_with_memoization	TestOp_80	IA	156	26	-1.2843237774198214e-16	10.451019066403681	12.767138897750385	-4.93337299191875e-17	9.15483234714004	11.13766140819766	1	1	0	0	0.198	29da72bbc54effd7626d58726f6744df2efd88151fadfc1d7d758e54161cba99	0.923191062309722	3.461172161172161	4.906939219416979	-0.09848363111358321	12.118498168498169	15.60888873535732	61	31	8	8	8.803	ccb972a7e61c505c01ae6fb957d7cbca839eda47a271d3f08a01c89b8072abd1	0.923191062309722	3.461172161172161	4.906939219416979	-0.09848363111358321	12.118498168498169	15.60888873535732	61	31	8	8	7.332	ccb972a7e61c505c01ae6fb957d7cbca839eda47a271d3f08a01c89b8072abd1	0.923191062309722	3.461172161172161	4.906939219416979	-0.09848363111358321	12.118498168498169	15.60888873535732	61	31	8	8	7.376	ccb972a7e61c505c01ae6fb957d7cbca839eda47a271d3f08a01c89b8072abd1	0.923191062309722	3.461172161172161	4.906939219416979	-0.09848363111358321	12.118498168498169	15.60888873535732	61	31	8	8	7.322	ccb972a7e61c505c01ae6fb957d7cbca839eda47a271d3f08a01c89b8072abd1	0.923191062309722	3.461172161172161	4.906939219416979	-0.09848363111358321	12.118498168498169	15.60888873535732	61	31	8	8	7.294	ccb972a7e61c505c01ae6fb957d7cbca839eda47a271d3f08a01c89b8072abd1	
