index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB1normsorted,EEGB5normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB9normsorted,EEGB10normsorted,meannormsorted
0,PD_PeriodicityWang_th0_01,PM,0.30475402102058147,0.29603391280730723,0.2918768555557553,0.30203576078929056,0.2694611041115087,0.25982733264651287,0.25567031995706774,0.23999380362237083,0.24847636664919184,0.24422205262212557,0.27123515297817125
1,CO_FirstMin_ac,FM,0.2268324792570834,0.22229498667141867,0.22598161794249633,0.23233520060714719,0.2549556580371206,0.23735901983947047,0.22714524500969716,0.21777529031042656,0.21870410262417495,0.22300685136465245,0.22863904516636877
2,CO_trev_1_num,TR,0.15072843771110703,0.1412418191149732,0.13889769425588733,0.15108998790916,0.13857160821604889,0.1307235994253871,0.14248900838408382,0.15217110973269993,0.15094494143589648,0.14748053856849802,0.1444338744753742
3,SB_BinaryStats_mean_longstretch1,C,0.09370070448008924,0.09458647738204484,0.11097345042272881,0.08984380941098426,0.11835466147623558,0.145008706721838,0.13855239746856227,0.1377632474973955,0.14138285061516348,0.16408733802000533,0.12342536434950475
4,IN_AutoMutualInfoStats_40_gaussian_fmmi,FMAI,0.08240453905259051,0.10981945632791239,0.08410765531234751,0.08800736889512517,0.06764414790220055,0.07892662908007048,0.09710075412652139,0.10648923887426161,0.09641623583983,0.07995347228475636,0.0890869497695616
5,SB_BinaryStats_diff_longstretch0,LP,0.06522682485322202,0.061828231189723006,0.06588642337601694,0.05773822147811491,0.07138298260767932,0.05407676046133814,0.04376772976669553,0.05198495227276524,0.05089774291909724,0.04814150553708503,0.05709313744617374
6,CO_f1ecac,FC,0.015265088415539264,0.01530529779282688,0.019241479896969244,0.01688240430803836,0.017625935040114244,0.02233013380090353,0.021304334917565018,0.02184968276621755,0.020142511027557642,0.021648606798994403,0.019159547476472617
7,DN_OutlierInclude_p_001_mdrmd,A,0.011395865536213063,0.010985064383066385,0.010579570579473313,0.011495120767720628,0.012736007883626674,0.016092023518344063,0.015749231367068624,0.015570690393366223,0.015065544473739237,0.01407045672979987,0.01337395756324181
8,SP_Summaries_welch_rect_centroid,C,0.0134340708027732,0.012348012547390045,0.01283040461502132,0.013541079031744813,0.011379076939146098,0.011534896095824044,0.012662516424322864,0.0135348114502285,0.013558714839512959,0.013050406717069234,0.012787398946303308
9,DN_HistogramMode_5,Z5,0.007669092252497831,0.007844761529052105,0.008577947692698077,0.007811209859584084,0.007934846163756372,0.011885245748594531,0.012002624102019006,0.010132055528985787,0.009008717919916294,0.010192419456513798,0.009305892025361789
10,DN_HistogramMode_10,Z10,0.005644532724950029,0.0048918185274742535,0.0075500545440931885,0.0062186912014470545,0.008092021882406769,0.010175087486782234,0.009315941853064922,0.008827960067147258,0.008917510911185063,0.01126363246588767,0.008089725166443844
11,FC_LocalSimple_mean1_tauresrat,CC,0.008035160214870083,0.008075762839942099,0.00851600718676902,0.008331374022248634,0.00731684756700017,0.0070883888925281505,0.00797224779485906,0.007516741172237143,0.00964243764417011,0.007116598202022418,0.00796115655366469
12,FC_LocalSimple_mean3_stderr,ME,0.005818541863340108,0.0054995117426889385,0.0051949746818765,0.005793578941659687,0.004514947261014395,0.00442648704088006,0.004696159515391099,0.00469049030186846,0.004709061143892799,0.004146257653931517,0.004949001014654357
13,DN_OutlierInclude_n_001_mdrmd,B,0.002125193543056937,0.0021367479926189927,0.0025974469141637016,0.0021522573338852284,0.0037633027593875316,0.005044326221314494,0.005173540258485612,0.00509381310691627,0.006117700703291445,0.00616890363182558,0.004037323246494579
14,CO_HistogramAMI_even_2_5,AI,0.002151719785611537,0.002263115888696914,0.0025781631431157368,0.0020195149063662863,0.002576574849799142,0.002451348905128402,0.0028022117601068505,0.0029755003448354578,0.0028892449382859494,0.0026149482787239625,0.002532234280067024
15,MD_hrv_classic_pnn40,PD,0.002767981531739171,0.002698579647210451,0.002661187430414462,0.0026913597413208306,0.0016311643961865567,0.0009358416885087656,0.0012967669298343297,0.0012634049012784938,0.0008571078796835539,0.0005931594828435243,0.001739655362902014
16,SP_Summaries_welch_rect_area_5_1,TP,0.0008247275609500217,0.000824430854043036,0.0008573543678474001,0.0008099260897032146,0.0008065043078084228,0.0009933055876853677,0.00105287112744012,0.001077846316364367,0.0011029493870550384,0.0010537674390811908,0.0009403683037978178
17,SB_MotifThree_quantile_hh,EN,0.0008122439374046968,0.0009166637299788125,0.0007207698138250502,0.0008135875685881203,0.0008825992245635677,0.0007823154010520654,0.0009052508776493662,0.0009183122981618893,0.000852373779902094,0.0008809625520546419,0.0008485079183180304
18,CO_Embed2_Dist_tau_d_expfit_meandiff,EF,0.00031106230284730596,0.0003138711965194055,0.0002794437224891721,0.00029762068345286436,0.0002803247844423391,0.0002460184183010731,0.00025723469615167364,0.0002869342806759132,0.0002316844730517623,0.00021229717768291042,0.0002716491735614419
19,SB_TransitionMatrix_3ac_sumdiagcov,TC,9.73731202090877e-5,9.125798713229967e-5,9.137799994700583e-5,9.182758101444993e-5,8.962155135201002e-5,9.249806979837763e-5,8.358959486305063e-5,8.409430502408552e-5,8.218387967055668e-5,9.58138003248432e-5,8.996378893357669e-5
20,max_m,MAX,2.829451708285104e-7,1.798056040914717e-7,9.567087686399044e-8,8.298631013898324e-8,4.9878705024256914e-8,2.6763099201821e-8,1.8212125695226394e-8,1.5913566756837934e-8,1.3635513658262229e-8,9.155120757335123e-9,7.749660930166953e-8
21,mean_m,M,4.870867471670192e-8,3.3594602700004223e-8,2.0891416966100466e-8,1.3679798254741591e-8,1.116943999385261e-8,6.936260981104313e-9,4.8550580407108525e-9,3.892432001913157e-9,2.8857604094981302e-9,1.8295426925250628e-9,1.4844298675715233e-8
22,min_m,MIN,8.379478453137684e-9,6.447773076468422e-9,3.9837708057870995e-9,2.2072951681632978e-9,1.9904569905673167e-9,1.250377762463374e-9,1.0013667777183337e-9,6.507742891231428e-10,3.9445750762300927e-10,2.314582594243187e-10,2.6537209090476e-9
23,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,FDFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,FLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
