index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB1normsorted,EEGB5normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB9normsorted,EEGB24normsorted,meannormsorted
0,CO_trev_1_num,TR,0.29379713723605877,0.300161320773876,0.302674080172218,0.2966623509302725,0.3081286531620142,0.3426669119416149,0.3841963354752246,0.4149966394841612,0.4385769302618112,0.4681081124894812,0.35499684719267327
1,CO_FirstMin_ac,FM,0.29880401256737393,0.2787520296413435,0.2667366190952334,0.2950694436189816,0.271000532965154,0.24628362546084595,0.22932660435000127,0.21042733506688474,0.17425615241950754,0.1765021711881221,0.2447158526373448
2,IN_AutoMutualInfoStats_40_gaussian_fmmi,FMAI,0.12967199826382708,0.12497683143025282,0.1244968176337598,0.1269398824591535,0.10856224638962786,0.10818080265652168,0.10572303670160796,0.10069764710050048,0.0982700560745112,0.07957118331016855,0.11070905020199309
3,SB_BinaryStats_diff_longstretch0,LP,0.058062534133846114,0.05919109177687707,0.05922476762796581,0.05856415590625043,0.060108411062665325,0.04375630818974057,0.04686565168601365,0.04140721613483748,0.049716028967497064,0.04536497655447582,0.05222611420401694
4,SB_BinaryStats_mean_longstretch1,C,0.04433656982058097,0.048273865088048186,0.049137385959418245,0.044646516036304436,0.05015012042680077,0.04926601764501017,0.05255560678627384,0.04858160320561117,0.04918650913234006,0.04764435940971505,0.04837785535101029
5,SP_Summaries_welch_rect_centroid,C,0.039347440481269536,0.040681973612433656,0.04478723326145455,0.039297504281228635,0.03992821980505425,0.03824293126556297,0.030900036873979866,0.02832208274429451,0.03327150421827855,0.03390532314514853,0.03686842496887051
6,FC_LocalSimple_mean3_stderr,ME,0.03172138517451875,0.03283121348267515,0.03734302557996962,0.03191865267187288,0.03956540763316001,0.03796256167225004,0.035330761465948046,0.03618760200188742,0.03580702753651878,0.03345567253848315,0.03521233097572839
7,DN_OutlierInclude_p_001_mdrmd,A,0.017138187888880777,0.01970505113579667,0.01607792252449049,0.017608888612962753,0.020998321690123146,0.022735779284148022,0.022113888132535238,0.02308298751054413,0.021426284685403356,0.021978230109033676,0.020286554157391827
8,DN_HistogramMode_10,Z10,0.016274865757201433,0.019565491829776023,0.017844845812927747,0.016957361681677864,0.018631383867690237,0.023357323880951554,0.01922900732221889,0.01931647554180653,0.019651462415155214,0.017469733479662977,0.01882979515890685
9,CO_HistogramAMI_even_2_5,AI,0.01799789591366843,0.017986748991441617,0.019327058944085904,0.017775570332150877,0.018939400824741392,0.018653523917766163,0.02009372518783964,0.01912984198142628,0.019708032454768938,0.01381210592228225,0.01834239044701715
10,DN_HistogramMode_5,Z5,0.009947692774958036,0.011577016209799224,0.016308491404157056,0.010146942412802321,0.017915890467456334,0.02553850325682745,0.015673447478132763,0.020568309843364087,0.018792053005053093,0.020910137879775744,0.016737848473232612
