class_names,EEG_B2-FM,EEG_B2-PM,EEG_B2-TR,EEG_B2-C,EEG_B2-FMAI,EEG_B3-FM,EEG_B3-PM,EEG_B3-TR,EEG_B3-C,EEG_B3-FMAI,EEG_B4-FM,EEG_B4-PM,EEG_B4-TR,EEG_B4-C,EEG_B4-FMAI,EEG_B5-FM,EEG_B5-PM,EEG_B5-TR,EEG_B5-C,EEG_B5-FMAI,EEG_B1-FM,EEG_B1-PM,EEG_B1-TR,EEG_B1-C,EEG_B1-FMAI,EEG_B6-FM,EEG_B6-PM,EEG_B6-TR,EEG_B6-C,EEG_B6-FMAI,EEG_B7-FM,EEG_B7-PM,EEG_B7-TR,EEG_B7-C,EEG_B7-FMAI,EEG_B8-FM,EEG_B8-PM,EEG_B8-TR,EEG_B8-C,EEG_B8-FMAI,EEG_B16-FM,EEG_B16-PM,EEG_B16-TR,EEG_B16-C,EEG_B16-FMAI,EEG_B24-FM,EEG_B24-PM,EEG_B24-TR,EEG_B24-C,EEG_B24-FMAI
0.0,"[3.0, 3.0, 4.0]","[0.0, 5.0, 4.0]","[2.0999, -1.3284, 0.5247]","[3.0, 3.0, 2.0]","[1.0, 3.0, 1.0]","[3.0, 3.0, 4.0]","[0.0, 5.0, 4.0]","[1.7867, -1.3804, 0.5317]","[4.0, 3.0, 2.0]","[1.0, 3.0, 1.0]","[2.0, 3.0, 4.0]","[0.0, 5.0, 4.0]","[0.9182, -1.5915, 0.5446]","[4.0, 3.0, 4.0]","[2.0, 3.0, 1.0]","[2.0, 3.0, 4.0]","[3.0, 5.0, 4.0]","[-0.639, -2.9422, 0.4398]","[4.0, 3.0, 4.0]","[1.0, 1.0, 1.0]","[3.0, 3.0, 4.0]","[0.0, 5.0, 4.0]","[2.1786, -1.3166, 0.5227]","[3.0, 3.0, 2.0]","[1.0, 3.0, 1.0]","[2.0, 5.0, 4.0]","[3.0, 5.0, 4.0]","[-1.0344, -2.0294, 0.6883]","[4.0, 3.0, 4.0]","[1.0, 1.0, 1.0]","[3.0, 3.0, 4.0]","[3.0, 5.0, 4.0]","[-0.4702, -2.7135, 0.9065]","[4.0, 3.0, 3.0]","[1.0, 1.0, 1.0]","[3.0, 3.0, 4.0]","[3.0, 5.0, 4.0]","[-0.2199, -2.5564, 0.8352]","[4.0, 3.0, 3.0]","[2.0, 1.0, 1.0]","[2.0, 3.0, 4.0]","[0.0, 5.0, 4.0]","[-0.7958, -2.1478, 2.3013]","[3.0, 3.0, 3.0]","[3.0, 3.0, 1.0]","[2.0, 2.0, 1.0]","[0.0, 4.0, 0.0]","[-1.4777, 1.1449, 0.5881]","[4.0, 3.0, 4.0]","[1.0, 3.0, 5.0]"
1.0,[2.0],[4.0],[-1.5637],[4.0],[1.0],[2.0],[4.0],[-1.4954],[4.0],[1.0],[2.0],[5.0],[-1.0772],[4.0],[1.0],[3.0],[5.0],[-0.1445],[4.0],[1.0],[2.0],[4.0],[-1.5637],[4.0],[1.0],[3.0],[0.0],[0.3942],[4.0],[1.0],[3.0],[0.0],[0.3803],[4.0],[1.0],[3.0],[0.0],[0.4919],[4.0],[1.0],[2.0],[5.0],[1.4256],[3.0],[1.0],[5.0],[0.0],[0.0581],[9.0],[3.0]
2.0,"[3.0, 1.0, 4.0]","[0.0, 3.0, 0.0]","[-2.7496, -1.1664, -2.1645]","[2.0, 3.0, 4.0]","[2.0, 2.0, 1.0]","[3.0, 1.0, 4.0]","[0.0, 3.0, 0.0]","[-2.3607, -1.0832, -2.0256]","[2.0, 3.0, 4.0]","[2.0, 2.0, 1.0]","[4.0, 1.0, 4.0]","[0.0, 3.0, 0.0]","[-1.7041, -0.9253, -1.6466]","[2.0, 3.0, 4.0]","[3.0, 2.0, 1.0]","[6.0, 1.0, 3.0]","[0.0, 3.0, 0.0]","[-0.9883, -0.7923, -0.7537]","[2.0, 3.0, 4.0]","[2.0, 2.0, 1.0]","[3.0, 1.0, 4.0]","[0.0, 3.0, 0.0]","[-2.8743, -1.1914, -2.2013]","[2.0, 3.0, 4.0]","[1.0, 2.0, 1.0]","[3.0, 1.0, 3.0]","[0.0, 0.0, 0.0]","[-0.7122, -0.832, -0.7791]","[2.0, 5.0, 4.0]","[1.0, 2.0, 3.0]","[3.0, 1.0, 3.0]","[0.0, 0.0, 0.0]","[-0.6992, -1.007, -2.1534]","[2.0, 4.0, 4.0]","[1.0, 2.0, 1.0]","[3.0, 1.0, 3.0]","[4.0, 0.0, 0.0]","[-0.7198, -1.0023, -2.2203]","[2.0, 4.0, 4.0]","[1.0, 2.0, 1.0]","[3.0, 9.0, 3.0]","[0.0, 4.0, 4.0]","[0.1579, -0.4972, -1.6675]","[2.0, 5.0, 3.0]","[1.0, 5.0, 1.0]","[2.0, 8.0, 2.0]","[0.0, 2.0, 4.0]","[-0.5979, 0.0237, -0.0015]","[3.0, 4.0, 3.0]","[1.0, 5.0, 5.0]"
3.0,"[2.0, 1.0]","[5.0, 4.0]","[3.0165, -0.5698]","[2.0, 5.0]","[3.0, 4.0]","[2.0, 1.0]","[5.0, 4.0]","[3.0635, -0.5777]","[2.0, 5.0]","[4.0, 4.0]","[2.0, 1.0]","[4.0, 4.0]","[3.2719, -0.5941]","[2.0, 5.0]","[3.0, 4.0]","[2.0, 1.0]","[4.0, 4.0]","[3.6733, -0.5966]","[4.0, 3.0]","[3.0, 4.0]","[2.0, 1.0]","[5.0, 4.0]","[3.0079, -0.5675]","[2.0, 5.0]","[3.0, 4.0]","[2.0, 1.0]","[4.0, 4.0]","[2.6371, -0.4989]","[4.0, 3.0]","[3.0, 4.0]","[2.0, 1.0]","[5.0, 4.0]","[2.7965, -0.4828]","[5.0, 5.0]","[3.0, 4.0]","[2.0, 1.0]","[5.0, 4.0]","[2.3994, -0.4776]","[3.0, 5.0]","[2.0, 4.0]","[5.0, 1.0]","[2.0, 4.0]","[0.5457, -0.4685]","[5.0, 3.0]","[2.0, 2.0]","[3.0, 1.0]","[4.0, 4.0]","[0.7184, 0.8353]","[4.0, 3.0]","[1.0, 2.0]"
4.0,"[1.0, 3.0]","[0.0, 0.0]","[-0.0439, 0.1758]","[2.0, 2.0]","[2.0, 3.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.0521, 0.1691]","[2.0, 2.0]","[2.0, 6.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.084, 0.1498]","[2.0, 2.0]","[2.0, 6.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.2545, 0.0775]","[2.0, 2.0]","[2.0, 4.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.0421, 0.1776]","[2.0, 2.0]","[2.0, 3.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.7631, 0.076]","[2.0, 2.0]","[1.0, 6.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.4785, 0.2121]","[2.0, 2.0]","[1.0, 3.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.3692, 0.2424]","[2.0, 2.0]","[1.0, 3.0]","[1.0, 3.0]","[0.0, 0.0]","[-0.4512, 1.083]","[2.0, 3.0]","[2.0, 3.0]","[1.0, 2.0]","[0.0, 3.0]","[-0.1172, 2.3881]","[2.0, 3.0]","[2.0, 3.0]"
5.0,"[2.0, 2.0, 6.0]","[4.0, 0.0, 0.0]","[-2.5312, -0.6294, 0.0996]","[3.0, 6.0, 4.0]","[1.0, 1.0, 1.0]","[2.0, 2.0, 6.0]","[4.0, 0.0, 0.0]","[-2.1638, -0.5993, 0.0363]","[3.0, 6.0, 4.0]","[1.0, 1.0, 1.0]","[2.0, 2.0, 6.0]","[4.0, 2.0, 0.0]","[-1.2903, -0.5203, -0.1211]","[3.0, 6.0, 4.0]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]","[2.0, 2.0, 0.0]","[-0.6581, -0.4618, -0.3154]","[3.0, 4.0, 4.0]","[1.0, 1.0, 3.0]","[2.0, 2.0, 6.0]","[4.0, 0.0, 0.0]","[-2.6177, -0.6368, 0.1166]","[3.0, 6.0, 4.0]","[1.0, 1.0, 1.0]","[2.0, 2.0, 3.0]","[2.0, 4.0, 4.0]","[-1.0238, -0.6195, -0.1077]","[3.0, 4.0, 4.0]","[1.0, 3.0, 1.0]","[2.0, 3.0, 7.0]","[5.0, 4.0, 0.0]","[-2.0548, -0.3794, -0.0215]","[2.0, 4.0, 4.0]","[1.0, 1.0, 2.0]","[2.0, 3.0, 7.0]","[5.0, 4.0, 0.0]","[-2.2208, -0.2729, 0.0819]","[2.0, 4.0, 4.0]","[1.0, 1.0, 2.0]","[1.0, 3.0, 3.0]","[5.0, 4.0, 5.0]","[-2.6373, 2.3619, 0.5194]","[3.0, 3.0, 4.0]","[3.0, 1.0, 1.0]","[1.0, 3.0, 3.0]","[4.0, 4.0, 0.0]","[-0.8946, 2.0736, -0.9589]","[3.0, 3.0, 3.0]","[2.0, 1.0, 1.0]"
6.0,"[9.0, 1.0]","[4.0, 0.0]","[-0.5555, -1.0783]","[5.0, 2.0]","[3.0, 3.0]","[9.0, 1.0]","[4.0, 0.0]","[-0.5442, -0.869]","[5.0, 2.0]","[3.0, 3.0]","[9.0, 4.0]","[4.0, 0.0]","[-0.4828, -0.5589]","[5.0, 3.0]","[3.0, 3.0]","[4.0, 2.0]","[2.0, 4.0]","[-0.0536, -0.3933]","[5.0, 4.0]","[1.0, 1.0]","[9.0, 1.0]","[4.0, 0.0]","[-0.5569, -1.1417]","[5.0, 2.0]","[3.0, 3.0]","[4.0, 2.0]","[0.0, 3.0]","[1.8147, -0.0925]","[5.0, 4.0]","[1.0, 1.0]","[4.0, 2.0]","[0.0, 3.0]","[1.9363, 0.1208]","[5.0, 4.0]","[1.0, 1.0]","[4.0, 2.0]","[0.0, 3.0]","[1.5827, -0.0326]","[5.0, 3.0]","[1.0, 3.0]","[3.0, 2.0]","[0.0, 2.0]","[0.288, -0.6539]","[5.0, 3.0]","[1.0, 4.0]","[3.0, 2.0]","[0.0, 2.0]","[0.9508, 0.1578]","[5.0, 3.0]","[1.0, 4.0]"
7.0,"[4.0, 3.0]","[0.0, 3.0]","[-2.2526, -0.9749]","[4.0, 3.0]","[1.0, 1.0]","[4.0, 3.0]","[0.0, 3.0]","[-2.3909, -1.1323]","[4.0, 3.0]","[1.0, 1.0]","[4.0, 3.0]","[0.0, 3.0]","[-2.5719, -1.397]","[4.0, 3.0]","[4.0, 1.0]","[4.0, 2.0]","[0.0, 3.0]","[-2.609, -1.1781]","[3.0, 3.0]","[2.0, 1.0]","[4.0, 3.0]","[0.0, 3.0]","[-2.2044, -0.9285]","[4.0, 3.0]","[1.0, 1.0]","[4.0, 2.0]","[0.0, 2.0]","[-2.1901, -0.3723]","[2.0, 3.0]","[2.0, 4.0]","[4.0, 2.0]","[0.0, 3.0]","[-1.6232, -0.6161]","[2.0, 4.0]","[2.0, 2.0]","[4.0, 2.0]","[0.0, 3.0]","[-1.6161, -0.7086]","[2.0, 4.0]","[2.0, 2.0]","[2.0, 2.0]","[3.0, 3.0]","[-0.5592, -0.2888]","[4.0, 4.0]","[1.0, 1.0]","[3.0, 5.0]","[4.0, 5.0]","[1.3024, -0.0276]","[4.0, 4.0]","[3.0, 1.0]"
8.0,"[1.0, 2.0, 3.0, 3.0, 1.0]","[0.0, 3.0, 0.0, 0.0, 3.0]","[-3.3884, 0.3922, -0.8612, -0.5052, -1.4917]","[4.0, 6.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 1.0, 4.0]","[1.0, 2.0, 3.0, 3.0, 1.0]","[0.0, 3.0, 0.0, 0.0, 3.0]","[-3.1435, 0.8482, -0.8855, -0.5413, -1.4168]","[4.0, 6.0, 2.0, 3.0, 5.0]","[1.0, 1.0, 2.0, 1.0, 2.0]","[1.0, 6.0, 3.0, 4.0, 1.0]","[5.0, 0.0, 0.0, 0.0, 3.0]","[-2.489, 1.0516, -0.9047, -0.5376, -0.7367]","[4.0, 5.0, 2.0, 4.0, 5.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[1.0, 5.0, 4.0, 4.0, 3.0]","[3.0, 0.0, 0.0, 0.0, 5.0]","[-2.4014, 0.2155, -0.8841, -0.7585, 0.289]","[4.0, 4.0, 2.0, 2.0, 5.0]","[1.0, 2.0, 2.0, 1.0, 2.0]","[1.0, 2.0, 3.0, 3.0, 1.0]","[0.0, 3.0, 0.0, 0.0, 3.0]","[-3.4332, 0.2316, -0.8512, -0.4798, -1.4876]","[4.0, 6.0, 2.0, 3.0, 3.0]","[1.0, 1.0, 2.0, 1.0, 1.0]","[1.0, 5.0, 4.0, 2.0, 3.0]","[3.0, 0.0, 0.0, 5.0, 4.0]","[-1.9815, -0.3208, -0.7777, -1.0514, 0.1147]","[2.0, 4.0, 2.0, 2.0, 5.0]","[1.0, 1.0, 2.0, 4.0, 2.0]","[1.0, 6.0, 4.0, 2.0, 3.0]","[5.0, 2.0, 0.0, 4.0, 4.0]","[-1.242, -0.7259, -0.57, -0.6053, -0.4277]","[3.0, 3.0, 3.0, 2.0, 5.0]","[2.0, 1.0, 2.0, 1.0, 2.0]","[2.0, 2.0, 3.0, 2.0, 3.0]","[4.0, 2.0, 4.0, 4.0, 5.0]","[-1.5948, 0.7073, -0.385, -0.4611, -0.5513]","[4.0, 3.0, 3.0, 4.0, 5.0]","[4.0, 1.0, 2.0, 1.0, 2.0]","[4.0, 1.0, 8.0, 1.0, 4.0]","[0.0, 3.0, 3.0, 0.0, 4.0]","[-1.5324, -0.5626, -0.3611, -0.7659, 0.7295]","[4.0, 4.0, 4.0, 5.0, 6.0]","[1.0, 3.0, 1.0, 3.0, 2.0]","[3.0, 2.0, 4.0, 2.0, 4.0]","[5.0, 4.0, 0.0, 3.0, 4.0]","[-1.3382, 2.3058, -0.3715, 2.0099, 0.3161]","[3.0, 4.0, 4.0, 3.0, 5.0]","[3.0, 2.0, 3.0, 4.0, 4.0]"
9.0,[1.0],[3.0],[-0.5618],[2.0],[2.0],[1.0],[3.0],[-0.9135],[2.0],[2.0],[1.0],[3.0],[-1.9345],[2.0],[2.0],[7.0],[3.0],[-2.5287],[2.0],[2.0],[1.0],[3.0],[-0.4767],[2.0],[2.0],[7.0],[3.0],[-0.9534],[2.0],[2.0],[3.0],[3.0],[-1.5503],[2.0],[2.0],[7.0],[3.0],[-1.5867],[4.0],[4.0],[9.0],[3.0],[-0.944],[4.0],[3.0],[8.0],[5.0],[-0.4278],[5.0],[3.0]
