index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB5normsorted,EEGB1normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB16normsorted,EEGB24normsorted,EEGB9normsorted,EEGB19normsorted,EEGB34normsorted,EEGB10normsorted,EEGB15normsorted,EEGB23normsorted,EEGB13normsorted,EEGB17normsorted,EEGB20normsorted,EEGB18normsorted,EEGB25normsorted,EEGB12normsorted,EEGB11normsorted,EEGB14normsorted,EEGB37normsorted,meannormsorted
0,PD_PeriodicityWang_th0_01,PM,0.2605333234275577,0.24479487681323267,0.23260926218179498,0.23156527399780302,0.2632238818019837,0.2444309996640668,0.24502437828800547,0.24433307451769007,0.20391187496514293,0.21167139180192257,0.26216962834476193,0.2361675633407928,0.23540534794411058,0.2768078324220177,0.21203233692150547,0.22775041386273925,0.2200849277516619,0.22366247107243678,0.22380929846598427,0.23265177470302004,0.24213699894570653,0.257919385137199,0.258673269440282,0.22768284477278564,0.2507897966981055,0.23879368909129237
1,CO_FirstMin_ac,FM,0.21984481323670815,0.26039255700472386,0.29467753880435776,0.2996202108794446,0.21728015018018212,0.22280110109210588,0.1996910355234874,0.24221015765723616,0.26333495001654605,0.20242683464138736,0.2313839941638174,0.21164487454450487,0.20786054574696022,0.22398008547446469,0.2351830624171421,0.21335712605296378,0.21552441197436556,0.23892540533456832,0.22096832740158748,0.24268223147188134,0.16455316798097358,0.20120452167183286,0.21735913441510868,0.21155304116967988,0.1602194559410962,0.224747149391885
2,CO_trev_1_num,TR,0.1750768462112293,0.15580482406065302,0.13884812557525564,0.14719214269582429,0.1769482187982472,0.15681983870822702,0.16128680789523195,0.15230237615380343,0.15602121216487794,0.17570124877856982,0.14989888170729368,0.1679520557191357,0.167682249731548,0.1481661761179956,0.16764078918446038,0.18446221601602678,0.1403502972781127,0.15669761720074518,0.1770639963771862,0.16803188426320245,0.18339826789378622,0.1458617916164974,0.1572410292868616,0.18080826574819148,0.14667848854375717,0.1615174259090688
3,SB_BinaryStats_mean_longstretch1,C,0.08576210097236092,0.09562138562888298,0.08815119977887215,0.10460720425875303,0.08428501814935639,0.11823131094126518,0.12079631460101303,0.12633575944033357,0.14212442024402427,0.17092743049613027,0.11949995332691549,0.13724926415402058,0.13776767348923555,0.12562148079535604,0.14020411849194966,0.12956516961013279,0.14690803804045313,0.14464865762205836,0.13537268535423194,0.12232487207288706,0.14757094955243316,0.11674089754204015,0.12662502527497402,0.11979302534841302,0.1568802520296909,0.12574456828863137
4,IN_AutoMutualInfoStats_40_gaussian_fmmi,FMAI,0.10339401770766041,0.10444735919664666,0.09861724667562685,0.08126347225491608,0.10317539216861436,0.09336350048396479,0.09923874776206207,0.08337111988377742,0.07535233759431968,0.07468543253246726,0.08269956628500533,0.08632851706136577,0.09195946983527865,0.07714384204745571,0.07787810740233353,0.09354161346230305,0.10665579619832856,0.08415244870967246,0.08067570965011982,0.07689136991498292,0.07080000077647933,0.12341857249813618,0.08247217411189128,0.08082977536083309,0.09577059431503786,0.08912504735557115
5,SB_BinaryStats_diff_longstretch0,LP,0.06843931524475798,0.05781444609678639,0.06596662468133903,0.0512595764529063,0.06903700961555095,0.064922054610427,0.0806262607838726,0.060101197519029474,0.06455583742634262,0.06715204884925054,0.0633301345481077,0.06077586342852632,0.05690263787225375,0.05808661768441293,0.07013048549033812,0.05894262879421022,0.07014427316613979,0.058322403162273107,0.05793137570599836,0.06591878117430945,0.07900807301694027,0.05935317587758507,0.06061874272814328,0.07351914495079223,0.08980232385738654,0.06530644130950719
6,CO_f1ecac,FC,0.018895919077882215,0.019006709848364018,0.022622943553941958,0.022782876105043644,0.018327566143624165,0.03066207501164091,0.022000373172625796,0.020669571273124947,0.022125899578029833,0.02521487016353514,0.01924019997477184,0.0270450111609455,0.02375240189464421,0.023460910399355772,0.02418583287659128,0.020189955736993875,0.025398953857658835,0.02193329746201298,0.030275392079115015,0.022596954125639612,0.02617525933785655,0.020247719754182186,0.02400532539245383,0.025094028986846442,0.02249287754722437,0.023136116980564198
7,SP_Summaries_welch_rect_centroid,C,0.018137715567104095,0.016097251230239463,0.014738924249358928,0.014244568914123776,0.018808921211760272,0.014567548940453376,0.014488432571719213,0.015069391690210808,0.016966422968009206,0.014210533205135928,0.0155384318562416,0.0155606255284568,0.015931968052715,0.01514893133390983,0.01820312984374453,0.014852390737578719,0.017329368693729422,0.01721863091529982,0.01624837106160582,0.015591499336826633,0.017150709636777346,0.01691499303107237,0.014878938060065884,0.020270211422218642,0.017425520389097074,0.01622373721789818
8,DN_OutlierInclude_p_001_mdrmd,A,0.010490097412369967,0.009885559190146748,0.009282091242200691,0.010658683847162913,0.010436734492679576,0.012423064998978016,0.013061288194612239,0.013660153917580931,0.01390674759659082,0.013571491658795284,0.01368379959232902,0.014831776440162385,0.012449095875832419,0.013806184233078965,0.01480401068153022,0.014420539626066452,0.013123231877960582,0.013755919524066578,0.01433489911591398,0.014561650893383033,0.015186050225714674,0.012942388725874408,0.014243085401456643,0.014995183051921232,0.01426845866214768,0.013151287459142215
9,DN_HistogramMode_5,Z5,0.008060779599272861,0.007375042110861402,0.006909730903291622,0.009481478944097465,0.007590142347106532,0.009771486221268182,0.01026736101794794,0.0094151788310042,0.009076546927585595,0.009527004359781792,0.010311715269017212,0.009752321727884193,0.012801263933723071,0.00791885791106515,0.008975169257026275,0.00899018842967996,0.01143474703789366,0.009332385820378273,0.009242328225950251,0.007293799646989053,0.01421447385948238,0.011756204850277428,0.010245666298674835,0.010349549806794452,0.009595406261691013,0.009587553183949793
