class_names,EEG_B2-PM,EEG_B2-FM,EEG_B2-TR,EEG_B2-C,EEG_B2-FMAI,EEG_B3-PM,EEG_B3-FM,EEG_B3-TR,EEG_B3-C,EEG_B3-FMAI,EEG_B4-PM,EEG_B4-FM,EEG_B4-TR,EEG_B4-C,EEG_B4-FMAI,EEG_B1-PM,EEG_B1-FM,EEG_B1-TR,EEG_B1-C,EEG_B1-FMAI,EEG_B5-PM,EEG_B5-FM,EEG_B5-TR,EEG_B5-C,EEG_B5-FMAI,EEG_B6-PM,EEG_B6-FM,EEG_B6-TR,EEG_B6-C,EEG_B6-FMAI,EEG_B7-PM,EEG_B7-FM,EEG_B7-TR,EEG_B7-C,EEG_B7-FMAI,EEG_B8-PM,EEG_B8-FM,EEG_B8-TR,EEG_B8-C,EEG_B8-FMAI,EEG_B9-PM,EEG_B9-FM,EEG_B9-TR,EEG_B9-C,EEG_B9-FMAI,EEG_B10-PM,EEG_B10-FM,EEG_B10-TR,EEG_B10-C,EEG_B10-FMAI
0.0,"[3.0, 0.0, 5.0]","[3.0, 3.0, 2.0]","[0.0349, -0.4265, -0.2575]","[3.0, 2.0, 2.0]","[1.0, 3.0, 2.0]","[3.0, 0.0, 5.0]","[3.0, 3.0, 2.0]","[-0.2031, -0.4461, -0.2669]","[2.0, 2.0, 2.0]","[1.0, 3.0, 2.0]","[3.0, 0.0, 5.0]","[3.0, 3.0, 2.0]","[-0.8455, -0.4984, -0.3055]","[2.0, 2.0, 2.0]","[2.0, 3.0, 3.0]","[3.0, 0.0, 5.0]","[3.0, 3.0, 2.0]","[0.0947, -0.4211, -0.2554]","[3.0, 2.0, 2.0]","[4.0, 3.0, 2.0]","[3.0, 4.0, 2.0]","[3.0, 3.0, 2.0]","[-1.9079, -0.6952, -0.5562]","[2.0, 3.0, 2.0]","[2.0, 3.0, 4.0]","[3.0, 4.0, 2.0]","[3.0, 3.0, 2.0]","[-2.3503, -0.7381, -0.4876]","[3.0, 5.0, 2.0]","[5.0, 3.0, 1.0]","[3.0, 4.0, 5.0]","[3.0, 3.0, 2.0]","[-2.357, -0.651, -0.0864]","[3.0, 4.0, 2.0]","[3.0, 10.0, 2.0]","[3.0, 4.0, 5.0]","[3.0, 3.0, 2.0]","[-2.3157, -0.8068, -0.0647]","[3.0, 4.0, 2.0]","[4.0, 10.0, 2.0]","[3.0, 4.0, 5.0]","[3.0, 2.0, 2.0]","[-2.243, -1.2688, 0.0402]","[3.0, 5.0, 2.0]","[1.0, 2.0, 2.0]","[3.0, 4.0, 2.0]","[3.0, 3.0, 2.0]","[-1.9853, -0.2404, -0.3274]","[3.0, 5.0, 2.0]","[1.0, 1.0, 1.0]"
1.0,[5.0],[1.0],[-2.4867],[3.0],[4.0],[5.0],[1.0],[-1.96],[3.0],[4.0],[2.0],[1.0],[-0.8618],[3.0],[4.0],[5.0],[1.0],[-2.6228],[3.0],[4.0],[3.0],[1.0],[-0.2012],[4.0],[4.0],[3.0],[1.0],[-1.2804],[3.0],[5.0],[3.0],[1.0],[-2.1339],[3.0],[4.0],[3.0],[2.0],[-2.1071],[4.0],[1.0],[3.0],[2.0],[-1.5269],[5.0],[1.0],[0.0],[1.0],[-0.4782],[5.0],[3.0]
2.0,"[0.0, 5.0, 3.0]","[1.0, 1.0, 2.0]","[-4.5805, -1.6253, 0.3801]","[1.0, 3.0, 3.0]","[2.0, 3.0, 3.0]","[0.0, 3.0, 3.0]","[1.0, 1.0, 2.0]","[-4.499, -1.5055, 0.3697]","[1.0, 3.0, 3.0]","[2.0, 2.0, 3.0]","[0.0, 3.0, 3.0]","[3.0, 1.0, 2.0]","[-4.3712, -1.2146, 0.3398]","[1.0, 3.0, 3.0]","[2.0, 2.0, 3.0]","[0.0, 5.0, 3.0]","[1.0, 1.0, 2.0]","[-4.6068, -1.6583, 0.3829]","[1.0, 3.0, 3.0]","[2.0, 3.0, 3.0]","[0.0, 5.0, 3.0]","[2.0, 5.0, 2.0]","[-4.2855, -0.6284, 0.209]","[2.0, 4.0, 3.0]","[2.0, 2.0, 3.0]","[0.0, 5.0, 3.0]","[3.0, 5.0, 2.0]","[-4.4774, -0.3052, 0.1528]","[3.0, 4.0, 3.0]","[6.0, 2.0, 3.0]","[0.0, 5.0, 3.0]","[3.0, 5.0, 2.0]","[-4.9162, -0.5084, 0.4057]","[2.0, 4.0, 3.0]","[3.0, 2.0, 3.0]","[0.0, 5.0, 3.0]","[3.0, 5.0, 2.0]","[-4.9113, -0.5286, 0.4221]","[3.0, 4.0, 3.0]","[3.0, 2.0, 3.0]","[0.0, 5.0, 3.0]","[3.0, 5.0, 2.0]","[-4.3154, -0.3441, 0.4737]","[3.0, 3.0, 3.0]","[3.0, 2.0, 3.0]","[4.0, 5.0, 3.0]","[3.0, 5.0, 2.0]","[-3.3021, -0.2249, 0.7402]","[2.0, 3.0, 3.0]","[3.0, 2.0, 3.0]"
3.0,"[3.0, 0.0]","[2.0, 3.0]","[-1.8071, -0.1303]","[3.0, 4.0]","[3.0, 2.0]","[3.0, 0.0]","[2.0, 3.0]","[-1.7142, -0.1509]","[3.0, 4.0]","[3.0, 2.0]","[0.0, 0.0]","[2.0, 3.0]","[-1.256, -0.2059]","[3.0, 4.0]","[2.0, 2.0]","[3.0, 0.0]","[2.0, 3.0]","[-1.8253, -0.1249]","[3.0, 4.0]","[3.0, 2.0]","[2.0, 0.0]","[2.0, 3.0]","[0.4644, -0.3397]","[4.0, 4.0]","[2.0, 2.0]","[5.0, 0.0]","[1.0, 5.0]","[0.4437, 0.1139]","[4.0, 5.0]","[3.0, 2.0]","[5.0, 0.0]","[1.0, 4.0]","[0.6965, 0.1869]","[4.0, 4.0]","[3.0, 2.0]","[5.0, 0.0]","[4.0, 4.0]","[0.8813, 0.1803]","[4.0, 5.0]","[2.0, 2.0]","[5.0, 0.0]","[4.0, 5.0]","[0.5415, 0.1713]","[4.0, 6.0]","[1.0, 3.0]","[0.0, 0.0]","[2.0, 4.0]","[0.0862, -0.6278]","[3.0, 6.0]","[2.0, 2.0]"
4.0,"[0.0, 0.0]","[2.0, 2.0]","[-0.4793, 0.0109]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 0.0]","[2.0, 2.0]","[-0.4865, 0.0113]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 0.0]","[2.0, 2.0]","[-0.5167, 0.01]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 0.0]","[2.0, 2.0]","[-0.4778, 0.0107]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 5.0]","[2.0, 2.0]","[-0.6794, -0.0105]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 5.0]","[2.0, 1.0]","[-1.1405, -0.0651]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 0.0]","[2.0, 1.0]","[-0.876, 0.0137]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 0.0]","[2.0, 1.0]","[-0.8116, 0.0659]","[2.0, 2.0]","[2.0, 3.0]","[0.0, 0.0]","[2.0, 2.0]","[-1.1104, 0.1935]","[2.0, 2.0]","[2.0, 3.0]","[2.0, 5.0]","[2.0, 1.0]","[-2.3816, 0.7304]","[3.0, 2.0]","[2.0, 1.0]"
5.0,"[0.0, 5.0, 5.0]","[1.0, 3.0, 3.0]","[-2.5165, 1.1186, 0.215]","[3.0, 4.0, 4.0]","[3.0, 1.0, 3.0]","[0.0, 5.0, 5.0]","[1.0, 3.0, 3.0]","[-2.1311, 0.9573, 0.199]","[3.0, 4.0, 4.0]","[3.0, 1.0, 3.0]","[0.0, 3.0, 5.0]","[3.0, 3.0, 3.0]","[-1.6267, 0.6732, 0.1301]","[3.0, 4.0, 4.0]","[3.0, 1.0, 3.0]","[0.0, 5.0, 5.0]","[1.0, 3.0, 3.0]","[-2.6473, 1.1689, 0.2183]","[3.0, 4.0, 4.0]","[3.0, 1.0, 3.0]","[0.0, 3.0, 5.0]","[5.0, 3.0, 3.0]","[-1.5629, 0.3918, -0.267]","[3.0, 4.0, 4.0]","[3.0, 1.0, 1.0]","[3.0, 4.0, 3.0]","[5.0, 3.0, 1.0]","[-2.623, -0.0558, -0.8793]","[4.0, 4.0, 4.0]","[3.0, 3.0, 3.0]","[3.0, 4.0, 5.0]","[1.0, 2.0, 1.0]","[-3.8133, -0.2264, -0.5296]","[2.0, 4.0, 4.0]","[3.0, 3.0, 3.0]","[0.0, 4.0, 5.0]","[1.0, 2.0, 1.0]","[-3.999, -0.4338, -0.13]","[3.0, 4.0, 4.0]","[4.0, 2.0, 3.0]","[0.0, 5.0, 5.0]","[1.0, 2.0, 3.0]","[-3.6565, -0.3347, 0.337]","[3.0, 7.0, 5.0]","[5.0, 2.0, 1.0]","[5.0, 5.0, 5.0]","[1.0, 2.0, 3.0]","[-3.2994, -0.0065, 0.8541]","[3.0, 7.0, 5.0]","[3.0, 3.0, 1.0]"
6.0,"[0.0, 3.0]","[3.0, 2.0]","[-0.2172, -1.1369]","[3.0, 3.0]","[1.0, 2.0]","[0.0, 3.0]","[3.0, 2.0]","[-0.2282, -1.2911]","[3.0, 3.0]","[1.0, 2.0]","[5.0, 4.0]","[3.0, 3.0]","[-0.2443, -1.3059]","[3.0, 3.0]","[1.0, 1.0]","[0.0, 3.0]","[3.0, 2.0]","[-0.2138, -1.0682]","[3.0, 4.0]","[1.0, 2.0]","[5.0, 4.0]","[3.0, 3.0]","[-0.2678, -0.843]","[3.0, 6.0]","[2.0, 1.0]","[4.0, 0.0]","[3.0, 5.0]","[-0.8029, -0.0042]","[4.0, 6.0]","[2.0, 1.0]","[4.0, 3.0]","[3.0, 3.0]","[-0.0407, 0.5916]","[5.0, 6.0]","[2.0, 1.0]","[5.0, 3.0]","[3.0, 1.0]","[0.5999, 1.114]","[3.0, 4.0]","[2.0, 1.0]","[5.0, 3.0]","[1.0, 3.0]","[1.0076, 1.2379]","[4.0, 3.0]","[2.0, 4.0]","[0.0, 3.0]","[1.0, 2.0]","[0.9324, 0.045]","[3.0, 3.0]","[2.0, 4.0]"
7.0,"[0.0, 0.0]","[3.0, 1.0]","[-2.6851, 0.2113]","[2.0, 2.0]","[1.0, 3.0]","[0.0, 0.0]","[3.0, 1.0]","[-2.781, 0.1289]","[2.0, 2.0]","[1.0, 3.0]","[0.0, 0.0]","[2.0, 1.0]","[-2.9727, 0.1241]","[2.0, 2.0]","[3.0, 3.0]","[0.0, 0.0]","[3.0, 1.0]","[-2.6562, 0.2458]","[2.0, 2.0]","[1.0, 4.0]","[0.0, 5.0]","[2.0, 4.0]","[-3.2971, 1.0007]","[2.0, 5.0]","[3.0, 2.0]","[0.0, 5.0]","[2.0, 1.0]","[-3.6995, 2.6787]","[2.0, 6.0]","[2.0, 3.0]","[0.0, 5.0]","[2.0, 1.0]","[-3.9321, 2.6436]","[2.0, 6.0]","[3.0, 5.0]","[0.0, 4.0]","[2.0, 1.0]","[-3.9146, 1.8196]","[3.0, 5.0]","[3.0, 5.0]","[0.0, 0.0]","[3.0, 1.0]","[-3.8324, 1.0119]","[3.0, 5.0]","[3.0, 5.0]","[0.0, 3.0]","[4.0, 3.0]","[-3.574, 0.7818]","[2.0, 5.0]","[1.0, 2.0]"
8.0,"[2.0, 0.0, 0.0, 3.0, 4.0]","[2.0, 3.0, 2.0, 2.0, 1.0]","[-0.4873, -1.1027, -4.2094, -2.9775, -0.8398]","[4.0, 4.0, 2.0, 3.0, 6.0]","[4.0, 1.0, 1.0, 2.0, 3.0]","[2.0, 0.0, 0.0, 3.0, 4.0]","[2.0, 3.0, 2.0, 2.0, 1.0]","[-0.4659, -0.9244, -4.269, -3.2023, -0.6023]","[3.0, 4.0, 2.0, 3.0, 6.0]","[4.0, 1.0, 1.0, 2.0, 3.0]","[5.0, 4.0, 0.0, 3.0, 4.0]","[2.0, 3.0, 2.0, 2.0, 1.0]","[-0.5325, -0.7315, -4.3114, -3.6191, -0.2842]","[3.0, 4.0, 1.0, 3.0, 4.0]","[5.0, 1.0, 1.0, 2.0, 3.0]","[2.0, 0.0, 0.0, 3.0, 4.0]","[2.0, 3.0, 2.0, 2.0, 1.0]","[-0.4957, -1.1404, -4.1834, -2.9115, -0.9163]","[4.0, 4.0, 2.0, 3.0, 6.0]","[4.0, 1.0, 1.0, 2.0, 3.0]","[5.0, 4.0, 0.0, 3.0, 2.0]","[1.0, 3.0, 2.0, 2.0, 4.0]","[-0.8206, -2.0887, -4.2526, -4.1265, -0.6463]","[3.0, 4.0, 1.0, 3.0, 4.0]","[5.0, 1.0, 1.0, 3.0, 3.0]","[5.0, 4.0, 0.0, 3.0, 4.0]","[1.0, 3.0, 9.0, 2.0, 4.0]","[-0.3042, -3.0249, -3.9471, -3.9883, -0.9212]","[5.0, 3.0, 2.0, 3.0, 4.0]","[1.0, 1.0, 3.0, 3.0, 2.0]","[5.0, 4.0, 0.0, 0.0, 4.0]","[2.0, 4.0, 7.0, 2.0, 4.0]","[1.3638, -1.5848, -3.2283, -2.4896, -0.579]","[5.0, 3.0, 3.0, 3.0, 4.0]","[2.0, 1.0, 3.0, 3.0, 2.0]","[5.0, 0.0, 0.0, 0.0, 4.0]","[2.0, 3.0, 7.0, 2.0, 3.0]","[1.782, -0.4456, -2.4783, -0.9228, -0.3306]","[5.0, 2.0, 3.0, 4.0, 4.0]","[3.0, 1.0, 3.0, 4.0, 3.0]","[4.0, 5.0, 0.0, 0.0, 4.0]","[1.0, 3.0, 7.0, 2.0, 3.0]","[0.217, -0.3804, -2.3174, -0.6037, -0.4094]","[5.0, 4.0, 3.0, 4.0, 4.0]","[1.0, 1.0, 4.0, 2.0, 2.0]","[4.0, 4.0, 0.0, 0.0, 4.0]","[1.0, 2.0, 4.0, 3.0, 3.0]","[-0.6706, -0.4299, -2.3119, -0.9259, -0.5769]","[5.0, 5.0, 3.0, 3.0, 4.0]","[3.0, 2.0, 3.0, 1.0, 2.0]"
9.0,[0.0],[4.0],[-3.4808],[2.0],[3.0],[0.0],[3.0],[-3.3091],[2.0],[2.0],[0.0],[3.0],[-2.8627],[2.0],[3.0],[0.0],[4.0],[-3.5262],[2.0],[2.0],[4.0],[3.0],[-1.7825],[3.0],[1.0],[4.0],[3.0],[-0.8745],[6.0],[1.0],[4.0],[3.0],[-1.1976],[3.0],[1.0],[4.0],[6.0],[-1.4097],[3.0],[1.0],[0.0],[6.0],[-1.1433],[5.0],[1.0],[3.0],[6.0],[-0.7095],[3.0],[1.0]
