index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB1normsorted,EEGB5normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB9normsorted,EEGB24normsorted,EEGB23normsorted,EEGB19normsorted,EEGB10normsorted,EEGB20normsorted,EEGB25normsorted,EEGB26normsorted,EEGB27normsorted,EEGB35normsorted,EEGB13normsorted,EEGB15normsorted,EEGB36normsorted,EEGB17normsorted,EEGB29normsorted,EEGB21normsorted,EEGB28normsorted,meannormsorted
0,CO_trev_1_num,TR,0.29379713723605877,0.300161320773876,0.302674080172218,0.2966623509302725,0.3081286531620142,0.3426669119416149,0.3841963354752246,0.4149966394841612,0.4385769302618112,0.4681081124894812,0.4458901512691365,0.4316658931978819,0.4462667759313915,0.41948470289253764,0.4574393838629324,0.4456972923239053,0.40466664714926187,0.43051914389310003,0.41165437356252865,0.44238515848901344,0.40611350852686895,0.4401276870876323,0.4297536455655467,0.40461022194765656,0.4217610932238012,0.39952016603399715
1,CO_FirstMin_ac,FM,0.29880401256737393,0.2787520296413435,0.2667366190952334,0.2950694436189816,0.271000532965154,0.24628362546084595,0.22932660435000127,0.21042733506688474,0.17425615241950754,0.1765021711881221,0.1768866954612959,0.14670041607121445,0.1877563900679107,0.17567595432090907,0.17961764205550654,0.1760845022223588,0.1892159635171213,0.1590860462308579,0.2148898813017041,0.16499140672570303,0.18355869295035157,0.17266018444436848,0.17522422694370354,0.20894142827841045,0.18627136049171827,0.20578877269826332
2,IN_AutoMutualInfoStats_40_gaussian_fmmi,FMAI,0.12967199826382708,0.12497683143025282,0.1244968176337598,0.1269398824591535,0.10856224638962786,0.10818080265652168,0.10572303670160796,0.10069764710050048,0.0982700560745112,0.07957118331016855,0.08960850461025534,0.10811895296378844,0.09960693186562321,0.10137613789070032,0.07872478055397386,0.0887892762721228,0.10548315086547272,0.10447295133901943,0.08851840177935165,0.09939840820667258,0.10052983144568027,0.1015709360603361,0.0986233207183733,0.09587648846423465,0.09773745633042132,0.10262104125543826
3,SB_BinaryStats_mean_longstretch1,C,0.04433656982058097,0.048273865088048186,0.049137385959418245,0.044646516036304436,0.05015012042680077,0.04926601764501017,0.05255560678627384,0.04858160320561117,0.04918650913234006,0.04764435940971505,0.050045027477103474,0.049022722537302686,0.04267643005418056,0.04807718876248087,0.05066989930870548,0.05023949434036535,0.05199888095714234,0.04854341300792877,0.04510816254356992,0.04657572798338243,0.050520378071896785,0.04617869879901615,0.05248836942653639,0.046448967353324225,0.050992086647407064,0.04853456003121782
4,SB_BinaryStats_diff_longstretch0,LP,0.058062534133846114,0.05919109177687707,0.05922476762796581,0.05856415590625043,0.060108411062665325,0.04375630818974057,0.04686565168601365,0.04140721613483748,0.049716028967497064,0.04536497655447582,0.04212390532477894,0.04817184642354183,0.04435095750183218,0.046412485866591593,0.044020113506031924,0.04315999435357927,0.04271691128981072,0.04685836540568647,0.0453097909363697,0.046745031445636534,0.051956004512370174,0.04307051714908249,0.041293757408152616,0.04752303109309899,0.039196427995074216,0.04780681129007228
5,FC_LocalSimple_mean3_stderr,ME,0.03172138517451875,0.03283121348267515,0.03734302557996962,0.03191865267187288,0.03956540763316001,0.03796256167225004,0.035330761465948046,0.03618760200188742,0.03580702753651878,0.03345567253848315,0.03403597964496717,0.043132083134634625,0.03680121049493438,0.03981426192349855,0.03540166396609076,0.039961277728599184,0.04288319243697535,0.038458049520542284,0.03839154516456568,0.037992520711964614,0.039986400095594114,0.03883657409943145,0.040006364259543736,0.040429891498578195,0.04016592155438221,0.03753680983966345
6,SP_Summaries_welch_rect_centroid,C,0.039347440481269536,0.040681973612433656,0.04478723326145455,0.039297504281228635,0.03992821980505425,0.03824293126556297,0.030900036873979866,0.02832208274429451,0.03327150421827855,0.03390532314514853,0.03982507817909698,0.039696298488140026,0.030592308146158438,0.04218973419903457,0.035432660275055636,0.03436084903404549,0.03602786660996376,0.03875546648510426,0.034144241065803375,0.036155953330857436,0.038556727597318166,0.03585720597993394,0.03829686302848219,0.03659631741376978,0.039013494305050384,0.036967412553060776
7,DN_OutlierInclude_p_001_mdrmd,A,0.017138187888880777,0.01970505113579667,0.01607792252449049,0.017608888612962753,0.020998321690123146,0.022735779284148022,0.022113888132535238,0.02308298751054413,0.021426284685403356,0.021978230109033676,0.022878592669590497,0.023730105569114025,0.02098419659107768,0.02343104896539019,0.023323636860661637,0.02295544288850805,0.0237398353185163,0.021233986939022155,0.022049232074935938,0.025098512692908696,0.02281876055244265,0.023093963106644737,0.02157130796360981,0.022524454913358527,0.021488107990274143,0.021751469066798933
8,DN_HistogramMode_10,Z10,0.016274865757201433,0.019565491829776023,0.017844845812927747,0.016957361681677864,0.018631383867690237,0.023357323880951554,0.01922900732221889,0.01931647554180653,0.019651462415155214,0.017469733479662977,0.021814027039778083,0.023803143993102953,0.019406184500540935,0.021060218687023576,0.01993131469638411,0.020394486114459143,0.02368603596602121,0.025610016896135582,0.019734135862836254,0.023033891864508625,0.023814492452888483,0.021483460561425066,0.02157319529536317,0.017942608069348383,0.02200426568942115,0.020543577171132203
9,DN_HistogramMode_5,Z5,0.009947692774958036,0.011577016209799224,0.016308491404157056,0.010146942412802321,0.017915890467456334,0.02553850325682745,0.015673447478132763,0.020568309843364087,0.018792053005053093,0.020910137879775744,0.019925259636077455,0.023170565134011955,0.018275894299033195,0.02111997328654023,0.021271886988464994,0.021650615730693573,0.02066781407478875,0.023313071201155545,0.01970086740922484,0.018962927292692486,0.018599324529593127,0.020942317264498425,0.022540515603945443,0.022721911100389416,0.023890432273053826,0.019365274422259573
