index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB1normsorted,EEGB5normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB9normsorted,EEGB20normsorted,meannormsorted
0,CO_trev_1_num,TR,0.22631745003793657,0.2425895448229369,0.2834559546584748,0.22339991981780455,0.39978044328607565,0.4899927029855223,0.4874379797329546,0.5053610676632042,0.49070207474199035,0.47002667674074133,0.3819063814487641
1,CO_FirstMin_ac,FM,0.3533702203517202,0.34270305740914575,0.3100837343748078,0.354843675232656,0.2066180238433327,0.14932284824762207,0.1537484028313974,0.1428849599357128,0.150930857721805,0.14085707197172698,0.23053628519199262
2,IN_AutoMutualInfoStats_40_gaussian_fmmi,FMAI,0.13351551555751476,0.1367515540387431,0.13228601116468552,0.13745998208129157,0.10972157735040639,0.09461937661646674,0.09438729036015969,0.08550763512341866,0.09077942017478029,0.09718984508399046,0.11122182075514572
3,SB_BinaryStats_diff_longstretch0,LP,0.05439839238048184,0.05736937005528419,0.05305860167876662,0.05257197994165436,0.0568007244351582,0.04610260713407315,0.048877971224125794,0.04799169197691872,0.0435096629240073,0.04303634543719148,0.05037173471876617
4,SB_BinaryStats_mean_longstretch1,C,0.0502695593733008,0.04471025776655714,0.04821221014486939,0.05149019536878556,0.04832744180546968,0.042770799969428924,0.03993283426047689,0.04418958009176677,0.0457959345637641,0.045795172969575644,0.04614939863139949
5,SP_Summaries_welch_rect_centroid,C,0.04003879689814491,0.03665004575320605,0.03420306917593776,0.038570634532293376,0.0329676298832816,0.02722122254068346,0.03056171107689015,0.02885758079892692,0.028396401996152943,0.033246989321502586,0.033071408197701976
6,FC_LocalSimple_mean3_stderr,ME,0.03566169724400482,0.034563219658657905,0.03227570792208575,0.036404324799615605,0.032472003226228945,0.031828243965816974,0.030265502472622555,0.029290559228628034,0.026475806927424586,0.03599138057425656,0.03252284460193418
7,DN_OutlierInclude_p_001_mdrmd,A,0.01835119297899241,0.018061845241272755,0.01853659437921049,0.018397121811511992,0.019827630007552572,0.021038471041252855,0.023945393539695752,0.023550227840241567,0.024042479564862197,0.019288092045168584,0.020503904844976117
8,DN_HistogramMode_10,Z10,0.016835985790928477,0.013788404695639477,0.017878477007980828,0.014853364858697569,0.019004249245895537,0.025739201291186307,0.020696902032849674,0.022148444375042403,0.024369366933254113,0.02920577251954079,0.02045201687510152
9,DN_HistogramMode_5,Z5,0.009945836687264894,0.012511513095798515,0.01523046155579818,0.010226682005414416,0.018391386639108973,0.021155618079098028,0.021421651897105966,0.02122182795775324,0.023155044752801387,0.02536124485654651,0.01786212675266901
10,CO_HistogramAMI_even_2_5,AI,0.01830457316188295,0.01982932926350968,0.019300388861258875,0.01891004498379037,0.018147107840666196,0.01591115459632962,0.014697569840509375,0.014975611861943352,0.015482269035485134,0.014462349944655015,0.017002039939003056
11,FC_LocalSimple_mean1_tauresrat,CC,0.01550863159726542,0.01346027793853842,0.011744970451520034,0.01540041393775824,0.016865248834956693,0.011502628436872157,0.010619012021760016,0.009595014871008584,0.013172412805275861,0.016522043820184244,0.013439065471513967
12,DN_OutlierInclude_n_001_mdrmd,B,0.00651206958416277,0.006049860842193581,0.006164302865456576,0.006677177761043595,0.007083218316176018,0.008920560110511016,0.009405692834071,0.010386977494359032,0.010875938551087691,0.012336801511161335,0.00844125998702226
13,CO_Embed2_Dist_tau_d_expfit_meandiff,EF,0.009531397361029675,0.008265800318766309,0.008182032151580644,0.009260876177574873,0.008083813088385084,0.007459496061253139,0.007691841288292914,0.00720858117189316,0.007506446294358907,0.007267686665466507,0.008045797057860123
14,MD_hrv_classic_pnn40,PD,0.005940285002185269,0.005823987480576172,0.004915983753876637,0.005811154204467011,0.002789122198939177,0.0020704566733893838,0.0023511061780364865,0.002236108743644095,0.0017493251340540486,0.0016155680388961514,0.0035303097408064437
15,CO_f1ecac,FC,0.0032198566277249086,0.004604899268651542,0.002290943885301731,0.0032636890503494375,0.0006726597175322988,0.002341803258861381,0.0023151354118931314,0.002941319071992602,0.001208601747889085,0.005865492405068906,0.002872440044526502
16,SB_MotifThree_quantile_hh,EN,0.0017601864254415513,0.0017711628887778095,0.001804014177103228,0.0019383337648123107,0.0021429656013166294,0.0017531414494274529,0.0013749793775557813,0.001405395790947238,0.0015293474477358353,0.0016079509911029809,0.0017087477914220818
17,SB_TransitionMatrix_3ac_sumdiagcov,TC,0.0005179428771214402,0.0004955966252133992,0.0003763933498537631,0.0005203100316601125,0.00030468245675013475,0.00024962744184999543,0.00026899513140613853,0.0002473925718515177,0.0003185911610973957,0.00032351266058721294,0.0003623044307391111
18,max_m,MAX,2.544323471595347e-7,1.6585002589555412e-7,8.816593020935312e-8,7.551883097200676e-8,4.241784746054659e-8,2.380100951482428e-8,1.727523479364663e-8,1.4465207784597211e-8,1.1288608903450144e-8,1.705767035474117e-9,6.949208097289878e-8
19,mean_m,M,9.848130475800637e-8,6.77574733571541e-8,3.965905433979496e-8,2.830649769063527e-8,2.020614046186582e-8,1.1226973196527676e-8,7.76353997301992e-9,6.418656155206615e-9,4.652042416708176e-9,6.139670073305922e-10,2.850856493562495e-8
20,min_m,MIN,5.71492443300314e-8,3.9229032212841126e-8,2.061644719664486e-8,1.5813490215530073e-8,9.598779842145224e-9,5.072372171089902e-9,3.449421699933548e-9,2.5468831991518297e-9,1.5815225316544314e-9,1.2290252690621176e-10,1.551800959259286e-8
21,SP_Summaries_welch_rect_area_5_1,TP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,FDFA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,FLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,PD_PeriodicityWang_th0_01,PM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
