index,descriptornamesnormsorted,descriptorabbrsnormsorted,EEGB2normsorted,EEGB3normsorted,EEGB4normsorted,EEGB1normsorted,EEGB5normsorted,EEGB6normsorted,EEGB7normsorted,EEGB8normsorted,EEGB9normsorted,EEGB20normsorted,EEGB11normsorted,EEGB10normsorted,EEGB24normsorted,EEGB33normsorted,EEGB19normsorted,EEGB34normsorted,EEGB42normsorted,EEGB25normsorted,EEGB23normsorted,EEGB22normsorted,EEGB17normsorted,EEGB12normsorted,EEGB27normsorted,EEGB26normsorted,EEGB15normsorted,meannormsorted
0,CO_trev_1_num,TR,0.22631745003793657,0.2425895448229369,0.2834559546584748,0.22339991981780455,0.39978044328607565,0.4899927029855223,0.4874379797329546,0.5053610676632042,0.49070207474199035,0.47002667674074133,0.48823670080031606,0.5042111671534043,0.4647325205123006,0.4627702835461914,0.4875327718029055,0.48144566244948594,0.446772549482265,0.5050624766059659,0.48815271997931836,0.5043881451779495,0.513407289138913,0.49018900006677546,0.5000306593610362,0.5147654118200107,0.506439547752178,0.44708802880546633
1,CO_FirstMin_ac,FM,0.3533702203517202,0.34270305740914575,0.3100837343748078,0.354843675232656,0.2066180238433327,0.14932284824762207,0.1537484028313974,0.1428849599357128,0.150930857721805,0.14085707197172698,0.14131305914960346,0.12519851554212755,0.14573710721814917,0.15250553072400747,0.13310786856694876,0.14820719824604722,0.16983148019197142,0.1317056786237058,0.12814408647483413,0.13341758384436866,0.11479772874662687,0.14976685916877058,0.1298327622368865,0.11635216054981702,0.12679187029509004,0.17408289365995525
2,IN_AutoMutualInfoStats_40_gaussian_fmmi,FMAI,0.13351551555751476,0.1367515540387431,0.13228601116468552,0.13745998208129157,0.10972157735040639,0.09461937661646674,0.09438729036015969,0.08550763512341866,0.09077942017478029,0.09718984508399046,0.10198740660338357,0.09557634695609064,0.0956857131169916,0.09274311352844801,0.08768433128048052,0.09287333899720193,0.09624137527355409,0.0855752632681946,0.08975056523098522,0.08694715769670598,0.09915998079331208,0.09781129160354203,0.093532389352935,0.08825892121921612,0.08099123744295737,0.09988146559661822
3,SB_BinaryStats_diff_longstretch0,LP,0.05439839238048184,0.05736937005528419,0.05305860167876662,0.05257197994165436,0.0568007244351582,0.04610260713407315,0.048877971224125794,0.04799169197691872,0.0435096629240073,0.04303634543719148,0.042958413718930485,0.04584193927172747,0.045542021924499056,0.04578453257196863,0.04500433747507563,0.04375958281439192,0.04283914874981383,0.04787918646902864,0.046400007829340284,0.042460695909208625,0.043997959232908355,0.041920556637050896,0.04082613365909367,0.045197681427348334,0.04803646256236977,0.04688664029761669
4,SB_BinaryStats_mean_longstretch1,C,0.0502695593733008,0.04471025776655714,0.04821221014486939,0.05149019536878556,0.04832744180546968,0.042770799969428924,0.03993283426047689,0.04418958009176677,0.0457959345637641,0.045795172969575644,0.042134627728092656,0.04556538734187739,0.04999865290610899,0.04643864524333894,0.04664023917806964,0.04871092441871706,0.04880367383308248,0.04634088692315569,0.05122606538947066,0.047039569894419916,0.04299373100308845,0.04185040509594184,0.047224623030846104,0.048318435296698194,0.047399589857029474,0.04648717773815729
5,FC_LocalSimple_mean3_stderr,ME,0.03566169724400482,0.034563219658657905,0.03227570792208575,0.036404324799615605,0.032472003226228945,0.031828243965816974,0.030265502472622555,0.029290559228628034,0.026475806927424586,0.03599138057425656,0.030987234743321743,0.02815680757174637,0.041412856678423156,0.04314399761642384,0.036445850782237,0.040853271346261454,0.03915636725415373,0.038198275133228994,0.04257354759788803,0.040256865684472745,0.03251758697317391,0.032128116792897836,0.03779348347326757,0.03872932065441642,0.03211855241585002,0.03518802322948418
6,SP_Summaries_welch_rect_centroid,C,0.04003879689814491,0.03665004575320605,0.03420306917593776,0.038570634532293376,0.0329676298832816,0.02722122254068346,0.03056171107689015,0.02885758079892692,0.028396401996152943,0.033246989321502586,0.03248026741467352,0.031860175668763924,0.03613666601862191,0.03316492950977789,0.03224320307623754,0.03306064979443441,0.0349005918972702,0.031886642524017,0.0329393213746017,0.030635036966301245,0.029278354167464986,0.03239514163070079,0.031320721869102425,0.029845194326032932,0.028287789402676653,0.03244595070470786
7,DN_HistogramMode_10,Z10,0.016835985790928477,0.013788404695639477,0.017878477007980828,0.014853364858697569,0.019004249245895537,0.025739201291186307,0.020696902032849674,0.022148444375042403,0.024369366933254113,0.02920577251954079,0.020089778294035604,0.02290381592179398,0.024420474361205122,0.02253583022392323,0.024541035783588683,0.02211835149780807,0.025598187538644852,0.021492183620072762,0.01999213984601992,0.022357952881123154,0.025334547559862693,0.021785336989626404,0.023727613659725925,0.02488163118582765,0.027440155641020942,0.02214956815021177
8,DN_OutlierInclude_p_001_mdrmd,A,0.01835119297899241,0.018061845241272755,0.01853659437921049,0.018397121811511992,0.019827630007552572,0.021038471041252855,0.023945393539695752,0.023550227840241567,0.024042479564862197,0.019288092045168584,0.022448573390978846,0.026385992471925475,0.020399898685850355,0.021883087838898294,0.02152410400686028,0.01896785697642445,0.01939060805183411,0.018541802268660142,0.02131864748835872,0.020658856891829357,0.02022606337673856,0.02070766595954114,0.019417594534911042,0.01915645878784087,0.021637580782898153,0.02070815359853244
9,DN_HistogramMode_5,Z5,0.009945836687264894,0.012511513095798515,0.01523046155579818,0.010226682005414416,0.018391386639108973,0.021155618079098028,0.021421651897105966,0.02122182795775324,0.023155044752801387,0.02536124485654651,0.020791403388647905,0.019215274304438736,0.021414088614888725,0.02350827043604195,0.02413365196290356,0.01956830092543729,0.022582981962926553,0.022590339204798415,0.024558847177762164,0.018764345147209847,0.02144563840801279,0.01847679942747562,0.0229291596068122,0.022095705214306885,0.022615880083354162,0.020132478135668274
