Dataseed	use_training_form	n_task	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)sensitivity	T(entropy,2,0.01,0.2)specificity	T(entropy,2,0.01,0.2)precision	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)sensitivity	T(entropy,2,0.01,0.6)specificity	T(entropy,2,0.01,0.6)precision	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)t	RF(10,half,all)K	RF(10,half,all)sensitivity	RF(10,half,all)specificity	RF(10,half,all)precision	RF(10,half,all)accuracy	RF(10,half,all)oob_error	RF(10,half,all)σ² K	RF(10,half,all)σ² sensitivity	RF(10,half,all)σ² specificity	RF(10,half,all)σ² precision	RF(10,half,all)σ² accuracy	RF(10,half,all)σ² oob_error	RF(10,half,all)t	
1	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	28.57	67.86	60.71	63.33	64.29	00:00:16	14.29	57.14	57.14	57.14	57.14	00:00:01	29.29	53.57	75.71	69.07	64.64	36.97	0.01556122448979592	0.006377551020408166	0.007270408163265307	0.0058485129715846115	0.0038903061224489803	0.002438366665681838	00:00:23	
2	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	0.0	71.43	28.57	50.0	50.0	00:00:01	3.57	71.43	32.14	51.28	51.79	00:00:01	20.0	62.14	57.86	59.48	60.0	38.22	0.0035714285714285674	0.004209183673469391	0.00025510204081632634	0.0005568730560444437	0.0008928571428571419	8.589881013571975e-5	00:00:15	
3	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	10.71	57.14	53.57	55.17	55.36	00:00:01	7.14	53.57	53.57	53.57	53.57	00:00:01	23.57	50.0	73.57	65.69	61.79	35.92	0.021428571428571408	0.005102040816326528	0.007397959183673463	0.010370371636934723	0.005357142857142852	0.0015920060830032668	00:00:16	
4	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	28.57	53.57	75.0	68.18	64.29	00:00:01	39.29	60.71	78.57	73.91	69.64	00:00:00	40.0	62.14	77.86	74.13	70.0	37.46	0.007270408163265312	0.0016581632653061252	0.005357142857142852	0.004469811231293709	0.001817602040816328	0.0007143655834302786	00:00:18	
5	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	0.0	32.14	67.86	50.0	50.0	00:00:01	25.0	57.14	67.86	64.0	62.5	00:00:01	42.14	59.29	82.86	77.6	71.07	35.15	0.007908163265306117	0.0022959183673469416	0.002168367346938777	0.0033008751710050413	0.001977040816326529	0.0005618589127832917	00:00:14	
6	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	32.14	60.71	71.43	68.0	66.07	00:00:01	42.86	78.57	64.29	68.75	71.43	00:00:01	47.86	77.86	70.0	72.34	73.93	37.58	0.00293367346938776	0.0008928571428571421	0.002933673469387752	0.0013312959269536624	0.0007334183673469399	0.0002861723648308996	00:00:17	
7	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	28.57	64.29	64.29	64.29	64.29	00:00:01	32.14	67.86	64.29	65.52	66.07	00:00:01	50.0	75.0	75.0	75.22	75.0	40.2	0.01466836734693877	0.0031887755102040782	0.006377551020408157	0.00483966850918418	0.0036670918367346923	0.0012833147281047703	00:00:16	
8	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	17.86	64.29	53.57	58.06	58.93	00:00:01	17.86	85.71	32.14	55.81	58.93	00:00:01	42.14	75.71	66.43	69.37	71.07	37.65	0.004081632653061218	0.002806122448979589	0.002933673469387758	0.0009994832738911459	0.0010204081632653047	0.0011571877828088885	00:00:17	
9	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	28.57	60.71	67.86	65.38	64.29	00:00:01	28.57	64.29	64.29	64.29	64.29	00:00:01	37.86	62.86	75.0	71.44	68.93	37.62	0.006122448979591831	0.0042091836734693905	0.0006377551020408157	0.001310058629658152	0.0015306122448979578	0.000282092365438122	00:00:14	
10	stump	1	1	2	(10,45,30)	false	Any[]	TestOp_80	-10.71	42.86	46.43	44.44	44.64	00:00:01	-3.57	53.57	42.86	48.39	48.21	00:00:01	39.29	57.86	81.43	76.09	69.64	37.3	0.007653061224489785	0.0028061224489795925	0.004719387755102041	0.004676411341846412	0.0019132653061224463	0.000467296623104984	00:00:15	
