,GANDALF,,,,GANDALF 7x7,,,COVID,"Iteration ""TestOp_80,1,1,4,false,stump,Any[],1,(10,45,30)""...",,,"Iteration ""TestOp_80,1,1,4,false,stump_with_memoization,Any[],1,(10,45,30)""...",,
,stump,stump+memoiz,stump+memoiz+view,,stump,stump+memoiz+view,,,ms,allocations,memory,ms,allocations,memory
,13.78744,3.242019,3.140377,,2897,132.796,,,47466,201348678,6.48 GiB,58.006,4184994,215.84 MiB
,12.041007,20.673968,19.53926,,54.879,55.678,,,1425,17025337,439.81 MiB,1489,17531412,445.24 MiB
,0.25944,0.325904,0.289675,,53.565,55.042,,,1227,12745988,322.39 MiB,1281,13102566,325.76 MiB
,0.294369,0.434252,0.31467,,35.577,36.561,,,3499,66083609,1.85 GiB,3639,68612518,1.87 GiB
,0.279965,0.369689,0.305425,,36.093,36.474,,,3800,71055136,1.96 GiB,3801,73018880,1.96 GiB
,0.24248,0.37797,0.231701,,35.869,36.574,,,3718,71366540,1.99 GiB,3721,73117915,1.97 GiB
,0.279883,0.313897,0.259415,,34.128,34.681,,,3945,71690758,2.00 GiB,3920,73395619,1.98 GiB
,0.249322,0.376635,0.255491,,35.809,36.469,,,4465,75453875,2.09 GiB,4801,77206756,2.07 GiB
,0.263893,0.378294,0.310015,,36.076,36.779,,,967.714,13309861,349.01 MiB,1060,13674889,352.11 MiB
,0.243643,0.346274,0.244765,,35.874,36.685,,,703.711,7125965,180.11 MiB,748.815,7313697,181.24 MiB
,0.266217,0.338361,0.287876,,36.926,37.544,,,3594,64442452,1.83 GiB,3767,66835493,1.84 GiB
,0.400684,0.029082,0.034748,,1405,69.96,,,4200,65529318,1.87 GiB,3458,67264080,1.85 GiB
,0.11659,0.149217,0.152866,,20.217,20.749,,,2699,56138550,1.62 GiB,2585,57230612,1.60 GiB
,0.124207,0.152766,0.131562,,31.853,33.067,,,3472,66185321,1.87 GiB,3469,67650727,1.85 GiB
,0.119439,0.158008,0.197349,,32.099,32.682,,,3082,62056734,1.76 GiB,2986,63346552,1.73 GiB
,0.129762,0.228942,0.136862,,14.889,15.171,,,1764,19515216,483.27 MiB,1815,20089011,489.59 MiB
