	use_training_form	n_task	aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	Model	accuracy
0	stump_with_memoization	1	0	1	40	50	False	Any[]	TestOp_80	RF(0.7,100,half,all)	69.465
1	stump_with_memoization	1	0	1	40	50	False	Any[]	TestOp_80	RF(0.7,50,half,all)	69.0
2	stump_with_memoization	1	0	1	40	50	False	Any[]	TestOp_80	T(entropy,2,0.01,0.5)	63.751
3	stump_with_memoization	1	0	1	40	50	False	Any[]	TestOp_80	T(entropy,2,0.01,0.6)	62.67900000000001
4	stump_with_memoization	1	0	1	40	50	False	Any[]	TestOp_80	T(entropy,4,0.01,0.5)	63.39300000000001
5	stump_with_memoization	1	0	1	40	50	False	Any[]	TestOp_80	T(entropy,4,0.01,0.6)	62.67900000000001
6	stump_with_memoization	1	0	1	40	75	False	Any[]	TestOp_80	RF(0.7,100,half,all)	70.535
7	stump_with_memoization	1	0	1	40	75	False	Any[]	TestOp_80	RF(0.7,50,half,all)	69.714
8	stump_with_memoization	1	0	1	40	75	False	Any[]	TestOp_80	T(entropy,2,0.01,0.5)	62.499
9	stump_with_memoization	1	0	1	40	75	False	Any[]	TestOp_80	T(entropy,2,0.01,0.6)	64.643
10	stump_with_memoization	1	0	1	40	75	False	Any[]	TestOp_80	T(entropy,4,0.01,0.5)	63.56999999999999
11	stump_with_memoization	1	0	1	40	75	False	Any[]	TestOp_80	T(entropy,4,0.01,0.6)	64.643
12	stump_with_memoization	1	0	1	40	100	False	Any[]	TestOp_80	RF(0.7,100,half,all)	72.036
13	stump_with_memoization	1	0	1	40	100	False	Any[]	TestOp_80	RF(0.7,50,half,all)	71.07000000000001
14	stump_with_memoization	1	0	1	40	100	False	Any[]	TestOp_80	T(entropy,2,0.01,0.5)	63.928
15	stump_with_memoization	1	0	1	40	100	False	Any[]	TestOp_80	T(entropy,2,0.01,0.6)	64.642
16	stump_with_memoization	1	0	1	40	100	False	Any[]	TestOp_80	T(entropy,4,0.01,0.5)	64.285
17	stump_with_memoization	1	0	1	40	100	False	Any[]	TestOp_80	T(entropy,4,0.01,0.6)	64.642
18	stump_with_memoization	1	0	2	40	50	False	Any[]	TestOp_80	RF(0.7,100,half,all)	68.929
19	stump_with_memoization	1	0	2	40	50	False	Any[]	TestOp_80	RF(0.7,50,half,all)	68.857
20	stump_with_memoization	1	0	2	40	50	False	Any[]	TestOp_80	T(entropy,2,0.01,0.5)	68.035
21	stump_with_memoization	1	0	2	40	50	False	Any[]	TestOp_80	T(entropy,2,0.01,0.6)	67.499
22	stump_with_memoization	1	0	2	40	50	False	Any[]	TestOp_80	T(entropy,4,0.01,0.5)	68.035
23	stump_with_memoization	1	0	2	40	50	False	Any[]	TestOp_80	T(entropy,4,0.01,0.6)	67.499
24	stump_with_memoization	1	0	2	40	75	False	Any[]	TestOp_80	RF(0.7,100,half,all)	66.53599999999999
25	stump_with_memoization	1	0	2	40	75	False	Any[]	TestOp_80	RF(0.7,50,half,all)	66.17699999999999
26	stump_with_memoization	1	0	2	40	75	False	Any[]	TestOp_80	T(entropy,2,0.01,0.5)	63.75
27	stump_with_memoization	1	0	2	40	75	False	Any[]	TestOp_80	T(entropy,2,0.01,0.6)	65.715
