TIMESTAMP	FILE NAME	COMP TIME	ARGS	
26/08/2021 15:35:12	dataset_66908de9694c1cd7287b98308a89dce0fbca85d7464c8f1c7b4c231834e513c9.jld	00:00:28	((2, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:36:07	dataset_6ee719c70a06530300f8ad9e34d75dc953e8f2593b3c495289b31db98c6e4b9b.jld	00:01:41	((1, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:36:15	dataset_4b6ef105743daa0176d7e74f4f6d51160d5bc2513ceda0d3631847bb87484112.jld	00:00:08	((3, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:36:21	dataset_3d253361c2510582fa8cd8e68ae7fd953d24c9c2e51c5b0beb1cb8a3b0b33f2d.jld	00:00:06	((2, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:36:38	dataset_3f6b9f83dc0b8c4e584773a12f2c8877255b190c33e6f35d08f3d9edda7f0161.jld	00:00:18	((1, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:36:42	dataset_8d1b226f83655fa5e18f58d521ef7779597147c9f852c1535a5cde7cf60fc00a.jld	00:00:04	((3, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:36:59	dataset_f038f6bf960e8dbfa9788c09c4331666290d9b787be1f39cc91edac87be15b65.jld	00:00:17	((2, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:37:55	dataset_f3e5ada7054b48f1940574445811b9ddbf7d63ba7791c4d8177799ad9ff3c88b.jld	00:01:56	((1, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:38:06	dataset_0493cc78d76aaa0b35b0f5b9babb8d8c51010aa5252b7b4530b118d1ac31dbe0.jld	00:00:11	((3, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), [normalize!], false)	
26/08/2021 15:38:19	dataset_af6472430b29cfeff5377633d4d0dea6b90bb5ab6c3fc0aead84126040cd7f31.jld	00:00:13	((2, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), Any[], false)	
26/08/2021 15:38:58	dataset_3e2cd64b81333eb10bff9d08e6c70380928e5a43b0c9e56a11cf8fb8ddbf60ec.jld	00:01:39	((1, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), Any[], false)	
26/08/2021 15:39:05	dataset_003ca1381df2b6516f0092372de36811bc9b0b8ef9656c6f8d24b09d380a2a37.jld	00:00:07	((3, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), Any[], false)	
26/08/2021 15:39:11	dataset_da32b63d9c69c0c4b975117b9ab6dc8f94c7588ecdb7ef13a2adf4822ca2be53.jld	00:00:05	((2, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), Any[], false)	
26/08/2021 15:39:28	dataset_7847989e6532ea8e2a52adc169ac56ce37b43cddc84b78fc51748373066e01f4.jld	00:00:17	((1, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 4000.0), (ma_size = 100, ma_step = 75), Any[], false)	
