	use_training_form	n_task	aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	Model	accuracy
0	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	70.214
1	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	69.178
2	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	60.891999999999996
3	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	60.714
4	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	61.072
5	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	61.963
6	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	61.071000000000005
7	stump_with_memoization	1	0	1	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	61.072
8	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	68.999
9	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	68.035
10	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	61.071000000000005
11	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	60.89300000000001
12	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	61.60799999999999
13	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	61.964
14	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	61.428
15	stump_with_memoization	1	0	1	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	61.60799999999999
16	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	68.535
17	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	68.358
18	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	58.03499999999999
19	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	57.677
20	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	60.178
21	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	57.501
22	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	58.213999999999984
23	stump_with_memoization	1	0	1	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	60.178
24	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	64.89399999999999
25	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	64.39300000000001
26	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	57.5
27	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	57.49899999999999
28	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	58.213
29	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	58.214999999999996
30	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	57.859
31	stump_with_memoization	1	0	2	40	75	False	"Any[""NG"",""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	58.03399999999999
32	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,100,half,all)	66.822
33	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	RF(0.7,50,half,all)	66.071
34	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.4)	60.359
35	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.5)	60.71499999999999
36	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,2,0.01,0.6)	58.573
37	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.4)	60.53499999999999
38	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.5)	59.821000000000005
39	stump_with_memoization	1	0	2	40	75	False	"Any[""Normalize""]"	TestOp_80	T(entropy,4,0.01,0.6)	58.573
40	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,100,half,all)	66.214
41	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	RF(0.7,50,half,all)	65.786
42	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.4)	63.928999999999995
43	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.5)	63.037
44	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,2,0.01,0.6)	60.178999999999995
45	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.4)	62.678
46	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.5)	62.144000000000005
47	stump_with_memoization	1	0	2	40	75	False	"[""NoOp""]"	TestOp_80	T(entropy,4,0.01,0.6)	60.178999999999995
