TIMESTAMP	FILE NAME	COMP TIME	ARGS	
14/08/2021 01:06:21	dataset_423025eddda30c545f1a32501a68708bb58841f39152205937c775add7e6129e.jld	00:01:34	((1, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
14/08/2021 15:32:30	dataset_fd2af0a5e384d9ac06b2785bcccd5d91dbbd77a0fe1f6f0aa0c983eeabc440da.jld	00:00:19	((2, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
14/08/2021 15:55:29	dataset_bac633737106dcd10ff05e137baaff647d9a98b7a82bd60f27867ca14eea4fbe.jld	00:00:04	((3, true), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
14/08/2021 16:31:36	dataset_66bd4b34e5a70281d358e7fe47ad0913158b3b1a0ba0d088d2f9e7f836dca3d0.jld	00:00:04	((2, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
14/08/2021 16:39:54	dataset_81222dfa1b70b1b647353b444ef883e687100800fb01f9932988c68ac5212c31.jld	00:00:03	((3, false), 1, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
14/08/2021 16:43:55	dataset_26fc7b58c43306cf489a97c5944cd176f151feee137ed925e1dfb5d76f6bf239.jld	00:01:41	((1, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 00:08:34	dataset_76e7dadecaed32915716326bb0a7b360de5cf599c8afb5f13a8612e04cdc17b9.jld	00:00:15	((2, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 01:51:02	dataset_c47b9ce4ac0e06c6ca9215551b19dd7cce90af7556727fbf64565d007708da46.jld	00:00:09	((3, true), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 03:44:24	dataset_26c8aae7961902029208ff0d51dc15626c511e509cca0c05985fb82e1b8ea88d.jld	00:00:08	((2, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 04:22:31	dataset_d3fa86120afbbdaffc18f40cca4e0915d423a425a8498471382d9553fcf04c78.jld	00:00:06	((3, false), 2, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 04:43:44	dataset_82332503c40454c73529b5da1c5f1e5283fa66d375e32b5d96ca104c4dcc32f2.jld	00:01:02	((1, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 10:33:22	dataset_0d7e853aeeba65ebca3814bf24db049447a7c4346ef942b81c8f7897640c7c2d.jld	00:00:20	((2, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 11:49:31	dataset_3447da2ded99e6ad98647a363f4aa136dd3f1970237ca978d244146a60c3fd80.jld	00:00:13	((3, true), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 13:14:30	dataset_7f3992c9ece6c556c42730a4fb1f59a60e2533b50513ce6e45d5455b1c6119c8.jld	00:00:12	((2, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
15/08/2021 13:29:34	dataset_1e6de370814785041fa953f280432e07eb46a4b9ab1ee50d67af676c09cf9021.jld	00:00:09	((3, false), 3, (wintime = 0.025, steptime = 0.01, fbtype = :mel, window_f = DSP.Windows.hamming, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, maxfreq = 8000.0), (ma_size = 120, ma_step = 100), Any[], false)	
