	n_task	aug	n_version	dataset_kwargs	Model	accuracy
0	1	0	1	50	RF(100,half,all)	73.428
1	1	0	1	50	RF(50,half,all)	72.85600000000001
2	1	0	1	50	T(,2,0.01,0.2)	59.641999999999996
3	1	0	1	50	T(,4,0.01,0.2)	61.605999999999995
4	1	0	1	50	T(entropy,2,0.01,0.2)	63.392999999999994
5	1	0	1	50	T(entropy,2,0.01,0.6)	66.249
6	1	0	1	50	T(entropy,4,0.01,0.2)	63.036000000000016
7	1	0	1	50	T(entropy,4,0.01,0.6)	66.249
8	1	0	1	75	RF(100,half,all)	73.64200000000001
9	1	0	1	75	RF(50,half,all)	73.60999999999999
10	1	0	1	75	T(,2,0.01,0.2)	63.92999999999999
11	1	0	1	75	T(,4,0.01,0.2)	64.285
12	1	0	1	75	T(entropy,2,0.01,0.2)	63.751
13	1	0	1	75	T(entropy,2,0.01,0.6)	68.39399999999999
14	1	0	1	75	T(entropy,4,0.01,0.2)	62.501
15	1	0	1	75	T(entropy,4,0.01,0.6)	68.39399999999999
16	1	0	1	100	RF(100,half,all)	73.53399999999998
17	1	0	1	100	RF(50,half,all)	72.822
18	1	0	1	100	T(,2,0.01,0.2)	64.46300000000001
19	1	0	1	100	T(,4,0.01,0.2)	66.251
20	1	0	1	100	T(entropy,2,0.01,0.2)	64.107
21	1	0	1	100	T(entropy,2,0.01,0.6)	68.74999999999999
22	1	0	1	100	T(entropy,4,0.01,0.2)	65.714
23	1	0	1	100	T(entropy,4,0.01,0.6)	68.74999999999999
24	1	0	2	50	RF(100,half,all)	74.13285714285715
25	1	0	2	50	RF(50,half,all)	74.03142857142858
26	1	0	2	50	T(,2,0.01,0.2)	71.17285714285714
27	1	0	2	50	T(,4,0.01,0.2)	69.64285714285714
28	1	0	2	50	T(entropy,2,0.01,0.2)	69.39000000000001
29	1	0	2	50	T(entropy,2,0.01,0.6)	76.27428571428571
30	1	0	2	50	T(entropy,4,0.01,0.2)	69.38857142857144
31	1	0	2	50	T(entropy,4,0.01,0.6)	76.27428571428571
32	1	0	2	75	RF(100,half,all)	73.071
33	1	0	2	75	RF(50,half,all)	72.536
34	1	0	2	75	T(,2,0.01,0.2)	68.39299999999999
35	1	0	2	75	T(,4,0.01,0.2)	69.10799999999999
36	1	0	2	75	T(entropy,2,0.01,0.2)	66.252
37	1	0	2	75	T(entropy,2,0.01,0.6)	73.035
38	1	0	2	75	T(entropy,4,0.01,0.2)	67.85799999999999
39	1	0	2	75	T(entropy,4,0.01,0.6)	73.035
