	Dataseed	n_task	aug	n_version	dataset_kwargs	Model	accuracy	Model_id
0	1	1	0	1	100	RF(100,half,all)	82.5	7
1	1	1	0	1	100	RF(50,half,all)	80.36	6
2	1	1	0	1	100	T(,2,0.01,0.2)	69.64	4
3	1	1	0	1	100	T(,4,0.01,0.2)	71.43	5
4	1	1	0	1	100	T(entropy,2,0.01,0.2)	66.07	0
5	1	1	0	1	100	T(entropy,2,0.01,0.6)	71.43	1
6	1	1	0	1	100	T(entropy,4,0.01,0.2)	64.29	2
7	1	1	0	1	100	T(entropy,4,0.01,0.6)	71.43	3
8	2	1	0	1	100	RF(100,half,all)	63.57	7
9	2	1	0	1	100	RF(50,half,all)	63.21	6
10	2	1	0	1	100	T(,2,0.01,0.2)	41.07	4
11	2	1	0	1	100	T(,4,0.01,0.2)	51.79	5
12	2	1	0	1	100	T(entropy,2,0.01,0.2)	57.14	0
13	2	1	0	1	100	T(entropy,2,0.01,0.6)	57.14	1
14	2	1	0	1	100	T(entropy,4,0.01,0.2)	57.14	2
15	2	1	0	1	100	T(entropy,4,0.01,0.6)	57.14	3
16	3	1	0	1	100	RF(100,half,all)	68.21	7
17	3	1	0	1	100	RF(50,half,all)	67.86	6
18	3	1	0	1	100	T(,2,0.01,0.2)	64.29	4
19	3	1	0	1	100	T(,4,0.01,0.2)	64.29	5
20	3	1	0	1	100	T(entropy,2,0.01,0.2)	53.57	0
21	3	1	0	1	100	T(entropy,2,0.01,0.6)	66.07	1
22	3	1	0	1	100	T(entropy,4,0.01,0.2)	66.07	2
23	3	1	0	1	100	T(entropy,4,0.01,0.6)	66.07	3
24	4	1	0	1	100	RF(100,half,all)	68.93	7
25	4	1	0	1	100	RF(50,half,all)	67.86	6
26	4	1	0	1	100	T(,2,0.01,0.2)	66.07	4
27	4	1	0	1	100	T(,4,0.01,0.2)	64.29	5
28	4	1	0	1	100	T(entropy,2,0.01,0.2)	71.43	0
29	4	1	0	1	100	T(entropy,2,0.01,0.6)	69.64	1
30	4	1	0	1	100	T(entropy,4,0.01,0.2)	71.43	2
31	4	1	0	1	100	T(entropy,4,0.01,0.6)	69.64	3
32	5	1	0	1	100	RF(100,half,all)	76.07	7
33	5	1	0	1	100	RF(50,half,all)	75.36	6
34	5	1	0	1	100	T(,2,0.01,0.2)	69.64	4
35	5	1	0	1	100	T(,4,0.01,0.2)	71.43	5
36	5	1	0	1	100	T(entropy,2,0.01,0.2)	67.86	0
37	5	1	0	1	100	T(entropy,2,0.01,0.6)	73.21	1
38	5	1	0	1	100	T(entropy,4,0.01,0.2)	69.64	2
39	5	1	0	1	100	T(entropy,4,0.01,0.6)	73.21	3
40	6	1	0	1	100	RF(100,half,all)	77.14	7
41	6	1	0	1	100	RF(50,half,all)	75.71	6
42	6	1	0	1	100	T(,2,0.01,0.2)	75.0	4
43	6	1	0	1	100	T(,4,0.01,0.2)	73.21	5
44	6	1	0	1	100	T(entropy,2,0.01,0.2)	60.71	0
45	6	1	0	1	100	T(entropy,2,0.01,0.6)	69.64	1
46	6	1	0	1	100	T(entropy,4,0.01,0.2)	57.14	2
47	6	1	0	1	100	T(entropy,4,0.01,0.6)	69.64	3
48	7	1	0	1	100	RF(100,half,all)	74.64	7
49	7	1	0	1	100	RF(50,half,all)	76.07	6
50	7	1	0	1	100	T(,2,0.01,0.2)	66.07	4
51	7	1	0	1	100	T(,4,0.01,0.2)	69.64	5
52	7	1	0	1	100	T(entropy,2,0.01,0.2)	66.07	0
53	7	1	0	1	100	T(entropy,2,0.01,0.6)	67.86	1
54	7	1	0	1	100	T(entropy,4,0.01,0.2)	71.43	2
55	7	1	0	1	100	T(entropy,4,0.01,0.6)	67.86	3
56	8	1	0	1	100	RF(100,half,all)	73.57	7
57	8	1	0	1	100	RF(50,half,all)	73.93	6
58	8	1	0	1	100	T(,2,0.01,0.2)	60.71	4
59	8	1	0	1	100	T(,4,0.01,0.2)	58.93	5
60	8	1	0	1	100	T(entropy,2,0.01,0.2)	58.93	0
61	8	1	0	1	100	T(entropy,2,0.01,0.6)	71.43	1
62	8	1	0	1	100	T(entropy,4,0.01,0.2)	62.5	2
63	8	1	0	1	100	T(entropy,4,0.01,0.6)	71.43	3
64	9	1	0	1	100	RF(100,half,all)	68.57	7
65	9	1	0	1	100	RF(50,half,all)	67.86	6
66	9	1	0	1	100	T(,2,0.01,0.2)	60.71	4
67	9	1	0	1	100	T(,4,0.01,0.2)	62.5	5
68	9	1	0	1	100	T(entropy,2,0.01,0.2)	62.5	0
69	9	1	0	1	100	T(entropy,2,0.01,0.6)	64.29	1
70	9	1	0	1	100	T(entropy,4,0.01,0.2)	60.71	2
71	9	1	0	1	100	T(entropy,4,0.01,0.6)	64.29	3
72	10	1	0	1	100	RF(100,half,all)	82.14	7
73	10	1	0	1	100	RF(50,half,all)	80.0	6
74	10	1	0	1	100	T(,2,0.01,0.2)	71.43	4
75	10	1	0	1	100	T(,4,0.01,0.2)	75.0	5
76	10	1	0	1	100	T(entropy,2,0.01,0.2)	76.79	0
77	10	1	0	1	100	T(entropy,2,0.01,0.6)	76.79	1
78	10	1	0	1	100	T(entropy,4,0.01,0.2)	76.79	2
79	10	1	0	1	100	T(entropy,4,0.01,0.6)	76.79	3
80	1	2	1	1	100	RF(100,half,all)	89.09	7
81	1	2	1	1	100	RF(50,half,all)	89.09	6
82	1	2	1	1	100	T(,2,0.01,0.2)	72.73	4
83	1	2	1	1	100	T(,4,0.01,0.2)	72.73	5
84	1	2	1	1	100	T(entropy,2,0.01,0.2)	81.82	0
85	1	2	1	1	100	T(entropy,2,0.01,0.6)	90.91	1
86	1	2	1	1	100	T(entropy,4,0.01,0.2)	77.27	2
87	1	2	1	1	100	T(entropy,4,0.01,0.6)	90.91	3
88	2	2	1	1	100	RF(100,half,all)	96.36	7
89	2	2	1	1	100	RF(50,half,all)	96.36	6
90	2	2	1	1	100	T(,2,0.01,0.2)	95.45	4
91	2	2	1	1	100	T(,4,0.01,0.2)	95.45	5
92	2	2	1	1	100	T(entropy,2,0.01,0.2)	90.91	0
93	2	2	1	1	100	T(entropy,2,0.01,0.6)	95.45	1
