Dataseed	use_training_form	n_task_use_aug	n_version	nbands	dataset_kwargs	use_full_mfcc	preprocess_wavs	test_operators	T(entropy,2,0.01,0.2)K	T(entropy,2,0.01,0.2)accuracy	T(entropy,2,0.01,0.2)safe_macro_sensitivity	T(entropy,2,0.01,0.2)safe_macro_specificity	T(entropy,2,0.01,0.2)safe_macro_PPV	T(entropy,2,0.01,0.2)safe_macro_NPV	T(entropy,2,0.01,0.2)safe_macro_F1	T(entropy,2,0.01,0.2)t	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)t	T(entropy,4,0.01,0.2)K	T(entropy,4,0.01,0.2)accuracy	T(entropy,4,0.01,0.2)safe_macro_sensitivity	T(entropy,4,0.01,0.2)safe_macro_specificity	T(entropy,4,0.01,0.2)safe_macro_PPV	T(entropy,4,0.01,0.2)safe_macro_NPV	T(entropy,4,0.01,0.2)safe_macro_F1	T(entropy,4,0.01,0.2)t	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)t	T(,2,0.01,0.2)K	T(,2,0.01,0.2)accuracy	T(,2,0.01,0.2)safe_macro_sensitivity	T(,2,0.01,0.2)safe_macro_specificity	T(,2,0.01,0.2)safe_macro_PPV	T(,2,0.01,0.2)safe_macro_NPV	T(,2,0.01,0.2)safe_macro_F1	T(,2,0.01,0.2)t	T(,2,0.01,0.6)K	T(,2,0.01,0.6)accuracy	T(,2,0.01,0.6)safe_macro_sensitivity	T(,2,0.01,0.6)safe_macro_specificity	T(,2,0.01,0.6)safe_macro_PPV	T(,2,0.01,0.6)safe_macro_NPV	T(,2,0.01,0.6)safe_macro_F1	T(,2,0.01,0.6)t	T(,4,0.01,0.2)K	T(,4,0.01,0.2)accuracy	T(,4,0.01,0.2)safe_macro_sensitivity	T(,4,0.01,0.2)safe_macro_specificity	T(,4,0.01,0.2)safe_macro_PPV	T(,4,0.01,0.2)safe_macro_NPV	T(,4,0.01,0.2)safe_macro_F1	T(,4,0.01,0.2)t	T(,4,0.01,0.6)K	T(,4,0.01,0.6)accuracy	T(,4,0.01,0.6)safe_macro_sensitivity	T(,4,0.01,0.6)safe_macro_specificity	T(,4,0.01,0.6)safe_macro_PPV	T(,4,0.01,0.6)safe_macro_NPV	T(,4,0.01,0.6)safe_macro_F1	T(,4,0.01,0.6)t	RF(50,half,all)K	RF(50,half,all)accuracy	RF(50,half,all)safe_macro_sensitivity	RF(50,half,all)safe_macro_specificity	RF(50,half,all)safe_macro_PPV	RF(50,half,all)safe_macro_NPV	RF(50,half,all)safe_macro_F1	RF(50,half,all)oob_error	RF(50,half,all)σ² K	RF(50,half,all)σ² accuracy	RF(50,half,all)σ² safe_macro_sensitivity	RF(50,half,all)σ² safe_macro_specificity	RF(50,half,all)σ² safe_macro_PPV	RF(50,half,all)σ² safe_macro_NPV	RF(50,half,all)σ² safe_macro_F1	RF(50,half,all)σ² oob_error	RF(50,half,all)t	RF(100,half,all)K	RF(100,half,all)accuracy	RF(100,half,all)safe_macro_sensitivity	RF(100,half,all)safe_macro_specificity	RF(100,half,all)safe_macro_PPV	RF(100,half,all)safe_macro_NPV	RF(100,half,all)safe_macro_F1	RF(100,half,all)oob_error	RF(100,half,all)σ² K	RF(100,half,all)σ² accuracy	RF(100,half,all)σ² safe_macro_sensitivity	RF(100,half,all)σ² safe_macro_specificity	RF(100,half,all)σ² safe_macro_PPV	RF(100,half,all)σ² safe_macro_NPV	RF(100,half,all)σ² safe_macro_F1	RF(100,half,all)σ² oob_error	RF(100,half,all)t	
1	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	32.14	66.07	64.29	67.86	66.67	65.52	65.45	89.083	42.86	71.43	60.71	82.14	77.27	67.65	68.0	19.615	28.57	64.29	64.29	64.29	64.29	64.29	64.29	21.163	42.86	71.43	60.71	82.14	77.27	67.65	68.0	19.755	39.29	69.64	67.86	71.43	70.37	68.97	69.09	22.108	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.02	42.86	71.43	64.29	78.57	75.0	68.75	69.23	15.359	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	60.71	80.36	74.29	86.43	84.66	77.12	79.07	0.0	0.0031887755102040787	0.0007971938775510197	0.001530612244897958	0.0015306122448979613	0.001598272055122424	0.0007666849174748141	0.0009772209153767115	0.0	0.0	65.0	82.5	79.29	85.71	84.8	80.67	81.87	30.18	0.0015306122448979578	0.00038265306122448945	0.0021683673469387733	0.0006377551020408177	0.0004027061437969516	0.000976689388752949	0.0006170290511278226	0.00015075573654945617	1878.296	
2	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	14.29	57.14	67.86	46.43	55.88	59.09	61.29	53.936	14.29	57.14	67.86	46.43	55.88	59.09	61.29	31.425	14.29	57.14	71.43	42.86	55.56	60.0	62.5	32.403	14.29	57.14	67.86	46.43	55.88	59.09	61.29	30.53	-17.86	41.07	50.0	32.14	42.42	39.13	45.9	25.827	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.001	3.57	51.79	60.71	42.86	51.52	52.17	55.74	25.006	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	26.43	63.21	73.57	52.86	61.04	66.63	66.68	0.0	0.0067602040816326595	0.0016900510204081649	0.001658163265306121	0.0040816326530612205	0.0014262761762603013	0.00220811597970355	0.0011759773938044664	0.0	0.0	27.14	63.57	75.0	52.14	60.98	67.91	67.23	30.8	0.009311224489795922	0.00232780612244898	0.005102040816326526	0.0016581632653061209	0.001301119982160294	0.005153457192580872	0.0024291449283144473	0.0006715482809930303	1856.308	
3	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	7.14	53.57	53.57	53.57	53.57	53.57	53.57	34.493	32.14	66.07	50.0	82.14	73.68	62.16	59.57	20.431	32.14	66.07	57.14	75.0	69.57	63.64	62.75	27.529	32.14	66.07	50.0	82.14	73.68	62.16	59.57	21.375	28.57	64.29	53.57	75.0	68.18	61.76	60.0	20.683	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	28.57	64.29	64.29	64.29	64.29	64.29	64.29	20.998	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	35.71	67.86	55.0	80.71	74.57	64.16	63.15	0.0	0.0025510204081632673	0.0006377551020408167	0.00038265306122448945	0.00420918367346939	0.0038980403902384533	0.00013494489773574982	0.0002192917519429689	0.0	0.0	36.43	68.21	55.71	80.71	74.67	64.53	63.71	27.26	0.0028061224489795878	0.000701530612244897	0.00038265306122448945	0.0035714285714285687	0.0028660299799811283	0.00023100561673303953	0.0003754990135090763	0.00033871094055916613	1874.283	
4	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	42.86	71.43	78.57	64.29	68.75	75.0	73.33	35.728	39.29	69.64	75.0	64.29	67.74	72.0	71.19	27.459	42.86	71.43	78.57	64.29	68.75	75.0	73.33	27.67	39.29	69.64	75.0	64.29	67.74	72.0	71.19	27.088	32.14	66.07	75.0	57.14	63.64	69.57	68.85	27.824	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	28.57	64.29	71.43	57.14	62.5	66.67	66.67	28.595	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	35.71	67.86	68.57	67.14	67.69	68.1	68.1	0.0	0.0038265306122448944	0.0009566326530612236	0.0008928571428571421	0.0021683673469387772	0.0012159735372841468	0.0008580151413096861	0.0007861174202140268	0.0	0.0	37.86	68.93	68.57	69.29	69.11	68.78	68.83	29.91	0.0016581632653061226	0.00041454081632653065	0.00025510204081632634	0.0010204081632653053	0.0005757599497572702	0.00031003879950712007	0.00031287831937182634	0.00013313493617354572	2138.82	
5	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	35.71	67.86	57.14	78.57	72.73	64.71	64.0	36.081	46.43	73.21	60.71	85.71	80.95	68.57	69.39	31.284	39.29	69.64	60.71	78.57	73.91	66.67	66.67	33.051	46.43	73.21	60.71	85.71	80.95	68.57	69.39	30.707	39.29	69.64	60.71	78.57	73.91	66.67	66.67	24.065	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.001	42.86	71.43	67.86	75.0	73.08	70.0	70.37	22.47	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	50.71	75.36	67.86	82.86	79.73	72.23	73.23	0.0	0.005357142857142859	0.0013392857142857147	0.004464285714285716	0.00025510204081632634	0.0006806704437198961	0.0017515855300453528	0.002428894424483872	0.0	0.0	52.14	76.07	70.71	81.43	79.26	73.58	74.71	29.03	0.0016581632653061256	0.00041454081632653146	0.000892857142857142	0.0008928571428571422	0.0007531987337949235	0.00043789517538453344	0.00048768295298518325	0.00016250293680006317	2249.417	
6	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	21.43	60.71	60.71	60.71	60.71	60.71	60.71	20.459	39.29	69.64	64.29	75.0	72.0	67.74	67.92	8.1	14.29	57.14	46.43	67.86	59.09	55.88	52.0	18.972	39.29	69.64	64.29	75.0	72.0	67.74	67.92	7.235	50.0	75.0	75.0	75.0	75.0	75.0	75.0	15.609	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.001	46.43	73.21	75.0	71.43	72.41	74.07	73.68	15.678	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	51.43	75.71	75.0	76.43	76.1	75.38	75.53	0.0	0.0035714285714285683	0.0008928571428571421	0.0012755102040816315	0.0010204081632653053	0.0008981403212172437	0.0010079365079365076	0.0009430727023319611	0.0	0.0	54.29	77.14	80.0	74.29	75.67	78.91	77.74	30.44	0.0015306122448979602	0.00038265306122449005	0.0016581632653061209	0.00025510204081632634	0.0001440699776417002	0.0011237037037037031	0.0005308032816585391	0.00044443574281462857	1872.388	
7	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	32.14	66.07	71.43	60.71	64.52	68.0	67.8	29.857	35.71	67.86	67.86	67.86	67.86	67.86	67.86	27.824	42.86	71.43	71.43	71.43	71.43	71.43	71.43	29.064	35.71	67.86	67.86	67.86	67.86	67.86	67.86	27.787	32.14	66.07	78.57	53.57	62.86	71.43	69.84	23.227	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.001	39.29	69.64	78.57	60.71	66.67	73.91	72.13	22.985	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.001	52.14	76.07	87.14	65.0	71.43	83.52	78.47	0.0	0.0016581632653061256	0.00041454081632653146	0.00038265306122449184	0.0021683673469387777	0.0005850073489905845	0.00032800529392313163	0.00020809040034490433	0.0	0.0	49.29	74.64	87.14	62.14	69.73	82.92	77.46	33.98	0.0028061224489795904	0.0007015306122448976	0.0010204081632653088	0.0010204081632653084	0.0005069877624252321	0.0014068655010213453	0.0005827753160534064	0.0003269637403085596	2249.707	
8	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	17.86	58.93	53.57	64.29	60.0	58.06	56.6	15.588	42.86	71.43	75.0	67.86	70.0	73.08	72.41	11.428	25.0	62.5	71.43	53.57	60.61	65.22	65.57	14.479	42.86	71.43	75.0	67.86	70.0	73.08	72.41	12.572	21.43	60.71	64.29	57.14	60.0	61.54	62.07	13.03	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	17.86	58.93	67.86	50.0	57.58	60.87	62.3	13.592	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.001	47.86	73.93	74.29	73.57	73.69	74.38	73.9	0.0	0.014413265306122455	0.003603316326530614	0.007270408163265307	0.0029336734693877525	0.0031097943691698886	0.0046242716719246705	0.004481200195022427	0.0	0.0	47.14	73.57	72.86	74.29	73.95	73.33	73.35	30.35	0.004081632653061227	0.0010204081632653066	0.002295918367346937	0.001530612244897958	0.0010773409606841709	0.0013302209307503269	0.0012088801436545113	0.0002506069386796142	1791.629	
9	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	25.0	62.5	57.14	67.86	64.0	61.29	60.38	16.247	28.57	64.29	53.57	75.0	68.18	61.76	60.0	5.669	21.43	60.71	50.0	71.43	63.64	58.82	56.0	15.064	28.57	64.29	53.57	75.0	68.18	61.76	60.0	5.687	21.43	60.71	60.71	60.71	60.71	60.71	60.71	12.928	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	25.0	62.5	60.71	64.29	62.96	62.07	61.82	14.002	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	35.71	67.86	62.14	73.57	70.14	66.09	65.86	0.0	0.0019132653061224513	0.00047831632653061283	0.0016581632653061252	0.00038265306122448945	0.0003710724028689703	0.0006083565962457794	0.0008460892151813688	0.0	0.0	37.14	68.57	63.57	73.57	70.66	66.89	66.91	28.7	0.00038265306122448707	9.566326530612177e-5	0.00025510204081632785	0.00038265306122448945	0.00019266600920447066	7.878891345820295e-5	0.0001125924490384875	0.00014415398404121082	1773.595	
10	stump_with_memoization	(1,false)	1	40	(120,100)	false	Any[]	TestOp_80	53.57	76.79	67.86	85.71	82.61	72.73	74.51	13.198	53.57	76.79	64.29	89.29	85.71	71.43	73.47	10.535	53.57	76.79	67.86	85.71	82.61	72.73	74.51	13.585	53.57	76.79	64.29	89.29	85.71	71.43	73.47	11.326	42.86	71.43	64.29	78.57	75.0	68.75	69.23	12.483	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.001	50.0	75.0	64.29	85.71	81.82	70.59	72.0	13.344	0.0	50.0	0.0	100.0	NaN	50.0	0.0	0.0	60.0	80.0	72.14	87.86	85.8	75.97	78.29	0.0	0.0008928571428571429	0.0002232142857142857	0.0008928571428571421	0.0016581632653061254	0.0014076669247972792	0.00022095373170669192	0.00023407798794453124	0.0	0.0	64.29	82.14	72.86	91.43	89.63	77.22	80.26	32.39	0.0019132653061224513	0.0004783163265306128	0.002295918367346937	0.0010204081632653051	0.001237580184036618	0.0008389452197361621	0.0007898509217281037	0.0001018090688385927	2024.744	
