TIMESTAMP	FILE NAME	COMP TIME	ARGS	
02/11/2021 16:05:13	dataset_2dbb409e2b1d12621d8b4e8df597fd95aed7739e4387761a36293d8b0f2e4183.jld	00:01:31	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 4000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 8000, "KDD")	
02/11/2021 16:05:46	dataset_69fe31b08636edb07705ce46223cb59bdc3a1bd4a488419174d3f869156e8a09.jld	00:00:15	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 4000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 8000, "KDD")	
02/11/2021 16:06:05	dataset_87bff978aebb9c1324f5670ce02d83a7035a707329e0beb28847a656f3457b88.jld	00:00:19	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 4000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 8000, "KDD")	
02/11/2021 16:06:13	dataset_590e43a04b5c36c98f3541b7545567bad75e31203b5e4491bff6026f3aa3f70b.jld	00:00:08	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 16000, "KDD")	
02/11/2021 16:06:24	dataset_558821a44fd89aa10422f61c0ead759e8dbe70b6a597ff3f7747cadf0444d55e.jld	00:00:11	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 16000, "KDD")	
02/11/2021 16:06:38	dataset_82bbdca28e6fbb68db09c165c1c08e06b72a9f2222dd8b009746146a436ec23c.jld	00:00:13	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 16000, "KDD")	
02/11/2021 16:06:48	dataset_d7df823f158932ef300651945fb80791b65db1331040508131dc1328b1e0eb05.jld	00:00:10	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 4000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 8000, "KDD")	
02/11/2021 16:07:04	dataset_ca5b3c98fa63e53681a876607e9bad471ae85872e8282982a27cfa5291243714.jld	00:00:16	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 4000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 8000, "KDD")	
02/11/2021 16:07:22	dataset_92e2d3dce74cf84b81902746fe7c21ae255675f0cabe8599a79fabfccb44ca05.jld	00:00:18	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 4000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 8000, "KDD")	
02/11/2021 16:07:30	dataset_edf4a16b00801272ba0b9621d9d189355ad83c1da3267d6a1a933668dda177b2.jld	00:00:08	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!], false, true, 16000, "KDD")	
