TIMESTAMP	FILE NAME	COMP TIME	ARGS	
09/11/2021 16:38:46	dataset_ae6e2a16756f750d535463bc9efe0c182a55bf9eb645c368611d8388d2f2cbe9.jld	00:01:31	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 100, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:39:21	dataset_daa01704a494e8585973273a20c89358b5b3d2d697909df861eee8f353a099c3.jld	00:00:18	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 100, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:39:37	dataset_2db990702d379cd26c69efc1e97dd9fc8f31a5ecfc42cb80f5e888477721a385.jld	00:00:16	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 100, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:39:51	dataset_cf87fb41caca4ed2bf6055d13e8db5938842c147155cf41b4be55b38752e11c1.jld	00:00:13	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:40:05	dataset_3adfc396e985832ff39dcbf1cb98e2067bbc8e80d4524066b06ba76719e033f3.jld	00:00:14	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:40:13	dataset_7daf089048e27dae29334c48e2453366b96dd41d1b1c97bd6fdfe098009e8997.jld	00:00:09	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :fcmel, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 100, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:40:31	dataset_736260f6f1a569b6246a62b8d9ae3bd1b38bdbc502b9338a0dec3cb566964f64.jld	00:00:18	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 100, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:40:48	dataset_0cbcaf24af2dec336dd9cf9f37cdce6ca999139821e03c30ffde8cd0d5b70881.jld	00:00:16	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 100, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:41:03	dataset_8d1186fb00ccb139bc948ad67b91bf29eb9897ce71b1118184b46f5da3389cfc.jld	00:00:16	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :fft, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
09/11/2021 16:41:20	dataset_9ec43261baba9960d5d0467ec2a13b461c7da93bffb3494950590e9386031c61.jld	00:00:17	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
