TIMESTAMP	FILE NAME	COMP TIME	ARGS	
08/12/2021 22:41:42	dataset_5e393dd8eada7ee603c65a53b37fbe6659d2ce32253b215c05f2c0c499f8a7d8.jld	00:00:30	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 20, ma_step = 15), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
08/12/2021 23:38:00	dataset_242abb861bff374045a0091d2882bbb4965ff77924ed5fc325660c727ea1505c.jld	00:00:04	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 20, ma_step = 15), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
08/12/2021 23:41:39	dataset_0fe601a24b35dabd9480f077fec224ecd50893bd0e41a846c4be11394d49a699.jld	00:00:02	(3, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 20, ma_step = 15), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
08/12/2021 23:45:23	dataset_0ebf5b55b2b5867fa56d419e49dd763264791c6d1e71d07940c4816c09016ff9.jld	00:00:03	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
09/12/2021 00:23:04	dataset_1250e5c12b3181dc17a839040b1538a763bfa6b5ce763aef53932a32ab5aa4e1.jld	00:00:04	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
09/12/2021 00:25:43	dataset_ac16f324e17d8e22ae22f0f7c65302158ca9e3c6080d94435f7290bc56bd9ea3.jld	00:00:01	(3, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 30, ma_step = 20), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
09/12/2021 11:04:54	dataset_c541bc77d6e969f7a28340b31d6954043d05c5993a8ceac1ad22f8b93d2dd0a7.jld	00:01:45	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 20, ma_step = 15), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
12/12/2021 06:11:05	dataset_5c2c40462a7e8ad03661c2e27d984f3f8c0bdfdef15d9c461cde6d7d74b8a315.jld	00:00:24	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 20, ma_step = 15), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
12/12/2021 14:32:10	dataset_59e702a919f1ede075765ab99a40c9435eb000c91de987deacc0abd45b7ef5c3.jld	00:00:06	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 40, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 20, ma_step = 15), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
12/12/2021 20:34:09	dataset_b9071e9d721cb4f7eeb225d1eda39f196d49ea847f1f42ff0b24b49ae60533e1.jld	00:00:04	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 20, ma_step = 15), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
