TIMESTAMP	FILE NAME	COMP TIME	ARGS	
26/12/2021 15:49:05	dataset_d4002d143dad5bd731cd08c903cf4b9060ed11c844139e3bb0f44d30161e0a51.jld	00:01:40	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
26/12/2021 15:49:30	dataset_b43c49f0f4c88f48449d305b3216c5bb38a1903da5cd15976bba52e32d3cb051.jld	00:00:03	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
26/12/2021 15:49:32	dataset_bf71ec586fabc0f285d71b3f6a5cdf972d9eb0674361d76055636f7bbf65a953.jld	00:00:01	(3, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-cough")	
26/12/2021 15:49:46	dataset_c5f40a1013cf16ecd9c38168841ca09837d55930972b064bf3b4137c59d56107.jld	00:00:14	(1, false, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD")	
26/12/2021 15:49:55	dataset_d7f6b634aa6380843aec85b7c8f29c24080e70572042f98dbca111e7e097c58e.jld	00:00:09	(2, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD")	
26/12/2021 15:49:59	dataset_a8a450d9fd8b1d2c1f576d4d068d851353bc2241726a76bb7f62141adead52ab.jld	00:00:04	(3, true, "c", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[noise_gate!, normalize!, remove_long_silences!], false, true, 16000, "KDD")	
26/12/2021 15:50:19	dataset_209ca7174459bd0ef26603a4bb8c5b00f05b8a4610b84c7df6759437835d0b86.jld	00:00:20	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
26/12/2021 15:50:33	dataset_bcdb7eb875ab00732409f74d854f1dc76a875ddd0e73d07e2fe97f13abf5fca4.jld	00:00:13	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
26/12/2021 15:50:37	dataset_90743769b33c4c34d4343f5580b3a9aeac395a79e01dd8db88400c6e9c45e530.jld	00:00:04	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD-norm-partitioned-v1-breath")	
26/12/2021 15:51:02	dataset_159eb003696c9155debf58ea9d2b02aaefed3cba9e1427122d68eed9759694ea.jld	00:00:25	(1, false, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD")	
26/12/2021 15:51:19	dataset_c7a60fe6863d69cb38e709978e8dddaf9abcdae51809cb1f3a26767fe6a9a353.jld	00:00:17	(2, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD")	
26/12/2021 15:51:26	dataset_4fa9dc4dd25af1ae106f5afae3b68d240e4859a2d877ab4ad0821da6142fc001.jld	00:00:07	(3, true, "b", (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (max_points = 50, ma_size = 45, ma_step = 30), Function[normalize!, remove_long_silences!], false, true, 16000, "KDD")	
26/12/2021 15:51:53	dataset_2dd6a9682f9b714717e2e65469fa867e6408146c3da9348e5214951594761d62.jld	00:00:26	(1, false, "c+b", ((wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700)), (max_points = 50, ma_size = 45, ma_step = 30), (Function[noise_gate!, normalize!, remove_long_silences!], Function[normalize!, remove_long_silences!]), false, true, (16000, 16000), ("KDD-norm-partitioned-v1-cough", "KDD-norm-partitioned-v1-breath"))	
26/12/2021 15:52:09	dataset_7570d289660e5e54c861d24964c84e2f08c1aa2c614a3fde6965dda33d7a9e16.jld	00:00:15	(2, true, "c+b", ((wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700)), (max_points = 50, ma_size = 45, ma_step = 30), (Function[noise_gate!, normalize!, remove_long_silences!], Function[normalize!, remove_long_silences!]), false, true, (16000, 16000), ("KDD-norm-partitioned-v1-cough", "KDD-norm-partitioned-v1-breath"))	
26/12/2021 15:52:13	dataset_32296c0994e4fa759313822e2798db2f8abd6570ffcb33f72f94c9be52ee645e.jld	00:00:04	(3, true, "c+b", ((wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700)), (max_points = 50, ma_size = 45, ma_step = 30), (Function[noise_gate!, normalize!, remove_long_silences!], Function[normalize!, remove_long_silences!]), false, true, (16000, 16000), ("KDD-norm-partitioned-v1-cough", "KDD-norm-partitioned-v1-breath"))	
26/12/2021 15:52:49	dataset_2fb23d9ebf40449f9ccac7b2624f624bff9f12a47d275a094493bead95d0c6ee.jld	00:01:36	(1, false, "c+b", ((wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700)), (max_points = 50, ma_size = 45, ma_step = 30), (Function[noise_gate!, normalize!, remove_long_silences!], Function[normalize!, remove_long_silences!]), false, true, (16000, 16000), "KDD")	
26/12/2021 15:53:14	dataset_42337e3ec733c8b01d6a8434ffc07c419276cc659cab252d3b280c861221ccca.jld	00:00:25	(2, true, "c+b", ((wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700)), (max_points = 50, ma_size = 45, ma_step = 30), (Function[noise_gate!, normalize!, remove_long_silences!], Function[normalize!, remove_long_silences!]), false, true, (16000, 16000), "KDD")	
26/12/2021 15:53:24	dataset_0a3bbaf70cfddf44329783df4da171964ae2486fd9c4fa30d58ab2a81e60b608.jld	00:00:10	(3, true, "c+b", ((wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700), (wintime = 0.025, steptime = 0.01, fbtype = :semitone, window_f = DSP.Windows.triang, pre_emphasis = 0.97, nbands = 30, sumpower = false, dither = false, minfreq = 20.0, maxfreq = 8000.0, base_freq = :autocor, base_freq_min = 200, base_freq_max = 700)), (max_points = 50, ma_size = 45, ma_step = 30), (Function[noise_gate!, normalize!, remove_long_silences!], Function[normalize!, remove_long_silences!]), false, true, (16000, 16000), "KDD")	
