Dataseed	Params-combination	T(entropy,2,0.01,0.4)	T(entropy,2,0.01,0.5)	T(entropy,2,0.01,0.6)	T(entropy,4,0.01,0.4)	T(entropy,4,0.01,0.5)	T(entropy,4,0.01,0.6)	RF(0.7,50,half,all)	RF(0.7,50,half,all)σ²	RF(0.7,50,half,all)t	
1	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(92.4, 39.44, 69.72, 69.72, 69.01, 70.42, 70.0, 69.44, 69.5, 73, 33.543, a948d21b4c27d2245092d03be5de9fa6b5683bd0cb1dfc906be1ff25f6c794f8)	(85.34, 43.66, 71.83, 71.83, 73.24, 70.42, 71.23, 72.46, 72.22, 37, 12.199, 62d2dbaa8fa2d110cb62b5f65059fbf23e0afb4b038483e679c96695fa5a2c40)	(75.44, 21.13, 60.56, 60.56, 57.75, 63.38, 61.19, 60.0, 59.42, 15, 8.227, fa9ef55b9dd76cb58e85f6802f305e9ddd0c4f01a6e2d00e8f18c62075c73121)	(90.99, 38.03, 69.01, 69.01, 70.42, 67.61, 68.49, 69.57, 69.44, 67, 15.033, 7dd4b577f19b3d249902243bcb6fd5ebc6ce026e7daf3e2046f24e09f8cfd6d0)	(84.81, 42.25, 71.13, 71.13, 73.24, 69.01, 70.27, 72.06, 71.72, 37, 12.262, 21c86b2e7144b145aead79d4ac1b0e03099892d8360dc686b48be3041185a26f)	(75.44, 21.13, 60.56, 60.56, 57.75, 63.38, 61.19, 60.0, 59.42, 15, 7.981, fa9ef55b9dd76cb58e85f6802f305e9ddd0c4f01a6e2d00e8f18c62075c73121)	(99.86, 45.92, 72.96, 72.96, 68.73, 77.18, 75.06, 71.23, 71.73, 26.41, 407200.0)	(0.0, 0.24, 0.06, 0.06, 0.15, 0.04, 0.05, 0.08, 0.09, 0.01, 86600.0)	(314.115, ("759edfac035316dea9aab4015540b6448e3871ef579cfa04fdd11dc49a1d9315", "0db85f20c8c230de11f4d15a7bc83aa93eaab323634188f3f405c4d53ddd3c6c", "eb09d602b3096e7424fdfa091313000d2236605a55c364c5d5ce4ea673c8cf02", "85a92a4c0c9339fec3c964ce4eaed4f4e92ef1ca200a7c41b4b51b62800876e7", "a0a3e78537fe35cfc6310c73823e75710b9026ebbd4110c1064d519fd5e3caf6"))	
2	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(94.35, 39.44, 69.72, 69.72, 66.2, 73.24, 71.21, 68.42, 68.61, 81, 35.298, 03ec06a04f60e9d94a278475f2b70676965a1136b544c05dd37d0da96f15f6bf)	(88.69, 33.8, 66.9, 66.9, 67.61, 66.2, 66.67, 67.14, 67.13, 51, 28.158, a98668c5192ae0ff50427df597769a3018dc7032c7424dcea9b3e1a5ff87cd4e)	(77.03, 28.17, 64.08, 64.08, 69.01, 59.15, 62.82, 65.62, 65.77, 19, 13.548, 7fdab093c23b37234c6847a004daa673ec430832131cb4eca07fd7c71f3f26f3)	(92.76, 38.03, 69.01, 69.01, 61.97, 76.06, 72.13, 66.67, 66.67, 75, 33.906, 84e8362dcfbd4bd12c8cf8cfabf59c6b9a78248d32363bdd22539585d187dc43)	(87.63, 33.8, 66.9, 66.9, 64.79, 69.01, 67.65, 66.22, 66.19, 49, 28.318, d4b1e231f8d55a20333c80b291d5a2a28e16e7b96dc7ce7769575bc3b0f32b10)	(76.86, 28.17, 64.08, 64.08, 69.01, 59.15, 62.82, 65.62, 65.77, 19, 13.597, 92810c19318c8f89bf9e6318e83280642eb1067718fb4cffabd62f5ae28508fe)	(99.79, 56.06, 78.03, 78.03, 73.24, 82.82, 81.04, 75.59, 76.92, 24.71, 398200.0)	(0.0, 0.06, 0.02, 0.02, 0.03, 0.05, 0.04, 0.01, 0.02, 0.03, 92200.0)	(281.78, ("489ed9ea4d6ae89a9f55ee07dae0276121907478367be888a03ccab9fb743002", "1d570190e5102c807e13a09ebb8a0f2dcce3fcfbe313486ba2b119c35ac5933f", "5078efef18b26cfb3ad0f0c853856427cae7219881628fd81d98b3c8ea0816c5", "ccacc045c3959e52feeea15ad71cabeda7b19a11c7c2158aa11797a885f9c538", "fa800893e0ac2668f5afe3cbdee3549790303107ae69b4d5a835275df70aec81"))	
3	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(92.76, 25.35, 62.68, 62.68, 56.34, 69.01, 64.52, 61.25, 60.15, 81, 16.661, 3c51a36f8658d9f0a742e4c5b2d299c956829bbd8e790921c9425d12acf9651e)	(89.22, 26.76, 63.38, 63.38, 53.52, 73.24, 66.67, 61.18, 59.38, 55, 15.14, d86d81d3bc16a4863d0118ece8fe74fd90a769a5052f5cb3ac5cc39edf962e66)	(78.45, 26.76, 63.38, 63.38, 54.93, 71.83, 66.1, 61.45, 60.0, 23, 14.578, 1c83cb26239f7c8c466ba7526fc17d35f248984000defd13b9b85c8a89af480d)	(91.34, 28.17, 64.08, 64.08, 59.15, 69.01, 65.62, 62.82, 62.22, 73, 15.59, 08584343857e11432566d86572a8eba20861c96b5d165b2ac49a645843cb27cc)	(88.87, 29.58, 64.79, 64.79, 57.75, 71.83, 67.21, 62.96, 62.12, 55, 15.019, a11743057b3476d03867aed9b9ecd43a3ba65309b9b3729b644fe28e3ee92980)	(78.45, 26.76, 63.38, 63.38, 54.93, 71.83, 66.1, 61.45, 60.0, 23, 14.495, 1c83cb26239f7c8c466ba7526fc17d35f248984000defd13b9b85c8a89af480d)	(99.89, 36.06, 68.03, 68.03, 61.13, 74.93, 70.93, 65.85, 65.65, 25.51, 402440.0)	(0.0, 0.01, 0.0, 0.0, 0.03, 0.01, 0.0, 0.0, 0.01, 0.09, 75280.0)	(319.734, ("46709b2bc3f9521b35a7c15c43d8d6bae4cb9f5108c77aee8e3fb461d6302f98", "88c74516f91bc736e79a03e7b001444d83971aec42060292e3ddbd6af472ba3b", "f5d83bbb94917c8330aee7e1ea4f9e5583f7b674422c33c577640d079835addc", "c2e01b0da36205d9c67324f06f3ef5588b80f6986725cbfa0abf7c2b6035affa", "08b9c3732b663a43cd4ff93df7b42715a563d7bd1f9ac01ad964712afbcc4a4c"))	
4	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(96.47, 15.49, 57.75, 57.75, 54.93, 60.56, 58.21, 57.33, 56.52, 99, 25.254, f7b79ac5f154a861a7d50200654147d5269771e0fb8f2ba8d7c7436339e6e030)	(92.76, 18.31, 59.15, 59.15, 57.75, 60.56, 59.42, 58.9, 58.57, 77, 24.698, 45c602308ddd2b07e5cac68f2787fb1933ab4f1897e06130c692317d152cb7a4)	(80.92, 21.13, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 25, 19.051, b4933b69ca854ba484a2e3646258f71201cac41814d0c99c78bc2cb680ac8989)	(94.7, 19.72, 59.86, 59.86, 54.93, 64.79, 60.94, 58.97, 57.78, 89, 25.444, e986d6a5f840d25a4af2f26f51ae11be24515ec92121ea8cbf2f3c0934b9e4e9)	(92.05, 19.72, 59.86, 59.86, 54.93, 64.79, 60.94, 58.97, 57.78, 73, 24.352, 79cdcce8910371061b7c271b951dbcfadc7f525c79394cd1afa63cf3f619b18d)	(80.92, 21.13, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 25, 18.885, b4933b69ca854ba484a2e3646258f71201cac41814d0c99c78bc2cb680ac8989)	(99.89, 40.56, 70.28, 70.28, 63.94, 76.62, 73.28, 68.02, 68.26, 25.82, 400800.0)	(0.0, 0.06, 0.02, 0.02, 0.06, 0.08, 0.04, 0.01, 0.02, 0.03, 76200.0)	(277.472, ("df0fb4fd7d9415b4d13a61b3ca6efa71ea731b17ea147a7dede8a9cf07b0bc50", "03bdc38bb51cde894031e227e537ed35174e2b9eb4dec9ee54b9c9baa1e88960", "a068d91416a04128ec2276d19e6219bf278daa04ccfcb9e915c50079276e6397", "30d436b761a3fe63b5a9e8a6561ba8e645e4bc93465f80d8146b7dc2588c7962", "b25cc44b88771db14621fff255638fed1de0aab5c6e550e334e0b9cbabcc144b"))	
5	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(95.76, 39.44, 69.72, 69.72, 63.38, 76.06, 72.58, 67.5, 67.67, 89, 25.303, cd0fc381c4951c19b6aeb9ed10e0221948da1fb1c88c65815102268ed3df05cf)	(88.69, 38.03, 69.01, 69.01, 61.97, 76.06, 72.13, 66.67, 66.67, 51, 24.367, 4a0a0375eb76bcb883ebca049e96d653f4a0a0cd7154242615876fafaec30ce1)	(74.56, 33.8, 66.9, 66.9, 63.38, 70.42, 68.18, 65.79, 65.69, 11, 13.346, 61def409a8b40f674fa80486cbabda6e73cc021f069269b55aa1a1ab616f1eb5)	(93.64, 40.85, 70.42, 70.42, 66.2, 74.65, 72.31, 68.83, 69.12, 83, 24.791, f9a84aa6fd19bb1e2ef1b45dc380cac1192f3d4a4a8232119e224718359186e6)	(87.81, 38.03, 69.01, 69.01, 63.38, 74.65, 71.43, 67.09, 67.16, 49, 24.473, 7a8c3c03e23eb6955a39fcd1c15ae7667ee8cbbd0f1d798247245c7b8eb381f6)	(74.56, 33.8, 66.9, 66.9, 63.38, 70.42, 68.18, 65.79, 65.69, 11, 13.3, 61def409a8b40f674fa80486cbabda6e73cc021f069269b55aa1a1ab616f1eb5)	(99.89, 49.01, 74.51, 74.51, 71.55, 77.46, 76.12, 73.18, 73.72, 27.89, 406280.0)	(0.0, 0.04, 0.01, 0.01, 0.07, 0.09, 0.04, 0.02, 0.01, 0.02, 159120.0)	(294.264, ("849d608c9e1efb00f4f586414e044188f37d9e64c46269ae60bbcb6b95f0b685", "ca46669bc0616ec8ea0010b3bd2e1c29fe5f4ee88fea37a90f34916080b43555", "2e76bb75a40e5c4887d5e30170763c9350ee44c1a654056365a7d99f5ad90e4d", "1fd76998fabf37cb9803a6d4ecf0b75ad20321e4a5bae6d059e9f6f439f03f68", "eb0aba689a210e8b001ab9f20a1a6acf49233d74877f12094efc0b8c43973302"))	
6	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(95.76, 36.62, 68.31, 68.31, 67.61, 69.01, 68.57, 68.06, 68.09, 103, 7.161, f7491a7fdc86485f7b9cb8d922519794df6fe6b03ca6474dce2e9d5d5e22e947)	(91.87, 33.8, 66.9, 66.9, 57.75, 76.06, 70.69, 64.29, 63.57, 79, 6.707, 132e7c664ea53178b52827866a872e73b2b45a32b672d061fb9c2e0243e6cd32)	(76.15, 25.35, 62.68, 62.68, 56.34, 69.01, 64.52, 61.25, 60.15, 23, 3.446, 2c32d384e44e6bdc2062a6aaa7011c429743d7971b0b1c902be282bf119b5014)	(93.46, 32.39, 66.2, 66.2, 64.79, 67.61, 66.67, 65.75, 65.71, 97, 6.92, a1fe795845007504a51c3284f8e3769f40fa23f07843d13bd82d612c414e3778)	(90.28, 35.21, 67.61, 67.61, 59.15, 76.06, 71.19, 65.06, 64.62, 77, 6.851, 53051e41a737a0e9807c4bb3a15f1ebb374ca588fe98b8d04876fdecbf967905)	(76.15, 25.35, 62.68, 62.68, 56.34, 69.01, 64.52, 61.25, 60.15, 23, 3.62, 2c32d384e44e6bdc2062a6aaa7011c429743d7971b0b1c902be282bf119b5014)	(99.82, 60.28, 80.14, 80.14, 75.21, 85.07, 83.46, 77.47, 79.1, 25.1, 398600.0)	(0.0, 0.09, 0.02, 0.02, 0.08, 0.04, 0.03, 0.04, 0.03, 0.01, 121800.0)	(287.453, ("95bdb887fb0f99f6772c661805f30cfa8684f97882bf1070897702862a6960f2", "7a95c4a44427b2a94c22c5fe38b381cfeae3528f978b2209ca60f83047ffbb38", "e2252fb248b8738d810e566458063efb78755db94fcfe70ba7129af6c692d285", "268f0a1d60f32ec4c555729475a7e2d25adab2a240c42f83d6326cdfbd824802", "660e52398f60ac0d2fe6c6165e4e138a1fa118a2890616f09222bcbaa9488e0d"))	
7	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(93.99, 33.8, 66.9, 66.9, 71.83, 61.97, 65.38, 68.75, 68.46, 81, 12.448, bcaacffa7e68ee8dfb5d9a2067cadb4cc68cda1de69db3e25e3c244597bc1593)	(89.75, 25.35, 62.68, 62.68, 63.38, 61.97, 62.5, 62.86, 62.94, 59, 13.137, 85c86fe9a520e755c255e9e5451726597fc5477ce8801b60012a0db64fe3389c)	(77.21, 21.13, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 17, 9.142, 86483f4557cb580779777a69b130c3682c0933ecdf74f15168dcbdf57c8e43c4)	(92.58, 29.58, 64.79, 64.79, 66.2, 63.38, 64.38, 65.22, 65.28, 85, 12.979, 681bc2754ab8e946bf987ba9c42a8aed7a877e9c77ed29c4f6fb10d96224070f)	(89.05, 25.35, 62.68, 62.68, 61.97, 63.38, 62.86, 62.5, 62.41, 57, 12.596, 227d6464dfff25c9c7703f21e0e2a8f0a2a8af135dae7464860f03855d2713d2)	(77.21, 21.13, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 60.56, 17, 8.97, 86483f4557cb580779777a69b130c3682c0933ecdf74f15168dcbdf57c8e43c4)	(99.89, 45.63, 72.82, 72.82, 75.21, 70.42, 71.76, 74.04, 73.43, 25.97, 399320.0)	(0.0, 0.1, 0.02, 0.02, 0.11, 0.01, 0.01, 0.06, 0.04, 0.01, 78320.0)	(308.209, ("de4ac13936788e74f7cace513f476cd94f15175c42e9e283bb9a95514e28ca36", "d2e073bdca65b9be15c0899d601985c07fcb3f031b024fdd2f3865d323572af0", "fed98774065421f0797af8a492fe4b5a4dbc247fc73543d10aae3273f211a986", "434ea7ab92ab91483fb532f141908d28a69da00786822e4b62c9cc01949f32dc", "90281565b224ef4c098c78525d4eb0839806a8bfae9759500a0bd56473412a83"))	
8	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(94.17, 33.8, 66.9, 66.9, 70.42, 63.38, 65.79, 68.18, 68.03, 89, 11.789, ea89565dee3f3f9b2a049f993b9c38ede9bdd29ac00e8a8d9be59b4e1c966caf)	(91.52, 30.99, 65.49, 65.49, 71.83, 59.15, 63.75, 67.74, 67.55, 73, 11.597, eadd8b80d51021af5085ecec3d5b5ec5786a7351f5af16d3f50523cb33d15627)	(76.33, 23.94, 61.97, 61.97, 61.97, 61.97, 61.97, 61.97, 61.97, 21, 10.161, 02dcbe418ec7c93f9db89ff07e3d7da8361e23a001320bfb11ec1c70c7d8f06e)	(92.76, 29.58, 64.79, 64.79, 69.01, 60.56, 63.64, 66.15, 66.22, 81, 11.801, 2a65c2fce38ae69264d767a74adfd02e9032873b872ac7a0f32170be8aae5f29)	(90.99, 28.17, 64.08, 64.08, 71.83, 56.34, 62.2, 66.67, 66.67, 71, 12.004, 41c8ba4491d2383312a582f3cf87f7333e4009c5bc44f7ab4a6770bb5c9b9552)	(76.33, 23.94, 61.97, 61.97, 61.97, 61.97, 61.97, 61.97, 61.97, 21, 10.048, 02dcbe418ec7c93f9db89ff07e3d7da8361e23a001320bfb11ec1c70c7d8f06e)	(99.89, 45.63, 72.82, 72.82, 70.99, 74.65, 73.71, 72.0, 72.32, 29.66, 407240.0)	(0.0, 0.13, 0.03, 0.03, 0.03, 0.07, 0.05, 0.02, 0.03, 0.45, 123480.0)	(316.565, ("64ed48b32df2e0d8b288ec0154458bf5a252c44311b4860ccff5c9be1ce4bd00", "bc817491c3f67e792167a7ce9144151957b14dbd5895147f27a2fd24b7bee4ad", "e87a64fb59fcc43f3e93502142a48c2e1127ee25e0abcc27ed4c061f124be496", "a7596249180057513b6069edd48661dc8b457baf4970726202118af52115f3fc", "82e8a208d53192a61f3891e986664d92249b7e145708f5fb75f0b4ce2a304db7"))	
9	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(94.88, 21.13, 60.56, 60.56, 57.75, 63.38, 61.19, 60.0, 59.42, 89, 13.696, 044516e656e94b2b6ea23fd71fbd7a2eab75c63e28579242882b8127d4d30111)	(85.51, 25.35, 62.68, 62.68, 67.61, 57.75, 61.54, 64.06, 64.43, 43, 9.971, ee033adefc8707001e43217bdd8631e48a2481024469ca4788a5ff07e7c21cf3)	(78.09, 23.94, 61.97, 61.97, 63.38, 60.56, 61.64, 62.32, 62.5, 27, 7.041, 3caa3cdc890f5b131b79c0c0154c82926f6d49b5d79ec81d1ad369e2a6202194)	(93.46, 18.31, 59.15, 59.15, 61.97, 56.34, 58.67, 59.7, 60.27, 81, 13.735, ce085202b8d1321a0edd34e3d6b32610167485748c086a40870d6a37baed47d1)	(85.34, 23.94, 61.97, 61.97, 66.2, 57.75, 61.04, 63.08, 63.51, 41, 9.809, 608ceaf7854aafecd9cd196525c2408dcfe9f52f143373e5fec4838004eca739)	(78.09, 23.94, 61.97, 61.97, 63.38, 60.56, 61.64, 62.32, 62.5, 27, 6.914, 3caa3cdc890f5b131b79c0c0154c82926f6d49b5d79ec81d1ad369e2a6202194)	(99.75, 43.66, 71.83, 71.83, 66.48, 77.18, 74.46, 69.78, 70.2, 24.68, 394200.0)	(0.0, 0.08, 0.02, 0.02, 0.12, 0.03, 0.01, 0.04, 0.04, 0.02, 186800.0)	(298.907, ("f4364cc69fb76267ccea0324e05a0be2eac4e8f6c7065388f45dd30e5e01d8c5", "ce3b0cb752ac2be18ce0693746365bdd9f0b818ea1363fe4752d7ef3574921dd", "2ae5ad094020cb2b6820cc621e2d4949aff7acc68bbac130e511d2602b911fc5", "84c929b1d4a81ab54649482f2cfe304daf738d1a577189b0c3b4e8e2c9025011", "18c111582548dc4585c41f16904572b1cba4e5003a2deda13b66d8c0b55bd8be"))	
10	fcmel,8000,false,stump_with_memoization,(1,false,"c","KDD-partitioned",["NG","Normalize","RemSilence"]),30,(50,45,30),false,TestOp_80,IA	(93.82, 36.62, 68.31, 68.31, 59.15, 77.46, 72.41, 65.48, 65.12, 83, 18.256, a982e4a27008a30c5c5d98cd97d595d6ce2b8b132dfa6c8c8be439ee4f5ff652)	(87.63, 30.99, 65.49, 65.49, 54.93, 76.06, 69.64, 62.79, 61.42, 39, 17.658, cabc00e12eda39a0721270e0c4c5b7a3cb0097fa3e922d4ac6c2a9cf8e2007c1)	(75.44, 23.94, 61.97, 61.97, 56.34, 67.61, 63.49, 60.76, 59.7, 11, 12.709, 68db36e1ad42aaf17a4300d5a50fb83719ad1cc0d1cdbd5ab2b7e82d0e5e5a3d)	(92.58, 42.25, 71.13, 71.13, 64.79, 77.46, 74.19, 68.75, 69.17, 71, 18.264, 56d8b4331282fb097225e363e30509e7539ece2e70e473ecdae4d2c95a33c5b5)	(87.28, 30.99, 65.49, 65.49, 54.93, 76.06, 69.64, 62.79, 61.42, 37, 17.916, 14063a4267e72587b71363da1fa714a7362b94eb7b32c876d5b1abdc0e37e0f9)	(75.44, 23.94, 61.97, 61.97, 56.34, 67.61, 63.49, 60.76, 59.7, 11, 12.754, 68db36e1ad42aaf17a4300d5a50fb83719ad1cc0d1cdbd5ab2b7e82d0e5e5a3d)	(99.86, 49.58, 74.79, 74.79, 70.42, 79.15, 77.22, 72.81, 73.64, 25.06, 397440.0)	(0.0, 0.03, 0.01, 0.01, 0.03, 0.06, 0.03, 0.01, 0.01, 0.0, 177080.0)	(293.412, ("af3372366d7e0a5a2a41291eb4a9b595d2dbcdeb67de3baa2c1a243f5abbce55", "8d7711e3c297943b5b0d1eb563232db18251d18fed9cb685b79ec4d4efc9eea4", "02e2cc50ff7ac5b5badaac9b845dfd58d03054227e4b741ebb2514a6f2bfc3da", "aeb4202d15bccfabb8bbf680b1632c568caf2f76d84d15b8c37964a1b73eaa0e", "46c5843dcda47f327260fc05638918598f9ac23430e0cf070b2ab68d44d03b15"))	
