Dataseed	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	
1	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	95.38	20.55	60.27	60.27	58.9	61.64	60.56	60.0	59.72	97	34.328	3cdcdec0e01fe8cedeeef05c2a71041105ee1ff5a598f9d46ae91d3c9a0be744	90.41	26.03	63.01	63.01	56.16	69.86	65.08	61.45	60.29	69	12.626	d5037c6b9006f1e0c12c01163abc19cb75c35fbe0f7f8a50ce5dd34271904ceb	80.65	30.14	65.07	65.07	58.9	71.23	67.19	63.41	62.77	35	10.678	50f7a33d13327e6b2d249c65016bbd3fc3f4dd854ef3c3d83b24d09d27f7d201	93.49	16.44	58.22	58.22	61.64	54.79	57.69	58.82	59.6	81	11.771	dfe77e72ee2a833bfd9aaba11b188ff544ee31741cfcbda4cbedbf4b509354f6	89.9	24.66	62.33	62.33	57.53	67.12	63.64	61.25	60.43	65	11.766	3ebdbfece5c2e354dae77639d754565aac94965beadb88f1440f4ac091ff4bec	80.65	30.14	65.07	65.07	58.9	71.23	67.19	63.41	62.77	35	10.313	50f7a33d13327e6b2d249c65016bbd3fc3f4dd854ef3c3d83b24d09d27f7d201	99.69	47.4	73.7	73.7	62.74	84.66	80.44	69.48	70.43	27.2	417240.0	0.0	0.14	0.03	0.03	0.14	0.09	0.07	0.04	0.06	0.01	141880.0	383.097	("8c7cd3f0597c285908a745ac4db91088d8ea7e781d043433083405b183e38dbe", "cbe909879584a7423ae1d44710b812e1a0cf2a1c3f934b3791db715fd81bce5f", "03d6367deb4d79dc4b4a7013c0880826f1b1655ef5efe5858b10707ff40246f0", "6602b4b9f925bd3848a736f548bbfbc156df1e738dc54952377548c1b29e6bba", "3e2b6ca309ac35ab8aaf549e621bd63d69c22fea47718bd4575f2cdb337caf20")	
2	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	94.01	27.4	63.7	63.7	63.01	64.38	63.89	63.51	63.45	81	17.19	6d5f3951ee2720fa465c39f34a80a6f0199dc85eb293edf38c10d36fb40fc6b8	85.96	17.81	58.9	58.9	60.27	57.53	58.67	59.15	59.46	43	11.337	cbd892448f4d700eca4757aa1bbc6580086dc6f962b8ca8700d51dea4b1dbf0c	76.37	8.22	54.11	54.11	56.16	52.05	53.95	54.29	55.03	17	7.489	e1da3449091e162d4173faf9ad56d7d26a6f7f310f363eff5fc551de52087581	92.29	21.92	60.96	60.96	57.53	64.38	61.76	60.26	59.57	83	13.563	c804b7421ce39bfe6a1bcdee24fa8ab51d4b17899bbd8a4ebb65d8e1e7c7d523	85.79	17.81	58.9	58.9	61.64	56.16	58.44	59.42	60.0	43	11.315	cd923ed343d0375481ed1edb9ad03cbd22612cef1702e595554151bc39e591d7	76.37	8.22	54.11	54.11	56.16	52.05	53.95	54.29	55.03	17	7.521	e1da3449091e162d4173faf9ad56d7d26a6f7f310f363eff5fc551de52087581	99.66	51.23	75.62	75.62	72.88	78.36	77.28	74.29	74.95	29.32	426480.0	0.0	0.2	0.05	0.05	0.06	0.25	0.14	0.03	0.04	0.0	410720.0	379.284	("7b4d9043a7053a0706f317eacee7e249f78aadb8caa12036b2b0470e9cda40f4", "1b3419eb7ebdc4e9e06b342ea44124fca94b7845e8eea0b4122e9213a5bb5860", "6e235a6cf89235c246a53367008190dc56fd5f7057d954e32f7a454432c27d76", "b275c2efa97dd9b4118198a4deb047b937a8f19cc1ff32972ed4dc8531b370cd", "276c89a17cd907d5b72d7848de2f6f2be4a2dc5769cb5f8a317e9dcd99ae3ff8")	
3	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	93.32	17.81	58.9	58.9	58.9	58.9	58.9	58.9	58.9	83	25.633	46f77de7fded195f88d230ac7a3d7d7da5a27e10f3dd18829d4d3b6f7e91d745	88.7	23.29	61.64	61.64	60.27	63.01	61.97	61.33	61.11	55	24.881	66509073bf5568f1f6d743d6c3baa2e3d251a420b1091c70fa102a0a3144877a	79.62	15.07	57.53	57.53	64.38	50.68	56.63	58.73	60.26	23	17.9	0537ed65b9f8b9533568633b82f84ad75b3ccb31320fe81b8dcca817b4cdb8bf	91.27	17.81	58.9	58.9	56.16	61.64	59.42	58.44	57.75	75	24.615	dc2cffaea96e4c62b478d3ae570477d2cc706a4b1224de3fbb4c8e8de9b9936e	88.36	21.92	60.96	60.96	57.53	64.38	61.76	60.26	59.57	59	24.236	9b7f7f8709bdb9e5d56e3571fc7b7b39ea26f9ebef7c7fccb41ef8ebc0b25aa1	79.62	15.07	57.53	57.53	64.38	50.68	56.63	58.73	60.26	23	17.544	0537ed65b9f8b9533568633b82f84ad75b3ccb31320fe81b8dcca817b4cdb8bf	99.69	35.89	67.95	67.95	59.45	76.44	71.62	65.36	64.95	25.79	407840.0	0.0	0.34	0.09	0.09	0.14	0.09	0.11	0.07	0.11	0.03	292080.0	421.835	("8b82a707e1c7f5325e0b4ff885725ee45e075b93ecef4926e10433c2d369f1bd", "76708553378eee40768b29964329a82287baa5a115a2e85d338e62691cacb814", "71cc27248b398d1c4ab1eb063633db4e8431e8f09d7f6f1c861fa742c5cbcd41", "cde5ac9179a2439c28f4e2bf65601562ffc2227b0f75fff22cd334e56a22bdc7", "1859823a59a266b189dc5ed98a72abe4fd3d4ecc70560d19fab0830e48f6632d")	
4	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	95.89	36.99	68.49	68.49	69.86	67.12	68.0	69.01	68.92	87	39.695	bdb58787b294914cd9e613bb949a8666312626f0a9129c894aae1c264091e758	90.07	35.62	67.81	67.81	68.49	67.12	67.57	68.06	68.03	61	37.8	90e04325ee3d6a586548bbd71288fe4453594e06a288121dd70208697cf42afd	84.25	32.88	66.44	66.44	67.12	65.75	66.22	66.67	66.67	35	37.073	b868bad921a671f364b03ef2d20df5a2e03e36ab650c22f8f45ae320b6649d1e	94.69	39.73	69.86	69.86	69.86	69.86	69.86	69.86	69.86	89	37.49	84b78f1f0c3fe5c243f41028a1470b286bad40db903141e2aecf5eb8b410b6b4	89.73	38.36	69.18	69.18	67.12	71.23	70.0	68.42	68.53	63	37.831	988fdb6fd8a1c2b461414876c827a1d74aacbbf93433aa2dad9baa843a3081ea	84.76	34.25	67.12	67.12	67.12	67.12	67.12	67.12	67.12	39	37.052	2547ed476a8aa03568688f4830c3ce2b18b9f0f4a9f820660b2ae9d72a1cf024	99.83	53.97	76.99	76.99	72.88	81.1	79.53	74.96	76.0	27.34	417080.0	0.0	0.03	0.01	0.01	0.04	0.13	0.07	0.01	0.0	0.05	257720.0	408.43	("a3b761e110eefb169f10d577e6b264a832fb660ebb416352c61d117a937a86f6", "cf3c5cfec039f5f222c7a0c323f02aa5710b1f11e82fa31c69e61c769f8e3218", "d4ca13c7bb184765fc96050f7078ac2af925f81334d54ab77d2d32e6951fcec7", "bbe0d621c646d62af16b11e050de26508ee4a6d03c68932d3eb54c7f3e9a73d5", "c3904bafd99e8a51c71a6a80a3a97766d3cb8f2ca40f94d9a4b0e4e93acb9cc3")	
5	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	94.01	36.99	68.49	68.49	71.23	65.75	67.53	69.57	69.33	85	8.894	3ea62d9252fb1bd7443bb13fe09d3629d7bcbb0b938a0c0f98ef0bdb7d178414	89.04	31.51	65.75	65.75	69.86	61.64	64.56	67.16	67.11	57	7.514	b1166c3f9f2053c75afdc985987ca4436592559be9243c58f80e76a01f908e8b	78.42	31.51	65.75	65.75	65.75	65.75	65.75	65.75	65.75	19	4.969	42ebe91a152c1adb681e269f57763483e11a8bfe59bf21b01541147d7fbbbcd5	93.15	34.25	67.12	67.12	72.6	61.64	65.43	69.23	68.83	77	7.578	3cb759680f87842732fc0ccfd5b3192e56c0d4415e1bcdb5ecdcb80df001f42e	88.87	30.14	65.07	65.07	69.86	60.27	63.75	66.67	66.67	55	6.817	ff37571e026f034930cb95668db2eb05f2ffaf985882198734232b2e2f27b6fa	78.42	31.51	65.75	65.75	65.75	65.75	65.75	65.75	65.75	19	4.925	42ebe91a152c1adb681e269f57763483e11a8bfe59bf21b01541147d7fbbbcd5	99.86	48.49	74.25	74.25	69.32	79.18	77.09	72.06	72.93	28.06	413880.0	0.0	0.14	0.03	0.03	0.03	0.22	0.13	0.01	0.02	0.03	70120.0	347.074	("1a21ad06bed2d543ab8f72b5b9f118ab15e1610f02fdf27b97d911c42e098239", "66b378056f346ae5fb6a3ddd46a4ee872daacc3746a49228024ce68af1c5eee6", "aa00122016e47da249a6f6cf935729814c79b802e5af301efc15e36968879259", "84a07e61beef595a61a52c2028ca38f999b73d3317b7ad13288d76b4f66fc6dd", "fe8a17b4001da26d2ef6d620ed503305205d10feb70e97ff1701d822588f04aa")	
6	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	92.47	23.29	61.64	61.64	58.9	64.38	62.32	61.04	60.56	79	42.914	48904f17e0c9545cfbf41f57943620d66ebda0b85bbfd3dabea17e746b21f614	90.07	27.4	63.7	63.7	61.64	65.75	64.29	63.16	62.94	67	41.638	57c99791512ae778dd46e60b871dfdf6767ce33df65f53b1e842e9ddbe164e17	82.71	24.66	62.33	62.33	60.27	64.38	62.86	61.84	61.54	41	39.576	c563291f936a67389f29ea75eb56767b6690cbf2c73ee7d0038a9d6ef3ed0d48	91.61	23.29	61.64	61.64	61.64	61.64	61.64	61.64	61.64	77	42.095	bed6b4a6ceeff6acb135be5ae635b70dbf927d1d55b10bd92ef4861ca4c24f3f	89.55	26.03	63.01	63.01	61.64	64.38	63.38	62.67	62.5	65	41.713	12cf55ab783c3b5404027ac350823b162ef5ee6a21b1b101474af0efb8e926d9	82.53	24.66	62.33	62.33	60.27	64.38	62.86	61.84	61.54	39	39.746	feb6768cd43243e6cf1585c6f9de10edc0c7fca849da474676d65fe1b364632a	99.73	49.59	74.79	74.79	70.68	78.9	77.03	72.96	73.69	26.68	413040.0	0.0	0.2	0.05	0.05	0.13	0.06	0.05	0.07	0.06	0.03	179880.0	427.779	("420fe6322af2338b4e42e19ec5eda49a943171a5534194694fd2ac2ca445b9f1", "ae2ff201c6894e6ea00104d37dbc79a804fd4dcb17a84acd7c0bbdb95301490e", "7236671da104e3d4841082416a3aeeb517b5c34b423f8dfe7fdbb75eae04cb97", "b4d3465a8ec2e9572425aa40d0b15402dd414d98a408e3de1b8b8968077166f1", "f2a7204ab4fe55d941cda5361cafeef73feaef6ddf339364c43b5789075f2f9e")	
7	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	93.66	38.36	69.18	69.18	78.08	60.27	66.28	73.33	71.7	93	14.191	9016522d72c90a4293a56266edf3b9c10fc5226138fb6ad138bb96ba23aebe74	87.33	38.36	69.18	69.18	73.97	64.38	67.5	71.21	70.59	55	12.402	d8ed1c14658d81cdf7f4f0de4c9d2cf33eb2d990becbe9b8f9f6f830aa22043c	81.85	31.51	65.75	65.75	69.86	61.64	64.56	67.16	67.11	35	12.294	5d597acd20e889118d8eab973c6e7423da5514935373e24fdefba0548a623569	90.92	30.14	65.07	65.07	69.86	60.27	63.75	66.67	66.67	77	12.804	61f92b9de557a6e466840d82d792b38954b2f85810e3b3a1d6d45a1ce0f098c4	87.33	30.14	65.07	65.07	67.12	63.01	64.47	65.71	65.77	59	12.528	2a9baea47ffefa894cf296367f2f827469d9c5db15a0babd1dc41f6033a573ed	81.85	31.51	65.75	65.75	69.86	61.64	64.56	67.16	67.11	35	12.447	5d597acd20e889118d8eab973c6e7423da5514935373e24fdefba0548a623569	99.66	43.56	71.78	71.78	68.49	75.07	73.44	70.46	70.82	26.45	421960.0	0.0	0.06	0.02	0.02	0.07	0.16	0.06	0.01	0.01	0.01	294080.0	439.111	("6c055025abdd16a53c2842bf7bf35207d3df5e882e8c6d624c057e4346e23c7b", "5af65ed6b9bb4f31e5f0938f1145c01a069c2c8d120f1bf1d543e68c8268ee5c", "91e6e84e7155712cdb90108a85e29e82577e29f8b5e326dc0eb8a4dfd4308c08", "e2e74c1b01909bc3a34966b00b657dd603d83df0aacba00cfe6476806dce8550", "de2d67f15cb0afb8ce585005e4cc10dd55cabd8b8e9561eba5aa9a09c22bba86")	
8	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	93.15	26.03	63.01	63.01	63.01	63.01	63.01	63.01	63.01	69	13.957	96aefe2da4b21e86158cd4f6cd8184801618065539790b7a4925b581f87e7bf4	89.04	26.03	63.01	63.01	60.27	65.75	63.77	62.34	61.97	55	13.573	40fdb06a59a127fd2adc2d699d8ff556f83ccc2f0f11a5de709fcbc4217f8670	83.73	26.03	63.01	63.01	58.9	67.12	64.18	62.03	61.43	35	13.622	f66a4418f28ca68f6b20e8248ffcb81d4ed6cb700dbdadbfbda619cdedf3dd19	92.29	28.77	64.38	64.38	63.01	65.75	64.79	64.0	63.89	69	13.858	58294f87e5a8c8cd41f0bca4e3816da3533eb4dd46beb1c477064c6fcd86b87f	88.87	27.4	63.7	63.7	60.27	67.12	64.71	62.82	62.41	55	13.969	de76e2f843515768e1193dd2b6a936c00958f68e5c803cae852727f135334fc0	83.73	26.03	63.01	63.01	58.9	67.12	64.18	62.03	61.43	35	12.729	f66a4418f28ca68f6b20e8248ffcb81d4ed6cb700dbdadbfbda619cdedf3dd19	99.83	47.4	73.7	73.7	66.58	80.82	77.68	70.75	71.68	27.91	423040.0	0.0	0.04	0.01	0.01	0.02	0.05	0.03	0.01	0.01	0.01	316480.0	385.592	("540c5bc2a6a429685477b422dab56c19622dbce7bb2e32f88b1b7fb33586d0da", "68684561ddc431c486e06da1ad7c16a02b466a58839520dfef60feaefad6d24a", "7377e8abbed048ac1587f27c819f941a4bcb189a080f3ce4f4a3ae46cbf51e1d", "d3dd799268db19f7fd87b8a7dbcdb33b4ec25704ed5a76a7affcec4f3504c0a7", "00d66e409610722e2fdd4939c2970835c3c89a464418c5e1ab15365e23772d75")	
9	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	95.21	27.4	63.7	63.7	61.64	65.75	64.29	63.16	62.94	107	18.508	00f22618dbecf953f53f0d0c54d445f7a40d5731e4d41d903eb73223ca33977e	87.84	27.4	63.7	63.7	64.38	63.01	63.51	63.89	63.95	61	16.788	caedbd673b51bcf2d7efc9516e55b62f3228c78a12c23d3d7f79672f12108d00	75.17	36.99	68.49	68.49	69.86	67.12	68.0	69.01	68.92	15	11.224	dc7873a7408f47989c2e24cb281cbc662627b0244d864edd612cb393d6fbbe59	92.47	32.88	66.44	66.44	60.27	72.6	68.75	64.63	64.23	93	18.869	6966d6f8e4495b4ef6c7d88cb63e919aac0e577d54fd6dad36a9c72dc6b17a83	86.82	30.14	65.07	65.07	65.75	64.38	64.86	65.28	65.31	57	17.137	938b4b2c0fe123e91c26fae54044b888065974c28e5fba162c3c2a9dd9829f16	75.17	36.99	68.49	68.49	69.86	67.12	68.0	69.01	68.92	15	11.106	dc7873a7408f47989c2e24cb281cbc662627b0244d864edd612cb393d6fbbe59	99.69	56.44	78.22	78.22	74.79	81.64	80.33	76.42	77.45	27.95	413880.0	0.0	0.27	0.07	0.07	0.08	0.1	0.09	0.06	0.07	0.02	103720.0	386.806	("b7ca853025c44efe7721a263b4b9944b141a2f736e1a119feff2717d1c7ce66b", "d6d188b24353d535adbf3c7535f30e902c3b8a13b2afff06c1a7ea7c43a7ecc7", "50cfa1f09a27c900ce7746d9a211829960598dca084c096ffb5581cba2f41b3a", "da5e2d49993b2d02ad7e7b00c79962cb5aa1d0cabc4e2b04657e2730a22b8345", "0e827f6d83ea912249889fc5a38e2d3f3e528f389dd1f2ed48a84778e66301a3")	
10	fcmel	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned",["NG","Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	584	146	[60]	[(15,)]	92.98	23.29	61.64	61.64	65.75	57.53	60.76	62.69	63.16	81	18.962	d689d70ff721562a9ab130310cb29ebf920dd74449aad700fbc7993f060496a1	90.58	23.29	61.64	61.64	67.12	56.16	60.49	63.08	63.64	69	17.167	c109ec6024e26bf8d8b13d9fef3345b61606c0b4063ef724bc395a07196f5e15	76.88	30.14	65.07	65.07	78.08	52.05	61.96	70.37	69.09	23	9.723	ff8aa74ab10c8867f6c5e728cfe6ac21bc3515aeeaf07730227fb30cede9c61f	91.61	26.03	63.01	63.01	65.75	60.27	62.34	63.77	64.0	73	17.842	0392b11d794bff787f3c9388faeee2cbf6e646985aca8ad69d294c12f6664e8e	89.55	24.66	62.33	62.33	65.75	58.9	61.54	63.24	63.58	65	16.905	53d8000a76a2721999bdc5ffe1b663aa0d2e65a3a948ea83b701ca91cda04690	76.88	30.14	65.07	65.07	78.08	52.05	61.96	70.37	69.09	23	10.28	ff8aa74ab10c8867f6c5e728cfe6ac21bc3515aeeaf07730227fb30cede9c61f	99.86	53.7	76.85	76.85	79.73	73.97	75.48	78.5	77.51	28.53	424560.0	0.0	0.25	0.06	0.06	0.07	0.18	0.09	0.06	0.05	0.05	226280.0	370.068	("a450bffee2fab6ede025d937b373b5b361f14f1fb5e16949a7d0be9d548c8b2e", "f7799cb7642236c616fc168ce7c178871d8dccb357a2c3037b5843a9411a12e3", "efaad6bfac87a3f8446e6307869e43e19b0fdf5e3e35728cdd735e97ecda4e37", "a82298d1219b0795189bd856771cd14fbcde959fd71a7d501ef6623f01e95ba4", "642bc817a3d27187d10bdc4733c7cb6a764692885f8500170ead4c8b1cfe06b5")	
