Dataseed	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
1	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	94.66	40.0	70.0	70.0	67.14	72.86	71.21	68.92	69.12	127	2105.675	b20fcc857b5966bc00f96583642a2b382169e546c4d485c4a26d270d5ed53f21	86.92	37.86	68.93	68.93	72.86	65.0	67.55	70.54	70.1	81	148.023	2a0abe737c475f317bcf29d624a32a27474960e5862a31bd5ffeb2edbc90c146	81.32	39.29	69.64	69.64	75.0	64.29	67.74	72.0	71.19	47	91.561	89612dd6dded0098207aef5c7557df454f887824d355adfd75fcb204e04e9e52	93.86	35.71	67.86	67.86	65.71	70.0	68.66	67.12	67.15	121	156.705	298a47bb35ecf04ada25124a8a4077e57aabe59aae66fbdc66bf12449a26937d	86.74	35.0	67.5	67.5	70.0	65.0	66.67	68.42	68.29	83	149.114	df6db0f8194a30ff9324068d93fb8c4c4f29cd8f5f7d3a4d62735ae94bd3d805	81.32	39.29	69.64	69.64	75.0	64.29	67.74	72.0	71.19	47	92.708	89612dd6dded0098207aef5c7557df454f887824d355adfd75fcb204e04e9e52	99.91	54.43	77.21	77.21	77.0	77.43	77.33	77.13	77.15	22.28	645620.0	0.0	0.05	0.01	0.01	0.05	0.01	0.01	0.03	0.02	0.01	454120.0	24235.172	("0df4ea6a3aaa9b29a8925513981e1b30391e385b3b5ea17fade02862e78f3e3a", "ce8da11e547da880c3c7f6d708a7ea9d642a3c672cb70f9fad52bc1e5b97b1cb", "5b67e4fc1771d8b0937f5ee68d058a326c1981f4efe5e7066fed81454b247bdc", "78b1b86479413b60d5437c5dd6e76e0799d01ee09bdca007a9ff858eab3d654e", "4a61126ab927786679ff9e271f3000f83f46469b946ec2ec76e636a8551e3f82")	
2	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	92.35	42.14	71.07	71.07	70.0	72.14	71.53	70.63	70.76	111	513.406	08b8c37218ddae487f72aedd3100b35f41cea595f87c0d50616cbf24ce51f0a8	87.9	40.0	70.0	70.0	67.14	72.86	71.21	68.92	69.12	71	83.381	c1472578e61ae4125f36af9ab73eab52073600e0a5e9c0860fe7ca64db19b701	76.51	27.86	63.93	63.93	61.43	66.43	64.66	63.27	63.0	25	72.143	9ad6d06a3620576121bc2af3d363613ada0d238056827fe147b454c3c1d78f79	91.99	42.14	71.07	71.07	69.29	72.86	71.85	70.34	70.55	103	90.355	0d1797109be0dc669175423975543cae7a49f168bb81bce35a9126cdc8a04401	87.9	40.0	70.0	70.0	67.14	72.86	71.21	68.92	69.12	69	82.143	bac789e935b6bb7a1fd790959f7c8589d40e42893fe39a3f15be0a40b3ae46c4	76.51	27.86	63.93	63.93	61.43	66.43	64.66	63.27	63.0	25	73.245	9ad6d06a3620576121bc2af3d363613ada0d238056827fe147b454c3c1d78f79	99.82	50.43	75.21	75.21	72.71	77.71	76.56	74.01	74.58	21.51	636060.0	0.0	0.12	0.03	0.03	0.02	0.05	0.04	0.02	0.03	0.01	252880.0	13418.012	("8131faa281b2acb02836cec54c613fd2d660ac0fff8c5cd99741fb16ba3d551a", "ed515c23b826cfac196fe366a6b5d77aa8c1612d6c395507fb32b1a7629d412e", "ca06b6769a705645c645b2160edbfada3969f4b6b700731f8c01f4ba01ecdae1", "45b76ba2ebd1eebb2289820e99c422f6523e79bcfdee1fb1475feb0e89603fe6", "a3e3c7d561e1e707bc03d27ebb17f016b64a2b72ba28d95a6e5504c73a115344")	
3	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	93.06	40.0	70.0	70.0	75.0	65.0	68.18	72.22	71.43	113	558.491	8f495f52b8e34200bdfb838ded58994354c17eea04ee2eb312fad8917fed6e8c	90.04	39.29	69.64	69.64	76.43	62.86	67.3	72.73	71.57	87	218.451	cd92bc26e3ebbe33a40e6449af7d69c6fc6472c91ddf3e8017489c2c66112320	79.8	27.86	63.93	63.93	80.0	47.86	60.54	70.53	68.92	49	182.58	5c104743edec5c9625d5a3202559430a9252c9d5f1bf773c9dfb3aa20537586a	92.97	38.57	69.29	69.29	72.86	65.71	68.0	70.77	70.34	117	219.957	b7db5160fd2c9e85b8f2b2db331bfdb39334b0d45e5c3c65a84bf6126e86fa1a	89.86	39.29	69.64	69.64	75.0	64.29	67.74	72.0	71.19	89	217.564	6a291c6d149d1fd45fffecd813369450985f069864ad80d18f36f732701fc2bf	79.8	27.86	63.93	63.93	80.0	47.86	60.54	70.53	68.92	49	185.276	5c104743edec5c9625d5a3202559430a9252c9d5f1bf773c9dfb3aa20537586a	99.91	62.0	81.0	81.0	77.86	84.14	83.11	79.18	80.38	23.91	651860.0	0.0	0.05	0.01	0.01	0.03	0.04	0.03	0.02	0.01	0.0	140680.0	12866.237	("197abaad3c6bb0d3c5885e20d749be4c50c1963089d1752faa9eab8e157a2fab", "507f60b4a40a667b8dc413299db558e42395085b23454abf05692bd5ee2fbe75", "3ef72f283b2c9394590ee3e3b5caabf730ba470a44aab237825080a37f27e9a7", "f69a44a2b7473bc7f3f305f59afdfd868c6e04e8d9cb841e686bfb716deedd45", "09ac09c00e1fa16e1323ff254ef7679e4a2efdf2fc31942a2465ed987118531c")	
4	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	94.75	38.57	69.29	69.29	70.0	68.57	69.01	69.57	69.5	141	229.253	7363596dde940c634aa1c30b5ee3a172a65eef2840309630f928a53eab82a915	90.48	40.71	70.36	70.36	70.0	70.71	70.5	70.21	70.25	101	137.708	55f611c42f78971664ea577fe7e0f48a5fdac82508abdb3ce3f0e2bac2941894	82.3	50.0	75.0	75.0	79.29	70.71	73.03	77.34	76.03	57	115.439	d782a5cc13b6f8b84d9ff53298c40f7f9c06cd21b40fa84bb037ad3945df347a	93.59	36.43	68.21	68.21	67.14	69.29	68.61	67.83	67.87	127	140.754	00a972a9fa47a3dcd4e11b52d8bb6ad54197f0973b4902ab1bff99d33cd87350	90.12	41.43	70.71	70.71	68.57	72.86	71.64	69.86	70.07	101	136.558	927c3e00dbb2019197be2cc63bc4fd47a0cae4e1c81221c5298d74e5c9133856	82.21	48.57	74.29	74.29	78.57	70.0	72.37	76.56	75.34	57	115.682	251d8b95bfa6d636d092976eea28afe52269cd675618b96ca155ca0be9295731	99.89	67.86	83.93	83.93	80.71	87.14	86.33	81.88	83.4	23.19	656140.0	0.0	0.08	0.02	0.02	0.02	0.08	0.06	0.01	0.02	0.01	66880.0	18364.9	("156ff9d883c631b77dcc0053ef703d164c2fbc68b7fb231bf360080b5c67a4b7", "3ae78a024e8782a083ed070eb644a15d5c5120fb3fc99e8da5a395eab0dc8bcd", "472b7532ec1eff30e6e5e176b6019e97ed46db5919e0f2df692e6d791f1c9c28", "602dbd6b45badfcd01aa6d1b91790a8a42e75d92c99a092fc1cc449a1d8d2636", "f19b27c9326ee78cd537908cdd56a3a39193b0f6ccc1f8f16329f23b7746e800")	
5	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	96.26	29.29	64.64	64.64	58.57	70.71	66.67	63.06	62.36	151	133.473	92d119f8a8a9722f8ce294cd98d29378cc36c8f2c10f2900fbc1e220099b3788	90.21	29.29	64.64	64.64	62.14	67.14	65.41	63.95	63.74	103	106.337	904e68de43606e023b494a6b269755e10376313634b4dd42548920a980b6b72c	82.38	32.86	66.43	66.43	58.57	74.29	69.49	64.2	63.57	61	97.827	2a368818d869b5fc685770c90a3c836e61c883916c8671d99ecff425ad7ded0c	95.02	26.43	63.21	63.21	57.86	68.57	64.8	61.94	61.13	139	154.745	9aed6180420cb0054082c84cb517d64df1b340d8489522be77a0737a9ad172f3	89.86	28.57	64.29	64.29	61.43	67.14	65.15	63.51	63.24	101	144.157	aa25c636a23cde91cfa71514953e86791b5b1a9ead93d9838523450815f4adb0	81.67	34.29	67.14	67.14	59.29	75.0	70.34	64.81	64.34	51	118.847	f63de6f2f886994c00e3c3e50ce326d47d9ecded702969ea0333eaabd78bbffe	99.89	55.14	77.57	77.57	72.71	82.43	80.56	75.13	76.43	24.11	644460.0	0.0	0.07	0.02	0.02	0.01	0.04	0.04	0.01	0.02	0.0	413880.0	10724.502	("5983ec445cda5753ebe2403b4bb1217ebebef4bd5ca5aaf4df285e2abb61eba5", "bedd3143d80bb445f91d2a439cc2a7db07701c2a437b6ef95e713804dbe470cb", "d4aa22a5599709262ad58062f0512f05042c148864f86f9b928ac31b4fd86a39", "6a133aefd1485e4258a9c9c2185ba845d59edfac0efdfc6ede38daa34ab35ffd", "761bd285f7a21ae93faabec2cc16805600a60fd5bea6aefc4f8493f15c8143b3")	
6	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	93.86	30.0	65.0	65.0	64.29	65.71	65.22	64.79	64.75	119	165.679	6cda816f61e150cfda628485efabc968e43f7782ec263083bd06931705ebca93	89.23	26.43	63.21	63.21	67.14	59.29	62.25	64.34	64.6	79	139.465	b021d5004ea2e1c5a4adf30c56efed16c4ceeb570a3a17b38d43441c5b6c9fcc	81.49	25.71	62.86	62.86	62.86	62.86	62.86	62.86	62.86	43	129.149	fdf49b877d40f94c6ccd2853013e44c79fdb57018a56c5dd4834fdcdfa412e5c	92.62	27.86	63.93	63.93	64.29	63.57	63.83	64.03	64.06	113	144.045	fe338521fd41bb08db41084097bfa15b4e139090b42cabb0e3b5c5395e369d49	88.88	25.0	62.5	62.5	67.14	57.86	61.44	63.78	64.16	79	138.062	937500a69d8b7a9315edb23ae09626a421c73b167b059a8223cc6c616a50ee7a	81.49	25.71	62.86	62.86	62.86	62.86	62.86	62.86	62.86	43	128.073	fdf49b877d40f94c6ccd2853013e44c79fdb57018a56c5dd4834fdcdfa412e5c	99.88	52.14	76.07	76.07	75.43	76.71	76.4	75.84	75.88	22.14	638620.0	0.0	0.2	0.05	0.05	0.17	0.03	0.03	0.09	0.07	0.01	183920.0	8927.056	("d295522c543f25e6609343f4d3e46d827958c609aba3b85950c351576ed80d1b", "fcda1650ddb63080c1fb341d6f205fd18949f958f2d725bdb0678e198adb69fd", "b5cdb5fd342aec8c53b6a5ab039e0a4b70e551d1c187f0265ce3a631ec42257a", "e0482012ee9d179e50f0426c5c46956e7789fc3c3d092937cd644cb52d5f4ee1", "01205b2c374f6b24b7dff3a9acc71e9e6ad0d46a81f2af94d12eae65728e8d54")	
7	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	94.4	45.0	72.5	72.5	76.43	68.57	70.86	74.42	73.54	123	117.442	82635c5f44cba64e4a219bd5ac1b2dfe204563564255131ade72bb1be818ac5d	87.9	36.43	68.21	68.21	67.86	68.57	68.35	68.09	68.1	79	85.962	4b9edf751d4cfcee4a7b265aab593876c4cffb85e50e2184f1637e6dd3ab8c70	83.27	32.86	66.43	66.43	66.43	66.43	66.43	66.43	66.43	53	77.461	d227933c006b52d2ce6eed816401704f06ca1c60e3bb2d0c3c62157bb1776881	93.51	43.57	71.79	71.79	75.0	68.57	70.47	73.28	72.66	115	92.655	a31289c2380634112ab611de929a7afa0d0b7df2d0a7ba33a4732e56d6c5f0b2	87.46	35.0	67.5	67.5	66.43	68.57	67.88	67.13	67.15	77	85.532	9e34d51bd0a020b5442d584f307cd134522b2929f10e7484dad14b190b9d36f2	83.27	32.86	66.43	66.43	66.43	66.43	66.43	66.43	66.43	53	77.305	d227933c006b52d2ce6eed816401704f06ca1c60e3bb2d0c3c62157bb1776881	99.93	51.14	75.57	75.57	73.0	78.14	76.96	74.33	74.92	21.55	636460.0	0.0	0.12	0.03	0.03	0.05	0.03	0.03	0.03	0.03	0.01	696280.0	9106.645	("cea37f71f28c6cde2407b59c068b3fa962477d2b5c24ba37ad8fe66d533f6448", "67b2fdf4a636f59c39706626d7042a1e358569dc3ba8e9acd35d15ac93b25e08", "c9605f2556126843c02e8adeb141f2f3c07ca2c78b80b9262898b497efde132d", "a27219f42e6a9851abf1b2705ae78b7fc744b9c64a8ce904d84dcc53ae768a79", "910f2e1e87296020db0ee02a2a7cfd76fd87e11439cf6de78754a8b590f7fdb2")	
8	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	93.33	38.57	69.29	69.29	72.14	66.43	68.24	70.45	70.14	113	212.797	068271fc31d81467418297a6c548bb34f13875595da681832ece72af16143aba	90.48	39.29	69.64	69.64	73.57	65.71	68.21	71.32	70.79	95	192.596	f3e71ef29218016f0068734e5a063c622a8629ae9b460a314962b2e857ca1559	79.98	40.71	70.36	70.36	67.86	72.86	71.43	69.39	69.6	33	148.699	a17c5402550f7560167e187940ceb1776e564ec124122d06c440033509c197db	92.17	32.14	66.07	66.07	67.86	64.29	65.52	66.67	66.67	105	201.742	eed0319451fff2f7ad4226fee046526d994906fc0a54a6ead7a3ba28c57c025e	89.41	35.71	67.86	67.86	70.71	65.0	66.89	68.94	68.75	89	190.685	99a4e96af31bfd209acd1e25bf1a9f26c44105915adca1a5f8bc1206833e1859	79.98	40.71	70.36	70.36	67.86	72.86	71.43	69.39	69.6	33	150.471	a17c5402550f7560167e187940ceb1776e564ec124122d06c440033509c197db	99.91	64.57	82.29	82.29	83.29	81.29	81.66	82.95	82.46	22.67	650220.0	0.0	0.19	0.05	0.05	0.05	0.06	0.05	0.05	0.05	0.0	408920.0	10443.815	("994fa1f9ce1f3685e198cb6d574a9a60bf6b167d203a5d36abfa276029bdd587", "46e228499dd5364b3e7e2052148dc5429bc5aca9f784f6b69ac5734c22917493", "185af8bf9bc8cf104bc659f4b065b3987d3adbc1c3890547a5c2982110a5c047", "650d50e7e6fe869c8df14c1805728b12f757287f381033e88ff19a22c7af0516", "5d7437cdc7b28602cf43a1879014666075f4ba8c945a39a4e72a833f6ce0d9fa")	
9	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	93.33	42.14	71.07	71.07	70.0	72.14	71.53	70.63	70.76	125	89.243	023bf86df1c4a3132d11ff0ea27e7f646db468c5ee7e5dc2f6d9862839d9fdff	88.79	35.0	67.5	67.5	65.0	70.0	68.42	66.67	66.67	85	84.958	b460af0e84cd4bb264567df27aa8f610f9a55881604bf99ee0ebb5d7c4ee7f1e	76.87	34.29	67.14	67.14	67.86	66.43	66.9	67.39	67.38	33	46.54	3277c3abd9e93c148bb19bb3d744431c66e09b8f05f7c046aed1a8488091cc1a	92.62	40.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	123	85.971	b3ba9ac36ef0bd63bf5562b68c5feefe691c48454a777f52414d9b23aa0bcaaf	88.26	35.0	67.5	67.5	65.0	70.0	68.42	66.67	66.67	85	83.794	f28cc4653cc707663cbfa2892a10425af6f5bd7935426cf451bae852fe9e1cd4	76.87	34.29	67.14	67.14	67.86	66.43	66.9	67.39	67.38	33	45.987	3277c3abd9e93c148bb19bb3d744431c66e09b8f05f7c046aed1a8488091cc1a	99.96	57.86	78.93	78.93	76.14	81.71	80.67	77.4	78.33	22.81	649740.0	0.0	0.09	0.02	0.02	0.02	0.05	0.04	0.02	0.02	0.01	366680.0	11191.567	("4d0ca6a354b951c30ea6016f4c40ecc00fc67e03b1835efb38d4bbd3fb83797f", "95c9a2aea7ff0ac3fe77251516d59ca9af2130678a8bc6bc0e57b880c7183ea5", "81f8c70d7d643aa81d0a14689edb95a6ca20f7bf57b75a7ba14f5d1a342e0dbf", "3166c4c5a0a5d1cce76f5a9937b3bda663151a18c81cac01598d8a4bfb3242dc", "9ace65fa5f8234e37b226d2bec285bcd083d506e7387bc0e38cf310b035644cb")	
10	fft	200	600	fcmel	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,15,10)	false	TestOp_80	IA	1124	280	[60]	[(50,)]	94.66	40.71	70.36	70.36	64.29	76.43	73.17	68.15	68.44	143	108.268	3fe93ea4713001c4c2351aa4f48380927c00c6bdc1667fc818d95f80f2a29fa4	91.37	40.0	70.0	70.0	64.29	75.71	72.58	67.95	68.18	107	97.592	b8cbcb532909a18fe89987f5c3d1eb787238e8de175a013e6a9cb22fbc73f623	80.25	37.86	68.93	68.93	65.0	72.86	70.54	67.55	67.66	47	76.14	596fec6d4279d77bb96ea877af83bc578eb555b6028a85f91206047da249dd54	94.13	38.57	69.29	69.29	62.14	76.43	72.5	66.88	66.92	129	104.622	97dbe8032d67df714d32d94cf8edff70f6962b362d5ddc15611225f63d9839a3	90.84	38.57	69.29	69.29	62.86	75.71	72.13	67.09	67.18	103	96.431	4dee0a1d73de28da0e4b36dddc36be1b71c929f203695fac481f7f3f73f46cbc	80.25	37.86	68.93	68.93	65.0	72.86	70.54	67.55	67.66	47	76.074	596fec6d4279d77bb96ea877af83bc578eb555b6028a85f91206047da249dd54	99.93	62.29	81.14	81.14	79.43	82.86	82.28	80.12	80.82	22.47	652100.0	0.0	0.09	0.02	0.02	0.03	0.05	0.04	0.02	0.02	0.01	90400.0	9532.586	("7f9d96eec334091ce93449b9b569c221f41c81cd7690497b88c69e1c01c766e9", "a6e7978b927a60819f2711ffefdebd3b7a72a4a3d9991eee9c52c19ab9f987ce", "d99060f700d29675bbe0668f0292232a0124c28cd94a0a44050825098b7c07c5", "096a48114dc9a28a25128d920da09ba5919299dcef254b9a8200cc2755f1de20", "6c0abdaed3f7f544fab16efe0f9235efc051b2e8650beff2c5a240261aeb02c2")	
