Dataseed	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,51,half,all)train_accuracy	RF(0.7,51,half,all)K	RF(0.7,51,half,all)accuracy	RF(0.7,51,half,all)macro_sensitivity	RF(0.7,51,half,all)safe_macro_sensitivity	RF(0.7,51,half,all)safe_macro_specificity	RF(0.7,51,half,all)safe_macro_PPV	RF(0.7,51,half,all)safe_macro_NPV	RF(0.7,51,half,all)safe_macro_F1	RF(0.7,51,half,all)oob_error	RF(0.7,51,half,all)n_nodes	RF(0.7,51,half,all)σ² train_accuracy	RF(0.7,51,half,all)σ² K	RF(0.7,51,half,all)σ² accuracy	RF(0.7,51,half,all)σ² macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_sensitivity	RF(0.7,51,half,all)σ² safe_macro_specificity	RF(0.7,51,half,all)σ² safe_macro_PPV	RF(0.7,51,half,all)σ² safe_macro_NPV	RF(0.7,51,half,all)σ² safe_macro_F1	RF(0.7,51,half,all)σ² oob_error	RF(0.7,51,half,all)σ² n_nodes	RF(0.7,51,half,all)t	RF(0.7,51,half,all)hash	
1	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	6.802	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.146	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.15	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.14	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.133	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.131	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.43	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4010.86	("970bfb0046ae2ca83936aa90721e211ffa0f2efe926fb6386b55ec3daab0b842", "1bcd6b4e31de8d5cda2361761ab1b802e702dd61ef922140258587c40ca7b99c", "eb61da946135650ca5af034ff3f26d94009436cca2d181a1b1069a7e20fd6fe7", "021677d94f3592e7420460cc1577c3a45beb3664b496326e83ac84b20436fdcb", "95a727acbd2389cf5479d2f3c815892749397ee297be4aee7d73965dece2544c")	
2	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.128	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.251	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.066	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.135	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.134	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.134	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.36	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4066.921	("f8f90626980454927911862873eb7d4a28af3461162c19a2e830310e139f784e", "1bcd6b4e31de8d5cda2361761ab1b802e702dd61ef922140258587c40ca7b99c", "ab5531eb3bcd3f8b1377d51a078bb7491815777d1d461f2c61940d3499f24a82", "a920a83591700ca8cabb36bc8f9a6437faa20d19df0a08cd8f8a19369efdbd12", "95a727acbd2389cf5479d2f3c815892749397ee297be4aee7d73965dece2544c")	
3	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.127	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.214	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.099	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.132	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.131	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.13	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.39	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4324.428	("f8f90626980454927911862873eb7d4a28af3461162c19a2e830310e139f784e", "1bcd6b4e31de8d5cda2361761ab1b802e702dd61ef922140258587c40ca7b99c", "93b949c0bc9b06d2d26438ce3ca9cf3cf1fe4ec9ab900d35b16709dad1c2210c", "951371ba3c4425efc3596f1109ce230dab9b3ea65f05e311eb847a61d7c03d3f", "010e29a2b98c5fb75d331fe9007d561f1ef04f5b19c890b55bc8b6f3bdca1e88")	
4	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.127	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.233	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.724	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.133	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.132	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.134	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.34	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4432.782	("f8f90626980454927911862873eb7d4a28af3461162c19a2e830310e139f784e", "1bcd6b4e31de8d5cda2361761ab1b802e702dd61ef922140258587c40ca7b99c", "ab5531eb3bcd3f8b1377d51a078bb7491815777d1d461f2c61940d3499f24a82", "951371ba3c4425efc3596f1109ce230dab9b3ea65f05e311eb847a61d7c03d3f", "95a727acbd2389cf5479d2f3c815892749397ee297be4aee7d73965dece2544c")	
5	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.128	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.214	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.981	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.135	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.135	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.132	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.39	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4449.304	("f8f90626980454927911862873eb7d4a28af3461162c19a2e830310e139f784e", "b3917d7e4c03408cb9f812b5634c14c54c6cafd33a4d26334da2e4e540640f48", "ab5531eb3bcd3f8b1377d51a078bb7491815777d1d461f2c61940d3499f24a82", "951371ba3c4425efc3596f1109ce230dab9b3ea65f05e311eb847a61d7c03d3f", "010e29a2b98c5fb75d331fe9007d561f1ef04f5b19c890b55bc8b6f3bdca1e88")	
6	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.13	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.451	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.203	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.133	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.132	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.135	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.37	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4325.274	("059ddff8cfedd54d8856c20c71dbafc669b114a025b24bc08f0f073c9a9bd650", "b7b67f90a1e84eb17364aaa45cf1a1767383c3e18570da731886e1656d30b428", "93b949c0bc9b06d2d26438ce3ca9cf3cf1fe4ec9ab900d35b16709dad1c2210c", "a920a83591700ca8cabb36bc8f9a6437faa20d19df0a08cd8f8a19369efdbd12", "010e29a2b98c5fb75d331fe9007d561f1ef04f5b19c890b55bc8b6f3bdca1e88")	
7	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.127	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.266	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.079	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.134	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.133	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.131	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.43	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4397.115	("059ddff8cfedd54d8856c20c71dbafc669b114a025b24bc08f0f073c9a9bd650", "f4d520dfc751ca878e2eb2b3e10158898bc2bcda90e257160b2f96b3ecf6430d", "eb61da946135650ca5af034ff3f26d94009436cca2d181a1b1069a7e20fd6fe7", "a920a83591700ca8cabb36bc8f9a6437faa20d19df0a08cd8f8a19369efdbd12", "010e29a2b98c5fb75d331fe9007d561f1ef04f5b19c890b55bc8b6f3bdca1e88")	
8	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.125	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.219	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.154	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.135	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.132	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.132	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.37	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4626.722	("f8f90626980454927911862873eb7d4a28af3461162c19a2e830310e139f784e", "1bcd6b4e31de8d5cda2361761ab1b802e702dd61ef922140258587c40ca7b99c", "eb61da946135650ca5af034ff3f26d94009436cca2d181a1b1069a7e20fd6fe7", "a920a83591700ca8cabb36bc8f9a6437faa20d19df0a08cd8f8a19369efdbd12", "95a727acbd2389cf5479d2f3c815892749397ee297be4aee7d73965dece2544c")	
9	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.128	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.286	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.011	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.134	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.132	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.131	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.34	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	3992.949	("059ddff8cfedd54d8856c20c71dbafc669b114a025b24bc08f0f073c9a9bd650", "b7b67f90a1e84eb17364aaa45cf1a1767383c3e18570da731886e1656d30b428", "eb61da946135650ca5af034ff3f26d94009436cca2d181a1b1069a7e20fd6fe7", "951371ba3c4425efc3596f1109ce230dab9b3ea65f05e311eb847a61d7c03d3f", "010e29a2b98c5fb75d331fe9007d561f1ef04f5b19c890b55bc8b6f3bdca1e88")	
10	fft	200	600	semitone	8000	false	stump_with_memoization	("b",1,false,"KDD-norm-partitioned-v1-breath",["Normalize","RemSilence"])	30	(50,30,20)	false	TestOp_80	IA	1126	282	[60]	[(50,)]	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.124	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.213	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	1.147	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.157	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.131	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	1	0.13	0be9026978d45b03494cf08f32663227af02de4a39e8af88187ff42d8d8f8d90	50.0	0.0	50.0	50.0	0.0	100.0	NaN	50.0	0.0	53.34	5100.0	0.0	0.0	0.0	0.0	0.0	0.0	NaN	0.0	0.0	0.06	0.0	4637.02	("059ddff8cfedd54d8856c20c71dbafc669b114a025b24bc08f0f073c9a9bd650", "1bcd6b4e31de8d5cda2361761ab1b802e702dd61ef922140258587c40ca7b99c", "ab5531eb3bcd3f8b1377d51a078bb7491815777d1d461f2c61940d3499f24a82", "951371ba3c4425efc3596f1109ce230dab9b3ea65f05e311eb847a61d7c03d3f", "010e29a2b98c5fb75d331fe9007d561f1ef04f5b19c890b55bc8b6f3bdca1e88")	
