Dataseed	minfreq	base_freq	base_freq_min	base_freq_max	fbtype	exec_max_sample_rate	exec_ignore_low_sr_samples	use_training_form	exec_n_ver_n_task_use_aug_dataset_dir_preprocess	nbands	wintime_steptime_dataset_kwargs	use_full_mfcc	test_operators	ontology	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,2,0.01,0.4)train_accuracy	T(entropy,2,0.01,0.4)K	T(entropy,2,0.01,0.4)accuracy	T(entropy,2,0.01,0.4)macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_sensitivity	T(entropy,2,0.01,0.4)safe_macro_specificity	T(entropy,2,0.01,0.4)safe_macro_PPV	T(entropy,2,0.01,0.4)safe_macro_NPV	T(entropy,2,0.01,0.4)safe_macro_F1	T(entropy,2,0.01,0.4)n_nodes	T(entropy,2,0.01,0.4)t	T(entropy,2,0.01,0.4)hash	T(entropy,2,0.01,0.5)train_accuracy	T(entropy,2,0.01,0.5)K	T(entropy,2,0.01,0.5)accuracy	T(entropy,2,0.01,0.5)macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_sensitivity	T(entropy,2,0.01,0.5)safe_macro_specificity	T(entropy,2,0.01,0.5)safe_macro_PPV	T(entropy,2,0.01,0.5)safe_macro_NPV	T(entropy,2,0.01,0.5)safe_macro_F1	T(entropy,2,0.01,0.5)n_nodes	T(entropy,2,0.01,0.5)t	T(entropy,2,0.01,0.5)hash	T(entropy,2,0.01,0.6)train_accuracy	T(entropy,2,0.01,0.6)K	T(entropy,2,0.01,0.6)accuracy	T(entropy,2,0.01,0.6)macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_sensitivity	T(entropy,2,0.01,0.6)safe_macro_specificity	T(entropy,2,0.01,0.6)safe_macro_PPV	T(entropy,2,0.01,0.6)safe_macro_NPV	T(entropy,2,0.01,0.6)safe_macro_F1	T(entropy,2,0.01,0.6)n_nodes	T(entropy,2,0.01,0.6)t	T(entropy,2,0.01,0.6)hash	T(entropy,4,0.01,0.4)train_accuracy	T(entropy,4,0.01,0.4)K	T(entropy,4,0.01,0.4)accuracy	T(entropy,4,0.01,0.4)macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_sensitivity	T(entropy,4,0.01,0.4)safe_macro_specificity	T(entropy,4,0.01,0.4)safe_macro_PPV	T(entropy,4,0.01,0.4)safe_macro_NPV	T(entropy,4,0.01,0.4)safe_macro_F1	T(entropy,4,0.01,0.4)n_nodes	T(entropy,4,0.01,0.4)t	T(entropy,4,0.01,0.4)hash	T(entropy,4,0.01,0.5)train_accuracy	T(entropy,4,0.01,0.5)K	T(entropy,4,0.01,0.5)accuracy	T(entropy,4,0.01,0.5)macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_sensitivity	T(entropy,4,0.01,0.5)safe_macro_specificity	T(entropy,4,0.01,0.5)safe_macro_PPV	T(entropy,4,0.01,0.5)safe_macro_NPV	T(entropy,4,0.01,0.5)safe_macro_F1	T(entropy,4,0.01,0.5)n_nodes	T(entropy,4,0.01,0.5)t	T(entropy,4,0.01,0.5)hash	T(entropy,4,0.01,0.6)train_accuracy	T(entropy,4,0.01,0.6)K	T(entropy,4,0.01,0.6)accuracy	T(entropy,4,0.01,0.6)macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_sensitivity	T(entropy,4,0.01,0.6)safe_macro_specificity	T(entropy,4,0.01,0.6)safe_macro_PPV	T(entropy,4,0.01,0.6)safe_macro_NPV	T(entropy,4,0.01,0.6)safe_macro_F1	T(entropy,4,0.01,0.6)n_nodes	T(entropy,4,0.01,0.6)t	T(entropy,4,0.01,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	
1	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	95.92	34.78	67.39	67.39	63.04	71.74	69.05	66.0	65.91	77	17.081	0d33eb71cb3e8bcf2d976860969e3dc0d9367b3add7e7afdcd313ce5dd74c466	85.05	52.17	76.09	76.09	69.57	82.61	80.0	73.08	74.42	25	2.89	56e8f4982c53a23a7144c8a65cce682f08937ba4fc6a24557d57a40db4ad91c5	78.26	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.913	133f991a569a4e5c8bed1357b137b8c8e4a61a2f3487087b7eea1e03ae2eb239	94.57	30.43	65.22	65.22	63.04	67.39	65.91	64.58	64.44	65	4.134	71099179385eb03838a2f6e32efb7f766414e2598f41da538727d9c359a3cb75	85.6	52.17	76.09	76.09	69.57	82.61	80.0	73.08	74.42	27	2.906	06bf5f1a273acb701e8f20fb15f7766226eb2453f4247bb813bdaa17cb22ee7b	78.26	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.924	133f991a569a4e5c8bed1357b137b8c8e4a61a2f3487087b7eea1e03ae2eb239	99.46	45.22	72.61	72.61	63.48	81.74	77.85	69.14	69.85	23.97	282400.0	0.0	0.15	0.04	0.04	0.1	0.2	0.13	0.02	0.04	0.02	126600.0	90.565	("4e312f587ed426c4133eb0d46a94872d9c35630239ef6fdcfc0850a49af54664", "fa7472d2aebff95d277b22c7a41d2806480c0c097d590790d94aed68e734af01", "b520ec47103ff81f62ccabfcca1b756444074399e419e8dc0edda2525146d536", "e8deb83e387caf63687c1ada2ca8340626291d790530ef80b2d1f4de774e9b37", "09fd4911194f6a733c6bf4ea7cd86db0c81af56f1bdb19af477f3680eb54c44b")	
2	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	97.01	41.3	70.65	70.65	73.91	67.39	69.39	72.09	71.58	69	4.109	dc2425e0ffda146eb20f6632b24989000c75ed6143bdf7a69207e88e5ffe716b	88.59	41.3	70.65	70.65	82.61	58.7	66.67	77.14	73.79	39	3.434	5744cd2c96f0b32d58bb8783bc4fc42d7ee2b0341e717d3e85a82f2127e7ed63	82.61	45.65	72.83	72.83	78.26	67.39	70.59	75.61	74.23	21	2.816	b252a0002fc7065b61e52b9d7a5df2778f176e7d46923e1fdc2cdd2798cbeacb	94.57	34.78	67.39	67.39	71.74	63.04	66.0	69.05	68.75	59	3.34	fd5856fc78b24e10fce1cdf4be4e26f5541f1428cc03d151c5290d9dd2ea7a34	87.5	36.96	68.48	68.48	82.61	54.35	64.41	75.76	72.38	35	3.354	207bad9371a0d59ea918699ac76c6bc7fdc59137c64bbaf952ab53a4caf6fb64	82.61	45.65	72.83	72.83	78.26	67.39	70.59	75.61	74.23	21	2.951	b252a0002fc7065b61e52b9d7a5df2778f176e7d46923e1fdc2cdd2798cbeacb	99.62	54.78	77.39	77.39	72.17	82.61	80.54	74.84	76.12	27.55	290600.0	0.0	0.46	0.11	0.11	0.17	0.07	0.11	0.12	0.14	0.02	187400.0	93.817	("eaa32c735459fce55322703be47057111f9d91218e6605f50e9ca710a3158bdf", "a71026923c347917ee57af20eab41ee9e57a6ffbab3413cc07ae56401ee4eac0", "484225c3baea9488613351c1f984450e2d237c20d1610819541be754662b8e2c", "dd8de89020bfd9ea73311cf687ca65a362c3205b4845a674e5bc7610197fa755", "0f132093784f1fe9b9efa564597f1082e2048e2ef3532bb11991a14db3869971")	
3	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	93.75	54.35	77.17	77.17	73.91	80.43	79.07	75.51	76.4	57	3.777	fe4c436f1267990c2819a0f84bfa344366d19ffebb52f58ec31655d636b7de73	87.77	54.35	77.17	77.17	78.26	76.09	76.6	77.78	77.42	33	3.477	b83bbb33cf0d4eda37366901413b104bebbde4c1c88c1630adc6a88650f818b6	78.53	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.81	0f1fff03a6edb719fd9109cc8f2578eeadcee9f87fd2843e4e4aba4c5d3ccc2c	92.39	45.65	72.83	72.83	69.57	76.09	74.42	71.43	71.91	55	3.527	4cd933767fa179389a6730f0f1d27ed573d2a0793d7ccc47eb3fe6e8832a589d	87.23	54.35	77.17	77.17	76.09	78.26	77.78	76.6	76.92	33	3.582	b5cf8f6ac6a9256d6f4f15769dcaf5deab3000a85aa781b4c58ff959935baa20	78.53	50.0	75.0	75.0	63.04	86.96	82.86	70.18	71.6	9	1.842	0f1fff03a6edb719fd9109cc8f2578eeadcee9f87fd2843e4e4aba4c5d3ccc2c	99.24	44.78	72.39	72.39	70.87	73.91	73.48	71.69	72.01	25.05	281840.0	0.0	0.65	0.16	0.16	0.16	0.64	0.31	0.11	0.11	0.0	195480.0	83.91	("9e5898b10b57de6dd374929fe14ca59aa820075e727af2bfd129e2032fe67ac6", "554c383786c8970b84f0986a1251437a10ccc3aa9499bfb66f4e186e0fb9c9f7", "abca8e6170b7179f679e94a1156164684b30275f29cb13d608a0038503f4686a", "e52e947f158bb045a09fdaf5139f3f8fe8f862494febc7be81b0c4fb4c199d8f", "8d8f28f53124cb48de104c6a875a442e251ac4403f5acf4c0c2eb149fe6b48e8")	
4	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	93.75	45.65	72.83	72.83	73.91	71.74	72.34	73.33	73.12	59	3.675	3dfef2bfd5225f46e98942ce6a18aa131e3488662cd1bab62b185c66b3e03edc	86.41	50.0	75.0	75.0	73.91	76.09	75.56	74.47	74.73	25	3.262	bef8a9365dfff1e02fefd71c3371bdd6995105e1371b1143008201e8d5e38ab1	82.07	26.09	63.04	63.04	60.87	65.22	63.64	62.5	62.22	17	2.916	8a2b1cd8a0c92d898dd90cdc497d999c1058813e6daed3ab052ada798002b64a	92.12	47.83	73.91	73.91	78.26	69.57	72.0	76.19	75.0	53	3.73	46c33d2ad30416bb4d0c71fa1be729cbec3f532a8080769c4e89f3486bff30f1	86.14	45.65	72.83	72.83	76.09	69.57	71.43	74.42	73.68	25	3.039	d0f0f3d4a1f3638bb6fd3e5993242bd5f7dcadc30bedb1a2638129d5faa40bba	82.07	26.09	63.04	63.04	60.87	65.22	63.64	62.5	62.22	17	2.988	8a2b1cd8a0c92d898dd90cdc497d999c1058813e6daed3ab052ada798002b64a	99.57	48.26	74.13	74.13	70.43	77.83	76.17	72.52	73.12	25.6	274720.0	0.0	0.03	0.01	0.01	0.09	0.13	0.05	0.02	0.01	0.03	193720.0	79.854	("4a1c12546855b2461695d8adfb4790f6501c95ade396bb7e3c1c69e4e7e6e34c", "c11c391b14dbed79048a7b94478bf4d7b231506476bc11976709a7ca66195282", "f2a3dafc7781b9167f3acce6486253973e1d9ad5fdf5664a077b5fa615310254", "79c72c0dd25af770ce54efa821e39848db1ca1cead66152a2f354e190988d5ed", "cb412dcc0cb95291a55eca4644f33aecad44b5266d35f17c3ea1e628d6fa5976")	
5	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	91.58	43.48	71.74	71.74	80.43	63.04	68.52	76.32	74.0	47	3.654	d72daae773ed26b66fe8b7627b2f8a07e7919e4d54b8b8ee45b57b8fc9f95da2	89.4	41.3	70.65	70.65	80.43	60.87	67.27	75.68	73.27	41	3.692	d6ceb0ff0139553c339b92a64000bba164568a7ccf27155bb724c92d570990ff	80.98	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	15	2.577	6463f6858066b7085d5a22ab1923a7d7ad3c76dd83f1d3a5a2d2ca1f23305b8e	90.49	43.48	71.74	71.74	80.43	63.04	68.52	76.32	74.0	41	3.511	edb5ec26535e11ec5a760bf2ce8d066c4ffd5f427b4996258127a85992bea8eb	88.32	41.3	70.65	70.65	80.43	60.87	67.27	75.68	73.27	37	3.557	1316bf18159d9c6786011cf1a7176bf04d3a92245178943e87e80490da6f55f3	80.98	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	15	2.563	6463f6858066b7085d5a22ab1923a7d7ad3c76dd83f1d3a5a2d2ca1f23305b8e	99.24	50.43	75.22	75.22	79.13	71.3	73.48	77.34	76.17	25.05	285720.0	0.0	0.25	0.06	0.06	0.04	0.2	0.1	0.04	0.04	0.01	35120.0	78.636	("be9cf8b865281a5a7989cb0957cb0fe0aafedc003df02ff054cb1308d5ae7d02", "1bd4c4e8b56df2865c8310854a3a2f982b15bfc7d7f388ea82e51468a11af325", "f8f9bdc9151aae05eed715c096f2445340bb3be3fa03439849247856d3af6b4f", "a36d51177ab37f8744ad4f1be6625fff5db70517a2a6439f9b85fcda7e9a5354", "c1459331be8bdbb5d3b0f8ef6915b10f8dc6620b5776e1829fd653a2db552cbb")	
6	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	94.84	58.7	79.35	79.35	78.26	80.43	80.0	78.72	79.12	71	3.868	94dbb5400a504296e72b16411eb4bb1799f87997ffbefccd1c271b7e4de8b7bb	85.6	60.87	80.43	80.43	76.09	84.78	83.33	78.0	79.55	33	3.541	8904eb2401019767d1876c70de76337ff9e065dce4e7d3b6dc81c91eb4a83810	82.34	63.04	81.52	81.52	78.26	84.78	83.72	79.59	80.9	19	3.035	ea9413efff8dc9f8888389ef353d8b7ee2bcbc394edd079fb204ead2bb9c5a3c	93.21	47.83	73.91	73.91	69.57	78.26	76.19	72.0	72.73	63	3.967	096c3b4f3732d7678f4281479d4962a3083d3298407eeb5fd21239bdc9969633	85.05	63.04	81.52	81.52	78.26	84.78	83.72	79.59	80.9	29	3.396	64395d6ba5d9f57c4770a3aa83e23f3423bf153f6517d3a4b860af43f6ad3ebd	82.34	63.04	81.52	81.52	78.26	84.78	83.72	79.59	80.9	19	2.997	ea9413efff8dc9f8888389ef353d8b7ee2bcbc394edd079fb204ead2bb9c5a3c	99.51	58.7	79.35	79.35	76.96	81.74	81.01	78.08	78.85	27.17	287480.0	0.0	0.17	0.04	0.04	0.11	0.23	0.15	0.05	0.04	0.01	53920.0	88.452	("084ee3fa85d80381e293fc305b561fb5f5b803959ad8f55e6660e48e497f9d23", "9866d11db20cf4c91244120bb4d18cfcc5df640d4045f536d74d5affe2384282", "0af39b3a0939a8b08406e2e99cc372289d3082813f09cd3d6980cb923d62178b", "64aedf0ec7a08d4ef92461a2b5bf92da235ada49417041e2816552dfd2a426cd", "1b06ee82f42323b181362f84a1dece68d590d35cf8f4a038461455cbd94255f1")	
7	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	94.84	36.96	68.48	68.48	63.04	73.91	70.73	66.67	66.67	55	4.866	8a6c6a90e57b07a05d76a961dcefc57ba29b2bc71a13ac3894e3c83dfb6aa2ca	86.96	45.65	72.83	72.83	65.22	80.43	76.92	69.81	70.59	31	4.912	b98ec55d6b88b284ba345a80f4ee6c8236638d03824b7169684f9b7ce087fcc1	80.98	39.13	69.57	69.57	56.52	82.61	76.47	65.52	65.0	21	4.642	96362473e14f768aa914ef6d5d8e94aeedbb5a042cfdfb2d26210fdf81dd601a	92.39	43.48	71.74	71.74	65.22	78.26	75.0	69.23	69.77	47	4.824	853c5c1ec7b934899e5ce47d15d5f3d1d83b5450c2a12c63b761a730cf00ede6	86.41	47.83	73.91	73.91	67.39	80.43	77.5	71.15	72.09	29	4.851	2077640769e405678914f57811af7ea60c09cc6445d131ff910b139346a695e1	80.98	41.3	70.65	70.65	58.7	82.61	77.14	66.67	66.67	21	4.603	a42966b5d296cf46a599156f51360a9ed56b5456cbf9ca7e4063812651e985b5	99.46	46.52	73.26	73.26	59.13	87.39	82.52	68.15	68.84	25.65	281480.0	0.0	0.13	0.03	0.03	0.08	0.08	0.1	0.02	0.05	0.02	127720.0	86.803	("e1326b4fff30d68b21f57ffb6d79939823fb35be60e809d2c271ac60891775f7", "0919233215994be18db9e11494daa41390a487c7b21634f017dd86e7e264e8f3", "f73862dc18ecc52918f9589897f531b81b0f1e32bad801e4fb272fd4c3bc4f88", "e0a5bdef3914df856282383669a99ba7d7ba342925ff33bad4dc7fb2a58e9f36", "d4dd51c225a8e1df8d80d01ed78904fe7f2d3d01134d14844445d347ad48d891")	
8	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	94.57	52.17	76.09	76.09	73.91	78.26	77.27	75.0	75.56	63	3.661	443f303964d73ecad3bfb1a254f21ac1260d388e2175128e7c1ca13e810171e5	91.58	54.35	77.17	77.17	76.09	78.26	77.78	76.6	76.92	49	3.797	fefe2652ed295c72331a4ecf87543acd79b64262c35f6504a1f7c12b951e5697	85.6	60.87	80.43	80.43	71.74	89.13	86.84	75.93	78.57	27	3.232	7580b67eeba0003554ee0544ebab34346e6024a8a081400b37f1e6310e9131df	92.93	52.17	76.09	76.09	73.91	78.26	77.27	75.0	75.56	53	3.757	90f18271090c404b2467cd7dc2f86f3cd69764a3fd3cdb04ee02f8ba72194ef7	90.76	54.35	77.17	77.17	76.09	78.26	77.78	76.6	76.92	43	3.586	0960c695ebd1c1838ea38bb036f3676605e7d9cf8b20263128f769a04ad1f987	85.33	60.87	80.43	80.43	71.74	89.13	86.84	75.93	78.57	27	3.284	feb07ffd38fa500609a4f70218ca9156cca2ff4e9b3dc07cb799bdc312ab9798	99.4	68.26	84.13	84.13	76.09	92.17	90.74	79.5	82.69	24.57	276560.0	0.0	0.13	0.03	0.03	0.19	0.04	0.04	0.08	0.06	0.03	191680.0	79.875	("e9d47415da57d4cacd1e2debe3cae665e5220876826f5fcd737ac9d81db68218", "79798e34721acabba295e672b81a50abeb1a084737591ab9397e27cee0485610", "42aa1333586ce44245ad19c84720cfacea8e002a500421249628d9590dc98f6d", "6f6761138d9bb155aac525ad847ada0a59052722e519db3c43bda93071e20281", "718737cf270694e8bbd94a5977ad7c01b2451bd3b9897b4eb412ef3dcfe14431")	
9	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	93.48	43.48	71.74	71.74	71.74	71.74	71.74	71.74	71.74	51	3.357	a867ea43022449525025880042bf064b2196854e9611f9991680a9069ba241de	88.32	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	39	3.365	332028a489bdf101ba68cd93f937013eb57b152e674a2be63c826eb4690c8506	85.87	50.0	75.0	75.0	76.09	73.91	74.47	75.56	75.27	31	3.231	ea9a90874fb8804ed2d7e28653477ff5e550aeeb6777c5a84910a910f896210d	92.66	41.3	70.65	70.65	73.91	67.39	69.39	72.09	71.58	51	3.401	c0453c8d592307f5b983243e97b1183d60cd2b69e61aa2d8f52b54fc9f007c7b	87.5	47.83	73.91	73.91	73.91	73.91	73.91	73.91	73.91	37	3.307	da3178e9ea9cd0fb42bb0292d63300f1f1bc15095354d8fb9ac6287a4c47d416	85.87	50.0	75.0	75.0	76.09	73.91	74.47	75.56	75.27	31	3.185	ea9a90874fb8804ed2d7e28653477ff5e550aeeb6777c5a84910a910f896210d	99.57	49.57	74.78	74.78	70.0	79.57	77.43	72.62	73.52	23.7	280160.0	0.0	0.25	0.06	0.06	0.06	0.09	0.09	0.05	0.06	0.05	134880.0	80.272	("5ca017fbcfa339cf4ef17b22e664b15590ec3fa3ed5585855d40e69c37476b4b", "923f12852b356d53efc85900759b181bf47ec43eaf9280b1f3d374f8e0907b6a", "6ff65233e1881d22d4d2ba70df97572dc739073fee825000735184893df95a9b", "9179b85b8137579f8e51ee59c02020c165b32da8465265260c8d779ca91f5f8e", "c03a93f98ce8e6c9eb82868def733888d97671cbbf9b6cd7f618363fdaf62ba3")	
10	20	fft	200	600	semitone	8000	false	stump_with_memoization	("c",1,false,"KDD-norm-partitioned-v1-cough",["NG","Normalize","RemSilence"])	30	((0.025,0.01),(max_points = 50,ma_size = 30,ma_step = 20))	false	TestOp_80	IA	368	92	(184, 184)	(46, 46)	[60]	[(3,)]	95.38	56.52	78.26	78.26	78.26	78.26	78.26	78.26	78.26	63	4.031	c019cb5ba6839957803c0bdc53c4cd23011f6000cf4b3de486261a06a5445bac	91.3	56.52	78.26	78.26	80.43	76.09	77.08	79.55	78.72	49	3.998	fc95711a4ff2098dacc8d0c2c1b9a22adfdac7c2ac95c93cff9660c59b9e81f4	88.86	58.7	79.35	79.35	80.43	78.26	78.72	80.0	79.57	41	3.945	2f1470e77dedd6395cf1c5e5236579bcde43e7cc1ac1b5790aa3258bbc701677	93.75	56.52	78.26	78.26	78.26	78.26	78.26	78.26	78.26	59	4.126	39ad32d1e4ebaf3797037c1dbad549d6075096be0e45c9d12d153db589b334af	90.22	56.52	78.26	78.26	80.43	76.09	77.08	79.55	78.72	47	3.978	9b0d2c4234b8e9730f4d780734091c820d284d8f9525abe0e44f7fe320c4f4e6	88.86	58.7	79.35	79.35	80.43	78.26	78.72	80.0	79.57	41	4.131	2f1470e77dedd6395cf1c5e5236579bcde43e7cc1ac1b5790aa3258bbc701677	99.67	61.3	80.65	80.65	83.48	77.83	79.04	82.49	81.19	27.12	288240.0	0.0	0.17	0.04	0.04	0.04	0.08	0.05	0.04	0.04	0.02	148480.0	87.399	("79ed56b9dc3020da171f7c87abb72b19eeba4df329a6dc2401debd32812e897f", "57a0a4287ff2de2737e4d33751c6823a3fbfb11cfb36a16fab7995906555096b", "b4d9b131f6dcb8063648aa13d83d54ef9bb617cbe269ff2ffd6579ba5b44ed42", "a416a2ceaa4933c741234d4845590e81aa2460dd52719d7a295d2fd6567d9d72", "b935c536c7182044fd1c1559fb74136de0f6c48709040785512e6cd691189a11")	
