Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
1	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(68.13, 71.67, 71.67, 96.46, 71.67, 96.48, 71.36, 139.181)	
2	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(66.25, 70.0, 70.0, 96.25, 69.94, 96.26, 69.87, 175.882)	
3	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(60.0, 64.44, 64.44, 95.56, 66.28, 95.56, 64.76, 803.248)	
4	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(50.63, 56.11, 56.11, 94.51, 57.22, 94.52, 56.27, 123.839)	
5	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(65.62, 69.44, 69.44, 96.18, 71.53, 96.22, 69.22, 137.917)	
6	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(64.38, 68.33, 68.33, 96.04, 69.91, 96.05, 68.47, 154.233)	
7	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(61.88, 66.11, 66.11, 95.76, 66.57, 95.78, 65.96, 165.683)	
8	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(55.0, 60.0, 60.0, 95.0, 61.04, 95.07, 58.94, 132.402)	
9	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(59.37, 63.89, 63.89, 95.49, 67.6, 95.51, 64.28, 122.363)	
10	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(60.63, 65.0, 65.0, 95.62, 66.54, 95.67, 64.64, 130.147)	
1	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(81.88, 83.89, 83.89, 97.99, 84.23, 97.99, 83.92, 18360.52)	
2	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(76.88, 79.44, 79.44, 97.43, 80.33, 97.45, 79.28, 870.468)	
3	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(78.75, 81.11, 81.11, 97.64, 81.34, 97.66, 80.87, 907.603)	
4	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(76.88, 79.44, 79.44, 97.43, 79.95, 97.45, 79.21, 777.025)	
5	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(82.5, 84.44, 84.44, 98.06, 85.17, 98.07, 84.35, 940.399)	
6	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(80.0, 82.22, 82.22, 97.78, 83.16, 97.8, 82.14, 941.36)	
7	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(81.25, 83.33, 83.33, 97.92, 83.87, 97.92, 83.36, 947.577)	
8	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(81.25, 83.33, 83.33, 97.92, 83.64, 97.92, 83.3, 842.676)	
9	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(77.5, 80.0, 80.0, 97.5, 80.17, 97.52, 79.64, 4871.005)	
10	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Pavia	(83.12, 85.0, 85.0, 98.12, 86.14, 98.15, 84.87, 584.161)	
1	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(77.5, 80.0, 80.0, 97.5, 80.67, 97.5, 80.2, 18813.501)	
2	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(81.25, 83.33, 83.33, 97.92, 84.64, 97.94, 83.2, 4545.382)	
3	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(80.0, 82.22, 82.22, 97.78, 82.37, 97.78, 82.25, 3822.955)	
4	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(78.75, 81.11, 81.11, 97.64, 80.98, 97.65, 80.93, 4576.122)	
5	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(81.25, 83.33, 83.33, 97.92, 84.1, 97.94, 83.13, 1074.146)	
6	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(75.0, 77.78, 77.78, 97.22, 79.23, 97.24, 77.86, 856.991)	
7	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(84.38, 86.11, 86.11, 98.26, 86.67, 98.28, 85.92, 749.209)	
8	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(83.75, 85.56, 85.56, 98.19, 86.21, 98.21, 85.41, 833.884)	
9	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(80.0, 82.22, 82.22, 97.78, 82.28, 97.8, 81.88, 2023.544)	
10	((5,7),("avg",3),false,"o_RCC5","TestOpAll"),100,-1,Pavia	(79.38, 81.67, 81.67, 97.71, 82.04, 97.76, 80.89, 1078.312)	
1	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(68.13, 71.67, 71.67, 96.46, 71.67, 96.48, 71.36, 127.588)	
2	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(66.25, 70.0, 70.0, 96.25, 69.94, 96.26, 69.87, 175.458)	
3	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(60.0, 64.44, 64.44, 95.56, 66.28, 95.56, 64.76, 133.542)	
4	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(50.63, 56.11, 56.11, 94.51, 57.22, 94.52, 56.27, 112.339)	
5	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(65.62, 69.44, 69.44, 96.18, 71.53, 96.22, 69.22, 126.524)	
6	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(64.38, 68.33, 68.33, 96.04, 69.91, 96.05, 68.47, 153.444)	
7	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(61.88, 66.11, 66.11, 95.76, 66.57, 95.78, 65.96, 164.527)	
8	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(55.0, 60.0, 60.0, 95.0, 61.04, 95.07, 58.94, 131.172)	
9	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(59.37, 63.89, 63.89, 95.49, 67.6, 95.51, 64.28, 122.129)	
10	((5,7),("avg",3),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(60.63, 65.0, 65.0, 95.62, 66.54, 95.67, 64.64, 131.44)	
1	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.69, 99.51, 97.5, 10306.493)	
2	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(99.0, 99.17, 99.17, 99.83, 99.21, 99.83, 99.17, 2094.552)	
3	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(99.0, 99.17, 99.17, 99.83, 99.21, 99.83, 99.17, 877.72)	
4	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(98.0, 98.33, 98.33, 99.67, 98.41, 99.67, 98.33, 727.05)	
5	((5,7),("avg",3),false,"o_RCC8","TestOpAll"),100,-1,Salinas-A	(97.0, 97.5, 97.5, 99.5, 97.69, 99.51, 97.5, 670.865)	
