Dataseed	fake_dataseed	use_training_form	canonical_features	dataset_name	use_catch22_flatten_ontology	n_chunks	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)train_accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)K	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)safe_macro_F1	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)n_nodes	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)n_leaves	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)height	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)modal_height	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)t	T,(DecisionTree.util.entropy, 2, 0.01, 0.2, false)hash	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)train_accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)K	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)accuracy	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)safe_macro_F1	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)n_nodes	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)n_leaves	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)height	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)modal_height	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)t	T,(DecisionTree.util.entropy, 2, 0.01, 0.6, false)hash	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)train_accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)K	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)safe_macro_F1	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)n_nodes	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)n_leaves	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)height	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)modal_height	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)t	T,(DecisionTree.util.entropy, 4, 0.01, 0.2, false)hash	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)train_accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)K	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)accuracy	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_sensitivity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_specificity	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_PPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_NPV	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)safe_macro_F1	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)n_nodes	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)n_leaves	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)height	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)modal_height	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)t	T,(DecisionTree.util.entropy, 4, 0.01, 0.6, false)hash	
1	1	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	30.485	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	3.829	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	3.948	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	3.879	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	
2	2	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	9.652	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	1.352	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.618	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.368	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	
3	3	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	17.307	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	3.744	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	3.102	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	3.324	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	
4	4	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	14.843	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	1.765	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	1.735	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	2.342	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	
5	5	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	98.01	53.36	65.13	65.78	65.78	88.26	65.85	88.48	65.09	35	18	6	6	11.338	e4a82a1c25e6ea1aa643c80aab03f03d3deaaf14c9beb61aa2a4c68b96092b68	98.01	53.36	65.13	65.78	65.78	88.26	65.85	88.48	65.09	35	18	6	6	1.848	e4a82a1c25e6ea1aa643c80aab03f03d3deaaf14c9beb61aa2a4c68b96092b68	92.05	49.71	62.5	63.06	63.06	87.31	63.13	87.89	61.54	31	16	6	5	3.334	0f6d75690d54b71be2e84065eebf758d3d9205d2138802157786ce10bba74081	92.05	49.71	62.5	63.06	63.06	87.31	63.13	87.89	61.54	31	16	6	5	2.02	0f6d75690d54b71be2e84065eebf758d3d9205d2138802157786ce10bba74081	
1	1	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	33.915	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	98.01	52.59	64.47	65.35	65.35	88.08	64.54	88.19	64.69	37	19	9	8	3.914	2a47ff72db44fc3ed5db5ada0b90811721efdb870a5d76ed05e7a5a08cd29fb3	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	4.055	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	92.72	49.08	61.84	62.83	62.83	87.19	62.43	87.35	61.96	27	14	8	8	3.677	f150860985429fa72366267caab0694a64c94446aa1ca8cfbb60b8c0777ef608	
2	2	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	10.307	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	96.69	55.91	67.11	67.32	67.32	88.89	68.57	88.96	67.57	39	20	6	6	1.318	1c3409d01f3500b3cd11f713b385abe7fe061a8ac38540d222670f7a77e09b96	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.705	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	92.72	48.8	61.84	61.78	61.78	87.13	63.28	87.4	61.37	35	18	6	5	1.424	60e9b9ab5b78b865d739e09c2dce2ff3a9287bc7f5885e8e64e4895c6d009313	
3	3	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	15.104	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	95.36	54.16	65.79	66.09	66.09	88.46	68.35	88.59	66.31	35	18	7	6	3.449	86a1428cec32529b83765bc1ef5bc15a5092d771bce98c17b2955fbf46ffe82b	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	3.191	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	92.05	58.41	69.08	69.37	69.37	89.43	74.4	89.41	71.02	27	14	6	6	3.861	56c6605997e1eeeb8a42a774c109a4d7a3e041198bc0c46e55233bd2eff6a2d3	
4	4	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	15.166	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	97.35	56.9	67.76	68.96	68.96	89.09	68.94	89.17	68.66	35	18	5	5	2.371	8939374cfe8737327b7392618cdd57250540e478ed1c0118858786b6214094e3	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	1.712	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	93.38	58.57	69.08	70.17	70.17	89.47	71.08	89.48	70.49	33	17	5	5	1.698	828b5d0692d2be9166e36fb579c48fa71a9cd2f4f91be6c9256e80ce7f8e0005	
5	5	stump_with_memoization	[:neuro_simone]	RacketSports	(false,false,"interval")	missing	151	152	(43, 39, 34, 35)	(43, 40, 34, 35)	[12]	? (X_test size [((30, 31, 152, 12), (30, 31, 152, 24, 12), (152, 24))])	98.01	53.36	65.13	65.78	65.78	88.26	65.85	88.48	65.09	35	18	6	6	11.056	e4a82a1c25e6ea1aa643c80aab03f03d3deaaf14c9beb61aa2a4c68b96092b68	98.01	53.36	65.13	65.78	65.78	88.26	65.85	88.48	65.09	35	18	6	6	1.889	e4a82a1c25e6ea1aa643c80aab03f03d3deaaf14c9beb61aa2a4c68b96092b68	92.05	49.71	62.5	63.06	63.06	87.31	63.13	87.89	61.54	31	16	6	5	1.926	0f6d75690d54b71be2e84065eebf758d3d9205d2138802157786ce10bba74081	92.05	49.71	62.5	63.06	63.06	87.31	63.13	87.89	61.54	31	16	6	5	1.947	0f6d75690d54b71be2e84065eebf758d3d9205d2138802157786ce10bba74081	
