Dataseed	Params-combination	T(entropy,2,0.01,0.2)	T(entropy,2,0.01,0.6)	
1	stump,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(25.0, 62.5, 71.43, 53.57, 60.61, 65.22, 65.57, 14.333)	(21.43, 60.71, 75.0, 46.43, 58.33, 65.0, 65.62, 0.461)	
2	stump,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(10.71, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 1.553)	(14.29, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 0.459)	
3	stump,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(3.57, 51.79, 46.43, 57.14, 52.0, 51.61, 49.06, 0.687)	(14.29, 57.14, 50.0, 64.29, 58.33, 56.25, 53.85, 0.47)	
4	stump,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(14.29, 57.14, 53.57, 60.71, 57.69, 56.67, 55.56, 0.78)	(21.43, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 0.275)	
5	stump,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(28.57, 64.29, 67.86, 60.71, 63.33, 65.38, 65.52, 0.665)	(46.43, 73.21, 75.0, 71.43, 72.41, 74.07, 73.68, 0.597)	
1	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(25.0, 62.5, 71.43, 53.57, 60.61, 65.22, 65.57, 38.669)	(21.43, 60.71, 75.0, 46.43, 58.33, 65.0, 65.62, 1.008)	
2	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(10.71, 55.36, 57.14, 53.57, 55.17, 55.56, 56.14, 4.716)	(14.29, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 1.411)	
3	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(3.57, 51.79, 46.43, 57.14, 52.0, 51.61, 49.06, 2.221)	(14.29, 57.14, 50.0, 64.29, 58.33, 56.25, 53.85, 1.099)	
4	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(14.29, 57.14, 53.57, 60.71, 57.69, 56.67, 55.56, 2.453)	(21.43, 60.71, 67.86, 53.57, 59.38, 62.5, 63.33, 0.716)	
5	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(28.57, 64.29, 67.86, 60.71, 63.33, 65.38, 65.52, 2.115)	(46.43, 73.21, 75.0, 71.43, 72.41, 74.07, 73.68, 2.068)	
6	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(10.71, 55.36, 64.29, 46.43, 54.55, 56.52, 59.02, 3.026)	(35.71, 67.86, 78.57, 57.14, 64.71, 72.73, 70.97, 0.539)	
7	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(3.57, 51.79, 60.71, 42.86, 51.52, 52.17, 55.74, 1.524)	(17.86, 58.93, 57.14, 60.71, 59.26, 58.62, 58.18, 1.178)	
8	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 1.364)	(17.86, 58.93, 71.43, 46.43, 57.14, 61.9, 63.49, 0.93)	
9	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(50.0, 75.0, 64.29, 85.71, 81.82, 70.59, 72.0, 0.817)	(57.14, 78.57, 75.0, 82.14, 80.77, 76.67, 77.78, 0.947)	
10	stump_with_memoization,(1,false),1,2,(5,45,30),false,Any[],TestOp_80	(0.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 1.332)	(14.29, 57.14, 64.29, 50.0, 56.25, 58.33, 60.0, 0.629)	
1	stump_with_memoization,(1,false),1,20,(20,45,30),false,Any[],TestOp_80	(39.29, 69.64, 75.0, 64.29, 67.74, 72.0, 71.19, 50.501)	(42.86, 71.43, 60.71, 82.14, 77.27, 67.65, 68.0, 5.551)	
