;;T(entropy,2,0.01,0.2)K;T(entropy,2,0.01,0.2)sensitivity;T(entropy,2,0.01,0.2)specificity;T(entropy,2,0.01,0.2)precision;T(entropy,2,0.01,0.2)accuracy;T(entropy,2,0.01,0.2)t;T(entropy,2,0.01,0.6)K;T(entropy,2,0.01,0.6)sensitivity;T(entropy,2,0.01,0.6)specificity;T(entropy,2,0.01,0.6)precision;T(entropy,2,0.01,0.6)accuracy;T(entropy,2,0.01,0.6)t;
1;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:28;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:15;3.57;71.43;32.14;51.28;51.79;00:00:17;
3;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:17;7.14;53.57;53.57;53.57;53.57;00:00:16;
4;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:14;
5;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:17;25.0;57.14;67.86;64.0;62.5;00:00:14;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:16;14.29;57.14;57.14;57.14;57.14;00:00:15;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:16;3.57;71.43;32.14;51.28;51.79;00:00:18;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:17;7.14;53.57;53.57;53.57;53.57;00:00:16;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:14;39.29;60.71;78.57;73.91;69.64;00:00:12;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:17;25.0;57.14;67.86;64.0;62.5;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:25;7.14;50.0;57.14;53.85;53.57;00:00:22;
2;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:18;35.71;78.57;57.14;64.71;67.86;00:00:22;
3;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:23;25.0;60.71;64.29;62.96;62.5;00:00:21;
4;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:19;21.43;64.29;57.14;60.0;60.71;00:00:15;
5;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:17;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:30;7.14;50.0;57.14;53.85;53.57;00:00:21;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:23;35.71;78.57;57.14;64.71;67.86;00:00:17;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:29;25.0;60.71;64.29;62.96;62.5;00:00:22;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:20;21.43;64.29;57.14;60.0;60.71;00:00:16;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:18;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:26;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:15;3.57;71.43;32.14;51.28;51.79;00:00:17;
3;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:16;7.14;53.57;53.57;53.57;53.57;00:00:16;
4;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:14;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:15;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:15;3.57;71.43;32.14;51.28;51.79;00:00:14;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:17;7.14;53.57;53.57;53.57;53.57;00:00:16;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:16;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:17;25.0;57.14;67.86;64.0;62.5;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:22;7.14;50.0;57.14;53.85;53.57;00:00:22;
2;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:17;35.71;78.57;57.14;64.71;67.86;00:00:22;
3;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:22;25.0;60.71;64.29;62.96;62.5;00:00:21;
4;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:18;21.43;64.29;57.14;60.0;60.71;00:00:15;
5;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:16;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:29;7.14;50.0;57.14;53.85;53.57;00:00:20;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:23;35.71;78.57;57.14;64.71;67.86;00:00:16;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:29;25.0;60.71;64.29;62.96;62.5;00:00:21;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:21;21.43;64.29;57.14;60.0;60.71;00:00:16;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:18;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:28;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:14;3.57;71.43;32.14;51.28;51.79;00:00:17;
3;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:16;7.14;53.57;53.57;53.57;53.57;00:00:15;
4;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:14;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:15;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:15;3.57;71.43;32.14;51.28;51.79;00:00:18;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:17;7.14;53.57;53.57;53.57;53.57;00:00:16;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:16;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:17;25.0;57.14;67.86;64.0;62.5;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:22;7.14;50.0;57.14;53.85;53.57;00:00:22;
2;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:18;35.71;78.57;57.14;64.71;67.86;00:00:20;
3;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:22;25.0;60.71;64.29;62.96;62.5;00:00:21;
4;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:18;21.43;64.29;57.14;60.0;60.71;00:00:15;
5;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:16;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:29;7.14;50.0;57.14;53.85;53.57;00:00:20;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:22;35.71;78.57;57.14;64.71;67.86;00:00:16;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:28;25.0;60.71;64.29;62.96;62.5;00:00:20;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:19;21.43;64.29;57.14;60.0;60.71;00:00:16;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:18;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:26;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:15;3.57;71.43;32.14;51.28;51.79;00:00:17;
3;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:16;7.14;53.57;53.57;53.57;53.57;00:00:15;
4;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:14;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:15;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:15;3.57;71.43;32.14;51.28;51.79;00:00:18;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:17;7.14;53.57;53.57;53.57;53.57;00:00:16;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:14;
1;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:22;7.14;50.0;57.14;53.85;53.57;00:00:22;
2;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:17;35.71;78.57;57.14;64.71;67.86;00:00:17;
3;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:22;25.0;60.71;64.29;62.96;62.5;00:00:20;
4;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:18;21.43;64.29;57.14;60.0;60.71;00:00:15;
5;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:16;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:29;7.14;50.0;57.14;53.85;53.57;00:00:20;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:23;35.71;78.57;57.14;64.71;67.86;00:00:16;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:28;25.0;60.71;64.29;62.96;62.5;00:00:21;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:19;21.43;64.29;57.14;60.0;60.71;00:00:16;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:18;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:25;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:14;3.57;71.43;32.14;51.28;51.79;00:00:17;
3;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:16;7.14;53.57;53.57;53.57;53.57;00:00:15;
4;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:14;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:16;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:15;3.57;71.43;32.14;51.28;51.79;00:00:14;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:17;7.14;53.57;53.57;53.57;53.57;00:00:15;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:22;7.14;50.0;57.14;53.85;53.57;00:00:21;
2;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:17;35.71;78.57;57.14;64.71;67.86;00:00:21;
3;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:22;25.0;60.71;64.29;62.96;62.5;00:00:20;
4;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:19;21.43;64.29;57.14;60.0;60.71;00:00:15;
5;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:16;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:29;7.14;50.0;57.14;53.85;53.57;00:00:22;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:22;35.71;78.57;57.14;64.71;67.86;00:00:16;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:28;25.0;60.71;64.29;62.96;62.5;00:00:21;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:20;21.43;64.29;57.14;60.0;60.71;00:00:15;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:18;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:25;14.29;57.14;57.14;57.14;57.14;00:00:13;
2;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:18;3.57;71.43;32.14;51.28;51.79;00:00:17;
3;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:17;7.14;53.57;53.57;53.57;53.57;00:00:15;
4;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:15;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:14;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;67.86;60.71;63.33;64.29;00:00:16;14.29;57.14;57.14;57.14;57.14;00:00:14;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;71.43;28.57;50.0;50.0;00:00:14;3.57;71.43;32.14;51.28;51.79;00:00:13;
3;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);10.71;57.14;53.57;55.17;55.36;00:00:15;7.14;53.57;53.57;53.57;53.57;00:00:16;
4;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);28.57;53.57;75.0;68.18;64.29;00:00:16;39.29;60.71;78.57;73.91;69.64;00:00:13;
5;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(10,45,30);0.0;32.14;67.86;50.0;50.0;00:00:16;25.0;57.14;67.86;64.0;62.5;00:00:15;
1;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:21;7.14;50.0;57.14;53.85;53.57;00:00:22;
2;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:18;35.71;78.57;57.14;64.71;67.86;00:00:21;
3;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);25.0;67.86;57.14;61.29;62.5;00:00:21;25.0;60.71;64.29;62.96;62.5;00:00:20;
4;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);28.57;67.86;60.71;63.33;64.29;00:00:17;21.43;64.29;57.14;60.0;60.71;00:00:15;
5;TestOp_80,1,2,false,stump,Any[],1,(20,45,30);7.14;46.43;60.71;54.17;53.57;00:00:15;10.71;39.29;71.43;57.89;55.36;00:00:15;
1;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);3.57;42.86;60.71;52.17;51.79;00:00:28;7.14;50.0;57.14;53.85;53.57;00:00:22;
2;TestOp_80,1,2,false,stump_with_memoization,Any[],1,(20,45,30);42.86;89.29;53.57;65.79;71.43;00:00:23;35.71;78.57;57.14;64.71;67.86;00:00:15;
