;T(entropy,1,0.01,0.6)K;T(entropy,1,0.01,0.6)sensitivity;T(entropy,1,0.01,0.6)specificity;T(entropy,1,0.01,0.6)precision;T(entropy,1,0.01,0.6)accuracy;T(entropy,1,0.01,0.6)t;
1,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);35.71;64.29;71.43;69.23;67.86;00:00:08;
1,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);60.71;85.71;75.0;77.42;80.36;00:00:06;
1,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);32.14;60.71;71.43;68.0;66.07;00:00:10;
1,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);32.14;64.29;67.86;66.67;66.07;00:01:51;
1,TestOp_80,1,40,false,Any[],1,(30,75,50);39.29;64.29;75.0;72.0;69.64;00:00:05;
1,TestOp_80,1,60,false,Any[],1,(30,75,50);42.86;67.86;75.0;73.08;71.43;00:00:07;
1,TestOp_80,2,20,false,Any[],1,(30,45,30);10.71;71.43;39.29;54.05;55.36;00:00:07;
1,TestOp_80,2,40,false,Any[],1,(30,45,30);28.57;75.0;53.57;61.76;64.29;00:00:08;
2,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);0.0;64.29;35.71;50.0;50.0;00:00:10;
2,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);10.71;71.43;39.29;54.05;55.36;00:00:12;
2,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);10.71;60.71;50.0;54.84;55.36;00:00:21;
2,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);3.57;64.29;39.29;51.43;51.79;00:01:39;
2,TestOp_80,1,40,false,Any[],1,(30,75,50);21.43;71.43;50.0;58.82;60.71;00:00:05;
2,TestOp_80,1,60,false,Any[],1,(30,75,50);17.86;71.43;46.43;57.14;58.93;00:00:08;
2,TestOp_80,2,20,false,Any[],1,(30,45,30);17.86;78.57;39.29;56.41;58.93;00:00:05;
2,TestOp_80,2,40,false,Any[],1,(30,45,30);14.29;78.57;35.71;55.0;57.14;00:00:19;
3,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);25.0;57.14;67.86;64.0;62.5;00:00:02;
3,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);39.29;57.14;82.14;76.19;69.64;00:00:04;
3,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);21.43;46.43;75.0;65.0;60.71;00:00:02;
3,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);25.0;53.57;71.43;65.22;62.5;00:00:01;
3,TestOp_80,1,40,false,Any[],1,(30,75,50);25.0;35.71;89.29;76.92;62.5;00:00:02;
3,TestOp_80,1,60,false,Any[],1,(30,75,50);28.57;50.0;78.57;70.0;64.29;00:00:04;
3,TestOp_80,2,20,false,Any[],1,(30,45,30);32.14;71.43;60.71;64.52;66.07;00:00:05;
3,TestOp_80,2,40,false,Any[],1,(30,45,30);7.14;57.14;50.0;53.33;53.57;00:00:07;
4,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);17.86;67.86;50.0;57.58;58.93;00:00:06;
4,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);25.0;57.14;67.86;64.0;62.5;00:00:13;
4,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);7.14;53.57;53.57;53.57;53.57;00:00:12;
4,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);21.43;64.29;57.14;60.0;60.71;00:00:24;
4,TestOp_80,1,40,false,Any[],1,(30,75,50);10.71;60.71;50.0;54.84;55.36;00:00:11;
4,TestOp_80,1,60,false,Any[],1,(30,75,50);14.29;60.71;53.57;56.67;57.14;00:00:08;
4,TestOp_80,2,20,false,Any[],1,(30,45,30);39.29;64.29;75.0;72.0;69.64;00:00:11;
4,TestOp_80,2,40,false,Any[],1,(30,45,30);42.86;71.43;71.43;71.43;71.43;00:01:32;
5,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);28.57;64.29;64.29;64.29;64.29;00:00:06;
5,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);25.0;64.29;60.71;62.07;62.5;00:00:09;
5,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);32.14;57.14;75.0;69.57;66.07;00:01:30;
5,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);35.71;57.14;78.57;72.73;67.86;00:01:57;
5,TestOp_80,1,40,false,Any[],1,(30,75,50);35.71;71.43;64.29;66.67;67.86;00:00:10;
5,TestOp_80,1,60,false,Any[],1,(30,75,50);28.57;67.86;60.71;63.33;64.29;00:00:08;
5,TestOp_80,2,20,false,Any[],1,(30,45,30);39.29;60.71;78.57;73.91;69.64;00:00:10;
5,TestOp_80,2,40,false,Any[],1,(30,45,30);42.86;67.86;75.0;73.08;71.43;00:00:22;
