;T(entropy,1,0.01,0.6)K;T(entropy,1,0.01,0.6)sensitivity;T(entropy,1,0.01,0.6)specificity;T(entropy,1,0.01,0.6)precision;T(entropy,1,0.01,0.6)accuracy;T(entropy,1,0.01,0.6)t;
1,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);67.38;79.43;87.94;86.82;83.69;00:00:12;
1,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);65.25;77.3;87.94;86.51;82.62;00:00:06;
1,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);52.48;79.43;73.05;74.67;76.24;00:00:05;
1,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);60.99;78.72;82.27;81.62;80.5;00:00:24;
1,TestOp_80,1,40,false,Any[],1,(30,75,50);48.23;74.47;73.76;73.94;74.11;00:00:03;
1,TestOp_80,1,60,false,Any[],1,(30,75,50);56.03;69.5;86.52;83.76;78.01;00:00:07;
1,TestOp_80,2,20,false,Any[],1,(30,45,30);56.74;78.01;78.72;78.57;78.37;00:00:15;
1,TestOp_80,2,40,false,Any[],1,(30,45,30);63.83;79.43;84.4;83.58;81.91;00:00:29;
2,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);55.32;73.05;82.27;80.47;77.66;00:00:06;
2,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);60.28;80.85;79.43;79.72;80.14;00:00:16;
2,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);57.45;79.43;78.01;78.32;78.72;00:00:29;
2,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);53.19;78.01;75.18;75.86;76.6;00:01:31;
2,TestOp_80,1,40,false,Any[],1,(30,75,50);58.87;75.89;82.98;81.68;79.43;00:00:10;
2,TestOp_80,1,60,false,Any[],1,(30,75,50);54.61;66.67;87.94;84.68;77.3;00:00:06;
2,TestOp_80,2,20,false,Any[],1,(30,45,30);56.03;85.11;70.92;74.53;78.01;00:00:16;
2,TestOp_80,2,40,false,Any[],1,(30,45,30);70.21;82.27;87.94;87.22;85.11;00:01:45;
3,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);58.87;67.38;91.49;88.79;79.43;00:00:03;
3,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);70.21;78.01;92.2;90.91;85.11;00:00:06;
3,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);77.3;91.49;85.82;86.58;88.65;00:00:11;
3,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);57.45;71.63;85.82;83.47;78.72;00:00:12;
3,TestOp_80,1,40,false,Any[],1,(30,75,50);59.57;72.34;87.23;85.0;79.79;00:00:03;
3,TestOp_80,1,60,false,Any[],1,(30,75,50);58.16;70.21;87.94;85.34;79.08;00:00:04;
3,TestOp_80,2,20,false,Any[],1,(30,45,30);72.34;90.07;82.27;83.55;86.17;00:00:07;
3,TestOp_80,2,40,false,Any[],1,(30,45,30);72.34;92.2;80.14;82.28;86.17;00:00:20;
4,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);57.45;72.34;85.11;82.93;78.72;00:00:04;
4,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);54.61;73.05;81.56;79.84;77.3;00:00:05;
4,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);60.99;82.27;78.72;79.45;80.5;00:00:06;
4,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);54.61;74.47;80.14;78.95;77.3;00:00:12;
4,TestOp_80,1,40,false,Any[],1,(30,75,50);57.45;73.05;84.4;82.4;78.72;00:00:03;
4,TestOp_80,1,60,false,Any[],1,(30,75,50);61.7;73.76;87.94;85.95;80.85;00:00:06;
4,TestOp_80,2,20,false,Any[],1,(30,45,30);56.03;79.43;76.6;77.24;78.01;00:00:14;
4,TestOp_80,2,40,false,Any[],1,(30,45,30);63.83;80.14;83.69;83.09;81.91;00:00:24;
5,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);68.79;82.98;85.82;85.4;84.4;00:00:07;
5,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);57.45;82.98;74.47;76.47;78.72;00:00:12;
5,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);63.83;78.72;85.11;84.09;81.91;00:00:12;
5,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);61.7;77.3;84.4;83.21;80.85;00:01:09;
5,TestOp_80,1,40,false,Any[],1,(30,75,50);62.41;80.14;82.27;81.88;81.21;00:00:07;
5,TestOp_80,1,60,false,Any[],1,(30,75,50);56.03;78.01;78.01;78.01;78.01;00:00:08;
5,TestOp_80,2,20,false,Any[],1,(30,45,30);61.7;80.14;81.56;81.29;80.85;00:00:13;
5,TestOp_80,2,40,false,Any[],1,(30,45,30);54.61;77.3;77.3;77.3;77.3;00:00:15;
