;T(entropy,1,0.01,0.6)K;T(entropy,1,0.01,0.6)sensitivity;T(entropy,1,0.01,0.6)specificity;T(entropy,1,0.01,0.6)precision;T(entropy,1,0.01,0.6)accuracy;T(entropy,1,0.01,0.6)t;RF(50,all,all)K;RF(50,all,all)sensitivity;RF(50,all,all)specificity;RF(50,all,all)precision;RF(50,all,all)accuracy;RF(50,all,all)oob_error;RF(50,all,all)σ² K;RF(50,all,all)σ² sensitivity;RF(50,all,all)σ² specificity;RF(50,all,all)σ² precision;RF(50,all,all)σ² accuracy;RF(50,all,all)σ² oob_error;RF(50,all,all)t;RF(50,half,all)K;RF(50,half,all)sensitivity;RF(50,half,all)specificity;RF(50,half,all)precision;RF(50,half,all)accuracy;RF(50,half,all)oob_error;RF(50,half,all)σ² K;RF(50,half,all)σ² sensitivity;RF(50,half,all)σ² specificity;RF(50,half,all)σ² precision;RF(50,half,all)σ² accuracy;RF(50,half,all)σ² oob_error;RF(50,half,all)t;RF(100,all,all)K;RF(100,all,all)sensitivity;RF(100,all,all)specificity;RF(100,all,all)precision;RF(100,all,all)accuracy;RF(100,all,all)oob_error;RF(100,all,all)σ² K;RF(100,all,all)σ² sensitivity;RF(100,all,all)σ² specificity;RF(100,all,all)σ² precision;RF(100,all,all)σ² accuracy;RF(100,all,all)σ² oob_error;RF(100,all,all)t;RF(100,half,all)K;RF(100,half,all)sensitivity;RF(100,half,all)specificity;RF(100,half,all)precision;RF(100,half,all)accuracy;RF(100,half,all)oob_error;RF(100,half,all)σ² K;RF(100,half,all)σ² sensitivity;RF(100,half,all)σ² specificity;RF(100,half,all)σ² precision;RF(100,half,all)σ² accuracy;RF(100,half,all)σ² oob_error;RF(100,half,all)t;
1,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);25.0;57.14;67.86;64.0;62.5;00:01:33;41.43;60.0;81.43;76.34;70.71;0.0;0.0016581632653061191;0.002168367346938778;0.00025510204081632634;0.00020432903798356896;0.00041454081632652984;0.0;00:00:00;44.29;64.29;80.0;76.34;72.14;0.0;0.0016581632653061226;0.0012755102040816354;0.0010204081632653051;0.0007170293847566572;0.00041454081632653065;0.0;00:00:00;41.43;60.0;81.43;76.38;70.71;37.26;0.00038265306122449184;0.00025510204081632634;0.00025510204081632634;0.00021281463785084967;9.566326530612296e-5;0.0004444357428146294;01:35:48;40.71;62.86;77.86;73.97;70.36;36.73;0.0003826530612244919;0.0003826530612244919;0.00025510204081632634;0.00015022684310018932;9.566326530612296e-5;0.00033283734043386426;00:20:19;
1,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);42.86;64.29;78.57;75.0;71.43;00:00:09;41.43;61.43;80.0;75.46;70.71;0.0;0.001020408163265306;0.0008928571428571452;0.00038265306122448945;0.0003344028222505144;0.0002551020408163265;0.0;00:00:00;38.57;62.86;75.71;72.32;69.29;0.0;0.0008928571428571412;0.002933673469387758;0.0021683673469387733;0.0007516634997082231;0.00022321428571428533;0.0;00:00:00;40.0;60.71;79.29;74.66;70.0;35.84;0.00025510204081632785;0.0012755102040816354;0.0008928571428571421;0.00031084628936640804;6.377551020408198e-5;0.00032304800689169185;01:38:45;41.43;64.29;77.14;73.82;70.71;37.08;0.003571428571428569;0.004464285714285716;0.001658163265306121;0.0009805979707573017;0.0008928571428571422;0.0007772730832484932;00:20:24;
1,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);21.43;64.29;57.14;60.0;60.71;00:00:13;29.29;66.43;62.86;64.22;64.64;0.0;0.007270408163265312;0.0010204081632653051;0.0029336734693877578;0.002017714576912811;0.0018176020408163277;0.0;00:00:00;33.57;71.43;62.14;65.3;66.79;0.0;0.0042091836734693905;0.002551020408163263;0.00038265306122449184;0.0006359676245623162;0.0010522959183673476;0.0;00:00:00;30.71;67.14;63.57;64.89;65.36;29.82;0.0010204081632653045;0.0008928571428571422;0.0015306122448979617;0.00039099468562692625;0.0002551020408163261;0.00012334560263137326;01:14:22;32.86;70.71;62.14;65.12;66.43;32.74;0.006632653061224482;0.0021683673469387733;0.0016581632653061256;0.0013144257705969469;0.0016581632653061204;0.00013705066959041398;01:40:47;
1,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);39.29;60.71;78.57;73.91;69.64;00:00:27;30.71;69.29;61.43;64.29;65.36;0.0;0.004209183673469389;0.0016581632653061213;0.002168367346938779;0.0010778283319630216;0.001052295918367347;0.0;00:00:00;32.14;68.57;63.57;65.29;66.07;0.0;0.0019132653061224433;0.0034438775510204044;0.0008928571428571452;0.00021697795249689205;0.0004783163265306108;0.0;00:00:00;28.57;66.43;62.14;63.7;64.29;32.21;0.0012755102040816315;0.00038265306122448945;0.0003826530612244918;0.00030149293169507135;0.00031887755102040787;0.00018991307071814447;02:10:34;35.71;70.71;65.0;66.86;67.86;31.33;0.0019132653061224433;0.0021683673469387738;0.00025510204081632634;0.00023035575659330592;0.0004783163265306108;0.00034654240739290395;01:14:22;
1,TestOp_80,1,40,false,Any[],1,(30,75,50);39.29;64.29;75.0;72.0;69.64;00:00:09;56.43;76.43;80.0;79.89;78.21;0.0;0.0028061224489795878;0.0010204081632653051;0.006760204081632654;0.004578653582934677;0.0007015306122448969;0.0;00:00:00;47.86;73.57;74.29;74.15;73.93;0.0;0.0010204081632653116;0.001658163265306121;0.0008928571428571421;0.0003097058991435172;0.0002551020408163279;0.0;00:00:00;55.71;75.0;80.71;79.67;77.86;30.97;0.006760204081632649;0.0019132653061224472;0.002933673469387753;0.002352556454534475;0.0016900510204081623;0.00024473333855431047;00:20:43;57.14;77.14;80.0;79.49;78.57;31.42;0.0031887755102040787;0.0010204081632653053;0.0016581632653061209;0.0012757494083144253;0.0007971938775510197;0.00046988801002427656;00:12:43;
1,TestOp_80,1,60,false,Any[],1,(30,75,50);42.86;67.86;75.0;73.08;71.43;00:00:06;54.29;75.71;78.57;77.94;77.14;0.0;0.013010204081632665;0.0034438775510204052;0.0031887755102040782;0.0034419529128523834;0.0032525510204081663;0.0;00:00:00;51.43;75.0;76.43;76.16;75.71;0.0;0.0003826530612244919;0.0019132653061224472;0.0010204081632653053;0.0002248562138767324;9.566326530612296e-5;0.0;00:00:00;54.29;76.43;77.86;77.65;77.14;30.53;0.00854591836734694;0.0016581632653061209;0.003443877551020405;0.002898248850237199;0.0021364795918367347;0.0006167280131568639;00:27:50;57.86;81.43;76.43;77.63;78.93;29.29;0.004719387755102041;0.0008928571428571422;0.0022959183673469364;0.0015070770278652627;0.0011798469387755105;0.0002878064061398709;00:14:11;
1,TestOp_80,2,20,false,Any[],1,(30,45,30);10.71;71.43;39.29;54.05;55.36;00:03:38;50.0;72.14;77.86;76.59;75.0;0.0;0.0006377551020408197;0.0015306122448979578;0.0008928571428571422;0.0003430214556337138;0.00015943877551020494;0.0;00:00:00;46.43;70.71;75.71;74.54;73.21;0.0;0.0012755102040816315;0.001530612244897958;0.001530612244897958;0.0006442857099780445;0.00031887755102040787;0.0;00:00:00;50.71;72.86;77.86;76.72;75.36;28.23;0.00216836734693878;0.0003826530612244895;0.0008928571428571421;0.0007889546351084828;0.000542091836734695;9.20197352964213e-5;01:35:28;48.57;72.14;76.43;75.45;74.29;29.2;0.0003826530612244919;0.0008928571428571421;0.0010204081632653051;0.0003515860943227637;9.566326530612297e-5;0.0001859973373012771;00:22:35;
1,TestOp_80,2,40,false,Any[],1,(30,45,30);28.57;75.0;53.57;61.76;64.29;00:00:09;49.29;69.29;80.0;77.73;74.64;0.0;0.009183673469387754;0.001658163265306121;0.0035714285714285735;0.0038163001314924405;0.002295918367346938;0.0;00:00:00;50.71;71.43;79.29;77.79;75.36;0.0;0.007270408163265314;0.0019132653061224474;0.004719387755102036;0.0031831596309834275;0.0018176020408163286;0.0;00:00:00;49.29;71.43;77.86;76.47;74.64;28.67;0.0034438775510204104;0.0006377551020408157;0.0021683673469387738;0.0017952370516473113;0.0008609693877551026;0.00019970240426031856;01:04:26;50.0;72.14;77.86;76.54;75.0;28.58;0.002551020408163263;0.0008928571428571421;0.0008928571428571422;0.0008136094674556227;0.0006377551020408157;0.0001820816038844081;01:41:04;
2,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);0.0;60.71;39.29;50.0;50.0;00:00:03;37.14;68.57;68.57;68.6;68.57;0.0;0.0010204081632653043;0.0021683673469387738;0.0008928571428571421;0.00020349034981621784;0.0002551020408163261;0.0;00:00:00;35.0;67.86;67.14;67.4;67.5;0.0;0.0034438775510204057;0.005102040816326532;0.002168367346938777;0.0006434623797489866;0.0008609693877551015;0.0;00:00:00;40.0;70.71;69.29;69.77;70.0;34.87;0.0008928571428571429;0.0008928571428571421;0.0010204081632653053;0.0003288821701520122;0.0002232142857142857;0.00017033440363380115;00:29:55;37.14;68.57;68.57;68.8;68.57;34.42;0.0016581632653061224;0.0034438775510204096;0.004081632653061225;0.0009679263498670372;0.0004145408163265306;3.3283734043386424e-5;00:20:08;
2,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);3.57;64.29;39.29;51.43;51.79;00:00:05;31.43;65.71;65.71;65.7;65.71;0.0;0.004081632653061223;0.0016581632653061237;0.001020408163265308;0.0009231751351078937;0.0010204081632653058;0.0;00:00:00;35.0;65.71;69.29;68.2;67.5;0.0;0.0008928571428571428;0.00038265306122448945;0.0010204081632653053;0.0004095933213013347;0.0002232142857142857;0.0;00:00:00;33.57;66.43;67.14;66.96;66.79;34.34;0.0003826530612244919;0.00038265306122448945;0.0008928571428571422;0.00025525958987562814;9.566326530612296e-5;0.0003093429399326489;01:36:59;37.14;69.29;67.86;68.37;68.57;33.72;0.0010204081632653051;0.0010204081632653053;0.0012755102040816315;0.0004040373545868059;0.00025510204081632634;0.00033675307385073203;00:15:03;
2,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);21.43;60.71;60.71;60.71;60.71;00:00:08;8.57;61.43;47.14;53.97;54.29;0.0;0.008035714285714281;0.002806122448979594;0.008545918367346935;0.0019465374078871905;0.0020089285714285704;0.0;00:00:00;9.29;60.71;48.57;54.15;54.64;0.0;0.00038265306122449184;0.0;0.00038265306122448945;8.810402575442204e-5;9.566326530612296e-5;0.0;00:00:00;8.57;65.71;42.86;53.51;54.29;32.48;0.002933673469387747;0.00038265306122448945;0.0012755102040816336;0.0005061083256832158;0.0007334183673469367;9.397760200485497e-5;01:09:27;10.0;60.0;50.0;54.59;55.0;31.59;0.003443877551020406;0.0008928571428571443;0.0019132653061224492;0.0007134302029720603;0.0008609693877551014;0.0003680789411856834;01:46:38;
2,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);21.43;57.14;64.29;61.54;60.71;00:00:18;21.43;60.71;60.71;60.83;60.71;0.0;0.007653061224489804;0.0012755102040816354;0.0038265306122449005;0.0020149807457499787;0.001913265306122451;0.0;00:00:00;18.57;59.29;59.29;59.22;59.29;0.0;0.004081632653061223;0.005484693877551022;0.0016581632653061237;0.0007923590026672133;0.0010204081632653058;0.0;00:00:00;20.0;62.14;57.86;59.57;60.0;33.01;0.0016581632653061228;0.0010204081632653086;0.00025510204081632634;0.00033516950180785825;0.0004145408163265307;0.00010376693554702739;02:09:51;15.71;60.71;55.0;57.35;57.86;31.86;0.0029336734693877547;0.0031887755102040847;0.00038265306122448945;0.0005136550183947852;0.0007334183673469388;0.0005677813454460013;01:12:54;
2,TestOp_80,1,40,false,Any[],1,(30,75,50);21.43;71.43;50.0;58.82;60.71;00:00:06;36.43;70.0;66.43;67.73;68.21;0.0;0.005994897959183667;0.002933673469387752;0.00420918367346939;0.0018787945882702954;0.0014987244897959168;0.0;00:00:00;33.57;70.0;63.57;65.81;66.79;0.0;0.006122448979591832;0.0016581632653061209;0.002168367346938779;0.001451742821402102;0.0015306122448979578;0.0;00:00:00;34.29;69.29;65.0;66.59;67.14;30.27;0.0029336734693877547;0.0010204081632653053;0.0034438775510204117;0.0011513068633627584;0.0007334183673469387;0.000554076278486961;00:21:47;33.57;70.71;62.86;65.56;66.79;29.12;0.001020408163265306;0.0008928571428571422;0.0003826530612244919;0.00018533760239133301;0.0002551020408163265;0.0006891690813689402;00:12:15;
2,TestOp_80,1,60,false,Any[],1,(30,75,50);17.86;71.43;46.43;57.14;58.93;00:00:08;33.57;70.0;63.57;65.96;66.79;0.0;0.006760204081632646;0.001658163265306121;0.004719387755102043;0.002316107273933175;0.0016900510204081614;0.0;00:00:00;37.86;74.29;63.57;67.15;68.93;0.0;0.004846938775510202;0.0008928571428571422;0.002168367346938779;0.001184118106139437;0.0012117346938775506;0.0;00:00:00;35.0;75.0;60.0;65.21;67.5;31.15;0.002806122448979591;0.002551020408163263;0.0008928571428571445;0.00040351960804317253;0.0007015306122448977;5.482026783616589e-5;00:22:59;32.86;72.14;60.71;64.73;66.43;30.0;0.0021683673469387703;0.0021683673469387733;0.0006377551020408177;0.00030237543764037497;0.0005420918367346926;0.0001801237371759736;00:12:07;
2,TestOp_80,2,20,false,Any[],1,(30,45,30);17.86;71.43;46.43;57.14;58.93;00:00:04;37.14;65.0;72.14;70.0;68.57;0.0;0.008035714285714268;0.0040816326530612275;0.0021683673469387733;0.00212810845937298;0.002008928571428567;0.0;00:00:00;37.14;70.71;66.43;67.61;68.57;0.0;0.009311224489795912;0.008545918367346942;0.0003826530612244895;0.0011208343468269207;0.002327806122448978;0.0;00:00:00;36.43;65.71;70.71;69.21;68.21;27.88;0.011096938775510209;0.005484693877551021;0.00344387755102041;0.002655283446712018;0.002774234693877552;0.00014684000313258718;01:35:22;40.0;73.57;66.43;68.61;70.0;27.35;0.005994897959183668;0.0042091836734693844;0.0010204081632653051;0.0009349945977414818;0.0014987244897959173;0.0007576944161641482;00:22:53;
2,TestOp_80,2,40,false,Any[],1,(30,45,30);14.29;78.57;35.71;55.0;57.14;00:00:20;34.29;61.43;72.86;69.34;67.14;0.0;0.004209183673469391;0.002168367346938778;0.0010204081632653053;0.0012712719097101818;0.0010522959183673476;0.0;00:00:00;37.14;66.43;70.71;69.39;68.57;0.0;0.0054846938775510124;0.0042091836734693905;0.001530612244897958;0.0010842028979645751;0.0013711734693877531;0.0;00:00:00;33.57;62.86;70.71;68.14;66.79;28.94;0.0067602040816326535;0.002933673469387759;0.000892857142857142;0.0016204160680513941;0.0016900510204081631;0.0006030229461978229;01:06:29;35.71;67.14;68.57;68.05;67.86;29.56;0.004464285714285706;0.004719387755102043;0.0008928571428571421;0.0006205157449424486;0.0011160714285714266;0.0006206437465737336;01:41:39;
3,TestOp_80,1,40,false,Any[],1,(30,75,50);25.0;35.71;89.29;76.92;62.5;00:00:08;43.57;59.29;84.29;79.15;71.79;0.0;0.004081632653061223;0.001020408163265308;0.0016581632653061237;0.0023018590356252695;0.0010204081632653058;0.0;00:00:00;40.0;57.14;82.86;77.36;70.0;0.0;0.002168367346938778;0.0006377551020408157;0.0034438775510204087;0.0030565007351396802;0.0005420918367346945;0.0;00:00:00;41.43;57.14;84.29;78.55;70.71;23.36;0.006122448979591831;0.0012755102040816315;0.0022959183673469425;0.0035578512396694196;0.001530612244897958;0.00032696374030855957;00:19:04;45.71;58.57;87.14;82.14;72.86;24.69;0.0008928571428571412;0.0003826530612244895;0.0010204081632653088;0.0011255923628122053;0.0002232142857142853;9.201973529642021e-5;00:11:17;
1,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);35.71;64.29;71.43;69.23;67.86;00:02:25;65.0;80.0;85.0;84.53;82.5;0.0;0.004719387755102033;0.001658163265306121;0.0040816326530612275;0.003237887517146774;0.0011798469387755083;0.0;00:00:00;62.14;78.57;83.57;82.93;81.07;0.0;0.00229591836734694;0.0006377551020408157;0.0029336734693877556;0.0018821038790269543;0.000573979591836735;0.0;00:00:00;67.86;79.29;88.57;87.77;83.93;29.03;0.00510204081632653;0.001530612244897958;0.0040816326530612275;0.003952469388753107;0.0012755102040816323;0.0001429242697157182;00:21:27;65.0;80.0;85.0;84.3;82.5;28.05;0.00025510204081632785;0.0003826530612244894;0.0008928571428571445;0.00057988527955561;6.377551020408196e-5;0.0005247082778604449;00:24:32;
1,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);60.71;85.71;75.0;77.42;80.36;00:02:08;62.86;79.29;83.57;82.94;81.43;0.0;0.005484693877551013;0.0015306122448979578;0.0022959183673469403;0.002046001004828843;0.0013711734693877533;0.0;00:00:00;64.29;80.71;83.57;83.19;82.14;0.0;0.0019132653061224513;0.002933673469387753;0.0010204081632653084;0.0006476205648763175;0.0004783163265306128;0.0;00:00:00;65.0;80.71;84.29;83.69;82.5;27.19;0.004719387755102041;0.001658163265306121;0.001020408163265308;0.001126651503126879;0.0011798469387755105;0.00012257181503428963;00:25:12;62.14;78.57;83.57;82.9;81.07;27.43;0.0003826530612244871;0.0019132653061224472;0.0016581632653061243;0.0008717247165991437;9.566326530612178e-5;0.00011747200250606976;00:13:36;
1,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);32.14;60.71;71.43;68.0;66.07;00:01:41;45.71;77.14;68.57;71.65;72.86;0.0;0.009183673469387747;0.004846938775510201;0.011734693877551019;0.004169656635802472;0.002295918367346937;0.0;00:00:00;47.14;77.86;69.29;71.92;73.57;0.0;0.0015306122448979626;0.000892857142857142;0.0035714285714285687;0.0012613735844617903;0.0003826530612244907;0.0;00:00:00;47.14;75.71;71.43;72.66;73.57;32.48;0.0066326530612244965;0.0021683673469387733;0.002551020408163263;0.0016535692324931963;0.0016581632653061243;8.418826846268238e-5;01:44:41;45.71;77.14;68.57;71.22;72.86;31.68;0.0034438775510204126;0.0003826530612244895;0.003443877551020405;0.0015033983462962803;0.0008609693877551033;0.00020166027096875177;00:26:50;
1,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);35.71;67.86;67.86;67.86;67.86;00:01:53;34.29;75.71;58.57;64.75;67.14;0.0;0.0010204081632653062;0.0008928571428571422;0.002933673469387759;0.0005257818552411569;0.0002551020408163265;0.0;00:00:00;37.14;72.86;64.29;67.19;68.57;0.0;0.00229591836734694;0.00038265306122448945;0.001913265306122451;0.000821847989976428;0.0005739795918367351;0.0;00:00:00;38.57;77.86;60.71;66.54;69.29;29.58;0.0015306122448979604;0.00025510204081632634;0.001913265306122451;0.0004981053165282761;0.0003826530612244901;7.337129177628328e-5;02:35:38;36.43;74.29;62.14;66.28;68.21;31.59;0.0034438775510204044;0.0008928571428571421;0.0016581632653061254;0.0008381171233668622;0.0008609693877551011;7.439893492051044e-5;01:52:46;
2,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);0.0;64.29;35.71;50.0;50.0;00:00:13;37.14;75.71;61.43;66.4;68.57;0.0;0.0010204081632653045;0.0008928571428571422;0.0034438775510204117;0.0006401325229933312;0.0002551020408163261;0.0;00:00:00;32.86;75.0;57.86;64.04;66.43;0.0;0.001530612244897958;0.0006377551020408157;0.000892857142857142;0.00032540819636678184;0.0003826530612244895;0.0;00:00:00;37.14;73.57;63.57;66.89;68.57;29.2;0.0003826530612244871;0.00038265306122448945;0.00025510204081632785;7.878891345820294e-5;9.566326530612178e-5;0.0002838906727230019;00:24:04;33.57;74.29;59.29;64.65;66.79;29.29;0.001020408163265306;0.0008928571428571422;0.0016581632653061237;0.00034512294501133764;0.0002551020408163265;0.00024864907197118095;00:14:15;
2,TestOp_80,1,60,false,Any["Normalize"],1,(30,75,50);7.14;67.86;39.29;52.78;53.57;00:00:12;37.14;79.29;57.86;65.39;68.57;0.0;0.008673469387755102;0.0021683673469387733;0.004081632653061227;0.0018636293594379665;0.0021683673469387755;0.0;00:00:00;36.43;74.29;62.14;66.21;68.21;0.0;0.005994897959183674;0.0021683673469387733;0.0010204081632653088;0.001058061264308012;0.001498724489795919;0.0;00:00:00;37.86;77.14;60.71;66.33;68.93;30.53;0.0010204081632653045;0.0010204081632653051;0.001913265306122451;0.0003700740431617017;0.0002551020408163261;0.0003034693398073449;00:25:02;42.14;78.57;63.57;68.35;71.07;30.09;0.0008928571428571428;0.0012755102040816315;0.0008928571428571452;0.0002145076675464216;0.0002232142857142857;0.00021536533792779455;00:15:32;
2,TestOp_80,2,20,false,Any["Normalize"],1,(30,45,30);10.71;60.71;50.0;54.84;55.36;00:00:21;19.29;60.71;58.57;59.33;59.64;0.0;0.003571428571428578;0.004464285714285716;0.00038265306122448945;0.0004983454237678022;0.0008928571428571445;0.0;00:00:00;17.14;62.86;54.29;57.88;58.57;0.0;0.01683673469387754;0.005484693877551023;0.004719387755102042;0.0034232187162789134;0.004209183673469385;0.0;00:00:00;13.57;60.71;52.86;56.34;56.79;30.88;0.0002551020408163247;0.0006377551020408177;0.001530612244897958;0.00010462697475684503;6.377551020408118e-5;0.0002388597384290077;01:59:38;13.57;59.29;54.29;56.49;56.79;32.39;0.005994897959183667;0.0016581632653061237;0.0021683673469387738;0.001425561894569339;0.0014987244897959168;0.00033675307385073127;01:33:06;
2,TestOp_80,2,40,false,Any["Normalize"],1,(30,45,30);3.57;64.29;39.29;51.43;51.79;00:01:43;22.14;66.43;55.71;60.02;61.07;0.0;0.0008928571428571428;0.0010204081632653051;0.0010204081632653051;0.00021955066497536866;0.0002232142857142857;0.0;00:00:00;15.0;62.86;52.14;56.83;57.5;0.0;0.004081632653061218;0.0016581632653061254;0.002933673469387755;0.000860578443172867;0.0010204081632653045;0.0;00:00:00;20.0;64.29;55.71;59.33;60.0;29.56;0.008035714285714294;0.0012755102040816354;0.004209183673469389;0.0019460047470687908;0.0020089285714285734;0.000248649071971181;02:50:57;13.57;60.0;53.57;56.39;56.79;30.35;0.0034438775510204044;0.002168367346938778;0.0019132653061224472;0.0008225755934772862;0.0008609693877551011;0.00010376693554702828;01:01:06;
3,TestOp_80,1,40,false,Any["Normalize"],1,(30,75,50);25.0;57.14;67.86;64.0;62.5;00:00:02;37.14;58.57;78.57;73.44;68.57;0.0;0.004209183673469385;0.006122448979591837;0.0031887755102040787;0.0018616436996796652;0.0010522959183673463;0.0;00:00:00;36.43;55.0;81.43;74.65;68.21;0.0;0.006632653061224486;0.0035714285714285735;0.0008928571428571422;0.0019439344337354942;0.0016581632653061215;0.0;00:00:00;37.14;57.86;79.29;73.83;68.57;22.39;0.002933673469387758;0.00025510204081632634;0.0021683673469387733;0.002187848583792906;0.0007334183673469395;8.418826846268332e-5;00:19:28;38.57;57.86;80.71;75.15;69.29;23.27;0.002168367346938777;0.0015306122448979613;0.0016581632653061213;0.0013959970251490653;0.0005420918367346942;0.00029955360639047785;00:12:40;
