Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
1	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(79.38, 81.67, 81.67, 97.71, 81.88, 97.72, 81.54, 23131.035)	
2	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(78.12, 80.56, 80.56, 97.57, 81.51, 97.58, 80.57, 11354.102)	
3	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(85.62, 87.22, 87.22, 98.4, 87.24, 98.41, 87.1, 8350.607)	
4	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(80.0, 82.22, 82.22, 97.78, 84.37, 97.79, 82.47, 4458.546)	
5	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(88.13, 89.44, 89.44, 98.68, 89.76, 98.69, 89.38, 7610.683)	
6	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(81.25, 83.33, 83.33, 97.92, 83.8, 97.93, 83.3, 1046.937)	
7	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(86.25, 87.78, 87.78, 98.47, 88.08, 98.47, 87.81, 3870.15)	
8	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(76.88, 79.44, 79.44, 97.43, 79.44, 97.45, 79.1, 841.448)	
9	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(82.5, 84.44, 84.44, 98.06, 84.56, 98.09, 83.88, 536.623)	
10	(5,false,"o_RCC8","TestOp"),100,-1,Pavia	(78.75, 81.11, 81.11, 97.64, 82.1, 97.66, 81.06, 4980.153)	
1	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(82.5, 84.44, 84.44, 98.06, 85.93, 98.09, 84.21, 137347.376)	
2	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(85.0, 86.67, 86.67, 98.33, 87.26, 98.35, 86.58, 76529.841)	
3	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(83.75, 85.56, 85.56, 98.19, 85.71, 98.19, 85.6, 14034.125)	
4	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(78.75, 81.11, 81.11, 97.64, 81.94, 97.64, 81.28, 92712.306)	
5	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(81.25, 83.33, 83.33, 97.92, 84.86, 97.91, 83.76, 84783.729)	
6	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(82.5, 84.44, 84.44, 98.06, 84.61, 98.06, 84.42, 8900.432)	
7	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(77.5, 80.0, 80.0, 97.5, 80.73, 97.51, 79.93, 3837.259)	
8	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(77.5, 80.0, 80.0, 97.5, 81.35, 97.5, 80.27, 11125.96)	
9	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(80.0, 82.22, 82.22, 97.78, 82.13, 97.79, 81.95, 7921.694)	
10	(7,false,"o_RCC8","TestOp"),100,-1,Pavia	(77.5, 80.0, 80.0, 97.5, 80.66, 97.5, 80.18, 20509.967)	
