TIMESTAMP	FILE NAME	COMP TIME	ARGS	
20/07/2021 16:56:19	dataset_68bbe0b73c8f15d7bd41db22dbaad0b1ddcb77ff8b6ada06201afc5da8e17fce.jld	00:00:05	(((1, 7), false, [⫺]), 100, -1, "Pavia")	
20/07/2021 16:58:50	dataset_eab7fb65cd28e1703cd68fc56d27e3b691ad09ba270be5f87b5493219f497820.jld	00:00:02	(((3, 7), :flattened, [⫺]), 100, -1, "Pavia")	
20/07/2021 17:18:05	dataset_e40daea13617eca01089d965c27d5bf17923566b2a41e3b2a5f22f92c6629b6e.jld	00:00:01	(((3, 7), false, TestOperator[⫺, ⫹]), 100, -1, "Pavia")	
20/07/2021 21:01:40	dataset_ac9c569a95975a36063d0e78a011f89d51527271361ae678fbd1840ab59cf66b.jld	00:00:00	(((1, 7), false, [⫺]), 100, -1, "Salinas-A")	
20/07/2021 21:02:26	dataset_bd4ea8686616df80bf1765145663e1408e43bc173ef7e9f0688b4f454d515848.jld	00:00:00	(((3, 7), :flattened, [⫺]), 100, -1, "Salinas-A")	
20/07/2021 21:09:04	dataset_bf111b9953a46b1aa1d6cc4b5455251bf491a9350509ea60dda6d5cafd0def47.jld	00:00:00	(((3, 7), false, TestOperator[⫺, ⫹]), 100, -1, "Salinas-A")	
20/07/2021 23:55:49	dataset_aae1d9f2018df8847cf97c90875b2075cac3d6183f49746cf09add635f5c17d0.jld	00:00:02	(((1, 7), false, [⫺]), 100, -1, "PaviaCentre")	
20/07/2021 23:57:26	dataset_9f91f17b1bf7d3d83536bb5c67a3bfbe3f68784bd3b1ecdc38c45a21ac6ef766.jld	00:00:03	(((3, 7), :flattened, [⫺]), 100, -1, "PaviaCentre")	
21/07/2021 00:16:12	dataset_252ea9fe2a07d68608d841ac5c393ef1804bea35de572b7e0115d46e8f7af052.jld	00:00:03	(((3, 7), false, TestOperator[⫺, ⫹]), 100, -1, "PaviaCentre")	
21/07/2021 03:35:00	dataset_2cb0eb6c23f09e6a59918e8a41ac9a0b4c00aa9c7ef8b7a3144d2f52d96c454a.jld	00:00:00	(((1, 7), false, [⫺]), 100, -1, "IndianPines")	
21/07/2021 03:39:53	dataset_fd2e2ad0063e6fb75b7b228fc1ec473febbcd7c70857905eeae63060ff8338ab.jld	00:00:00	(((3, 7), :flattened, [⫺]), 100, -1, "IndianPines")	
21/07/2021 04:08:51	dataset_73937f671d6dd414c104da0f85e7d6c9934491929effe7f9cd8cb9743f886fb5.jld	00:00:00	(((3, 7), false, TestOperator[⫺, ⫹]), 100, -1, "IndianPines")	
21/07/2021 12:04:17	dataset_eb2b1f61d54cfa07393b1d4e1f121d598cb4e78cfb701ff88410ae27ab5c933b.jld	00:00:01	(((1, 7), false, [⫺]), 100, -1, "Salinas")	
21/07/2021 12:09:31	dataset_7e1b06238bbc56f54907445f7bff47c55759c2035b0ea00a05b1f4a253f0af37.jld	00:00:01	(((3, 7), :flattened, [⫺]), 100, -1, "Salinas")	
21/07/2021 12:34:33	dataset_e4ad090dd09989811308c9a772890b66093e4504c3ca5b517fc9f483aabecf63.jld	00:00:01	(((3, 7), false, TestOperator[⫺, ⫹]), 100, -1, "Salinas")	
22/07/2021 00:07:58	dataset_af12187cc6a4fcfe36e5cad8318e57a626cd56b4bfeb76a509e281e14d6ada81.jld	00:00:05	(((3, 7), false, TestOperator[⫺, ⫹, ⫺₉₀, ⫹₉₀, ⫺₈₀, ⫹₈₀, ⫺₇₀, ⫹₇₀, ⫺₆₀, ⫹₆₀]), 100, -1, "Pavia")	
22/07/2021 12:11:35	dataset_2c9380f960dbf9b71680baffbd63137462673a520928d737ad58ef7b0352df8f.jld	00:00:01	(((3, 7), false, TestOperator[⫺, ⫹, ⫺₉₀, ⫹₉₀, ⫺₈₀, ⫹₈₀, ⫺₇₀, ⫹₇₀, ⫺₆₀, ⫹₆₀]), 100, -1, "Salinas-A")	
23/07/2021 01:22:53	dataset_56da9f6b542121abacd9e677ae2c33727fe2869bc9b82400b5d7132395404f1f.jld	00:00:02	(((3, 7), false, TestOperator[⫺, ⫹, ⫺₉₀, ⫹₉₀, ⫺₈₀, ⫹₈₀, ⫺₇₀, ⫹₇₀, ⫺₆₀, ⫹₆₀]), 100, -1, "PaviaCentre")	
24/07/2021 00:01:12	dataset_de2117f4aa3169c343b80c54524d76b46563114937e1032e6182a9838f5db282.jld	00:00:05	(((3, 7), false, TestOperator[⫺, ⫹, ⫺₉₀, ⫹₉₀, ⫺₈₀, ⫹₈₀, ⫺₇₀, ⫹₇₀, ⫺₆₀, ⫹₆₀]), 100, -1, "IndianPines")	
25/07/2021 12:38:07	dataset_7a28c814b2c37cfccf187d3f5ee8817199582b8aad9115504c5efe7c3f8c866b.jld	00:00:01	(((3, 7), false, TestOperator[⫺, ⫹, ⫺₉₀, ⫹₉₀, ⫺₈₀, ⫹₈₀, ⫺₇₀, ⫹₇₀, ⫺₆₀, ⫹₆₀]), 100, -1, "Salinas")	
28/07/2021 14:37:22	dataset_e80787f1d7dc5120de9bbadbf4255115891f16c6f6b1af3eabcb14ff4e704897.jld	00:00:12	(((5, 7), ("avg", 3), :flattened, [⫺]), 100, -1, "Pavia")	
28/07/2021 15:07:24	dataset_c745c5406f252334580a23c60b65ce70f8c0ca699469de6f539af723ee40c744.jld	00:00:02	(((5, 7), ("avg", 3), false, TestOperator[⫺, ⫹, ⫺₉₀, ⫹₉₀, ⫺₈₀, ⫹₈₀, ⫺₇₀, ⫹₇₀, ⫺₆₀, ⫹₆₀]), 100, -1, "Pavia")	
