Dataseed	Params-combination	T(entropy,4,0.01,0.3)	
1	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(73.12, 76.11, 76.11, 97.01, 75.99, 97.03, 75.88, 18.483)	
2	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(69.38, 72.78, 72.78, 96.6, 72.75, 96.61, 72.61, 11.856)	
3	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(75.0, 77.78, 77.78, 97.22, 77.77, 97.23, 77.61, 11.528)	
4	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(71.25, 74.44, 74.44, 96.81, 75.13, 96.82, 74.37, 11.569)	
5	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(75.0, 77.78, 77.78, 97.22, 79.28, 97.23, 77.95, 11.459)	
6	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(70.62, 73.89, 73.89, 96.74, 73.96, 96.77, 73.35, 11.727)	
7	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(64.38, 68.33, 68.33, 96.04, 68.02, 96.06, 67.91, 10.847)	
8	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(68.13, 71.67, 71.67, 96.46, 73.13, 96.46, 72.0, 11.692)	
9	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(71.88, 75.0, 75.0, 96.88, 75.41, 96.91, 74.5, 11.062)	
10	((1,7),false,"o_None","TestOpGeq"),100,-1,Pavia	(70.0, 73.33, 73.33, 96.67, 74.56, 96.69, 73.14, 10.694)	
1	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(42.5, 48.89, 48.89, 93.61, 49.55, 93.61, 49.1, 109.985)	
2	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(42.5, 48.89, 48.89, 93.61, 49.94, 93.63, 48.68, 99.614)	
3	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(41.88, 48.33, 48.33, 93.54, 49.53, 93.56, 48.3, 138.272)	
4	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(50.0, 55.56, 55.56, 94.44, 57.81, 94.46, 55.76, 107.665)	
5	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(43.13, 49.44, 49.44, 93.68, 50.06, 93.71, 49.22, 99.945)	
6	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(48.12, 53.89, 53.89, 94.24, 54.21, 94.25, 53.6, 108.08)	
7	((3,7),:flattened,"o_None","TestOpGeq"),100,-1,Pavia	(43.13, 49.44, 49.44, 93.68, 49.58, 93.71, 48.94, 107.225)	
