Pavia	(3,false,"o_RCC8","TestOpAll")	|||	83.33%	90.0%	75.0%	60.0%	55.0%	90.0%	100.0%	80.0%	100.0%	100.0%	75.0%	75.0%	92.31%	61.11%	90.0%	95.24%	66.67%	100.0%	100.0%	||	81.25%	[81.82, 75.0, 72.73, 57.89, 90.0, 97.56, 72.73, 100.0, 100.0]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	85.0%	80.0%	80.0%	95.0%	75.0%	85.0%	95.0%	70.0%	95.0%	90.0%	80.0%	84.21%	86.36%	68.18%	80.95%	95.0%	73.68%	100.0%	100.0%	||	83.12%	[80.0, 82.05, 90.48, 71.43, 82.93, 95.0, 71.79, 97.44, 94.74]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	91.67%	100.0%	85.0%	100.0%	65.0%	95.0%	100.0%	80.0%	100.0%	100.0%	100.0%	89.47%	95.24%	81.25%	86.36%	100.0%	72.73%	100.0%	100.0%	||	90.63%	[100.0, 87.18, 97.56, 72.22, 90.48, 100.0, 76.19, 100.0, 100.0]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	86.11%	90.0%	75.0%	90.0%	65.0%	85.0%	95.0%	75.0%	100.0%	100.0%	90.0%	93.75%	90.0%	68.42%	85.0%	90.48%	68.18%	100.0%	90.91%	||	84.38%	[90.0, 83.33, 90.0, 66.67, 85.0, 92.68, 71.43, 100.0, 95.24]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	80.56%	75.0%	85.0%	85.0%	40.0%	80.0%	100.0%	65.0%	100.0%	95.0%	65.22%	85.0%	85.0%	57.14%	84.21%	95.24%	61.9%	100.0%	86.36%	||	78.12%	[69.77, 85.0, 85.0, 47.06, 82.05, 97.56, 63.41, 100.0, 90.48]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	77.78%	75.0%	70.0%	80.0%	35.0%	60.0%	100.0%	85.0%	100.0%	95.0%	88.24%	82.35%	80.0%	53.85%	70.59%	83.33%	60.71%	100.0%	79.17%	||	75.0%	[81.08, 75.68, 80.0, 42.42, 64.86, 90.91, 70.83, 100.0, 86.36]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	84.44%	85.0%	85.0%	85.0%	55.0%	75.0%	100.0%	75.0%	100.0%	100.0%	77.27%	80.95%	80.95%	68.75%	83.33%	100.0%	71.43%	100.0%	95.24%	||	82.5%	[80.95, 82.93, 82.93, 61.11, 78.95, 100.0, 73.17, 100.0, 97.56]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	84.44%	90.0%	70.0%	90.0%	60.0%	85.0%	100.0%	75.0%	100.0%	90.0%	81.82%	73.68%	81.82%	75.0%	77.27%	100.0%	71.43%	100.0%	100.0%	||	82.5%	[85.71, 71.79, 85.71, 66.67, 80.95, 100.0, 73.17, 100.0, 94.74]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	82.78%	90.0%	90.0%	85.0%	65.0%	55.0%	95.0%	65.0%	100.0%	100.0%	90.0%	72.0%	94.44%	59.09%	84.62%	100.0%	65.0%	95.24%	90.91%	||	80.62%	[90.0, 80.0, 89.47, 61.9, 66.67, 97.44, 65.0, 97.56, 95.24]%
Pavia	(3,false,"o_RCC8","TestOpAll")	|||	87.78%	95.0%	85.0%	85.0%	60.0%	80.0%	100.0%	85.0%	100.0%	100.0%	90.48%	89.47%	94.44%	80.0%	84.21%	100.0%	65.38%	100.0%	90.91%	||	86.25%	[92.68, 87.18, 89.47, 68.57, 82.05, 100.0, 73.91, 100.0, 95.24]%
Pavia	(3,false,"o_RCC5","TestOpAll")	|||	82.22%	90.0%	65.0%	60.0%	55.0%	90.0%	100.0%	80.0%	100.0%	100.0%	75.0%	72.22%	92.31%	61.11%	81.82%	95.24%	66.67%	100.0%	100.0%	||	80.0%	[81.82, 68.42, 72.73, 57.89, 85.71, 97.56, 72.73, 100.0, 100.0]%
