Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	regression_window_in_minutes	regression_step_in_minutes	ignore_datasources	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 4, 0.1, 0.001, false)train_accuracy	T,(nothing, 4, 0.1, 0.001, false)K	T,(nothing, 4, 0.1, 0.001, false)accuracy	T,(nothing, 4, 0.1, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.1, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.1, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.1, 0.001, false)n_nodes	T,(nothing, 4, 0.1, 0.001, false)n_leaves	T,(nothing, 4, 0.1, 0.001, false)height	T,(nothing, 4, 0.1, 0.001, false)modal_height	T,(nothing, 4, 0.1, 0.001, false)t	T,(nothing, 4, 0.1, 0.001, false)hash	T,(nothing, 4, 0.02, 0.001, false)train_accuracy	T,(nothing, 4, 0.02, 0.001, false)K	T,(nothing, 4, 0.02, 0.001, false)accuracy	T,(nothing, 4, 0.02, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.02, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.02, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.02, 0.001, false)n_nodes	T,(nothing, 4, 0.02, 0.001, false)n_leaves	T,(nothing, 4, 0.02, 0.001, false)height	T,(nothing, 4, 0.02, 0.001, false)modal_height	T,(nothing, 4, 0.02, 0.001, false)t	T,(nothing, 4, 0.02, 0.001, false)hash	T,(nothing, 4, 0.015, 0.001, false)train_accuracy	T,(nothing, 4, 0.015, 0.001, false)K	T,(nothing, 4, 0.015, 0.001, false)accuracy	T,(nothing, 4, 0.015, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.015, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.015, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.015, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.015, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.015, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.015, 0.001, false)n_nodes	T,(nothing, 4, 0.015, 0.001, false)n_leaves	T,(nothing, 4, 0.015, 0.001, false)height	T,(nothing, 4, 0.015, 0.001, false)modal_height	T,(nothing, 4, 0.015, 0.001, false)t	T,(nothing, 4, 0.015, 0.001, false)hash	T,(nothing, 4, 0.01, 0.001, false)train_accuracy	T,(nothing, 4, 0.01, 0.001, false)K	T,(nothing, 4, 0.01, 0.001, false)accuracy	T,(nothing, 4, 0.01, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.001, false)n_nodes	T,(nothing, 4, 0.01, 0.001, false)n_leaves	T,(nothing, 4, 0.01, 0.001, false)height	T,(nothing, 4, 0.01, 0.001, false)modal_height	T,(nothing, 4, 0.01, 0.001, false)t	T,(nothing, 4, 0.01, 0.001, false)hash	T,(nothing, 4, 0.0075, 0.001, false)train_accuracy	T,(nothing, 4, 0.0075, 0.001, false)K	T,(nothing, 4, 0.0075, 0.001, false)accuracy	T,(nothing, 4, 0.0075, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.0075, 0.001, false)n_nodes	T,(nothing, 4, 0.0075, 0.001, false)n_leaves	T,(nothing, 4, 0.0075, 0.001, false)height	T,(nothing, 4, 0.0075, 0.001, false)modal_height	T,(nothing, 4, 0.0075, 0.001, false)t	T,(nothing, 4, 0.0075, 0.001, false)hash	T,(nothing, 4, 0.005, 0.001, false)train_accuracy	T,(nothing, 4, 0.005, 0.001, false)K	T,(nothing, 4, 0.005, 0.001, false)accuracy	T,(nothing, 4, 0.005, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.005, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.005, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.005, 0.001, false)n_nodes	T,(nothing, 4, 0.005, 0.001, false)n_leaves	T,(nothing, 4, 0.005, 0.001, false)height	T,(nothing, 4, 0.005, 0.001, false)modal_height	T,(nothing, 4, 0.005, 0.001, false)t	T,(nothing, 4, 0.005, 0.001, false)hash	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	Any[42894]	1296	1656	(648, 648)	(288, 1368)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	19.385	a6bc4e53b98efc0285d756860f5d3bf855f1ddcc9950c507c388a3fc737fcf28	97.3	20.36	68.96	63.81	71.71	55.9	88.54	29.38	79.24	183	92	19	17	435.478	539e1c505a294a60dd3f41ff5717cfc37738583857aa8d45cd8b54f7a3bf3b4a	97.3	20.36	68.96	63.81	71.71	55.9	88.54	29.38	79.24	183	92	19	17	404.829	539e1c505a294a60dd3f41ff5717cfc37738583857aa8d45cd8b54f7a3bf3b4a	97.3	20.36	68.96	63.81	71.71	55.9	88.54	29.38	79.24	183	92	19	17	406.834	539e1c505a294a60dd3f41ff5717cfc37738583857aa8d45cd8b54f7a3bf3b4a	97.3	20.36	68.96	63.81	71.71	55.9	88.54	29.38	79.24	183	92	19	17	405.478	539e1c505a294a60dd3f41ff5717cfc37738583857aa8d45cd8b54f7a3bf3b4a	97.3	20.36	68.96	63.81	71.71	55.9	88.54	29.38	79.24	183	92	19	17	405.181	539e1c505a294a60dd3f41ff5717cfc37738583857aa8d45cd8b54f7a3bf3b4a	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	Any[42894]	1104	2208	(552, 552)	(384, 1824)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	6.105	28533471855961dc0fed2a43228c1f87cd0f8d7e5375a818538576a04ff5fd04	96.2	16.87	62.95	63.08	62.88	63.28	89.05	26.41	73.71	169	85	14	12	235.312	d70efa2bc5bc109a0d3f4cd4ee1ec645d4c84892603fc20a88891ce52b504526	96.2	16.87	62.95	63.08	62.88	63.28	89.05	26.41	73.71	169	85	14	12	220.472	d70efa2bc5bc109a0d3f4cd4ee1ec645d4c84892603fc20a88891ce52b504526	96.2	16.87	62.95	63.08	62.88	63.28	89.05	26.41	73.71	169	85	14	12	216.433	d70efa2bc5bc109a0d3f4cd4ee1ec645d4c84892603fc20a88891ce52b504526	96.2	16.87	62.95	63.08	62.88	63.28	89.05	26.41	73.71	169	85	14	12	212.688	d70efa2bc5bc109a0d3f4cd4ee1ec645d4c84892603fc20a88891ce52b504526	96.2	16.87	62.95	63.08	62.88	63.28	89.05	26.41	73.71	169	85	14	12	212.854	d70efa2bc5bc109a0d3f4cd4ee1ec645d4c84892603fc20a88891ce52b504526	
3	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	Any[42894]	1344	1518	(672, 672)	(264, 1254)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	8.649	162f8cf04610da8aae0eb9ac75c18b98262e28c3a5e2d65c6fcfc6ceb85dcd23	76.04	10.46	68.12	56.48	74.32	38.64	85.19	24.06	79.39	69	35	13	10	224.29	97b2ba62a5ddac5cba3e3d59754e37c20bf65e7cdfee88d4a587770b6fb2ff3a	96.73	4.4	56.72	53.47	58.45	48.48	84.35	19.72	69.05	165	83	18	14	273.922	d4fc977baa47b01d59667534325007fe4fc182f535cacae523377a7b6347e782	96.73	4.4	56.72	53.47	58.45	48.48	84.35	19.72	69.05	165	83	18	14	276.632	d4fc977baa47b01d59667534325007fe4fc182f535cacae523377a7b6347e782	96.73	4.4	56.72	53.47	58.45	48.48	84.35	19.72	69.05	165	83	18	14	272.603	d4fc977baa47b01d59667534325007fe4fc182f535cacae523377a7b6347e782	96.73	4.4	56.72	53.47	58.45	48.48	84.35	19.72	69.05	165	83	18	14	270.038	d4fc977baa47b01d59667534325007fe4fc182f535cacae523377a7b6347e782	
0	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	Any[42894]	1872	5382	(936, 936)	(936, 4446)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	16.987	9ceb80079db17a78260b3fecb972751e2e7119677430c7e784f2f7c21f67f71a	54.11	2.84	23.8	53.88	7.76	100.0	100.0	18.58	14.4	3	2	1	1	229.209	f3b03d57919929fbe32ad855c8900a8fd364bbf14964a5115dfbd44ce12e5cd5	97.22	57.9	83.87	88.59	81.35	95.83	98.93	51.97	89.29	265	133	17	14	510.968	ce62e48a2d16b0d5fc36ebd7f952d99034ef4a143d7193149c1dcac83a35c18c	97.22	57.9	83.87	88.59	81.35	95.83	98.93	51.97	89.29	265	133	17	14	502.875	ce62e48a2d16b0d5fc36ebd7f952d99034ef4a143d7193149c1dcac83a35c18c	97.22	57.9	83.87	88.59	81.35	95.83	98.93	51.97	89.29	265	133	17	14	503.638	ce62e48a2d16b0d5fc36ebd7f952d99034ef4a143d7193149c1dcac83a35c18c	97.22	57.9	83.87	88.59	81.35	95.83	98.93	51.97	89.29	265	133	17	14	505.025	ce62e48a2d16b0d5fc36ebd7f952d99034ef4a143d7193149c1dcac83a35c18c	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	Any[42894]	1296	1656	(648, 648)	(288, 1368)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	6.454	a6bc4e53b98efc0285d756860f5d3bf855f1ddcc9950c507c388a3fc737fcf28	53.16	4.2	26.63	55.59	11.18	100.0	100.0	19.16	20.12	3	2	1	1	130.117	5efd007da1a33051f764a285bae41206fcb2cc631ce0b6ca407baaa6053755d2	96.6	23.77	70.41	66.05	72.73	59.38	89.48	31.43	80.24	201	101	19	15	314.21	a9a53497827b4ecf91dbadd2df28fa4f0adf3c58d8e9d4e42d94326e0f8fda32	96.6	23.77	70.41	66.05	72.73	59.38	89.48	31.43	80.24	201	101	19	15	309.885	a9a53497827b4ecf91dbadd2df28fa4f0adf3c58d8e9d4e42d94326e0f8fda32	96.6	23.77	70.41	66.05	72.73	59.38	89.48	31.43	80.24	201	101	19	15	310.968	a9a53497827b4ecf91dbadd2df28fa4f0adf3c58d8e9d4e42d94326e0f8fda32	96.6	23.77	70.41	66.05	72.73	59.38	89.48	31.43	80.24	201	101	19	15	310.853	a9a53497827b4ecf91dbadd2df28fa4f0adf3c58d8e9d4e42d94326e0f8fda32	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	Any[42894]	1104	2208	(552, 552)	(384, 1824)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	4.89	28533471855961dc0fed2a43228c1f87cd0f8d7e5375a818538576a04ff5fd04	96.11	14.92	66.53	60.21	69.9	50.52	87.03	26.11	77.53	195	98	16	14	159.096	8a2c90e8cbc7ef8fda0f1a8090159d8fa0c241d7f7a9218bac35be347bbcd973	96.11	14.92	66.53	60.21	69.9	50.52	87.03	26.11	77.53	195	98	16	14	138.793	8a2c90e8cbc7ef8fda0f1a8090159d8fa0c241d7f7a9218bac35be347bbcd973	96.11	14.92	66.53	60.21	69.9	50.52	87.03	26.11	77.53	195	98	16	14	137.737	8a2c90e8cbc7ef8fda0f1a8090159d8fa0c241d7f7a9218bac35be347bbcd973	96.11	14.92	66.53	60.21	69.9	50.52	87.03	26.11	77.53	195	98	16	14	138.026	8a2c90e8cbc7ef8fda0f1a8090159d8fa0c241d7f7a9218bac35be347bbcd973	96.11	14.92	66.53	60.21	69.9	50.52	87.03	26.11	77.53	195	98	16	14	137.929	8a2c90e8cbc7ef8fda0f1a8090159d8fa0c241d7f7a9218bac35be347bbcd973	
3	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	Any[42894]	1344	1518	(672, 672)	(264, 1254)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	7.296	162f8cf04610da8aae0eb9ac75c18b98262e28c3a5e2d65c6fcfc6ceb85dcd23	96.58	20.85	68.31	64.52	70.33	58.71	89.0	29.41	78.57	185	93	16	12	239.052	b251803962effb7bf4d86de3b331c2595d5c7c18209ef5e110214fb6122659ac	96.58	20.85	68.31	64.52	70.33	58.71	89.0	29.41	78.57	185	93	16	12	225.002	b251803962effb7bf4d86de3b331c2595d5c7c18209ef5e110214fb6122659ac	96.58	20.85	68.31	64.52	70.33	58.71	89.0	29.41	78.57	185	93	16	12	224.478	b251803962effb7bf4d86de3b331c2595d5c7c18209ef5e110214fb6122659ac	96.58	20.85	68.31	64.52	70.33	58.71	89.0	29.41	78.57	185	93	16	12	226.194	b251803962effb7bf4d86de3b331c2595d5c7c18209ef5e110214fb6122659ac	96.58	20.85	68.31	64.52	70.33	58.71	89.0	29.41	78.57	185	93	16	12	227.542	b251803962effb7bf4d86de3b331c2595d5c7c18209ef5e110214fb6122659ac	
0	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	Any[42894]	1872	5382	(936, 936)	(936, 4446)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	14.128	9ceb80079db17a78260b3fecb972751e2e7119677430c7e784f2f7c21f67f71a	66.56	12.12	41.1	64.14	28.81	99.47	99.61	22.73	44.7	41	21	11	6	346.899	5d4d688e931ff7bdf6ca378b06a61dcb0fbe8f935c9203d0bc3dc26a931cdc93	96.69	55.29	82.48	87.71	79.69	95.73	98.88	49.81	88.26	285	143	20	18	421.352	76851d9f74be04bd7da9fa0bab1cc03e8b9a01a16e6b3e8620052e7d27997125	96.69	55.29	82.48	87.71	79.69	95.73	98.88	49.81	88.26	285	143	20	18	430.134	76851d9f74be04bd7da9fa0bab1cc03e8b9a01a16e6b3e8620052e7d27997125	96.69	55.29	82.48	87.71	79.69	95.73	98.88	49.81	88.26	285	143	20	18	445.068	76851d9f74be04bd7da9fa0bab1cc03e8b9a01a16e6b3e8620052e7d27997125	96.69	55.29	82.48	87.71	79.69	95.73	98.88	49.81	88.26	285	143	20	18	445.616	76851d9f74be04bd7da9fa0bab1cc03e8b9a01a16e6b3e8620052e7d27997125	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	Any[42894]	1296	1656	(648, 648)	(288, 1368)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	4.627	a6bc4e53b98efc0285d756860f5d3bf855f1ddcc9950c507c388a3fc737fcf28	53.16	4.2	26.63	55.59	11.18	100.0	100.0	19.16	20.12	3	2	1	1	142.138	4d7cf43417d59b7bcda0126549df0c5b6dae5fe9ffa06af89e02de2d90b1f099	97.15	22.39	71.56	64.28	75.44	53.12	88.43	31.29	81.42	187	94	18	12	269.888	8b51205da2c8892ec0515160c2a16a9895fe97507eb7fa67f7351647ef622d02	97.15	22.39	71.56	64.28	75.44	53.12	88.43	31.29	81.42	187	94	18	12	274.716	8b51205da2c8892ec0515160c2a16a9895fe97507eb7fa67f7351647ef622d02	97.15	22.39	71.56	64.28	75.44	53.12	88.43	31.29	81.42	187	94	18	12	274.458	8b51205da2c8892ec0515160c2a16a9895fe97507eb7fa67f7351647ef622d02	97.15	22.39	71.56	64.28	75.44	53.12	88.43	31.29	81.42	187	94	18	12	273.322	8b51205da2c8892ec0515160c2a16a9895fe97507eb7fa67f7351647ef622d02	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	Any[42894]	1104	2208	(552, 552)	(384, 1824)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	3.362	28533471855961dc0fed2a43228c1f87cd0f8d7e5375a818538576a04ff5fd04	96.92	16.76	68.98	60.87	73.3	48.44	87.1	27.64	79.61	171	86	17	14	164.595	bbf76084ec9b76bcf7cbfce8324ba4d523a7587afbb6e0a45cbe8ac5cfdd029d	96.92	16.76	68.98	60.87	73.3	48.44	87.1	27.64	79.61	171	86	17	14	128.403	bbf76084ec9b76bcf7cbfce8324ba4d523a7587afbb6e0a45cbe8ac5cfdd029d	96.92	16.76	68.98	60.87	73.3	48.44	87.1	27.64	79.61	171	86	17	14	130.819	bbf76084ec9b76bcf7cbfce8324ba4d523a7587afbb6e0a45cbe8ac5cfdd029d	96.92	16.76	68.98	60.87	73.3	48.44	87.1	27.64	79.61	171	86	17	14	130.785	bbf76084ec9b76bcf7cbfce8324ba4d523a7587afbb6e0a45cbe8ac5cfdd029d	96.92	16.76	68.98	60.87	73.3	48.44	87.1	27.64	79.61	171	86	17	14	128.641	bbf76084ec9b76bcf7cbfce8324ba4d523a7587afbb6e0a45cbe8ac5cfdd029d	
