Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	regression_window_in_minutes	regression_step_in_minutes	ignore_datasources	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T,(nothing, 4, 0.1, 0.001, false)train_accuracy	T,(nothing, 4, 0.1, 0.001, false)K	T,(nothing, 4, 0.1, 0.001, false)accuracy	T,(nothing, 4, 0.1, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.1, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.1, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.1, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.1, 0.001, false)n_nodes	T,(nothing, 4, 0.1, 0.001, false)n_leaves	T,(nothing, 4, 0.1, 0.001, false)height	T,(nothing, 4, 0.1, 0.001, false)modal_height	T,(nothing, 4, 0.1, 0.001, false)t	T,(nothing, 4, 0.1, 0.001, false)hash	T,(nothing, 4, 0.02, 0.001, false)train_accuracy	T,(nothing, 4, 0.02, 0.001, false)K	T,(nothing, 4, 0.02, 0.001, false)accuracy	T,(nothing, 4, 0.02, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.02, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.02, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.02, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.02, 0.001, false)n_nodes	T,(nothing, 4, 0.02, 0.001, false)n_leaves	T,(nothing, 4, 0.02, 0.001, false)height	T,(nothing, 4, 0.02, 0.001, false)modal_height	T,(nothing, 4, 0.02, 0.001, false)t	T,(nothing, 4, 0.02, 0.001, false)hash	T,(nothing, 4, 0.015, 0.001, false)train_accuracy	T,(nothing, 4, 0.015, 0.001, false)K	T,(nothing, 4, 0.015, 0.001, false)accuracy	T,(nothing, 4, 0.015, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.015, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.015, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.015, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.015, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.015, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.015, 0.001, false)n_nodes	T,(nothing, 4, 0.015, 0.001, false)n_leaves	T,(nothing, 4, 0.015, 0.001, false)height	T,(nothing, 4, 0.015, 0.001, false)modal_height	T,(nothing, 4, 0.015, 0.001, false)t	T,(nothing, 4, 0.015, 0.001, false)hash	T,(nothing, 4, 0.01, 0.001, false)train_accuracy	T,(nothing, 4, 0.01, 0.001, false)K	T,(nothing, 4, 0.01, 0.001, false)accuracy	T,(nothing, 4, 0.01, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.01, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.01, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.01, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.01, 0.001, false)n_nodes	T,(nothing, 4, 0.01, 0.001, false)n_leaves	T,(nothing, 4, 0.01, 0.001, false)height	T,(nothing, 4, 0.01, 0.001, false)modal_height	T,(nothing, 4, 0.01, 0.001, false)t	T,(nothing, 4, 0.01, 0.001, false)hash	T,(nothing, 4, 0.0075, 0.001, false)train_accuracy	T,(nothing, 4, 0.0075, 0.001, false)K	T,(nothing, 4, 0.0075, 0.001, false)accuracy	T,(nothing, 4, 0.0075, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.0075, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.0075, 0.001, false)n_nodes	T,(nothing, 4, 0.0075, 0.001, false)n_leaves	T,(nothing, 4, 0.0075, 0.001, false)height	T,(nothing, 4, 0.0075, 0.001, false)modal_height	T,(nothing, 4, 0.0075, 0.001, false)t	T,(nothing, 4, 0.0075, 0.001, false)hash	T,(nothing, 4, 0.005, 0.001, false)train_accuracy	T,(nothing, 4, 0.005, 0.001, false)K	T,(nothing, 4, 0.005, 0.001, false)accuracy	T,(nothing, 4, 0.005, 0.001, false)macro_sensitivity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_sensitivity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_specificity	T,(nothing, 4, 0.005, 0.001, false)safe_macro_PPV	T,(nothing, 4, 0.005, 0.001, false)safe_macro_NPV	T,(nothing, 4, 0.005, 0.001, false)safe_macro_F1	T,(nothing, 4, 0.005, 0.001, false)n_nodes	T,(nothing, 4, 0.005, 0.001, false)n_leaves	T,(nothing, 4, 0.005, 0.001, false)height	T,(nothing, 4, 0.005, 0.001, false)modal_height	T,(nothing, 4, 0.005, 0.001, false)t	T,(nothing, 4, 0.005, 0.001, false)hash	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	[42894]	1296	1656	(648, 648)	(288, 1368)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	14.342	a6bc4e53b98efc0285d756860f5d3bf855f1ddcc9950c507c388a3fc737fcf28	76.62	11.16	50.79	60.75	45.47	76.04	90.01	22.69	60.42	69	35	13	9	222.51	27b0b1cc4d59d89b991cc2dda4bb74f8aef6e5bbb12dd91f52739d058e9e297f	76.62	11.16	50.79	60.75	45.47	76.04	90.01	22.69	60.42	69	35	13	9	202.266	27b0b1cc4d59d89b991cc2dda4bb74f8aef6e5bbb12dd91f52739d058e9e297f	95.45	22.53	69.57	65.41	71.78	59.03	89.27	30.58	79.58	219	110	21	15	222.388	7501f0edac3fb4fb8035c7aa5cb6ecefc0c13cee73dd477162950a2912b29f09	95.45	22.53	69.57	65.41	71.78	59.03	89.27	30.58	79.58	219	110	21	15	221.584	7501f0edac3fb4fb8035c7aa5cb6ecefc0c13cee73dd477162950a2912b29f09	95.45	22.53	69.57	65.41	71.78	59.03	89.27	30.58	79.58	219	110	21	15	222.82	7501f0edac3fb4fb8035c7aa5cb6ecefc0c13cee73dd477162950a2912b29f09	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	[42894]	1104	2208	(552, 552)	(384, 1824)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	2.934	28533471855961dc0fed2a43228c1f87cd0f8d7e5375a818538576a04ff5fd04	54.71	2.36	22.92	53.24	6.74	99.74	99.19	18.38	12.63	3	2	1	1	61.843	cad140208a74b4f8d065ea7183ca8caa31f422224b06ff79cd1eea7bda19e920	62.59	6.39	37.91	57.38	27.52	87.24	91.11	20.22	42.27	15	8	5	3	85.637	735cbe7b2019741ebdd6cc808bdbe794c353b6ef82bdeff76987db7751e2d05c	97.19	19.57	68.48	63.34	71.22	55.47	88.37	28.86	78.87	147	74	16	11	153.28	4140608ed4db3d4ad5f90b6106d47c4827794f07b11f5a7fddf85bd929887441	97.19	19.57	68.48	63.34	71.22	55.47	88.37	28.86	78.87	147	74	16	11	152.902	4140608ed4db3d4ad5f90b6106d47c4827794f07b11f5a7fddf85bd929887441	97.19	19.57	68.48	63.34	71.22	55.47	88.37	28.86	78.87	147	74	16	11	152.91	4140608ed4db3d4ad5f90b6106d47c4827794f07b11f5a7fddf85bd929887441	
3	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	[42894]	1344	1518	(672, 672)	(264, 1254)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	4.299	162f8cf04610da8aae0eb9ac75c18b98262e28c3a5e2d65c6fcfc6ceb85dcd23	96.5	20.8	67.85	64.69	69.54	59.85	89.16	29.26	78.14	185	93	21	18	194.233	9a95c9c95097a4f71b382233cd16cfbb0f40e19c646b89e57cabf798377cbec2	96.5	20.8	67.85	64.69	69.54	59.85	89.16	29.26	78.14	185	93	21	18	185.512	9a95c9c95097a4f71b382233cd16cfbb0f40e19c646b89e57cabf798377cbec2	96.5	20.8	67.85	64.69	69.54	59.85	89.16	29.26	78.14	185	93	21	18	184.764	9a95c9c95097a4f71b382233cd16cfbb0f40e19c646b89e57cabf798377cbec2	96.5	20.8	67.85	64.69	69.54	59.85	89.16	29.26	78.14	185	93	21	18	184.462	9a95c9c95097a4f71b382233cd16cfbb0f40e19c646b89e57cabf798377cbec2	96.5	20.8	67.85	64.69	69.54	59.85	89.16	29.26	78.14	185	93	21	18	183.914	9a95c9c95097a4f71b382233cd16cfbb0f40e19c646b89e57cabf798377cbec2	
0	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(15,15)	60	10	[42894]	1872	5382	(936, 936)	(936, 4446)	[35]	[(4,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	8.159	9ceb80079db17a78260b3fecb972751e2e7119677430c7e784f2f7c21f67f71a	65.12	10.54	38.61	62.59	25.82	99.36	99.48	22.0	41.0	47	24	13	10	221.65	9596463ae2bcc039e1585964c5ad73fe5ad95dd214a6d51e63850251ef50affb	65.12	10.54	38.61	62.59	25.82	99.36	99.48	22.0	41.0	47	24	13	10	218.977	9596463ae2bcc039e1585964c5ad73fe5ad95dd214a6d51e63850251ef50affb	97.12	61.28	85.54	89.82	83.27	96.37	99.09	54.8	90.49	251	126	21	18	372.293	42b7c5dc26e1759b31e9c5dad17a2e88486f78841e73a3ce7feaa3aebd3153c0	97.12	61.28	85.54	89.82	83.27	96.37	99.09	54.8	90.49	251	126	21	18	375.104	42b7c5dc26e1759b31e9c5dad17a2e88486f78841e73a3ce7feaa3aebd3153c0	97.12	61.28	85.54	89.82	83.27	96.37	99.09	54.8	90.49	251	126	21	18	372.617	42b7c5dc26e1759b31e9c5dad17a2e88486f78841e73a3ce7feaa3aebd3153c0	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	[42894]	1296	1656	(648, 648)	(288, 1368)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	4.547	a6bc4e53b98efc0285d756860f5d3bf855f1ddcc9950c507c388a3fc737fcf28	53.16	4.2	26.63	55.59	11.18	100.0	100.0	19.16	20.12	3	2	1	1	111.384	5efd007da1a33051f764a285bae41206fcb2cc631ce0b6ca407baaa6053755d2	96.53	20.53	69.75	63.6	73.03	54.17	88.33	29.71	79.95	209	105	19	17	248.545	1d314cf8a01d221c5371e1df5b29e6ef70ad1f0a0e2ee9fbf4f9483926bfef7a	96.53	20.53	69.75	63.6	73.03	54.17	88.33	29.71	79.95	209	105	19	17	248.149	1d314cf8a01d221c5371e1df5b29e6ef70ad1f0a0e2ee9fbf4f9483926bfef7a	96.53	20.53	69.75	63.6	73.03	54.17	88.33	29.71	79.95	209	105	19	17	248.19	1d314cf8a01d221c5371e1df5b29e6ef70ad1f0a0e2ee9fbf4f9483926bfef7a	96.53	20.53	69.75	63.6	73.03	54.17	88.33	29.71	79.95	209	105	19	17	247.677	1d314cf8a01d221c5371e1df5b29e6ef70ad1f0a0e2ee9fbf4f9483926bfef7a	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	[42894]	1104	2208	(552, 552)	(384, 1824)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	3.258	28533471855961dc0fed2a43228c1f87cd0f8d7e5375a818538576a04ff5fd04	54.71	2.37	22.78	53.26	6.52	100.0	100.0	18.38	12.25	3	2	1	1	76.974	deab349d053e433a06bf6296422d9639a30a3dd2f7fd4b2d1900dbf851b331db	96.92	28.01	74.64	67.17	78.62	55.73	89.4	35.43	83.66	177	89	15	12	141.299	dac400c75e3ffa63259334ad5edc722f92b71a6524adb5c0088466b19d831257	96.92	28.01	74.64	67.17	78.62	55.73	89.4	35.43	83.66	177	89	15	12	139.017	dac400c75e3ffa63259334ad5edc722f92b71a6524adb5c0088466b19d831257	96.92	28.01	74.64	67.17	78.62	55.73	89.4	35.43	83.66	177	89	15	12	135.949	dac400c75e3ffa63259334ad5edc722f92b71a6524adb5c0088466b19d831257	96.92	28.01	74.64	67.17	78.62	55.73	89.4	35.43	83.66	177	89	15	12	138.629	dac400c75e3ffa63259334ad5edc722f92b71a6524adb5c0088466b19d831257	
3	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	[42894]	1344	1518	(672, 672)	(264, 1254)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	4.918	162f8cf04610da8aae0eb9ac75c18b98262e28c3a5e2d65c6fcfc6ceb85dcd23	97.02	15.44	64.62	61.24	66.43	56.06	87.78	26.01	75.62	145	73	15	12	183.989	a5bf4cc0b87ecc3ab50332d512930743d4323689e9f9b2be4461ee9674cd36ea	97.02	15.44	64.62	61.24	66.43	56.06	87.78	26.01	75.62	145	73	15	12	170.142	a5bf4cc0b87ecc3ab50332d512930743d4323689e9f9b2be4461ee9674cd36ea	97.02	15.44	64.62	61.24	66.43	56.06	87.78	26.01	75.62	145	73	15	12	169.153	a5bf4cc0b87ecc3ab50332d512930743d4323689e9f9b2be4461ee9674cd36ea	97.02	15.44	64.62	61.24	66.43	56.06	87.78	26.01	75.62	145	73	15	12	169.714	a5bf4cc0b87ecc3ab50332d512930743d4323689e9f9b2be4461ee9674cd36ea	97.02	15.44	64.62	61.24	66.43	56.06	87.78	26.01	75.62	145	73	15	12	169.615	a5bf4cc0b87ecc3ab50332d512930743d4323689e9f9b2be4461ee9674cd36ea	
0	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(12,12)	60	10	[42894]	1872	5382	(936, 936)	(936, 4446)	[35]	[(5,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	9.526	9ceb80079db17a78260b3fecb972751e2e7119677430c7e784f2f7c21f67f71a	66.56	12.05	40.99	64.07	28.68	99.47	99.61	22.7	44.53	49	25	8	6	253.723	9bed439ebfb92c06f73a328e9ef3a2766d83759db7dbe98d7a1924ca31bfe602	66.56	12.05	40.99	64.07	28.68	99.47	99.61	22.7	44.53	49	25	8	6	240.725	9bed439ebfb92c06f73a328e9ef3a2766d83759db7dbe98d7a1924ca31bfe602	97.06	63.71	86.73	90.54	84.71	96.37	99.11	57.02	91.34	253	127	21	18	376.371	c862fa8a12ced655a8fab6796970128d2ce459697a0075ebb10c93f0e4cdffb2	97.06	63.71	86.73	90.54	84.71	96.37	99.11	57.02	91.34	253	127	21	18	377.58	c862fa8a12ced655a8fab6796970128d2ce459697a0075ebb10c93f0e4cdffb2	97.06	63.71	86.73	90.54	84.71	96.37	99.11	57.02	91.34	253	127	21	18	372.405	c862fa8a12ced655a8fab6796970128d2ce459697a0075ebb10c93f0e4cdffb2	
1	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	[42894]	1296	1656	(648, 648)	(288, 1368)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	2.938	a6bc4e53b98efc0285d756860f5d3bf855f1ddcc9950c507c388a3fc737fcf28	53.16	4.2	26.63	55.59	11.18	100.0	100.0	19.16	20.12	3	2	1	1	116.351	e928143980aaa1991e6a81dbef274501cdd1af794d91eec1fc94de516ebff939	96.99	21.3	72.64	62.88	77.85	47.92	87.65	31.29	82.46	187	94	20	15	184.825	5b762eb22a132d5f43360299946c9401ff306ec4b57f80f2c959b2cf2985ba82	96.99	21.3	72.64	62.88	77.85	47.92	87.65	31.29	82.46	187	94	20	15	184.251	5b762eb22a132d5f43360299946c9401ff306ec4b57f80f2c959b2cf2985ba82	96.99	21.3	72.64	62.88	77.85	47.92	87.65	31.29	82.46	187	94	20	15	182.374	5b762eb22a132d5f43360299946c9401ff306ec4b57f80f2c959b2cf2985ba82	96.99	21.3	72.64	62.88	77.85	47.92	87.65	31.29	82.46	187	94	20	15	183.969	5b762eb22a132d5f43360299946c9401ff306ec4b57f80f2c959b2cf2985ba82	
2	Siemens-Data-Measures	stump_with_memoization	(4.0 => "High-Risk",Inf => "Low-Risk")	10	(10,10)	60	10	[42894]	1104	2208	(552, 552)	(384, 1824)	[35]	[(6,)]	50.0	0.0	82.61	50.0	100.0	0.0	82.61	NaN	90.48	1	1	0	0	2.184	28533471855961dc0fed2a43228c1f87cd0f8d7e5375a818538576a04ff5fd04	54.71	2.41	22.87	53.32	6.63	100.0	100.0	18.4	12.44	3	2	1	1	79.901	158a6c1a4de232e3fc239c25d0adbc7e8928dacdebff26b91959b401e9432b2c	96.92	17.12	68.84	61.2	72.92	49.48	87.27	27.78	79.45	161	81	19	15	148.274	afc8f6637ea127dade035c62e46e74b5533f0e555a33b42be0075cb6cd742f53	96.92	17.12	68.84	61.2	72.92	49.48	87.27	27.78	79.45	161	81	19	15	147.725	afc8f6637ea127dade035c62e46e74b5533f0e555a33b42be0075cb6cd742f53	96.92	17.12	68.84	61.2	72.92	49.48	87.27	27.78	79.45	161	81	19	15	149.567	afc8f6637ea127dade035c62e46e74b5533f0e555a33b42be0075cb6cd742f53	96.92	17.12	68.84	61.2	72.92	49.48	87.27	27.78	79.45	161	81	19	15	148.189	afc8f6637ea127dade035c62e46e74b5533f0e555a33b42be0075cb6cd742f53	
