index,attributenamesnormsorted,attributeabbrsnormsorted,meanmvarnormsorted,minmvarnormsorted,maxmvarnormsorted,DNHistogramMode5varnormsorted,DNHistogramMode10varnormsorted,SBBinaryStatsmeanlongstretch1varnormsorted,DNOutlierIncludep001mdrmdvarnormsorted,DNOutlierIncluden001mdrmdvarnormsorted,COf1ecacvarnormsorted,COFirstMinacvarnormsorted,SPSummarieswelchrectarea51varnormsorted,SPSummarieswelchrectcentroidvarnormsorted,FCLocalSimplemean3stderrvarnormsorted,COtrev1numvarnormsorted,COHistogramAMIeven25varnormsorted,INAutoMutualInfoStats40gaussianfmmivarnormsorted,MDhrvclassicpnn40varnormsorted,SBBinaryStatsdifflongstretch0varnormsorted,SBMotifThreequantilehhvarnormsorted,FCLocalSimplemean1tauresratvarnormsorted,COEmbed2Disttaudexpfitmeandiffvarnormsorted,SCFluctAnal2dfa5012logipropr1varnormsorted,SCFluctAnal2rsrangefit501logipropr1varnormsorted,SBTransitionMatrix3acsumdiagcovvarnormsorted,PDPeriodicityWangth001varnormsorted,meannormsorted
0,Ambient_air_humidity,AMB_H,0.10632277909706721,0.09111176312083268,0.11321556401988733,0.058758124186692816,0.0595717564199582,0.05514603459327616,0.05364490185380068,0.05361417125678903,0.05708227945329805,0.07946814844271628,0.03173473369081655,0.013995955695399498,0.05542309159934668,0.02125811947069439,0.08684809692465403,0.07501805983679584,0.06855075166258857,0.07048251553475925,0.07331537114465618,0.03761335654343928,0.23869831063611058,0.04000323407897749,0.0321784470297914,0.05162752582343681,0.053022372545155044,0.0671082185864376
1,Ambient_air_temperature,AMB_T,0.009233860306625114,0.008093656895579227,0.009693224211207227,0.06365322884876601,0.06432095604821086,0.04576443967450286,0.05853120498609529,0.05836379757133997,0.045079302305634235,0.07158892404654624,0.009453539812944068,0.0032218232037383703,0.03278288239871773,0.0005512457149103615,0.07268775360040894,0.06768616137234103,0.07848676849378727,0.27862647158873854,0.047585588005622174,0.04484184229919129,0.2688672533430677,0.03965911108839095,0.02995742730072981,0.04759021414607018,0.059664369348853906,0.060639401864480774
2,Rotational_speed,SPEED,0.0008709711783188936,0.0038074508934205203,0.0023835881446699863,0.03386290027529141,0.03051374740470576,0.08710422085144469,0.02716722967807846,0.027779208115218338,0.05930808612801845,0.04082251685247674,0.13459270299871767,0.10688227552759759,0.1012446861174431,0.12628361873034447,0.03902961723613632,0.05999990141790452,0.03772234799219147,0.010346386973802944,0.04262071793346102,0.11850894708226171,0.013821317549870744,0.03327560842239939,0.05434123544576821,0.032327678687864236,0.02184228701372988,0.049858369946045464
3,Exhaust_temperature_5,EX_T5,0.0735545138070024,0.07325913805104975,0.07278472860749743,0.039064221986733864,0.03908272792431842,0.04026114712990746,0.040545770609256696,0.04070039928307983,0.04262250683302534,0.0433678173758865,0.04026042695027602,0.05567396713923243,0.0404600875721545,0.03779982595254069,0.04085459057044708,0.04035481580068247,0.04641311998043862,0.0409166834696116,0.04435253646134261,0.03607250128491901,0.02517510927653921,0.040007989422505184,0.040801124954774205,0.042644412631176125,0.04002560295785988,0.044682230641290295
4,Exhaust_temperature_4,EX_T4,0.07154337729234579,0.07202854395607611,0.07034958983359026,0.04099050875308132,0.04235975839693199,0.04124456805383729,0.04187367447194741,0.041967946481005165,0.04309238348573655,0.045306158177695996,0.037241769689990774,0.040625691841007866,0.03987717045408371,0.049073003315073596,0.04298492565215173,0.04342493913988469,0.044530783167032774,0.034028932125088264,0.044597065002715125,0.029843426138650875,0.030209421527083325,0.039470897134382545,0.03814622452939348,0.04176891229781633,0.04138571677691166,0.04431861550774058
5,Compressor_outlet_temperature,IGV_T,0.03118763731625296,0.027719955537054374,0.034364234069265476,0.054849673349358155,0.05544273846981047,0.04597793098455045,0.051831614618376244,0.051272101259889805,0.040667822531316386,0.057795076730876534,0.012433656279234949,0.006303671726359133,0.02735633063611445,0.00563909545385736,0.048757708785148436,0.061007671946847065,0.06681163479686958,0.06484427728626947,0.03747397482389031,0.027075573696211927,0.06924979498106448,0.03970303421317659,0.029589062682326667,0.04279372769205288,0.05574011683479335,0.04183552466803871
6,Exhaust_temperature_11,EX_T11,0.05696208761295284,0.054198255476705405,0.057329405877467196,0.03675317164596987,0.036111329770055905,0.033023397215060805,0.03583365956514382,0.03541857693037629,0.03540007802709683,0.02972730007867994,0.04503502570949047,0.06596025491809134,0.0373174742453907,0.09591481681431709,0.03250544213495014,0.02903153499350564,0.02970220024731069,0.030654506689190134,0.037763684210412235,0.044695892027563064,0.014277321139585127,0.040072509068818436,0.042296514003240235,0.03669720280942044,0.035607202540225466,0.0411315537500408
7,Exhaust_temperature_6,EX_T6,0.07118507683852479,0.07027080492465232,0.07087574030590572,0.03613517083594582,0.03575631836356106,0.03607173525061484,0.03771212877877552,0.037408690320568795,0.039092583410097165,0.034397464563865845,0.04252123530557748,0.04808157905274173,0.039128912995202075,0.04388268304081686,0.036166816149517715,0.03273089502924851,0.03426530928638052,0.023936306673491368,0.03973292789431022,0.03878795826770866,0.018585557919562117,0.03987173295876767,0.04233343250122111,0.040161974818319665,0.03639515299145649,0.04101952753907336
8,Exhaust_temperature_2,EX_T2,0.05237548114883692,0.05195164643575703,0.052580294705123855,0.03794544811942686,0.037702098674224964,0.03657012548216342,0.03936644270704269,0.03927630063443941,0.04105043372598728,0.0370537542679104,0.04130039804304976,0.049123221335576124,0.03895195019615645,0.061085904479736344,0.03717169100694979,0.03596736665402601,0.03585204960370183,0.022769233858885976,0.0390156782427094,0.03542108265911256,0.019997512508315354,0.03960883715561694,0.041404350219647106,0.04118632631249411,0.03732574767304514,0.04008213503399742
9,Exhaust_temperature_3,EX_T3,0.057727633059073406,0.05951146841935105,0.056009713028154384,0.037544581004716755,0.03761450065880461,0.03797836364295197,0.03919607226816904,0.040095990503128516,0.04116290740544125,0.03897607841135692,0.03906070309030159,0.03412396507055756,0.03963360546394051,0.03382930088669783,0.03809847477491851,0.0369597723132495,0.03957650941085243,0.026703504915857136,0.0402046196806518,0.03305846188897282,0.020380486294431243,0.03993817607487047,0.040021277845792735,0.04143667989655732,0.03628973652051659,0.03940530330117263
