Dataseed	datadirname	use_training_form	binning	ignore_last_minutes	moving_average	# insts (TRAIN)	# insts (TEST)	class_counts (TRAIN)	class_counts (TEST)	n_features	channel_size	T(entropy,1,0.01,0.4)train_accuracy	T(entropy,1,0.01,0.4)K	T(entropy,1,0.01,0.4)accuracy	T(entropy,1,0.01,0.4)macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_sensitivity	T(entropy,1,0.01,0.4)safe_macro_specificity	T(entropy,1,0.01,0.4)safe_macro_PPV	T(entropy,1,0.01,0.4)safe_macro_NPV	T(entropy,1,0.01,0.4)safe_macro_F1	T(entropy,1,0.01,0.4)n_nodes	T(entropy,1,0.01,0.4)n_leaves	T(entropy,1,0.01,0.4)height	T(entropy,1,0.01,0.4)modal_height	T(entropy,1,0.01,0.4)t	T(entropy,1,0.01,0.4)hash	T(entropy,1,0.01,0.6)train_accuracy	T(entropy,1,0.01,0.6)K	T(entropy,1,0.01,0.6)accuracy	T(entropy,1,0.01,0.6)macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_sensitivity	T(entropy,1,0.01,0.6)safe_macro_specificity	T(entropy,1,0.01,0.6)safe_macro_PPV	T(entropy,1,0.01,0.6)safe_macro_NPV	T(entropy,1,0.01,0.6)safe_macro_F1	T(entropy,1,0.01,0.6)n_nodes	T(entropy,1,0.01,0.6)n_leaves	T(entropy,1,0.01,0.6)height	T(entropy,1,0.01,0.6)modal_height	T(entropy,1,0.01,0.6)t	T(entropy,1,0.01,0.6)hash	T(entropy,1,0.001,0.4)train_accuracy	T(entropy,1,0.001,0.4)K	T(entropy,1,0.001,0.4)accuracy	T(entropy,1,0.001,0.4)macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_sensitivity	T(entropy,1,0.001,0.4)safe_macro_specificity	T(entropy,1,0.001,0.4)safe_macro_PPV	T(entropy,1,0.001,0.4)safe_macro_NPV	T(entropy,1,0.001,0.4)safe_macro_F1	T(entropy,1,0.001,0.4)n_nodes	T(entropy,1,0.001,0.4)n_leaves	T(entropy,1,0.001,0.4)height	T(entropy,1,0.001,0.4)modal_height	T(entropy,1,0.001,0.4)t	T(entropy,1,0.001,0.4)hash	T(entropy,1,0.001,0.6)train_accuracy	T(entropy,1,0.001,0.6)K	T(entropy,1,0.001,0.6)accuracy	T(entropy,1,0.001,0.6)macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_sensitivity	T(entropy,1,0.001,0.6)safe_macro_specificity	T(entropy,1,0.001,0.6)safe_macro_PPV	T(entropy,1,0.001,0.6)safe_macro_NPV	T(entropy,1,0.001,0.6)safe_macro_F1	T(entropy,1,0.001,0.6)n_nodes	T(entropy,1,0.001,0.6)n_leaves	T(entropy,1,0.001,0.6)height	T(entropy,1,0.001,0.6)modal_height	T(entropy,1,0.001,0.6)t	T(entropy,1,0.001,0.6)hash	RF(0.7,50,half,all)train_accuracy	RF(0.7,50,half,all)K	RF(0.7,50,half,all)accuracy	RF(0.7,50,half,all)macro_sensitivity	RF(0.7,50,half,all)safe_macro_sensitivity	RF(0.7,50,half,all)safe_macro_specificity	RF(0.7,50,half,all)safe_macro_PPV	RF(0.7,50,half,all)safe_macro_NPV	RF(0.7,50,half,all)safe_macro_F1	RF(0.7,50,half,all)oob_error	RF(0.7,50,half,all)n_trees	RF(0.7,50,half,all)n_nodes	RF(0.7,50,half,all)σ² train_accuracy	RF(0.7,50,half,all)σ² K	RF(0.7,50,half,all)σ² accuracy	RF(0.7,50,half,all)σ² macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_sensitivity	RF(0.7,50,half,all)σ² safe_macro_specificity	RF(0.7,50,half,all)σ² safe_macro_PPV	RF(0.7,50,half,all)σ² safe_macro_NPV	RF(0.7,50,half,all)σ² safe_macro_F1	RF(0.7,50,half,all)σ² oob_error	RF(0.7,50,half,all)σ² n_trees	RF(0.7,50,half,all)σ² n_nodes	RF(0.7,50,half,all)t	RF(0.7,50,half,all)hash	RF(0.7,100,half,all)train_accuracy	RF(0.7,100,half,all)K	RF(0.7,100,half,all)accuracy	RF(0.7,100,half,all)macro_sensitivity	RF(0.7,100,half,all)safe_macro_sensitivity	RF(0.7,100,half,all)safe_macro_specificity	RF(0.7,100,half,all)safe_macro_PPV	RF(0.7,100,half,all)safe_macro_NPV	RF(0.7,100,half,all)safe_macro_F1	RF(0.7,100,half,all)oob_error	RF(0.7,100,half,all)n_trees	RF(0.7,100,half,all)n_nodes	RF(0.7,100,half,all)σ² train_accuracy	RF(0.7,100,half,all)σ² K	RF(0.7,100,half,all)σ² accuracy	RF(0.7,100,half,all)σ² macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_sensitivity	RF(0.7,100,half,all)σ² safe_macro_specificity	RF(0.7,100,half,all)σ² safe_macro_PPV	RF(0.7,100,half,all)σ² safe_macro_NPV	RF(0.7,100,half,all)σ² safe_macro_F1	RF(0.7,100,half,all)σ² oob_error	RF(0.7,100,half,all)σ² n_trees	RF(0.7,100,half,all)σ² n_nodes	RF(0.7,100,half,all)t	RF(0.7,100,half,all)hash	
1	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	96.8	22.44	48.39	48.49	48.49	74.08	50.28	73.9	49.01	67	34	15	14	259.866	1e5b30851c25005a11a579b347ad1672a276ad4da52198be37490499e6e03545	90.4	17.62	45.16	45.32	45.32	72.47	46.2	72.45	45.42	49	25	14	13	110.177	7ec96bc0274b700139e73e33975eca16e814daad80dd2faac881c2bf8010b8f4	96.8	22.44	48.39	48.49	48.49	74.08	50.28	73.9	49.01	67	34	15	14	110.465	1e5b30851c25005a11a579b347ad1672a276ad4da52198be37490499e6e03545	90.4	17.62	45.16	45.32	45.32	72.47	46.2	72.45	45.42	49	25	14	13	109.484	7ec96bc0274b700139e73e33975eca16e814daad80dd2faac881c2bf8010b8f4	99.84	8.24	39.03	39.21	39.21	69.31	46.35	68.32	41.27	0.0	5000.0	248240.0	0.0	0.46	0.2	0.19	0.19	0.05	0.09	0.07	0.15	0.0	0.0	134680.0	0.0	("27dcc47fb0998ef512f1d6fa843f339b4de484332e92c111587d61d78e363e91", "7579d40b1f177d4705a80ed383906bc6cf6ac0ea12eba1ca193772c205996b63", "b8b6eceb8638da033c580cb9882897034a59f1b21bf93aec148a050f5fea11d4", "c62deb782053009f913c91e700fec4625f96f6c7104b7401d57011c954854b1c", "fe05378b573e2766ecb01fddbba66f59c9f6fda95b7287d7b3a0e038a4a31a23")	100.0	4.88	36.77	36.98	36.98	68.19	43.22	67.26	38.88	50.8	10000.0	494440.0	0.0	0.51	0.23	0.22	0.22	0.06	0.4	0.06	0.23	0.05	0.0	365880.0	1943.282	("eeb67820dd4e7807c0badd591e471f7cd57a93354c6e7b473a4ddb2de41a755a", "188314d5e625f416880f9a74d9202a276b831ef8ddf3bda093ab279a360e3b92", "f1d6ca2c1ccf5c80b166d7584ac8fe143529d5e67df66388d087a340cde0d855", "634b489fa3241ca7cff6593fedd70698cb1ecae797a72278e7d30abdccff7423", "60b9cf29226f9f53f3d890dbf7cddcc9f898e96430274f3928dbea6e389db7ad")	
2	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	99.2	25.04	50.0	50.32	50.32	74.95	49.68	75.21	49.65	77	39	15	12	184.585	3354f374a6cde6f02e0b2566b96808baa325a62231f7fc09ba5c47b0ca443a89	93.2	27.43	51.61	51.9	51.9	75.75	52.47	75.88	51.38	59	30	15	11	113.438	8f3ef2c2a605d25b5af8e2390782a090dc3f71156ce80691b89430af7668c0f4	99.2	25.04	50.0	50.32	50.32	74.95	49.68	75.21	49.65	77	39	15	12	113.955	3354f374a6cde6f02e0b2566b96808baa325a62231f7fc09ba5c47b0ca443a89	93.2	27.43	51.61	51.9	51.9	75.75	52.47	75.88	51.38	59	30	15	11	114.329	8f3ef2c2a605d25b5af8e2390782a090dc3f71156ce80691b89430af7668c0f4	99.6	33.05	55.48	55.6	55.6	77.58	61.03	77.29	56.87	0.0	5000.0	254120.0	0.0	0.42	0.19	0.18	0.18	0.05	0.33	0.06	0.18	0.0	0.0	42520.0	0.0	("e68cce203620da7ad8cdfb48a8e1d91e42301d0579e222488d4e6d4f047ef55a", "9cf84a2a5aa70ffce9925a82ac2eab22b5e317f4b544285f9b3c06eee7f6d6ca", "6c2043524e260304670ea8505c75d2b416c6508d4eb5b173141d974f300b032f", "4b2b54ac24d925a38f791879870b5802c5b3924f2e3f05615e76355da9626e7c", "ccad75d30220b33ddfd3d69a75e1ec91e8ff51a89ab8c52e0dc44a2e02a12e67")	99.92	35.92	57.42	57.46	57.46	78.54	64.11	78.12	59.07	53.36	10000.0	508400.0	0.0	0.19	0.09	0.08	0.08	0.02	0.08	0.03	0.07	0.07	0.0	102400.0	1798.866	("2950708a1672623698f453bf6d22bcaf5aefebdc463f38092fe9ea396014a805", "692cd056508452e0a2b6e194ba8cdb40022cb02114521e950114ec524542183a", "1abf08d18617768dcd20225db4580ff4bd03820f766bcba8766e07a00b9be9ed", "b631930612203c459788c705415157cd60981e19d06971b288835ada7879a4f0", "e26a3231b0a1abdfb8c4aa01a1abafc09a1f5fed196133351e7375cc11c95edd")	
3	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	99.2	32.24	54.84	54.84	54.84	77.41	55.9	77.34	55.02	77	39	10	9	51.053	3d162f50a7432cf167a20e3111d0c0167a81d9e8198795bc0451060f5e89c5ef	89.6	29.82	53.23	53.25	53.25	76.6	53.25	76.6	53.25	53	27	9	8	25.08	58ee843f4dcfc08c0260118b473623072c0f44edc21594622e63b9b78b625d21	99.2	32.24	54.84	54.84	54.84	77.41	55.9	77.34	55.02	77	39	10	9	26.652	3d162f50a7432cf167a20e3111d0c0167a81d9e8198795bc0451060f5e89c5ef	89.6	29.82	53.23	53.25	53.25	76.6	53.25	76.6	53.25	53	27	9	8	24.947	58ee843f4dcfc08c0260118b473623072c0f44edc21594622e63b9b78b625d21	99.84	31.14	54.19	54.17	54.17	77.0	55.95	77.16	54.25	0.0	5000.0	243600.0	0.0	0.19	0.09	0.08	0.08	0.02	0.11	0.02	0.09	0.0	0.0	158000.0	0.0	("c284e93450bcdbe644ba2bb3df28123d5a6ce237736aff9081c64d04b0ad88c2", "7220737dd84206d5750be919173e1d9a98c644a5a52a5e535692a5d10609a40a", "f52d5c2d88619c27f3b1036cc7a123add08f89837d8465cdf04b5de44d73ddba", "477b83e05945ad60c70b733361b00a72ab8b77a8b025434d2c1a6eb6fde4eba3", "0c6d2ca989a754c229a798796af2ee265f46bb77ad1c51d7207e8c6e3a766146")	100.0	31.09	54.19	54.14	54.14	76.97	57.46	77.06	54.52	49.12	10000.0	487240.0	0.0	0.16	0.07	0.07	0.07	0.02	0.09	0.02	0.08	0.03	0.0	147880.0	1707.193	("ad6f897d443b3155cb3d086f1813679be67ecc4c6b3505640c129e78402b4742", "36a43d10affa64f37002b2e653b3ee6e36345c766343c8803b0c06bdab2363a0", "8b42d1cf6befeb7d016cceececdc57b6a51fe217a2fb95f076eacea6a5fbdcf9", "113bbcad4a4029bf87b0ce3d133a902c2961902b4cb34bb7c84286f220f07867", "29afb635c8b4a311835ffe722a373ddd078b74615b67837fa132df74e508b91e")	
4	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	98.8	22.47	48.39	48.41	48.41	74.12	49.25	74.02	48.67	77	39	12	12	69.788	d5edc11621aa433b4634ecce3d3ad67849cb5804ddbb03f451c77d7e990bf43b	90.0	19.98	46.77	46.83	46.83	73.27	49.37	72.93	47.59	53	27	12	11	44.972	bf1fcbc860e0e109c61c6833571b49b45d794c558cf8eb41d691fb3b8a5f841c	98.8	22.47	48.39	48.41	48.41	74.12	49.25	74.02	48.67	77	39	12	12	45.206	d5edc11621aa433b4634ecce3d3ad67849cb5804ddbb03f451c77d7e990bf43b	90.0	19.98	46.77	46.83	46.83	73.27	49.37	72.93	47.59	53	27	12	11	45.02	bf1fcbc860e0e109c61c6833571b49b45d794c558cf8eb41d691fb3b8a5f841c	99.76	30.11	53.55	53.49	53.49	76.64	58.11	76.52	54.22	0.0	5000.0	249200.0	0.0	0.19	0.08	0.08	0.08	0.02	0.27	0.02	0.09	0.0	0.0	13600.0	0.0	("c8ecfa00e85d704fe4cfe58df0d507782b7d9efc966d01bcad49c6fb3ac6686f", "3442c4b799651ae605605eea76fbf1e88f10d76b2175cf071394110935a3c0d7", "9d820813eca3436988aade6cf309e7fd094e0b5354948f256bcba692b1dc929a", "b6051fcfb36690c1e0e7b247b9ed30755b610e2cfe1278e8401b81e1df0ed576", "7721231ebe41570377c95c8f2aebc74578d5f1280bc40db6050f88e7b5684718")	100.0	32.02	54.84	54.76	54.76	77.27	60.88	77.09	55.75	49.76	10000.0	498480.0	0.0	0.2	0.09	0.09	0.09	0.02	0.17	0.03	0.08	0.1	0.0	126520.0	1737.4	("8d1e6b97c074f32604aafc2ddcdd5a77ff1444767bb09e6da3416a3f1af33033", "c4e286102e53087caa3410f7007ed80e1567890890b13042fb8514ea6049f3cc", "916e136a9827170e4824642cb77f3d0ef911a7dddc06ef383642c8d06feafaa0", "cac80975af83b61d1760b8254526eefc1b79232c13be59fbf648ca66d843a75d", "f1987fb23ea732ff0568ecac07f3dc4368eb5f232d3b51b317d0635c90834fcb")	
5	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	98.0	15.33	43.55	43.73	43.73	71.74	43.86	71.71	43.74	69	35	15	14	152.421	63f63de0f2099e9eb81dc89fc519474b5e04b79edd639c76f2758a8f46909ac1	90.4	15.3	43.55	43.73	43.73	71.72	44.27	71.59	43.94	47	24	14	14	122.769	a593f69bfcbfe1a66e23130f561e2e96a6171abb2b04ab8ae844fe524817d132	98.0	15.33	43.55	43.73	43.73	71.74	43.86	71.71	43.74	69	35	15	14	126.716	63f63de0f2099e9eb81dc89fc519474b5e04b79edd639c76f2758a8f46909ac1	90.4	15.3	43.55	43.73	43.73	71.72	44.27	71.59	43.94	47	24	14	14	123.264	a593f69bfcbfe1a66e23130f561e2e96a6171abb2b04ab8ae844fe524817d132	99.76	16.45	44.52	44.52	44.52	72.07	51.99	71.91	44.3	0.0	5000.0	241760.0	0.0	0.2	0.09	0.08	0.08	0.02	0.16	0.03	0.1	0.0	0.0	21880.0	0.0	("fc1f671a3463b5a72b4d87783d6ba029e2cd74ae1ef4542ef08257a395c7ae86", "d0c434bd52eb885ca8abf078fe5ef3d31f8aebda2f29bd5e344ef8951fa28b22", "e8ae822bc28c7cee3cc3fff03d64c2310fd9efbf137edb1d326bd3e7ced42e49", "3eafec58694179df5d8a999948dc6effeaba46534116fdf65b6ee66dc3d7f040", "b6d1c2cd85a04cf0b3b577b3e29cc30c304dbc14277c1a951b4fb99c44ae5493")	100.0	14.48	43.23	43.25	43.25	71.4	52.92	71.01	43.75	46.24	10000.0	481120.0	0.0	0.22	0.1	0.09	0.09	0.02	0.05	0.07	0.03	0.05	0.0	142720.0	2014.025	("e38037751c0da6035bd9135163366db2b7be760f9417e1801a14ea2c09d68242", "f6b597c459006c81fac5ed1bc07e30399731d298fb4311f233775d6d429550f9", "23ac6f51c4fce2e6ed645a0ab2ceda2ed5e803d5e1b31c204816576759aeaecc", "ecb2f7186e8f8ce98b0cdb124fe06613618ec9a468d6b07ac98704edbe7b6aae", "7a00f44ad1ffd1f7b0bbd9b38451f8ec4e4e6d76042c65bb48832ccbb17582b7")	
6	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	98.4	44.21	62.9	62.86	62.86	81.34	66.07	81.29	63.53	71	36	11	9	108.373	5de4f55d2e0e01b139f04388ce004817754dbd41f625f615e4d710e95f8563dd	91.6	39.41	59.68	59.68	59.68	79.75	61.11	79.73	60.02	49	25	10	9	75.944	8ff1605d2f11835e13fe89b76cfa58f9695bc5ba03f40fead022d40a53ca4647	98.4	44.21	62.9	62.86	62.86	81.34	66.07	81.29	63.53	71	36	11	9	76.804	5de4f55d2e0e01b139f04388ce004817754dbd41f625f615e4d710e95f8563dd	91.6	39.41	59.68	59.68	59.68	79.75	61.11	79.73	60.02	49	25	10	9	76.1	8ff1605d2f11835e13fe89b76cfa58f9695bc5ba03f40fead022d40a53ca4647	99.84	33.04	55.48	55.48	55.48	77.61	59.5	77.46	56.3	0.0	5000.0	247840.0	0.0	0.63	0.28	0.27	0.27	0.07	0.36	0.08	0.27	0.0	0.0	45080.0	0.0	("ad669b725228baba331f9cac4ec3da53201b1290afe6af647a9b3018b47df7b6", "0376ee2d4d3a9434848f4bc716ae2f6ca5d12547ab29ba52c839bba92de41d91", "4ef1fe6699aaaae10951bca5af78ca84340e5e962bbf8bafdd28fcab6ec875d9", "1f85ea0b756cfc7352a340f8f6528462dc18f0a8d2550ddc918c76d7644eb9fc", "4224de65e29cc227e577a55238d712a19f3afa97e27f99e68860e183a6a505d3")	100.0	31.55	54.52	54.52	54.52	77.1	60.69	76.7	55.9	52.16	10000.0	494960.0	0.0	0.16	0.07	0.07	0.07	0.02	0.14	0.02	0.07	0.03	0.0	37480.0	1925.326	("d1d3da42f644f2dd983ae8d33d5a0bdf9becf17f1066a295167273b33ee8b106", "d25687a31a6ae48710d38dc53397bd8f3e540c8ff1b3c88f9d6df55de5263630", "17771e96b00831fd9b7b8489923c97854661f29344d1d96a34d792205cf059e1", "d1f58f8a46579a117e5ceecde16cb485590b84bbeca71b1a88a85017173d262f", "53b625c37bb8aa5cda49943286f544f5328659653e83cf5eaa2a5672f94eb461")	
7	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	98.0	27.23	51.61	51.59	51.59	75.69	54.11	75.65	52.0	75	38	12	10	112.164	495f6a6dda9a684a69a9cda34dfcfbc26743159cae6439bfb1b40643359018b3	89.6	20.05	46.77	46.83	46.83	73.31	47.61	73.23	47.05	45	23	9	9	77.917	aeb9d9b1f682fbdce9cf4a4b0d700bfca4782540039a5b7ca54dea0bf165dcce	98.0	27.23	51.61	51.59	51.59	75.69	54.11	75.65	52.0	75	38	12	10	78.154	495f6a6dda9a684a69a9cda34dfcfbc26743159cae6439bfb1b40643359018b3	89.6	20.05	46.77	46.83	46.83	73.31	47.61	73.23	47.05	45	23	9	9	76.48	aeb9d9b1f682fbdce9cf4a4b0d700bfca4782540039a5b7ca54dea0bf165dcce	99.28	23.7	49.35	49.21	49.21	74.5	57.27	74.37	49.9	0.0	5000.0	241080.0	0.01	0.05	0.02	0.02	0.02	0.01	0.05	0.01	0.01	0.0	0.0	156720.0	0.0	("3b910613ad9dc5d21ef3308025460007f32968e7ad5d41e2317987032f7de764", "90870973fab79d1d87d3215c4a8b3b04b1af1aa217e54f1fff722d015b47cfef", "da817239fe5ed643262c9ca0fe4058abc93e54a8de2f5d033e3dab5d5ca13027", "e52820e8a11b5b6959d7c09c1c6f491cae47ad8239a82fa94b241df8b1f20e49", "abb237b343d8a1d35f33486b793c7df985f66bc445a8c8ed68555c6776d5b624")	99.76	29.06	52.9	52.7	52.7	76.3	58.58	76.39	52.95	46.08	10000.0	485120.0	0.0	0.04	0.02	0.02	0.02	0.0	0.06	0.01	0.02	0.01	0.0	294520.0	1762.778	("5e0d88d351a98459a4b3343e386c451543da74a9e1e42965541dd9ae0a34df3b", "167da9c45320c26522e7505e8dfd5184f0267c1d8fb70e6e3c6fa120c95bbc40", "13364c47ba9a019df51259d952ae9fb72f791b5f2b126fd41b058a156a06ae2f", "16979c682b5ca1f372a313b978429090466f5153b051d9397ac45e3709bc9ef7", "d57d8c3bcbba07084c88373cc3cf19886f29de5a66d961ba970fa4d1bd88e2bb")	
8	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	98.8	39.67	59.68	60.16	60.16	79.85	59.4	80.92	58.27	77	39	14	12	134.278	26908a6893ecfe94799d9a42c08fe4b76552e2a8ae34da91f40c31cec63d071e	92.0	27.65	51.61	52.14	52.14	75.84	50.82	77.13	49.86	55	28	13	11	108.57	ceaf38ccc2e798b67f949c4cd7415ff726dac72e159e4b620fe552e8edbe86b8	98.8	39.67	59.68	60.16	60.16	79.85	59.4	80.92	58.27	77	39	14	12	111.0	26908a6893ecfe94799d9a42c08fe4b76552e2a8ae34da91f40c31cec63d071e	92.0	27.65	51.61	52.14	52.14	75.84	50.82	77.13	49.86	55	28	13	11	109.095	ceaf38ccc2e798b67f949c4cd7415ff726dac72e159e4b620fe552e8edbe86b8	99.76	40.46	60.32	60.56	60.56	80.09	61.26	80.23	60.42	0.0	5000.0	253680.0	0.0	0.51	0.23	0.22	0.22	0.06	0.32	0.06	0.24	0.0	0.0	205520.0	0.0	("a3ebd806dc71acbf37d704d6fc8a62f308b5ec2ed92d9f40b8c605a975a3e3dd", "80275b64f2858985f8da432024b490ae2706738e94fef3f3733de12b5cd06ac2", "3c988dd2e07745adc0bcbbe9960a39dee62b6cd5a67af29671d2bb62b268707a", "624961123844a8dfb3d9bc7d4d150cf8ea5475603b289cb7dac93b746cc7811b", "9a233b3dd56cea9fa05a00d0a296186b6fe8b6e19267acde70d6de68dab5f002")	100.0	41.39	60.97	61.19	61.19	80.38	62.99	80.27	61.57	53.84	10000.0	509120.0	0.0	0.42	0.19	0.18	0.18	0.05	0.19	0.04	0.2	0.05	0.0	37320.0	2006.535	("eaa0590ff89b51f2dbbb57b4a3cef5e58b9b117dc8ef410515c8fccff8eea707", "e46c2955cd74ef4fad7ebc195790ffb2f11de4869191a15bac7b86d5e9d926bb", "224992f291f40a6b0ab50fe4f90c0701173af13fe66365800454ee8c6db65c51", "e60ada48b30fa6ddfa77a49807263aab7df5aa73dad440b8e49bfff78677844e", "48d7b31873ce6ce1415a11466ccd28f2782a4175402d5c6989f99a9447973e94")	
9	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	96.8	27.34	51.61	51.75	51.75	75.73	52.53	75.61	52.06	69	35	9	7	65.546	c10fd990f2f9c0e7bab169a3418c5403b82989f3a4489a301a03de5e1fb77029	90.4	24.95	50.0	50.16	50.16	74.93	50.63	74.84	50.38	47	24	8	7	35.139	0c7558aeaeb9d463b046272085c71d85e16045e0b10725658c3718fe76b980a3	96.8	27.34	51.61	51.75	51.75	75.73	52.53	75.61	52.06	69	35	9	7	35.59	c10fd990f2f9c0e7bab169a3418c5403b82989f3a4489a301a03de5e1fb77029	90.4	24.95	50.0	50.16	50.16	74.93	50.63	74.84	50.38	47	24	8	7	34.052	0c7558aeaeb9d463b046272085c71d85e16045e0b10725658c3718fe76b980a3	99.76	19.91	46.77	46.76	46.76	73.24	51.73	73.17	47.25	0.0	5000.0	244480.0	0.0	0.5	0.22	0.21	0.21	0.06	0.37	0.09	0.16	0.0	0.0	177720.0	0.0	("328a32606a869edbca7470a2881c837efd70b8279f84aa2782d47afe1908a3bb", "947b0ab4ee5526d4c48d32208e9dbbe8ce3502ea5ef8c4a7e6a4e8b3950d3dda", "1599dab822161f62c8afb92667033fb5c2cfc512e91f7436a450b221eefd80c7", "422f6cf8892e134107a6b8fb4f564f851a88cd2774abc1b5c6bd54aa01d3ad2a", "57ebfe82c078adf92ef5dd2b3639384f433d97447c415442b9013f2c0942cd0d")	100.0	21.41	47.74	47.7	47.7	73.75	51.26	73.71	48.01	48.08	10000.0	488840.0	0.0	0.45	0.2	0.2	0.2	0.05	0.33	0.07	0.17	0.08	0.0	356280.0	1607.491	("1e1adc04e840cf5093cada9028b8796f9a5b52fee619710b2c4714ddf1f40bf7", "7ec537e3caefb1a46d85db1370b87a83727346404716fb5568c7669476777e7f", "50074e0fb653919f71701d76f3fde9be2187f27ff47743a171e83d74ad6c013c", "de4d771c0e8dc5c4d004a9fb60ac93c71e231c59d0082ccafd8ae42c1dcd9c79", "42a18cc361cf5a518346508f6790abe5466e10cf262d8f9551cee3fc2b95bf67")	
10	Siemens-Data-Features	stump_with_memoization	(1.0 => "High-Risk",3.0 => "Risky",Inf => "Low-Risk")	0	(4,4)	250	62	(84, 83, 83)	(20, 21, 21)	[62]	[(15,)]	98.8	17.5	45.16	45.32	45.32	72.4	51.37	71.64	47.15	79	40	11	8	100.283	2df183c2e8643d2c9782571acced5a2aa4c56da65f9099599dc2cbf8bfcf669a	91.6	19.92	46.77	46.9	46.9	73.21	52.65	72.56	48.57	53	27	10	8	74.556	e5fa00963b838624ba7b0aec33797869e57ba2577a1ac5f7b39651aa61c90989	98.8	17.5	45.16	45.32	45.32	72.4	51.37	71.64	47.15	79	40	11	8	73.156	2df183c2e8643d2c9782571acced5a2aa4c56da65f9099599dc2cbf8bfcf669a	91.6	19.92	46.77	46.9	46.9	73.21	52.65	72.56	48.57	53	27	10	8	74.862	e5fa00963b838624ba7b0aec33797869e57ba2577a1ac5f7b39651aa61c90989	99.76	29.12	52.9	52.94	52.94	76.28	59.61	75.78	54.51	0.0	5000.0	248840.0	0.0	0.33	0.15	0.14	0.14	0.04	0.25	0.04	0.14	0.0	0.0	135080.0	0.0	("4c3779461a6255777662b2cc3c35bcb5ce0fd8940f64bb016da610b9b64b2aff", "7033aaf1862c54c6edd4006c80316eeb010ae3a09f505344e66e1eed1fe55dda", "c1247898071df8a0121b2e15d327a048bf845f0b57c5e8fff1dbea54b86ff18a", "985ec610e530e20d4f4c7efcf2847d50199541fd3251a1e5d8251c66e397a343", "ca6448f0b73e8adbd7bc04efa185a8a5e3b36c55042a44228032004fc463d806")	100.0	32.51	55.16	55.16	55.16	77.41	61.93	77.09	56.54	51.04	10000.0	499160.0	0.0	0.31	0.14	0.13	0.13	0.03	0.16	0.04	0.13	0.01	0.0	149480.0	1774.459	("31836b9f710d01a8aabd00a273403a805a88073af1868cfbf70942a5fad12c9d", "9c9b1678bb802c097fb95ad16fde996eafeb8f6d917f54d73714016c056b3ad2", "0308ba422b7ef994bde86ea700f94efe1cd72dbd83a31f230eef356fdd7af9f6", "8b537a9d770f1c163a293f8a6ce2a5bb032e8e28055cf706f3decb462dd0bce7", "4a523f17e72dcd6139d44adf8d3fb822b261d2e21a6255cd9fc96f636ea558ce")	
